# reference_flux:         39.2767
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2280.90613      2280.90298         27.3710          4.5372         16.8468          0.1800       -211.2422          1.6286        6.348838        4.537184
     2280.91307      2280.90992         33.9127          4.5663         16.6141          0.1462       -215.1534          1.6286        4.187613        4.566289
     2280.92002      2280.91687         19.3045          4.5568         17.2259          0.2563       -204.8023          1.6286        1.628637        4.556800
     2280.92696      2280.92381         21.2311          4.6090         17.1226          0.2357       -203.0717          1.6286        4.930727        4.609033
     2280.93391      2280.93076         31.7238          4.5815         16.6865          0.1568       -210.3598          1.6286        6.949522        4.581452
     2280.94085      2280.93770         30.3858          4.6495         16.7333          0.1661       -207.6466          1.6286       -0.506952        4.649508
     2280.94780      2280.94465         27.0651          4.6762         16.8590          0.1876       -213.2294          1.6286       -1.227835        4.676229
     2280.95474      2280.95159         41.0394          4.7027         16.4070          0.1244       -210.0308          2.5552        3.326997        4.702712
     2280.96168      2280.95854         37.4688          4.7105         16.5058          0.1365       -206.8588          2.5552        3.712164        4.710531
     2280.96863      2280.96548         30.9566          4.7025         16.7131          0.1649       -209.5752          2.8077       -3.772397        4.702489
     2280.97557      2280.97242         34.3752          4.7570         16.5994          0.1502       -215.1737          2.8077        5.616206        4.756963
     2280.98252      2280.97937         30.7895          4.7695         16.7190          0.1682       -174.9985          2.8077       -3.190447        4.769488
     2280.98946      2280.98631         20.0826          4.7123         17.1830          0.2548       -166.4279          2.8077       -0.965087        4.712323
     2280.99641      2280.99326         39.1556          4.7321         16.4580          0.1312       -172.8828          2.8077        2.555195        4.732097
     2281.00335      2281.00020         31.6300          4.7209         16.6898          0.1621       -170.3995          2.5552        0.565667        4.720904
     2281.01030      2281.00715         29.3598          4.7205         16.7706          0.1746       -161.5740          2.8077        0.263137        4.720534
     2281.01724      2281.01409         18.7681          4.7494         17.2564          0.2748       -163.6283          2.5552       -1.344862        4.749381
     2281.02418      2281.02104         24.4718          4.7746         16.9683          0.2118       -167.0885          1.6286       -0.611575        4.774553
     2281.03113      2281.02798         22.3940          4.7510         17.0647          0.2303       -162.0270          1.6286       -1.074281        4.751005
     2281.03807      2281.03492         31.7997          4.6925         16.6839          0.1602       -157.2737          1.6286        4.975800        4.692504
     2281.04502      2281.04187         35.0277          4.7697         16.5790          0.1478       -163.0407          1.6286        3.251455        4.769669
     2281.05196      2281.04881         23.2604          4.7510         17.0235          0.2218       -153.9509          1.6180        0.360948        4.751002
     2281.05891      2281.05576         32.8656          4.7095         16.6481          0.1556       -155.8085          1.6180        7.628237        4.709520
     2281.06585      2281.06270         39.0255          4.7823         16.4616          0.1330       -157.6829          1.3356        4.432678        4.782291
     2281.07280      2281.06965         34.4024          4.7389         16.5985          0.1496       -146.2761          0.5657        1.618038        4.738939
     2281.07974      2281.07659         40.3819          4.7322         16.4245          0.1272       -143.7529          0.3609        4.701323        4.732203
     2281.08668      2281.08354         34.0955          4.6865         16.6083          0.1492       -141.2540          0.3609       10.127950        4.686529
     2281.09363      2281.09048         33.0413          4.7515         16.6424          0.1561       -143.5827          0.2631        5.459676        4.751452
     2281.10057      2281.09742         35.8313          4.6971         16.5543          0.1423       -121.7362          0.1880       12.395480        4.697053
     2281.10752      2281.10437         19.4749          4.7489         17.2163          0.2648       -142.7004         -0.1436       -4.797575        4.748927
     2281.11446      2281.11131         28.8381          4.6722         16.7901          0.1759       -133.8274          0.1880        6.066393        4.672225
     2281.12141      2281.11826         19.3711          4.6537         17.2221          0.2608       -126.7318          0.1880        2.807719        4.653725
     2281.12835      2281.12520         38.5663          4.6310         16.4745          0.1304       -123.5708          0.1880        4.481936        4.630951
     2281.13530      2281.13215         27.0904          4.6259         16.8580          0.1854       -122.0008         -0.1436       -4.543412        4.625854
     2281.14224      2281.13909         29.1344          4.6405         16.7790          0.1729       -123.7688          0.1880        1.335563        4.640516
     2281.14918      2281.14604         19.8987          4.5767         17.1929          0.2497       -115.1986         -0.1436       -1.789085        4.576736
     2281.15613      2281.15298         25.7856          4.5862         16.9116          0.1931       -109.2695          0.1880       -1.425661        4.586247
     2281.16307      2281.15992         32.0932          4.5930         16.6740          0.1554       -109.8989          0.1880       -0.143581        4.592952
     2281.17002      2281.16687         50.6006          4.4958         16.1796          0.0965       -115.3175         -0.1436        6.332461        4.495752
     2281.17696      2281.17381         30.4999          4.4892         16.7293          0.1598        -98.8476         -0.1603       -2.143000        4.489207
     2281.18391      2281.18076         23.0328          4.4874         17.0341          0.2115       -100.1948         -0.6116       -1.390455        4.487437
     2281.19085      2281.18770         26.9375          4.4182         16.8641          0.1781       -101.7125         -0.6116       -4.395313        4.418215
     2281.19780      2281.19465         29.1518          4.4843         16.7783          0.1670       -106.1031         -1.0464       -5.288211        4.484338
     2281.20474      2281.20159         37.2928          4.4909         16.5109          0.1307       -108.2483         -0.7951        0.187956        4.490913
     2281.21169      2281.20854         24.8905          4.4194         16.9499          0.1928       -107.7261         -1.0464       -8.900348        4.419435
     2281.21863      2281.21548         30.9388          4.3932         16.7137          0.1542       -101.7889         -1.0464        4.042946        4.393154
     2281.22557      2281.22242         27.2436          4.4223         16.8518          0.1762        -87.7669         -1.1281       -3.056437        4.422280
     2281.23252      2281.22937         34.8597          4.3732         16.5842          0.1362        -81.1645         -1.3181       -0.160260        4.373165
     2281.23946      2281.23631         37.4471          4.4098         16.5065          0.1279        -84.9266         -1.3905       -3.719503        4.409825
     2281.24641      2281.24326         37.5827          4.4228         16.5025          0.1278        -83.7450         -1.3905        0.787771        4.422764
     2281.25335      2281.25020         22.1775          4.3711         17.0752          0.2140        -85.4402         -1.3905       -9.274686        4.371101
     2281.26030      2281.25715         33.3495          4.3687         16.6323          0.1422        -87.1357         -1.4257       -2.585848        4.368749
     2281.26724      2281.26409         28.7978          4.3549         16.7916          0.1642        -88.4607         -1.4257       -1.128063        4.354931
     2281.27419      2281.27104         29.2129          4.3453         16.7761          0.1615        -97.4818         -1.4257        0.815675        4.345271
     2281.28113      2281.27798         38.1951          4.3500         16.4850          0.1237        -87.5376         -1.4257       -2.040541        4.350030
     2281.28807      2281.28492         33.9244          4.3264         16.6137          0.1385        -98.0831         -1.4257        0.459121        4.326397
     2281.29502      2281.29187         30.7482          4.3408         16.7205          0.1533       -101.1311         -1.5103       -3.582461        4.340757
     2281.30196      2281.29881         37.9478          4.3704         16.4920          0.1250        -96.2620         -1.5103        6.819636        4.370448
     2281.30891      2281.30576         32.7637          4.2972         16.6515          0.1424        -84.4775         -1.5103       -1.046377        4.297195
     2281.31585      2281.31270         43.5658          4.2562         16.3421          0.1061        -89.1043         -1.5103        3.396599        4.256237
