# reference_flux:        530.0945
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2307.24347      2307.23631       1170.9217          0.0012         12.7687          0.0000        -20.7694         75.8532      988.096239        0.001186
     2307.25041      2307.24325       1555.7850          6.1646         12.4601          0.0043      -5223.8393         75.8532      370.243597        6.164587
     2307.30597      2307.29881        644.3046          6.2331         13.4173          0.0105      -3022.1219         75.8532       63.505531        6.233086
     2307.31291      2307.30575        621.6523          6.2007         13.4561          0.0108      -3004.1422         75.8532       49.287715        6.200656
     2307.31986      2307.31270        612.8059          6.2009         13.4717          0.0110      -3025.3616         75.8532       38.930160        6.200893
     2307.32680      2307.31964        613.6870          6.2055         13.4701          0.0110      -3083.4518         75.8532       40.021089        6.205514
     2307.33375      2307.32658        659.6254          6.1792         13.3918          0.0102      -3069.5867         75.8532       86.647698        6.179152
     2307.34069      2307.33353        678.3320          6.1552         13.3614          0.0099      -3139.8531         75.8532      104.728827        6.155190
     2307.34764      2307.34047        647.7421          6.1604         13.4115          0.0103      -3106.0059         75.8532       71.475931        6.160437
     2307.35458      2307.34742        649.4265          6.1764         13.4087          0.0103      -3119.5910         75.8532       75.853233        6.176415
     2307.36153      2307.35436        634.0667          6.1481         13.4347          0.0105      -3117.5503         84.9195       64.111460        6.148052
     2307.36847      2307.36131        647.3387          6.1734         13.4122          0.0104      -3155.8323         85.8592       88.405307        6.173437
     2307.37542      2307.36825        636.3320          6.1672         13.4308          0.0105      -3141.6539         86.6477       71.984817        6.167219
     2307.38236      2307.37520        624.7527          6.1818         13.4507          0.0107      -3144.8187         86.6477       64.092251        6.181770
     2307.38930      2307.38214        639.5406          6.2115         13.4253          0.0105      -3216.7630         86.6477       69.045529        6.211503
     2307.39625      2307.38908        644.5921          6.1922         13.4168          0.0104      -3227.5528         88.4053       74.711729        6.192237
     2307.40319      2307.39603        668.1338          6.1887         13.3778          0.0101      -3227.3594         89.0364       93.803194        6.188655
     2307.41014      2307.40297        658.4634          6.2256         13.3937          0.0103      -3272.6572         89.0364       85.859210        6.225551
     2307.41708      2307.40992        640.5032          6.2278         13.4237          0.0106      -3252.0920         91.5741       74.224407        6.227826
     2307.42403      2307.41686        672.1043          6.2510         13.3714          0.0101      -3347.0547         91.9670       93.622948        6.251030
     2307.43097      2307.42381        657.0239          6.2489         13.3960          0.0103      -3356.0018         92.2297       92.229735        6.248864
     2307.43792      2307.43075        686.9652          6.2709         13.3477          0.0099      -3370.4834         92.2297      105.196857        6.270947
     2307.44486      2307.43770        668.6085          6.2991         13.3771          0.0102      -3374.4184         92.8109       94.689955        6.299130
     2307.45181      2307.44464        709.3472          6.3386         13.3129          0.0097      -3501.2042         92.8109       92.810914        6.338568
     2307.45875      2307.45158        684.4553          6.3518         13.3516          0.0101      -3465.2238         92.2297      106.650176        6.351765
     2307.46569      2307.45853        700.9451          6.3985         13.3258          0.0099      -3535.9015         92.2297       84.919510        6.398455
     2307.47264      2307.46547        683.8014          6.4006         13.3527          0.0102      -3521.7943         92.2297      103.922045        6.400648
     2307.47958      2307.47242        680.6290          6.4079         13.3577          0.0102      -3541.0322         92.8109       73.808204        6.407941
     2307.48653      2307.47936        707.9520          6.4368         13.3150          0.0099      -3609.6285         92.8109       91.966989        6.436807
     2307.49347      2307.48631        673.4642          6.4604         13.3692          0.0104      -3572.2493         93.6229       91.574076        6.460395
     2307.50042      2307.49325        714.8272          6.4868         13.3045          0.0099      -3666.8205         93.8032      133.084587        6.486774
     2307.50736      2307.50020        679.2830          6.4987         13.3599          0.0104      -3712.8606         94.6900      103.588064        6.498690
     2307.51430      2307.50714        636.8411          6.1224         13.4299          0.0104      -2893.8040         94.6900       71.777068        6.122352
     2307.52125      2307.51408        713.7796          6.6010         13.3061          0.0100      -3775.6876         95.1377      135.782379        6.601007
     2307.52819      2307.52103        674.8413          6.5911         13.3670          0.0106      -3619.0338         97.0398       89.036407        6.591079
     2307.53514      2307.52797        713.6215          6.6194         13.3063          0.0101      -3550.1282         98.4656      133.970297        6.619430
     2307.54208      2307.53492        667.4897          6.2074         13.3789          0.0101      -3058.4814        100.8194       95.137729        6.207429
     2307.54903      2307.54186        680.6319          6.5396         13.3577          0.0104      -3342.4469        101.4406      100.819373        6.539591
     2307.55597      2307.54881        693.8875          6.7965         13.3368          0.0106      -4367.8210        101.4406      113.325363        6.796503
     2307.56292      2307.55575        693.7506          6.8188         13.3370          0.0107      -4413.0309        101.4406      110.751259        6.818770
     2307.56986      2307.56270        678.3175          6.9071         13.3614          0.0111      -4431.3752        102.3033       98.465581        6.907109
     2307.57681      2307.56964        700.1277          6.9096         13.3271          0.0107      -4496.2870        102.3033      117.580354        6.909584
     2307.58375      2307.57658        700.7314          6.8829         13.3261          0.0107      -4350.2983        102.3033      111.101719        6.882945
     2307.59069      2307.58353        730.5721          6.8909         13.2808          0.0102      -4421.1674        102.3033      139.134741        6.890911
     2307.59764      2307.59047        634.4990          6.9169         13.4339          0.0118      -4470.1845        102.3033       49.897458        6.916909
     2307.60458      2307.59742        723.2176          6.9266         13.2918          0.0104      -4455.8126        102.3033      137.530086        6.926561
     2307.61153      2307.60436        714.8176          6.9285         13.3045          0.0105      -4514.1557        101.4406      123.096567        6.928516
     2307.61847      2307.61131        675.9692          6.9394         13.3652          0.0111      -4474.5633        102.3033       86.988484        6.939404
     2307.62542      2307.61825        705.3903          6.9237         13.3189          0.0107      -4527.9191        103.5881      126.931099        6.923709
     2307.63236      2307.62520        705.4663          6.8173         13.3188          0.0105      -4121.1304        102.3033      117.282572        6.817343
     2307.63931      2307.63214        685.6302          6.7982         13.3498          0.0108      -4121.2234        103.5881      101.440644        6.798174
     2307.64625      2307.63908        681.2997          6.9236         13.3567          0.0110      -4538.4445        103.5881       91.812905        6.923614
     2307.65319      2307.64603        696.8087          6.8637         13.3322          0.0107      -4488.1025        103.5881      102.303274        6.863744
     2307.66014      2307.65297        708.2309          6.7677         13.3146          0.0104      -4149.6806        104.6392      119.972390        6.767745
     2307.66708      2307.65992        693.1452          6.7611         13.3379          0.0106      -4147.6035        104.6392      107.282370        6.761114
     2307.67403      2307.66686        680.6335          6.7527         13.3577          0.0108      -4139.9203        103.5881       97.039823        6.752707
     2307.68097      2307.67381        710.3814          6.8965         13.3113          0.0105      -4609.3600        102.3033      118.569037        6.896515
     2307.68792      2307.68075        716.0546          6.7641         13.3026          0.0103      -4204.6123        102.3033      125.492477        6.764130
     2307.69486      2307.68770        704.1932          6.8449         13.3208          0.0106      -4559.6063        101.5302      116.047087        6.844898
     2307.70181      2307.69464        693.2367          6.6639         13.3378          0.0104      -4072.0108        101.5302      107.616237        6.663890
     2307.70875      2307.70158        708.2752          6.7786         13.3145          0.0104      -4503.8684        101.4406      121.070691        6.778577
     2307.71570      2307.70853        658.2959          6.7408         13.3939          0.0111      -4400.0675        101.5302       74.643329        6.740765
     2307.72264      2307.71547        680.9839          6.5850         13.3572          0.0105      -3611.0763        101.5302      100.645525        6.585010
     2307.72958      2307.72242        689.7812          6.5720         13.3432          0.0103      -3726.0706        101.4406      108.505119        6.571955
     2307.73653      2307.72936        675.9082          6.5603         13.3653          0.0105      -3708.9028        101.4406       95.100062        6.560328
