# reference_flux:        124.1210
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2307.24428      2307.23631       3121.5184          0.0177         11.7041          0.0000         19.3811         -5.5024       75.803396        0.017693
     2307.25123      2307.24325        129.8670          1.7261         15.1563          0.0144       -152.8235         -5.5024      -46.405394        1.726126
     2307.30678      2307.29881        124.1416          2.7406         15.2052          0.0240         31.8889         -5.5024       -6.063829        2.740580
     2307.31373      2307.30575        131.2504          3.0878         15.1447          0.0255         37.0803         -5.4319       -5.431879        3.087838
     2307.32067      2307.31270        132.9774          3.0772         15.1306          0.0251         35.4778         -5.4319       -5.554270        3.077246
     2307.32762      2307.31964        126.7988          3.1551         15.1822          0.0270         33.8967         -5.4319       -5.293513        3.155091
     2307.33456      2307.32658        132.7297          3.2034         15.1326          0.0262         31.2620         -5.2935       -0.433301        3.203434
     2307.34151      2307.33353        132.6612          3.2740         15.1331          0.0268         41.6523         -5.4319       -3.300096        3.274031
     2307.34845      2307.34047        123.8561          2.8052         15.2077          0.0246         26.6209         -5.2935       -6.746337        2.805190
     2307.35539      2307.34742        134.6627          3.0205         15.1169          0.0244         33.7309         -5.2935       -6.663655        3.020453
     2307.36234      2307.35436        131.7115          2.0329         15.1409          0.0168         -2.7586         -5.2935        2.051936        2.032925
     2307.36928      2307.36131        129.9474          2.7715         15.1556          0.0232         34.7609         -5.2935       -3.864363        2.771457
     2307.37623      2307.36825        128.1181          2.6596         15.1710          0.0225         26.3918         -5.2935       -4.170477        2.659576
     2307.38317      2307.37520        130.4276          2.6099         15.1516          0.0217         21.6138         -5.2935       -3.300872        2.609873
     2307.39012      2307.38214        129.2386          2.7494         15.1615          0.0231         32.2286         -5.4319       -2.569713        2.749366
     2307.39706      2307.38908        126.1101          2.9386         15.1881          0.0253         33.1089         -5.2935       -5.796176        2.938598
     2307.40401      2307.39603        125.6080          2.7079         15.1925          0.0234         29.6101         -5.2935       -6.169455        2.707875
     2307.41095      2307.40297        124.9594          2.7102         15.1981          0.0235         26.8333         -5.2935       -1.852724        2.710231
     2307.41789      2307.40992        125.8556          2.9228         15.1903          0.0252         31.4076         -5.2935       -5.752022        2.922771
     2307.42484      2307.41686        121.6815          3.0851         15.2269          0.0275         42.2945         -5.2935       -9.060608        3.085135
     2307.43178      2307.42381        129.5838          3.1132         15.1586          0.0261         39.7032         -5.2935       -0.078883        3.113181
     2307.43873      2307.43075        121.3378          3.3495         15.2300          0.0300         43.1977         -5.2935       -5.502379        3.349537
     2307.44567      2307.43770        125.6940          2.7296         15.1917          0.0236         26.6760         -5.2935       -7.629388        2.729601
     2307.45262      2307.44464        127.4453          2.4434         15.1767          0.0208         26.1843         -5.1963       -5.810134        2.443419
     2307.45956      2307.45158        113.6135          2.3038         15.3014          0.0220         26.3035         -5.1963       -6.462645        2.303795
     2307.46651      2307.45853        127.5270          2.4677         15.1760          0.0210         27.0822         -5.1963       -6.737639        2.467735
     2307.47345      2307.46547        129.3061          2.2697         15.1610          0.0191         22.9869         -5.1963       -1.751958        2.269748
     2307.48039      2307.47242        122.3687          2.4049         15.2208          0.0213         26.5730         -4.7588        0.143928        2.404898
     2307.48734      2307.47936        129.5176          2.5819         15.1592          0.0216         22.3929         -4.7588       -3.023867        2.581916
     2307.49428      2307.48631        129.9582          2.6973         15.1555          0.0225         27.1665         -4.5026       -2.155901        2.697277
     2307.50123      2307.49325        117.7193          2.8650         15.2629          0.0264         27.6126         -4.5026       -8.801498        2.864989
     2307.50817      2307.50020        130.4341          2.9896         15.1515          0.0249         36.7446         -4.5026       -0.733236        2.989647
     2307.51512      2307.50714        121.5653          2.9706         15.2280          0.0265         33.7152         -4.7588       -5.196278        2.970639
     2307.52206      2307.51408        129.5557          2.9456         15.1589          0.0247         31.9156         -4.5026       -1.797852        2.945562
