# reference_flux:       2225.9947
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2333.86219      2333.85435       1916.3056          4.9080         12.2338          0.0028         30.0275         -9.0297      -10.122394        4.908029
     2333.86914      2333.86130       1914.5289          4.7920         12.2348          0.0027         24.4723         -9.0297      -16.030701        4.792006
     2333.87608      2333.86824       1930.5720          4.8234         12.2258          0.0027         10.3663         -9.0297       -8.183188        4.823403
     2333.88302      2333.87518       1924.6621          4.8916         12.2291          0.0028          9.6048         -9.0297      -11.569001        4.891558
     2333.88997      2333.88213       1928.0122          4.6401         12.2272          0.0026         13.4067         -9.0297       -5.851378        4.640110
     2333.89691      2333.88907       1939.9963          4.6125         12.2205          0.0026          1.7835         -8.9162       -9.963640        4.612515
     2333.90386      2333.89602       1937.0179          4.6700         12.2222          0.0026          4.8418         -9.0297       -7.947231        4.669973
     2333.91080      2333.90296       1935.1885          4.5098         12.2232          0.0025         -4.6660         -9.0297      -15.873458        4.509835
     2333.91775      2333.90991       1940.1156          4.4594         12.2204          0.0025          3.5933         -9.0297       -8.229866        4.459437
     2333.92469      2333.91685       1951.7645          4.4460         12.2139          0.0025         -6.3746         -9.1869       -9.502556        4.446000
     2333.93164      2333.92380       1944.6443          3.8189         12.2179          0.0021         -0.3199         -9.2377      -12.493489        3.818932
     2333.93858      2333.93074       1944.7921          4.4796         12.2178          0.0025          2.7779         -9.2377       -9.778816        4.479602
     2333.94553      2333.93768       1940.4509          3.9422         12.2202          0.0022          6.3063         -9.2408       -6.377900        3.942191
     2333.95247      2333.94463       1941.8900          3.9041         12.2194          0.0022          0.3107         -9.2408      -13.093797        3.904150
     2333.95942      2333.95157       1936.4556          4.6236         12.2225          0.0026         -0.3022         -9.2408       -8.694852        4.623596
     2333.96636      2333.95852       1917.4099          4.7097         12.2332          0.0027         -6.7946         -9.2377       -5.989091        4.709689
     2333.97330      2333.96546       1930.6670          4.6458         12.2257          0.0026        -10.7453         -9.2408       -4.690329        4.645778
     2333.98025      2333.97241       1940.6059          4.6404         12.2202          0.0026         -1.9386         -9.2408       -6.660511        4.640438
     2333.98719      2333.97935       1943.4376          4.6169         12.2186          0.0026         -5.8362         -9.5026       -4.202944        4.616858
     2333.99414      2333.98630       1937.7932          4.5850         12.2217          0.0026        -11.1087         -9.2408      -10.180654        4.585030
     2334.00108      2333.99324       1933.2553          4.5728         12.2243          0.0026        -13.4407         -9.2408       -3.392146        4.572764
     2334.00803      2334.00018       1939.5310          4.5799         12.2208          0.0026        -12.8399         -9.2377       -5.535313        4.579868
     2334.01497      2334.00713       1950.0982          4.4676         12.2149          0.0025        -10.8606         -9.2377      -10.938089        4.467636
     2334.02192      2334.01407       1939.1766          4.5607         12.2210          0.0026        -11.5164         -9.2377       -9.029749        4.560698
     2334.02886      2334.02102       1959.7865          4.3699         12.2095          0.0024        -14.3692         -9.2180       -9.186945        4.369862
     2334.03581      2334.02796       1935.6895          3.7544         12.2229          0.0021         -0.0138         -9.1869       -9.237689        3.754358
     2334.04275      2334.03491       1942.9532          3.6877         12.2188          0.0021          1.2655         -9.0297       -0.343255        3.687735
     2334.04970      2334.04185       1971.6661          4.0961         12.2029          0.0023        -13.5727         -9.0297       -8.916216        4.096100
     2334.05664      2334.04880       1974.2455          4.1924         12.2015          0.0023         -6.3546         -8.9162       -4.424723        4.192408
     2334.06358      2334.05574       1947.7973          3.6140         12.2161          0.0020         -0.1935         -8.9162      -10.844338        3.614009
     2334.07053      2334.06268       1944.3041          3.5777         12.2181          0.0020         -3.2725         -8.9162       -3.404089        3.577709
     2334.07747      2334.06963       1937.6829          3.6527         12.2218          0.0020         -1.5807         -9.0297       -5.135787        3.652724
     2334.08442      2334.07657       1944.1885          4.3745         12.2182          0.0024         -5.6932         -8.9162       -9.240793        4.374499
     2334.09136      2334.08352       1943.9604          4.5006         12.2183          0.0025         -9.4967         -8.9162      -14.366774        4.500581
     2334.09831      2334.09046       1942.9573          4.5707         12.2188          0.0026        -15.2899         -8.9162      -10.352520        4.570738
     2334.10525      2334.09741       1935.0021          4.6443         12.2233          0.0026          2.9907         -8.9162      -21.521739        4.644271
     2334.11220      2334.10435       1929.5351          4.7181         12.2264          0.0027          5.8213         -8.8972      -20.462624        4.718137
     2334.11914      2334.11130       1929.0341          4.5604         12.2267          0.0026          1.9818         -8.8972      -16.796915        4.560386
     2334.12609      2334.11824       1945.7906          4.6126         12.2173          0.0026        -14.9724         -8.8859       -7.848028        4.612561
     2334.13303      2334.12518       1959.0630          4.4555         12.2099          0.0025         -5.5621         -8.8972      -11.866755        4.455500
     2334.13998      2334.13213       1939.7149          4.3495         12.2207          0.0024         -4.8540         -8.9162      -17.414978        4.349540
     2334.14692      2334.13907       1960.0831          4.2249         12.2093          0.0023        -11.2125         -8.9745      -10.671733        4.224925
     2334.15386      2334.14602       1967.4718          4.1163         12.2052          0.0023        -12.3048         -9.0297       -8.897163        4.116316
     2334.16081      2334.15296       1971.2140          4.0779         12.2032          0.0022        -10.2992         -9.1869       -4.519557        4.077913
     2334.16775      2334.15991       1977.9855          4.0337         12.1994          0.0022        -10.9059         -9.1869       -5.736417        4.033725
     2334.17470      2334.16685       1966.1874          3.5720         12.2059          0.0020         -8.1405         -9.1869       -7.520585        3.571995
     2334.18164      2334.17380       1963.4253          4.0281         12.2075          0.0022        -13.5431         -9.2180      -11.622512        4.028146
