# reference_flux:       -106.3324
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2361.77959      2361.77099        -47.5746          3.2069         17.9820         99.9000          6.3763         -4.6131       -7.798806        3.206914
     2361.78653      2361.77793        -50.4652          3.1998         17.9844         99.9000         10.7518         -4.6131       -4.613070        3.199809
     2361.79348      2361.78488        -57.3510          3.2034         17.9832         99.9000          9.6719         -4.6131       -6.442871        3.203351
     2361.80042      2361.79182        -55.5646          3.1822         17.9904         99.9000          5.2559         -4.5234       -2.935951        3.182201
     2361.80737      2361.79877        -59.8811          3.1885         17.9882         99.9000          5.8573         -4.6131       -2.069440        3.188499
     2361.81431      2361.80571        -64.4003          3.1970         17.9854         99.9000          7.9902         -4.6131       -7.654512        3.196970
     2361.82126      2361.81265        -61.0745          3.1965         17.9855         99.9000          3.5091         -4.6131       -4.828743        3.196477
     2361.82820      2361.81960        -52.0354          3.1909         17.9874         99.9000          8.1033         -4.5234       -1.549570        3.190870
     2361.83514      2361.82654        -59.0588          3.1871         17.9887         99.9000          8.2799         -4.5234       -5.610216        3.187133
     2361.84209      2361.83349        -52.7028          3.1929         17.9867         99.9000         10.6376         -4.5234       -5.928021        3.192915
     2361.84903      2361.84043        -52.0944          3.1886         17.9882         99.9000         11.9445         -4.5234       -3.911033        3.188637
     2361.85598      2361.84738        -54.7421          3.1880         17.9884         99.9000          1.3384         -4.6131       -3.074623        3.188050
     2361.86292      2361.85432        -59.0665          3.1846         17.9896         99.9000          3.5021         -4.6131       -3.232988        3.184571
     2361.86987      2361.86127        -51.9801          3.1822         17.9904         99.9000          4.7782         -4.6131       -2.337657        3.182213
     2361.87681      2361.86821        -56.4561          3.1854         17.9893         99.9000          7.6227         -4.6131       -5.314992        3.185396
     2361.88376      2361.87515        -53.4560          3.1662         17.9959         99.9000          7.6466         -4.6131       -4.523359        3.166202
     2361.89070      2361.88210        -51.9210          3.1803         17.9910         99.9000          6.7394         -4.5234       -5.766950        3.180286
     2361.89765      2361.88904        -48.6228          3.1946         17.9862         99.9000          7.5351         -4.6131       -6.766334        3.194570
     2361.90459      2361.89599        -50.6335          3.1812         17.9907         99.9000          1.0520         -4.5234       -3.773106        3.181194
     2361.91154      2361.90293        -51.3355          3.1828         17.9902         99.9000          3.6604         -4.5234       -2.370181        3.182758
     2361.91848      2361.90988        -53.1883          3.1723         17.9938         99.9000          8.3383         -4.6131       -2.379024        3.172263
     2361.92543      2361.91682        -52.4190          3.1815         17.9906         99.9000          0.4620         -4.6131       -6.599783        3.181480
     2361.93237      2361.92377        -53.4469          3.1645         17.9964         99.9000          8.0165         -4.5234       -4.695099        3.164522
     2361.93931      2361.93071        -51.6128          3.1841         17.9897         99.9000          5.7272         -4.5234       -4.163730        3.184126
     2361.94626      2361.93765        -63.3998          3.1596         17.9981         99.9000         -0.9628         -4.5234       -9.104771        3.159612
     2361.95320      2361.94460        -52.4601          3.1517         18.0008         99.9000          0.6096         -4.5234        1.777180        3.151740
     2361.96015      2361.95154        -57.3167          3.1524         18.0006         99.9000         -3.1786         -4.5234       -3.544606        3.152377
     2361.96709      2361.95849        -54.6371          3.1547         17.9998         99.9000          4.1244         -4.5234       -6.721017        3.154663
     2361.97404      2361.96543        -45.5943          3.1481         18.0021         99.9000         -6.9423         -4.5393       -1.380584        3.148109
     2361.98098      2361.97238        -43.9461          3.1516         18.0009         99.9000         -1.4426         -4.6951       -4.010580        3.151646
     2361.98793      2361.97932        -52.6944          3.1410         18.0045         99.9000          0.3152         -4.5393       -4.295482        3.140998
     2361.99487      2361.98627        -47.9166          3.1477         18.0022         99.9000         -3.7010         -4.5234       -3.535005        3.147717
     2362.00182      2361.99321        -43.6936          3.1564         17.9992         99.9000         -2.5249         -4.5234       -5.096537        3.156365
     2362.00876      2362.00015        -49.0403          3.1557         17.9995         99.9000        -11.5219         -4.5234       -5.868559        3.155707
     2362.01571      2362.00710        -47.9611          3.1690         17.9949         99.9000         -4.3453         -4.3168       -9.334736        3.169019
     2362.02265      2362.01404        -45.7961          3.1560         17.9994         99.9000         -7.8273         -4.4603        1.998872        3.155967
     2362.02959      2362.02099        -48.2830          3.1557         17.9995         99.9000         -5.6693         -4.4603       -5.252597        3.155675
     2362.03654      2362.02793        -55.7957          3.1644         17.9965         99.9000         -6.3975         -4.5234        3.155184        3.164372
     2362.04348      2362.03488        -53.7166          3.1645         17.9964         99.9000         -3.5517         -4.5234       -2.214742        3.164475
     2362.05043      2362.04182        -50.8138          3.1545         17.9999         99.9000         -1.3497         -4.4603       -1.358867        3.154520
     2362.05737      2362.04877        -46.5130          3.1549         17.9997         99.9000         -0.9046         -4.3168       -4.987201        3.154907
     2362.06432      2362.05571        -61.2389          3.1594         17.9982         99.9000          4.0517         -4.2955       -2.436567        3.159418
     2362.07126      2362.06265        -44.1609          3.1539         18.0001         99.9000          1.1817         -4.1637       -6.752539        3.153899
     2362.07821      2362.06960        -39.0984          3.1694         17.9948         99.9000         -0.4195         -4.1637      -10.356680        3.169367
     2362.08515      2362.07654        -55.9541          3.1711         17.9942         99.9000         -1.0592         -4.1637        0.627291        3.171103
     2362.09210      2362.08349        -47.0596          3.1779         17.9918         99.9000         -0.4620         -4.1637        0.209844        3.177912
     2362.09904      2362.09043        -56.3133          3.1789         17.9915         99.9000          0.9617         -4.0106       -4.539290        3.178871
     2362.10598      2362.09738        -59.3726          3.1793         17.9914         99.9000          0.0837         -3.5446       -6.599969        3.179271
     2362.11293      2362.10432        -53.3649          3.1912         17.9873         99.9000         -0.4068         -3.5350       -5.643679        3.191164
     2362.11987      2362.11127        -50.7640          3.1870         17.9888         99.9000         -2.7909         -3.4062       -4.938768        3.186957
     2362.12682      2362.11821        -55.5378          3.1795         17.9913         99.9000         -0.5516         -3.4062       -6.709486        3.179496
     2362.13376      2362.12515        -54.9783          3.1780         17.9918         99.9000         -0.5783         -3.0892      -11.536350        3.178031
     2362.14071      2362.13210        -61.2221          3.1792         17.9914         99.9000         -1.5784         -3.0892      -11.593503        3.179245
     2362.14765      2362.13904        -56.7432          3.1866         17.9889         99.9000         -4.9977         -3.4062       -2.272685        3.186586
     2362.15460      2362.14599        -49.9820          3.1951         17.9860         99.9000         -6.6188         -3.4062       -3.089200        3.195072
     2362.16154      2362.15293        -57.5998          3.1836         17.9899         99.9000         -9.9288         -3.0892       -4.316832        3.183615
     2362.16849      2362.15988        -54.6417          3.1737         17.9933         99.9000         -2.7917         -2.4366       -8.656775        3.173682
     2362.17543      2362.16682        -55.4116          3.1870         17.9887         99.9000         -4.6077         -2.3145       -2.314484        3.187010
     2362.18238      2362.17377        -49.1752          3.1736         17.9933         99.9000         -1.0370         -2.2727       -4.460256        3.173637
     2362.18932      2362.18071        -41.5527          3.1798         17.9912         99.9000         -6.5669         -2.2727        0.886299        3.179751
     2362.19627      2362.18765        -57.9984          3.1884         17.9883         99.9000         -1.0901         -2.2727       -5.289078        3.188388
     2362.20321      2362.19460        -47.7674          3.1967         17.9854         99.9000         -3.2087         -2.2727        1.721911        3.196698
     2362.21015      2362.20154        -48.1279          3.1890         17.9881         99.9000         -4.3988         -2.2727        3.223139        3.188996
     2362.21710      2362.20849        -51.3971          3.1922         17.9870         99.9000         -2.3329         -2.2727        1.279763        3.192150
     2362.22404      2362.21543        -51.0298          3.1972         17.9853         99.9000          1.8030         -2.3145       -0.404070        3.197189
     2362.23099      2362.22238        -49.0686          3.1921         17.9870         99.9000          6.2399         -2.2727        3.091909        3.192115
     2362.23793      2362.22932        -59.5117          3.1917         17.9872         99.9000          5.8944         -2.2727       -0.952691        3.191656
     2362.24488      2362.23627        -62.4054          3.1948         17.9861         99.9000          6.0507         -2.1091        1.297586        3.194774
     2362.25182      2362.24321        -45.2703          3.1982         17.9849         99.9000         -2.1279         -1.7149        4.784544        3.198151
     2362.25877      2362.25015        -57.0883          3.2064         17.9822         99.9000          4.8326         -1.7149        0.292180        3.206379
     2362.26571      2362.25710        -46.7004          3.2025         17.9835         99.9000         -1.6714         -2.1091       -1.212956        3.202464
     2362.27266      2362.26404        -58.1173          3.2021         17.9836         99.9000          1.0908         -1.7149        2.360431        3.202091
     2362.27960      2362.27099        -59.1815          3.2013         17.9839         99.9000          3.4019         -1.7149       -3.406160        3.201267
     2362.28655      2362.27793        -58.6815          3.2053         17.9825         99.9000          5.1521         -1.7149        3.356609        3.205338
     2362.29349      2362.28488        -49.8377          3.2101         17.9809         99.9000          8.4664         -1.7149        1.615197        3.210096
     2362.30044      2362.29182        -69.6795          3.2030         17.9833         99.9000          1.5583         -1.7149       -6.278842        3.203011
     2362.30738      2362.29877        -53.3038          3.2068         17.9820         99.9000          1.4272         -1.7149       -5.997098        3.206830
     2362.31432      2362.30571        -51.0199          3.2006         17.9841         99.9000         -2.3119         -1.6615       -6.701648        3.200567
     2362.32127      2362.31265        -47.3690          3.1929         17.9867         99.9000          3.7044         -1.5376       -2.109110        3.192939
     2362.32821      2362.31960        -57.3634          3.1086         18.0158         99.9000          4.9284         -1.5376        7.735709        3.108604
     2362.33516      2362.32654        -59.5297          3.1963         17.9856         99.9000          1.3585         -1.5376        5.873987        3.196326
     2362.34210      2362.33349        -45.2308          3.1198         18.0119         99.9000          1.1957         -1.5376       -1.661494        3.119812
     2362.34905      2362.34043        -50.4760          3.1966         17.9855         99.9000         -3.5465         -1.5376       -5.556264        3.196595
     2362.35599      2362.34738        -50.7769          3.1934         17.9866         99.9000          2.0134         -1.3764       -1.714940        3.193359
     2362.36294      2362.35432        -55.7406          3.1171         18.0128         99.9000          3.3318         -1.5376       -2.316745        3.117069
     2362.36988      2362.36127        -54.1693          3.1256         18.0099         99.9000          4.3398         -1.5376       -1.265468        3.125587
     2362.37683      2362.36821        -54.4574          3.1206         18.0116         99.9000          3.8698         -1.6615       -1.376407        3.120574
     2362.38377      2362.37515        -56.0549          3.2066         17.9821         99.9000          3.2739         -1.7149       -2.453346        3.206606
     2362.39071      2362.38210        -54.6266          3.2010         17.9840         99.9000         -2.9359         -1.8717       -1.537578        3.200967
     2362.39766      2362.38904        -57.8099          3.1087         18.0157         99.9000          2.7118         -2.1091       -4.105184        3.108723
     2362.40460      2362.39599        -50.3489          3.1837         17.9899         99.9000         -3.2286         -2.3167        1.174380        3.183728
     2362.41155      2362.40293        -50.7062          3.1062         18.0166         99.9000          3.2019         -2.4533       -0.965862        3.106159
     2362.41849      2362.40988        -58.1439          3.0979         18.0195         99.9000          4.1516         -3.0897       -0.871098        3.097941
     2362.42544      2362.41682        -58.0933          3.0992         18.0191         99.9000          7.0767         -3.1161       -9.187756        3.099234
     2362.43238      2362.42377        -51.9458          3.0910         18.0220         99.9000          2.9855         -3.4062        1.275949        3.090994
     2362.43933      2362.43071        -49.5521          3.0989         18.0192         99.9000          5.6945         -3.4062       -7.911555        3.098941
     2362.44627      2362.43765        -55.9219          3.1003         18.0187         99.9000          3.7546         -3.9172       -1.871730        3.100306
     2362.45322      2362.44460        -59.1266          3.1032         18.0177         99.9000          4.0299         -4.0466       -3.116111        3.103248
     2362.46016      2362.45154        -51.4939          3.1038         18.0175         99.9000          1.7699         -4.1052       -5.284242        3.103797
     2362.46711      2362.45849        -55.9941          3.1034         18.0176         99.9000          2.1143         -4.2323       -3.089733        3.103376
     2362.47405      2362.46543        -53.9574          3.1029         18.0178         99.9000          3.4191         -4.2323       -1.179477        3.102900
     2362.48099      2362.47238        -52.6253          3.1062         18.0166         99.9000          3.6240         -4.2323       -0.695550        3.106174
     2362.48794      2362.47932        -50.5275          3.1157         18.0133         99.9000          3.8798         -4.1052       -7.728411        3.115726
     2362.49488      2362.48627        -49.2585          3.1168         18.0129         99.9000          2.9156         -4.1052      -11.739322        3.116788
     2362.50183      2362.49321        -47.9542          3.1198         18.0119         99.9000          2.2739         -4.2323       -3.917194        3.119839
     2362.50877      2362.50015        -50.7636          3.1181         18.0125         99.9000          3.2105         -4.2323       -6.864702        3.118123
     2362.51572      2362.50710        -44.3450          3.0988         18.0192         99.9000          6.5992         -4.2323        2.399689        3.098812
     2362.52266      2362.51404        -43.9211          3.1045         18.0172         99.9000          1.1321         -4.2323       -4.232275        3.104509
     2362.52961      2362.52099        -58.5551          3.1061         18.0166         99.9000          3.9975         -4.2434       -4.616148        3.106126
     2362.53655      2362.52793        -47.4374          3.1079         18.0160         99.9000          0.6082         -4.3677       -5.272767        3.107857
     2362.54350      2362.53488        -52.1096          3.1186         18.0123         99.9000          6.4906         -4.3677       -4.046605        3.118568
     2362.55044      2362.54182        -59.7385          3.1093         18.0155         99.9000         -4.8425         -4.3677       -5.886727        3.109309
     2362.55739      2362.54877        -52.7679          3.1213         18.0113         99.9000          0.0688         -4.3677      -10.291892        3.121328
     2362.56433      2362.55571        -48.0797          3.1152         18.0135         99.9000          1.3843         -4.3677       -5.169413        3.115232
     2362.57128      2362.56265        -48.7792          3.1070         18.0164         99.9000         -1.4478         -4.6161       -7.645839        3.106955
     2362.57822      2362.56960        -52.3346          3.1032         18.0177         99.9000          2.1618         -4.6161       -6.431691        3.103214
     2362.58516      2362.57654        -54.2314          3.1006         18.0186         99.9000         -3.1053         -4.6161       -4.243407        3.100569
     2362.59211      2362.58349        -50.3499          3.1105         18.0151         99.9000         -6.4342         -4.6161      -10.825104        3.110537
     2362.59905      2362.59043        -53.4932          3.1094         18.0155         99.9000         -5.3883         -4.3677       -2.154671        3.109379
     2362.60600      2362.59738        -44.6592          3.1136         18.0140         99.9000         -5.0087         -4.6161       -4.883539        3.113610
     2362.61294      2362.60432        -43.2596          3.1080         18.0160         99.9000         -6.8637         -4.3677       -6.693519        3.108018
     2362.61989      2362.61127        -45.8320          3.1004         18.0187         99.9000         -2.6423         -4.3677       -6.035064        3.100379
     2362.62683      2362.61821        -54.7703          3.1015         18.0183         99.9000         -2.0930         -4.3677      -10.704828        3.101535
     2362.63378      2362.62515        -56.3793          3.1482         18.0021         99.9000         -4.1723         -4.2434       -7.639220        3.148158
     2362.64072      2362.63210        -47.3042          3.1390         18.0052         99.9000          1.6176         -4.2434       -5.850461        3.138960
     2362.64767      2362.63904        -51.5132          3.1238         18.0105         99.9000         -1.6457         -4.2434       -2.891589        3.123841
     2362.65461      2362.64599        -56.3815          3.1288         18.0088         99.9000         -0.1225         -4.2434       -3.638832        3.128782
     2362.66156      2362.65293        -50.3716          3.1062         18.0166         99.9000          2.6170         -4.2323       -5.563670        3.106182
     2362.66850      2362.65988        -35.8259          3.1073         18.0162         99.9000         -5.0066         -4.0820       -0.647047        3.107285
     2362.67544      2362.66682        -44.1265          3.1099         18.0153         99.9000         -3.2055         -4.0820        0.512789        3.109921
     2362.68239      2362.67377        -41.2668          3.0931         18.0212         99.9000         -6.8871         -4.0820       -6.018385        3.093102
     2362.68933      2362.68071        -47.0389          3.0892         18.0226         99.9000         -4.9539         -4.0820      -12.918445        3.089181
     2362.69628      2362.68765        -46.5196          3.0948         18.0206         99.9000         -4.5507         -4.0466       -4.367715        3.094766
     2362.70322      2362.69460        -46.3266          3.0962         18.0201         99.9000         -1.7998         -3.8548       -0.559633        3.096169
     2362.71017      2362.70154        -47.9159          3.1011         18.0184         99.9000         -1.0962         -3.6388       -1.860486        3.101101
     2362.71711      2362.70849        -54.3839          3.0956         18.0203         99.9000          1.5661         -3.5950       -4.082002        3.095574
     2362.72406      2362.71543        -58.0564          3.0981         18.0194         99.9000          9.3957         -3.5950       -0.910379        3.098124
     2362.73100      2362.72238        -51.8583          3.1107         18.0150         99.9000         -1.8778         -3.4960       -6.209681        3.110708
     2362.73795      2362.72932        -52.2577          3.0967         18.0199         99.9000          0.0803         -2.8916       -1.531670        3.096698
     2362.74489      2362.73627        -53.0763          3.0978         18.0196         99.9000          4.3338         -2.8916        0.487487        3.097765
     2362.75183      2362.74321        -43.7624          3.1071         18.0163         99.9000          2.5394         -2.8416        1.860065        3.107142
     2362.75878      2362.75015        -50.3215          3.1091         18.0156         99.9000         -3.7691         -2.8416       -0.054887        3.109142
     2362.76572      2362.75710        -61.7292          3.1069         18.0164         99.9000          1.2020         -2.7360       -4.740412        3.106870
     2362.77267      2362.76404        -53.7905          3.1060         18.0167         99.9000         -0.5862         -2.8416       -1.042246        3.105961
     2362.77961      2362.77099        -48.5910          3.1105         18.0151         99.9000          2.1140         -2.7360       -3.594986        3.110536
     2362.78656      2362.77793        -55.5946          3.0902         18.0222         99.9000          1.1457         -2.6451       -2.115516        3.090177
     2362.79350      2362.78488        -53.0040          3.1004         18.0186         99.9000         -5.6548         -2.6451       -1.966194        3.100432
     2362.80045      2362.79182        -48.9908          3.1011         18.0184         99.9000          3.3316         -2.3021       -1.390730        3.101129
     2362.80739      2362.79877        -56.5212          3.0998         18.0189         99.9000          2.2573         -2.2800        1.259058        3.099834
     2362.81434      2362.80571        -52.4498          3.1082         18.0159         99.9000          0.4330         -2.1666       -0.285889        3.108160
     2362.82128      2362.81265        -48.0509          3.1029         18.0178         99.9000         -3.2409         -2.1155       -3.496043        3.102854
     2362.82823      2362.81960        -53.4212          3.0984         18.0194         99.9000         -1.1373         -1.9662       -2.645083        3.098379
     2362.83517      2362.82654        -49.6001          3.1024         18.0180         99.9000          1.5590         -1.8605       -3.854764        3.102404
     2362.84212      2362.83349        -53.3033          3.0884         18.0229         99.9000         -2.1583         -1.8605       -5.776586        3.088406
     2362.84906      2362.84043        -58.2770          3.0925         18.0214         99.9000          2.2471         -1.8605       -2.735998        3.092544
     2362.85600      2362.84738        -51.6836          3.1039         18.0174         99.9000          2.7871         -1.8605       -0.573314        3.103867
     2362.86295      2362.85432        -54.3751          3.0918         18.0217         99.9000          4.4084         -1.8605        2.230263        3.091765
     2362.86989      2362.86127        -48.5470          3.0818         18.0252         99.9000          0.2705         -1.8073        3.363276        3.081780
     2362.87684      2362.86821        -56.1760          3.0888         18.0227         99.9000          0.7133         -1.8073       -2.302142        3.088806
     2362.88378      2362.87515        -59.7646          3.0855         18.0239         99.9000          5.9360         -1.5317       -4.346052        3.085487
     2362.89073      2362.88210        -54.3842          3.0809         18.0255         99.9000          1.7601         -1.3907       -2.279993        3.080912
     2362.89767      2362.88904        -41.6131          3.0809         18.0255         99.9000         -0.0040         -1.3907       -1.052268        3.080910
     2362.90462      2362.89599        -53.0529          3.0694         18.0296         99.9000          4.1222         -1.2561       -3.026275        3.069358
     2362.91156      2362.90293        -52.6958          3.0852         18.0240         99.9000          0.5004         -1.0523       -2.841598        3.085169
     2362.91851      2362.90988        -48.2405          3.0878         18.0231         99.9000         -0.0743         -1.2561       -3.717347        3.087768
     2362.92545      2362.91682        -57.9987          3.0699         18.0294         99.9000          2.0204         -1.3907       -2.166621        3.069918
     2362.93240      2362.92377        -55.2088          3.0665         18.0306         99.9000          4.2782         -1.8073       -5.488552        3.066543
     2362.93934      2362.93071        -52.1597          3.0847         18.0242         99.9000          1.5625         -1.8073       -1.256106        3.084671
     2362.94628      2362.93765        -51.7479          3.0709         18.0290         99.9000          0.1056         -1.9544       -0.380389        3.070855
     2362.95323      2362.94460        -41.5209          3.0798         18.0259         99.9000         -6.6782         -1.8073       -5.324977        3.079813
     2362.96017      2362.95154        -39.2767          3.0717         18.0288         99.9000         -4.3232         -1.3907       -1.807296        3.071662
     2362.96712      2362.95849        -48.9895          3.0645         18.0313         99.9000          3.8140         -1.3907        2.134514        3.064456
     2362.97406      2362.96543        -47.2041          3.0602         18.0328         99.9000         -2.2463         -1.2561        2.769541        3.060203
     2362.98101      2362.97238        -46.8281          3.0607         18.0326         99.9000          2.9427         -1.8073        0.242467        3.060691
     2362.98795      2362.97932        -55.3235          3.0648         18.0312         99.9000          4.0577         -1.8073        0.059960        3.064764
     2362.99490      2362.98627        -47.6020          3.0566         18.0341         99.9000          2.7074         -1.8073        1.268165        3.056554
     2363.00184      2362.99321        -40.8368          3.0533         18.0353         99.9000         -2.0700         -1.8073        1.384170        3.053302
     2363.00879      2363.00015        -51.4494          3.0452         18.0381         99.9000          2.4727         -1.6686        2.564438        3.045247
     2363.01573      2363.00710        -51.2621          3.0481         18.0371         99.9000          1.6792         -1.2561       -2.775029        3.048057
     2363.02268      2363.01404        -44.8546          3.0515         18.0359         99.9000          3.9712         -1.0523       -2.265128        3.051471
     2363.02962      2363.02099        -49.2496          3.0441         18.0386         99.9000          2.3646         -1.2561        1.163992        3.044094
     2363.03656      2363.02793        -41.1694          3.0325         18.0427         99.9000         -0.7505         -1.2561        2.743356        3.032494
     2363.04351      2363.03488        -59.2454          3.0442         18.0385         99.9000          4.4461         -1.2561       -0.687380        3.044159
     2363.05045      2363.04182        -50.4848          3.0374         18.0410         99.9000         -1.6893         -1.0523       -0.027294        3.037375
     2363.05740      2363.04877        -49.2463          3.0455         18.0381         99.9000          7.4120         -1.0523        0.909378        3.045460
     2363.06434      2363.05571        -51.9713          3.0590         18.0332         99.9000          7.2181         -0.7748       -0.747583        3.059048
     2363.07129      2363.06265        -52.8092          3.0516         18.0359         99.9000         -0.7062         -0.7476       -0.604617        3.051598
     2363.07823      2363.06960        -48.8616          3.0527         18.0355         99.9000          6.6746         -0.6874       -3.313487        3.052727
     2363.08518      2363.07654        -42.2011          3.0387         18.0405         99.9000          4.2173         -0.6874       -3.463836        3.038670
     2363.09212      2363.08349        -51.2677          3.0392         18.0403         99.9000         -0.2003         -0.6874       -1.954364        3.039227
     2363.09907      2363.09043        -58.7248          3.0327         18.0426         99.9000          3.5303         -0.6855       -4.068260        3.032714
     2363.10601      2363.09738        -53.7332          3.0392         18.0403         99.9000          3.8860         -0.6046       -2.818160        3.039219
     2363.11296      2363.10432        -53.7343          3.0268         18.0447         99.9000          2.2721         -0.6046       -0.148371        3.026828
     2363.11990      2363.11127        -42.3614          3.0314         18.0431         99.9000          3.4861         -0.6855        1.201636        3.031410
     2363.12684      2363.11821        -44.7564          3.0374         18.0409         99.9000         -3.1510         -0.6855       -3.236067        3.037404
     2363.13379      2363.12515        -45.3111          3.0393         18.0403         99.9000          3.4499         -0.6855        0.337219        3.039271
     2363.14073      2363.13210        -46.1426          3.0368         18.0412         99.9000          2.2197         -0.6855       -2.516892        3.036755
     2363.14768      2363.13904        -45.4607          3.0292         18.0439         99.9000          5.4182         -0.6855       -1.668569        3.029233
     2363.15462      2363.14599        -50.7617          3.0457         18.0380         99.9000         -1.5387         -0.6855       -5.840026        3.045697
     2363.16157      2363.15293        -45.5852          3.0239         18.0458         99.9000          4.4126         -0.6874       -2.345861        3.023932
     2363.16851      2363.15988        -49.7876          3.0413         18.0396         99.9000          5.0524         -0.6874       -0.369838        3.041271
     2363.17546      2363.16682        -51.5571          3.0454         18.0381         99.9000          6.0670         -0.6874       -0.391923        3.045365
     2363.18240      2363.17377        -56.9814          3.0428         18.0390         99.9000          5.7947         -0.7476        0.060740        3.042842
     2363.18935      2363.18071        -51.6158          3.0418         18.0394         99.9000          0.4533         -0.7476       -3.269134        3.041768
     2363.19629      2363.18765        -51.4196          3.0528         18.0355         99.9000          2.9168         -0.7476       -0.685466        3.052793
     2363.20324      2363.19460        -51.4743          3.0586         18.0334         99.9000          1.8221         -0.7606        1.008541        3.058631
     2363.21018      2363.20154        -47.7646          3.0615         18.0324         99.9000          1.9508         -0.7748       -0.774795        3.061507
     2363.21712      2363.20849        -57.4312          3.0664         18.0306         99.9000         -0.8392         -1.6686       -3.023035        3.066439
     2363.22407      2363.21543        -40.8695          3.0486         18.0369         99.9000          3.5257         -1.6686        2.397621        3.048592
     2363.23101      2363.22238        -54.2529          3.0604         18.0327         99.9000         -0.9947         -1.6686        1.688658        3.060419
     2363.23796      2363.22932        -53.5040          3.0388         18.0404         99.9000          0.9993         -1.7303        1.635188        3.038816
     2363.24490      2363.23627        -49.0551          3.0465         18.0377         99.9000          0.1513         -1.7303       -0.760595        3.046489
     2363.25185      2363.24321        -48.7007          3.0383         18.0406         99.9000          1.2973         -1.7303       -2.116550        3.038322
     2363.25879      2363.25015        -49.6668          3.0441         18.0385         99.9000         -4.3071         -1.6686        3.272405        3.044136
     2363.26574      2363.25710        -43.2705          3.0419         18.0393         99.9000         -2.0310         -1.6686        2.551074        3.041910
