# reference_flux:        -43.8398
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2361.77689      2361.77099         -4.7167          1.3456         18.9249         99.9000         -2.3429         -0.7139       -1.565293        1.345635
     2361.78384      2361.77794         -3.3659          1.3716         18.9041         99.9000         -0.8762         -0.7139       -3.393412        1.371641
     2361.79078      2361.78488         -1.5824          1.3454         18.9251         99.9000         -0.0482         -0.7139       -0.390370        1.345361
     2361.79772      2361.79183         -0.2150          1.3683         18.9067         99.9000          2.5770         -0.7139       -0.036039        1.368295
     2361.80467      2361.79877         -0.7081          1.3480         18.9229         99.9000          0.2020         -0.7139        0.870799        1.348046
     2361.81161      2361.80572          0.8346          1.3614         18.9122         99.9000          0.5167         -0.7139       -0.713852        1.361387
     2361.81856      2361.81266         -1.7156          1.3301         18.9375         99.9000         -0.1582         -0.7139       -2.567517        1.330127
     2361.82550      2361.81960        -10.0411          1.3421         18.9278         99.9000          2.5867         -0.7139       -1.178158        1.342062
     2361.83245      2361.82655         -2.3866          1.4085         18.8753         99.9000          0.1892         -0.7139        1.838799        1.408468
     2361.83939      2361.83349         -2.8430          1.3598         18.9135         99.9000         -0.5564         -0.7139       -2.783183        1.359789
     2361.84634      2361.84044          0.7709          1.3525         18.9193         99.9000          0.4414         -0.7139        2.394140        1.352532
     2361.85328      2361.84738         -2.0355          1.3602         18.9132         99.9000         -0.9004         -0.5066       -1.661274        1.360220
     2361.86022      2361.85433          0.3997          1.3933         18.8871         99.9000          1.7531         -0.5066       -0.800020        1.393323
     2361.86717      2361.86127         -2.3848          1.3608         18.9127         99.9000          2.6286         -0.3904       -1.853890        1.360837
     2361.87411      2361.86822          0.2395          1.4178         18.8682         99.9000          3.7993         -0.5066        1.503863        1.417764
     2361.88106      2361.87516         -0.1310          1.4433         18.8488         99.9000          1.9668         -0.5066        1.256674        1.443282
     2361.88800      2361.88210         -2.3251          1.3750         18.9014         99.9000         -0.0240         -0.7139        1.753066        1.375036
     2361.89495      2361.88905          2.6412          1.3981         18.8833         99.9000          0.5782         -0.7139       -0.365050        1.398126
     2361.90189      2361.89599         -2.1478          1.4032         18.8794         99.9000         -0.0225         -0.7139       -1.493911        1.403152
     2361.90884      2361.90294         -1.3522          1.3855         18.8932         99.9000         -0.2309         -0.7139       -2.522784        1.385525
     2361.91578      2361.90988         -4.7318          1.3475         18.9233         99.9000          0.4592         -0.7139       -0.506558        1.347545
     2361.92273      2361.91683         -0.4058          1.3917         18.8884         99.9000          0.0422         -0.7139       -1.917188        1.391651
     2361.92967      2361.92377         -2.3012          1.3521         18.9197         99.9000          0.2457         -0.7139        0.311850        1.352116
     2361.93661      2361.93072          4.0347          1.3532         18.9188         99.9000          1.4263         -0.7139        2.330561        1.353204
     2361.94356      2361.93766         -0.5193          1.3865         18.8924         99.9000          1.0157         -0.5066        0.729217        1.386484
     2361.95050      2361.94460         -5.1467          1.3880         18.8912         99.9000         -1.0515         -0.3904       -1.024339        1.387996
     2361.95745      2361.95155          3.0883          1.4033         18.8793         99.9000         -1.4286         -0.3904        1.939883        1.403300
     2361.96439      2361.95849         -3.7406          1.4334         18.8563         99.9000         -0.2422         -0.5066       -0.160786        1.433435
     2361.97134      2361.96544         -4.7138          1.4239         18.8635         99.9000          2.5000         -0.7139       -0.944233        1.423930
     2361.97828      2361.97238         -2.2385          1.4482         18.8452         99.9000         -0.5082         -0.8000       -3.304717        1.448151
     2361.98523      2361.97933         -0.0145          1.3896         18.8899         99.9000          0.5589         -0.8000        0.464941        1.389638
     2361.99217      2361.98627         -2.8104          1.4453         18.8473         99.9000          1.6813         -0.5066        0.084690        1.445349
     2361.99912      2361.99322         -6.8081          1.4153         18.8701         99.9000         -0.2952         -0.5066        0.097906        1.415303
     2362.00606      2362.00016         -2.2148          1.4144         18.8707         99.9000         -0.6254         -0.8000        1.006770        1.414426
     2362.01300      2362.00710         -4.3008          1.4359         18.8544         99.9000          0.3614         -0.8000       -0.196309        1.435915
     2362.01995      2362.01405         -2.2146          1.4194         18.8669         99.9000         -0.3052         -0.8619       -1.271397        1.419384
     2362.02689      2362.02099         -2.8064          1.4052         18.8778         99.9000          1.3317         -0.8000       -0.324433        1.405250
     2362.03384      2362.02794         -1.2164          1.4010         18.8811         99.9000          0.3508         -0.8619       -1.174553        1.400998
     2362.04078      2362.03488         -5.6272          1.4241         18.8634         99.9000         -0.6871         -0.5066       -4.038632        1.424056
     2362.04773      2362.04183          0.0073          1.4280         18.8604         99.9000          0.7090         -0.5066       -2.683754        1.428011
     2362.05467      2362.04877         -3.4321          1.3981         18.8834         99.9000          0.2159         -0.5066       -3.138100        1.398076
     2362.06161      2362.05571         -5.3646          1.4048         18.8782         99.9000          0.6845         -0.8619       -0.861886        1.404777
     2362.06856      2362.06266         -0.0545          1.3975         18.8838         99.9000         -1.3403         -0.8619       -1.062000        1.397532
     2362.07550      2362.06960         -1.4653          1.3819         18.8960         99.9000         -0.4569         -0.5066        2.831572        1.381894
     2362.08245      2362.07655          4.3008          1.3758         18.8561          0.3473         -2.2081         -0.5066        2.844363        1.375766
     2362.08939      2362.08349         -2.0917          1.3772         18.8997         99.9000          0.0007         -0.5626        0.119065        1.377233
     2362.09634      2362.09044         -6.3069          1.3720         18.9038         99.9000          0.7474         -0.5626       -1.432399        1.371992
     2362.10328      2362.09738         -0.8214          1.3750         18.9015         99.9000         -1.3090         -0.5626        1.842052        1.374983
     2362.11023      2362.10433         -0.7950          1.3810         18.8967         99.9000         -1.2125         -0.5626        1.259886        1.381023
     2362.11717      2362.11127         -2.7426          1.3864         18.8925         99.9000          0.0736         -0.5626       -2.004982        1.386405
     2362.12412      2362.11821         -2.0450          1.3857         18.8930         99.9000         -1.8687         -0.3507       -1.565934        1.385708
     2362.13106      2362.12516         -4.0138          1.3884         18.8909         99.9000          1.0227         -0.3507       -2.382344        1.388417
     2362.13800      2362.13210          1.1057          1.4058         18.8774         99.9000         -0.8153         -0.3507       -1.192747        1.405825
     2362.14495      2362.13905          0.9447          1.3924         18.8878         99.9000          1.0759         -0.3507        2.462670        1.392368
     2362.15189      2362.14599         -0.9019          1.4034         18.8792         99.9000         -1.6386         -0.3244        1.910045        1.403402
     2362.15884      2362.15294          3.0117          1.3756         18.9010         99.9000          0.2165         -0.3244       -2.929510        1.375554
     2362.16578      2362.15988         -0.6325          1.4018         18.8805         99.9000         -2.3164         -0.3244       -2.211865        1.401794
     2362.17273      2362.16683         -3.4139          1.4069         18.8766         99.9000          0.4419         -0.3244       -2.632102        1.406884
     2362.17967      2362.17377         -2.3108          1.4108         18.8735         99.9000          1.1629         -0.3244       -1.380415        1.410795
     2362.18662      2362.18071         -1.0407          1.3915         18.8885         99.9000         -0.7868         -0.3507        1.211610        1.391470
     2362.19356      2362.18766         -1.8932          1.4166         18.8691         99.9000         -1.7461         -0.3244       -2.473923        1.416571
     2362.20050      2362.19460         -1.0093          1.4148         18.8705         99.9000         -0.4768          0.1016        0.898296        1.414777
     2362.20745      2362.20155          1.5697          1.3745         18.9019         99.9000          1.4300          0.1016        3.045849        1.374450
     2362.21439      2362.20849          1.2584          1.3801         18.8975         99.9000          1.3241          0.1016        3.527644        1.380052
     2362.22134      2362.21544         -5.2969          1.4064         18.8769         99.9000          0.6439          0.1016       -1.362246        1.406444
     2362.22828      2362.22238         -0.3410          1.3751         18.9013         99.9000          2.3683          0.1016        3.468392        1.375133
     2362.23523      2362.22933         -6.5520          1.4190         18.8672         99.9000          3.0344          0.1191       -0.350682        1.419046
     2362.24217      2362.23627         -3.9448          1.4144         18.8707         99.9000         -2.3112          0.1191       -0.562566        1.414444
     2362.24912      2362.24321         -5.7559          1.4054         18.8777         99.9000          1.7796          0.1191       -1.314572        1.405383
     2362.25606      2362.25016         -2.4991          1.4450         18.8475         99.9000          0.5189          0.1191       -1.112276        1.444994
     2362.26301      2362.25710         -2.3783          1.3892         18.8903         99.9000          1.5106          0.1283        1.567846        1.389199
     2362.26995      2362.26405          2.3427          1.4061         18.8771         99.9000         -1.1271          0.1283        0.149849        1.406146
     2362.27689      2362.27099         -5.2854          1.4338         18.8559         99.9000         -0.3023          0.1283        0.101642        1.433847
     2362.28384      2362.27794          1.5815          1.4183         18.8678         99.9000         -1.2003          0.1283        1.732250        1.418323
     2362.29078      2362.28488          1.7377          1.4279         18.8605         99.9000         -0.1090          0.1283        0.161903        1.427859
     2362.29773      2362.29183          2.0865          1.3976         18.8837         99.9000         -0.0239          0.1283        0.305935        1.397621
     2362.30467      2362.29877          0.1221          1.4359         18.8544         99.9000         -1.5916          0.1498       -0.376086        1.435894
     2362.31162      2362.30571         -3.0900          1.4261         18.8618         99.9000          0.1035          0.1619        1.248151        1.426081
     2362.31856      2362.31266          2.9331          1.4196         18.8668         99.9000         -0.8601          0.1498        1.656876        1.419606
     2362.32551      2362.31960         -1.1163          1.4255         18.8623         99.9000          1.5728          0.1283        1.808799        1.425536
     2362.33245      2362.32655          3.1225          1.4125         18.8722         99.9000         -0.6606          0.1283        0.956281        1.412521
     2362.33940      2362.33349         -0.3613          1.4219         18.8651         99.9000          1.4295          0.1283        2.357004        1.421861
     2362.34634      2362.34044         -3.1122          1.4034         18.8792         99.9000          0.1158          0.1283       -1.182897        1.403394
     2362.35328      2362.34738         -1.5158          1.4464         18.8465         99.9000         -1.7905          0.1283        2.835167        1.446355
