# reference_flux:        162.9420
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2390.65928      2390.65292        161.0678          1.5104         14.9225          0.0102          4.6012         -0.1009        0.083183        1.510375
     2390.66623      2390.65986        157.1673          1.5043         14.9491          0.0104          5.5311         -0.1009       -1.313804        1.504330
     2390.67317      2390.66681        157.0967          1.5243         14.9496          0.0105          6.0347         -0.1009        2.522190        1.524273
     2390.68012      2390.67375        162.5961          1.5293         14.9122          0.0102          5.7566         -0.1009        4.822116        1.529311
     2390.68706      2390.68070        157.9109          1.5244         14.9440          0.0105          3.4588         -0.3187        0.977265        1.524432
     2390.69401      2390.68764        161.0410          1.5346         14.9227          0.0103          4.8501         -0.3187       -0.099364        1.534623
     2390.70095      2390.69459        162.7833          1.5334         14.9110          0.0102          3.4150         -0.3187       -0.553945        1.533370
     2390.70790      2390.70153        162.9535          1.5313         14.9098          0.0102          3.7446         -0.5539       -1.514231        1.531272
     2390.71484      2390.70847        161.4691          1.5350         14.9198          0.0103          1.6841         -0.5539       -1.889019        1.534953
     2390.72179      2390.71542        164.1659          1.5370         14.9018          0.0102          2.3470         -0.6177       -0.926596        1.536968
     2390.72873      2390.72236        163.1386          1.5360         14.9086          0.0102          0.3936         -0.6177       -2.883530        1.536024
     2390.73567      2390.72931        166.0174          1.5415         14.8896          0.0101         -0.8981         -0.6177       -0.617709        1.541519
     2390.74262      2390.73625        161.2676          1.5452         14.9211          0.0104          0.5554         -0.6177       -1.276458        1.545248
     2390.74956      2390.74320        161.2230          1.5493         14.9214          0.0104          0.8815         -0.6177       -1.524232        1.549342
     2390.75651      2390.75014        162.8949          1.5522         14.9102          0.0103          4.2151         -0.5539        0.831888        1.552215
     2390.76345      2390.75709        166.7520          1.5604         14.8848          0.0102          0.2107         -0.5539        1.983809        1.560363
     2390.77040      2390.76403        158.8452          1.5649         14.9376          0.0107          1.8287         -0.5247        0.941906        1.564919
     2390.77734      2390.77097        164.0666          1.5725         14.9024          0.0104          1.5839         -0.3187        1.030063        1.572510
     2390.78429      2390.77792        164.6921          1.5717         14.8983          0.0104          2.3953         -0.1009        1.475901        1.571701
     2390.79123      2390.78486        157.7089          1.5788         14.9454          0.0109         -1.1787         -0.3187       -2.199567        1.578780
     2390.79818      2390.79181        163.4858          1.5735         14.9063          0.0104          3.9419         -0.3187        0.703543        1.573455
     2390.80512      2390.79875        159.7274          1.5616         14.9316          0.0106         -1.4712         -0.5247       -2.698939        1.561567
     2390.81206      2390.80570        158.8645          1.5607         14.9374          0.0107          0.8042         -0.5247       -0.100928        1.560702
     2390.81901      2390.81264        163.4436          1.5875         14.9066          0.0105          1.7729         -0.5247        0.412353        1.587465
     2390.82595      2390.81959        164.4583          1.5854         14.8999          0.0105          2.7502         -0.5247       -1.255345        1.585351
     2390.83290      2390.82653        165.7607          1.6727         14.8913          0.0110          1.9154         -0.5247        1.558716        1.672692
