# reference_flux:         69.7507
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2390.65923      2390.65292         91.7317          1.2586         15.5337          0.0149         -3.1487          1.2124        1.595800        1.258630
     2390.66617      2390.65986         88.0690          1.2574         15.5779          0.0155         -2.2313          1.2147        1.103901        1.257407
     2390.67312      2390.66681         86.5459          1.2577         15.5969          0.0158         -1.2262          1.2147       -3.394415        1.257668
     2390.68006      2390.67375         89.4803          1.2593         15.5607          0.0153          0.2304          1.2147        0.994225        1.259305
     2390.68701      2390.68070         84.2489          1.2575         15.6261          0.0162          0.8077          1.2147        0.906569        1.257474
     2390.69395      2390.68764         90.8184          1.2610         15.5446          0.0151          0.4587          1.2124        0.291565        1.261026
     2390.70090      2390.69459         88.6527          1.2619         15.5708          0.0155          0.2289          1.2124        1.207487        1.261939
     2390.70784      2390.70153         99.1861          1.2661         15.4489          0.0139         -1.4253          1.2124        3.764056        1.266100
     2390.71479      2390.70847         92.2934          1.2650         15.5271          0.0149         -2.0653          1.2124       -1.085342        1.265007
     2390.72173      2390.71542         88.5823          1.2660         15.5716          0.0155         -1.3281          1.2124        0.997505        1.266010
     2390.72867      2390.72236         92.9190          1.2683         15.5197          0.0148         -2.4339          1.2124        2.947376        1.268339
     2390.73562      2390.72931         96.9660          1.2735         15.4735          0.0143         -0.9166          1.2147        1.212401        1.273537
     2390.74256      2390.73625        102.5233          1.2773         15.4129          0.0135         -3.2915          1.2147        5.387805        1.277291
     2390.74951      2390.74320         97.6977          1.2793         15.4653          0.0142         -3.2521          1.4366        0.309938        1.279328
     2390.75645      2390.75014         97.1583          1.2827         15.4713          0.0143         -3.3777          1.4366        1.617519        1.282689
     2390.76340      2390.75709         97.3950          1.2875         15.4687          0.0144         -1.8019          1.5102        1.436574        1.287490
     2390.77034      2390.76403        102.8616          1.2937         15.4094          0.0137         -2.6141          1.5958        2.457261        1.293668
     2390.77729      2390.77097        102.5034          1.2989         15.4132          0.0138         -1.1805          1.5958       -0.037581        1.298894
     2390.78423      2390.77792        104.8835          1.3048         15.3882          0.0135         -1.2456          1.5958        4.374817        1.304782
     2390.79117      2390.78486        103.7977          1.3093         15.3995          0.0137         -3.5092          1.6175        4.769464        1.309315
     2390.79812      2390.79181        101.0870          1.3143         15.4283          0.0141         -2.5509          1.7074        1.214695        1.314312
     2390.80506      2390.79875         95.9280          1.3186         15.4851          0.0149         -1.3175          1.7074        2.023682        1.318578
     2390.81201      2390.80570        102.7632          1.3280         15.4104          0.0140          1.9398          2.0237        4.329784        1.328032
     2390.81895      2390.81264         94.2847          1.3293         15.5039          0.0153         -2.4122          2.4573       -1.646793        1.329341
     2390.82590      2390.81959        103.0730          1.3378         15.4071          0.0141         -3.7704          2.6225        3.153956        1.337756
     2390.83284      2390.82653         99.6022          1.3433         15.4443          0.0146         -0.0927          2.8038        1.707391        1.343251
     2390.83979      2390.83347        105.4138          1.3514         15.3828          0.0139          0.3748          2.8542        5.172016        1.351387
     2390.84673      2390.84042        101.9618          1.3552         15.4189          0.0144         -1.3231          2.9474        3.387598        1.355221
     2390.85367      2390.84736        101.2751          1.3605         15.4262          0.0146          0.7930          3.1540       -0.133760        1.360458
     2390.86062      2390.85431        104.1325          1.3666         15.3960          0.0142         -0.0221          3.1540        1.171525        1.366607
     2390.86756      2390.86125        102.7810          1.3701         15.4102          0.0145         -2.1156          3.3876        3.768877        1.370114
     2390.87451      2390.86820        102.6084          1.3731         15.4120          0.0145         -3.4450          3.4111        2.622473        1.373126
     2390.88145      2390.87514        104.7374          1.3786         15.3897          0.0143         -0.2246          3.3876        2.803821        1.378645
     2390.88840      2390.88209        108.3722          1.3823         15.3527          0.0138         -3.3962          3.4111        1.510162        1.382307
     2390.89534      2390.88903        108.7298          1.3861         15.3491          0.0138          1.3746          3.4111        3.426479        1.386111
     2390.90229      2390.89597        104.5776          1.3882         15.3914          0.0144          0.1537          3.4265        3.479097        1.388165
     2390.90923      2390.90292        104.2958          1.3894         15.3943          0.0145          0.5942          3.4791        3.938459        1.389382
     2390.91617      2390.90986        100.8381          1.3891         15.4309          0.0150          2.2858          3.4791        4.327739        1.389102
     2390.92312      2390.91681        103.7450          1.3900         15.4001          0.0145         -1.3695          3.5529        5.602919        1.390012
     2390.93006      2390.92375        104.7547          1.3918         15.3896          0.0144         -1.4486          3.6905        3.722282        1.391771
     2390.93701      2390.93070        103.4174          1.3918         15.4035          0.0146         -2.5637          3.7223        2.854225        1.391807
     2390.94395      2390.93764         99.8332          1.3923         15.4418          0.0151         -1.0041          3.7689        3.552911        1.392320
     2390.95090      2390.94459        104.9644          1.3951         15.3874          0.0144         -0.2819          3.8660        5.438992        1.395070
     2390.95784      2390.95153        101.9691          1.3960         15.4188          0.0149          0.8168          3.8660        5.335572        1.395952
     2390.96479      2390.95847         98.1549          1.3949         15.4602          0.0154         -2.5689          3.8660        0.327588        1.394939
     2390.97173      2390.96542        100.8258          1.3974         15.4311          0.0150         -1.4059          3.9385        3.866026        1.397450
     2390.97867      2390.97236         99.6552          1.3988         15.4438          0.0152         -0.0963          4.1145        4.904285        1.398833
     2390.98562      2390.97931         92.7803          1.3997         15.5214          0.0164          0.7775          4.1145        3.411141        1.399659
     2390.99256      2390.98625         97.4575          1.4015         15.4680          0.0156          0.7403          4.3277        3.690465        1.401511
     2390.99951      2390.99320         98.1186          1.4037         15.4606          0.0155         -1.7663          4.4176        5.379908        1.403676
     2391.00645      2391.00014         95.2751          1.4041         15.4926          0.0160         -3.6983          4.9043        5.055549        1.404145
     2391.01340      2391.00709         94.0328          1.4078         15.5068          0.0163         -0.5647          4.9043        4.114511        1.407763
     2391.02034      2391.01403         97.0872          1.4117         15.4721          0.0158         -0.1324          5.0555        1.932716        1.411664
     2391.02729      2391.02097         93.4130          1.4143         15.5140          0.0164          2.3670          5.2542        5.629086        1.414330
     2391.03423      2391.02792         93.3903          1.4181         15.5142          0.0165          1.9252          5.2542        6.351619        1.418125
     2391.04118      2391.03486         93.6879          1.4213         15.5108          0.0165          0.1513          5.3356        0.844723        1.421278
     2391.04812      2391.04181        101.0127          1.4282         15.4291          0.0154          0.5316          5.3799        4.417645        1.428238
     2391.05506      2391.04875        102.2219          1.4324         15.4161          0.0152          0.6928          5.3924        2.473239        1.432445
     2391.06201      2391.05570        100.1328          1.4367         15.4386          0.0156         -0.2775          5.4246        5.455577        1.436721
     2391.06895      2391.06264        103.4326          1.4417         15.4034          0.0151          0.0261          5.4369        5.601004        1.441688
     2391.07590      2391.06959        104.3333          1.4455         15.3939          0.0150         -0.2079          5.4390        6.791892        1.445524
     2391.08284      2391.07653        100.7260          1.4490         15.4321          0.0156          1.9877          5.4390        5.580553        1.449020
     2391.08979      2391.08347        101.0042          1.4519         15.4292          0.0156         -1.5099          5.4390        5.436943        1.451887
     2391.09673      2391.09042        101.2369          1.4556         15.4267          0.0156          0.7333          5.4369        6.643159        1.455616
     2391.10368      2391.09736        103.8304          1.4584         15.3992          0.0153         -3.0513          5.4390        6.522908        1.458426
     2391.11062      2391.10431        105.1741          1.4623         15.3852          0.0151          0.6375          5.4556        5.858718        1.462278
     2391.11756      2391.11125        111.1322          1.4667         15.3254          0.0143          0.1747          5.5806        5.822269        1.466707
     2391.12451      2391.11820        112.4100          1.4693         15.3130          0.0142         -1.4551          5.5806        5.254165        1.469312
     2391.13145      2391.12514        116.4059          1.4728         15.2751          0.0137         -0.8580          5.6010        5.675596        1.472764
     2391.13840      2391.13209        124.6416          1.4771         15.2008          0.0129         -1.8441          5.6291        9.003691        1.477143
     2391.14534      2391.13903        123.1221          1.4786         15.2142          0.0130         -1.4961          5.6376        6.842972        1.478610
     2391.15229      2391.14597        124.3152          1.4809         15.2037          0.0129         -1.3153          5.6376        8.641983        1.480888
     2391.15923      2391.15292        120.4882          1.4803         15.2376          0.0133         -0.9513          5.6376        5.887438        1.480251
     2391.16618      2391.15986        117.9656          1.4799         15.2606          0.0136         -0.1550          5.6756        5.637628        1.479943
     2391.17312      2391.16681        112.1016          1.4782         15.3160          0.0143         -0.2543          5.8223        6.447282        1.478198
     2391.18006      2391.17375        113.2044          1.4797         15.3053          0.0142          3.5118          5.8223        7.136156        1.479715
     2391.18701      2391.18070        103.9128          1.4760         15.3983          0.0154          1.2767          5.8223        5.392434        1.475973
     2391.19395      2391.18764        108.0668          1.4759         15.3558          0.0148         -1.4134          5.8587        3.733941        1.475856
     2391.20090      2391.19459        106.5220          1.4745         15.3714          0.0150         -1.1844          5.8587        5.424635        1.474453
     2391.20784      2391.20153        103.4790          1.4723         15.4029          0.0154         -2.8044          5.8223        5.930239        1.472350
     2391.21479      2391.20847        101.5934          1.4717         15.4228          0.0157          0.9263          5.8223        8.147226        1.471719
     2391.22173      2391.21542         98.4148          1.4689         15.4573          0.0162         -1.3670          5.8223        5.943347        1.468895
     2391.22868      2391.22236        109.1506          1.4716         15.3449          0.0146         -0.1001          5.8223        8.336022        1.471579
     2391.23562      2391.22931        105.6017          1.4704         15.3808          0.0151          2.0305          5.8587        6.217884        1.470357
     2391.24256      2391.23625         98.5142          1.4661         15.4563          0.0162         -4.5254          5.8874        4.117379        1.466066
     2391.24951      2391.24320         97.9375          1.4643         15.4626          0.0162         -3.1496          5.8874        3.270618        1.464289
     2391.25645      2391.25014        105.2673          1.4671         15.3843          0.0151         -1.8736          5.9302        4.517453        1.467142
     2391.26340      2391.25709        104.3553          1.4665         15.3937          0.0153         -0.2235          5.9433        6.089994        1.466472
     2391.27034      2391.26403        106.4728          1.4665         15.3719          0.0150          0.3275          5.9433        6.172371        1.466529
     2391.27729      2391.27097        107.2152          1.4646         15.3644          0.0148         -2.2303          5.9433        5.973656        1.464636
     2391.28423      2391.27792        110.7320          1.4652         15.3293          0.0144         -2.0246          5.9737        5.272746        1.465229
     2391.29118      2391.28486        109.3063          1.4649         15.3434          0.0146         -1.6780          6.0544        6.398620        1.464932
     2391.29812      2391.29181        106.6214          1.4649         15.3704          0.0149          1.2843          6.0722        6.890607        1.464932
     2391.30506      2391.29875        107.3584          1.4657         15.3629          0.0148          0.8784          6.0900       10.000759        1.465731
     2391.31201      2391.30570        104.8395          1.4656         15.3887          0.0152         -0.2599          6.0722        2.664661        1.465590
     2391.31895      2391.31264        106.0698          1.4677         15.3760          0.0150          1.3089          6.0544        5.041852        1.467652
     2391.32590      2391.31959        110.5564          1.4689         15.3310          0.0144         -3.1342          5.9737        6.521324        1.468878
     2391.33284      2391.32653        108.9590          1.4712         15.3468          0.0147         -1.7429          6.0544       10.143376        1.471196
     2391.33979      2391.33347        109.4669          1.4743         15.3418          0.0146          0.9875          6.0544        3.103559        1.474277
     2391.34673      2391.34042        111.3920          1.4764         15.3229          0.0144         -2.8126          6.0544        4.552938        1.476407
     2391.35368      2391.34736        111.6369          1.4795         15.3205          0.0144          0.7289          6.0544        7.338658        1.479529
     2391.36062      2391.35431        111.0953          1.4818         15.3258          0.0145         -1.3578          6.0722        3.950045        1.481793
     2391.36757      2391.36125        109.8932          1.4846         15.3376          0.0147          0.0528          6.0722        2.062686        1.484618
     2391.37451      2391.36820        108.7565          1.4875         15.3489          0.0148          0.0300          6.0900        4.534300        1.487487
     2391.38145      2391.37514        111.5698          1.4905         15.3211          0.0145         -1.3791          6.1724        3.392145        1.490524
     2391.38840      2391.38209        115.0605          1.4950         15.2877          0.0141         -1.3892          6.0900        4.330984        1.495023
     2391.39534      2391.38903        114.6022          1.4974         15.2920          0.0142         -5.2179          6.0900        8.181234        1.497393
     2391.40229      2391.39597        109.6269          1.5008         15.3402          0.0149         -0.2016          6.0722        8.913969        1.500829
     2391.40923      2391.40292        107.2480          1.5033         15.3640          0.0152          0.0706          6.0544        6.072237        1.503298
     2391.41618      2391.40986         98.8031          1.5042         15.4531          0.0165         -1.4525          6.0544        8.404159        1.504207
     2391.42312      2391.41681        100.9830          1.5101         15.4294          0.0162          1.6266          6.0544       10.063340        1.510071
     2391.43007      2391.42375         98.6566          1.5131         15.4547          0.0167          0.4060          6.0544        9.671825        1.513072
     2391.43701      2391.43070         98.3794          1.5138         15.4577          0.0167         -3.3894          5.9737        9.835750        1.513805
     2391.44395      2391.43764        103.8971          1.5207         15.3985          0.0159         -0.0366          5.5338        6.054377        1.520732
     2391.45090      2391.44459        105.8948          1.5241         15.3778          0.0156         -3.1600          5.2727        8.933975        1.524070
     2391.45784      2391.45153        114.3400          1.5304         15.2945          0.0145         -1.5235          5.5338       10.101800        1.530353
     2391.46479      2391.45847        108.5003          1.5315         15.3514          0.0153         -3.5158          5.5338        8.507278        1.531503
     2391.47173      2391.46542         98.9797          1.5342         15.4511          0.0168          0.7093          5.0962        4.274500        1.534242
     2391.47868      2391.47236         97.9199          1.5386         15.4628          0.0171         -0.9434          5.0419        3.855452        1.538566
     2391.48562      2391.47931         95.6434          1.5423         15.4884          0.0175          1.7501          5.0962        5.096185        1.542263
     2391.49257      2391.48625         91.6350          1.5428         15.5348          0.0183         -1.0221          5.0962        7.712844        1.542765
     2391.49951      2391.49320         91.8749          1.5475         15.5320          0.0183          2.9924          5.0962        3.509717        1.547545
     2391.50645      2391.50014         96.9091          1.5501         15.4741          0.0174          0.8654          5.0243        6.177207        1.550065
     2391.51340      2391.50709         95.8643          1.5522         15.4859          0.0176          0.1633          5.0243       10.152074        1.552226
     2391.52034      2391.51403         92.8618          1.5556         15.5204          0.0182          3.8708          5.0243        9.348779        1.555620
     2391.52729      2391.52097         97.2471          1.5593         15.4703          0.0174          0.2955          5.0243        5.024323        1.559251
     2391.53423      2391.52792         94.3312          1.5617         15.5034          0.0180          2.5863          5.0243        6.351992        1.561728
     2391.54118      2391.53486         97.2483          1.5663         15.4703          0.0175          2.3958          5.0243        6.517112        1.566279
     2391.54812      2391.54181         92.0337          1.5682         15.5301          0.0185          2.9290          5.0243        0.661082        1.568187
     2391.55507      2391.54875         91.7708          1.5696         15.5332          0.0186          2.5455          5.0243        5.533783        1.569554
     2391.56201      2391.55570         90.0362          1.5695         15.5540          0.0189         -0.6424          5.0243        3.795065        1.569512
     2391.56895      2391.56264         90.1777          1.5722         15.5523          0.0189          2.6821          5.0243        3.545081        1.572194
     2391.57590      2391.56959         96.2637          1.5749         15.4813          0.0178         -0.0448          5.0243        4.843534        1.574854
     2391.58284      2391.57653         87.3676          1.5755         15.5866          0.0196          4.6249          5.0243        1.169041        1.575506
     2391.58979      2391.58347         87.2910          1.5775         15.5876          0.0196          3.5518          5.0243        3.539094        1.577459
     2391.59673      2391.59042         92.9393          1.5786         15.5195          0.0184         -1.0778          5.0243        4.709835        1.578601
     2391.60368      2391.59736         86.9938          1.5763         15.5913          0.0197          1.7511          4.8591        3.666265        1.576327
     2391.61062      2391.60431         82.0473          1.5733         15.6548          0.0208          0.5028          4.8435        1.943863        1.573263
     2391.61757      2391.61125         87.3692          1.5741         15.5866          0.0196         -0.7530          4.7098        6.643107        1.574110
     2391.62451      2391.61820         93.3370          1.5744         15.5149          0.0183         -0.8562          4.6039        6.694024        1.574423
     2391.63145      2391.62514         88.7800          1.5738         15.5692          0.0192          8.1327          4.6039        2.266159        1.573847
     2391.63840      2391.63209         85.5366          1.5714         15.6096          0.0199          2.8834          4.5915        4.859074        1.571359
     2391.64534      2391.63903         88.9298          1.5704         15.5674          0.0192         -1.3005          4.6039        6.697790        1.570374
     2391.65229      2391.64597         92.2164          1.5698         15.5280          0.0185         -1.7124          4.6039        3.365561        1.569831
     2391.65923      2391.65292         97.5452          1.5704         15.4670          0.0175         -0.6151          4.5915        9.534908        1.570359
     2391.66618      2391.65986         90.1059          1.5676         15.5531          0.0189          1.7388          4.5915        3.742962        1.567587
     2391.67312      2391.66681         95.0190          1.5673         15.4955          0.0179          0.1969          4.5915        4.603923        1.567301
     2391.68007      2391.67375         91.5327          1.5668         15.5361          0.0186          3.5449          4.5915        4.591550        1.566790
     2391.68701      2391.68070         85.2564          1.5630         15.6132          0.0199          2.8196          4.3574        5.568664        1.562988
     2391.69396      2391.68764         90.2617          1.5641         15.5512          0.0188          1.9932          4.3196        1.950140        1.564137
     2391.70090      2391.69459         86.1187          1.5630         15.6023          0.0197          1.9933          4.3196        2.555496        1.563025
     2391.70784      2391.70153         90.6244          1.5639         15.5469          0.0187          0.7362          3.7951        1.249128        1.563915
     2391.71479      2391.70847         89.9686          1.5636         15.5548          0.0189          6.0859          3.7951        3.607672        1.563647
     2391.72173      2391.71542         86.2127          1.5629         15.6011          0.0197          5.3903          4.3196        3.742606        1.562934
     2391.72868      2391.72236         90.4179          1.5649         15.5494          0.0188          7.8190          4.3196        5.464222        1.564859
     2391.73562      2391.72931         88.3875          1.5625         15.5740          0.0192          1.2480          4.3196        6.259694        1.562498
     2391.74257      2391.73625         90.7623          1.5612         15.5452          0.0187         -1.9150          4.3196        5.989845        1.561208
     2391.74951      2391.74320         89.6667          1.5610         15.5584          0.0189          0.7965          3.7430        6.442556        1.560955
     2391.75646      2391.75014         88.0439          1.5588         15.5783          0.0192         -2.3478          4.3196        7.470670        1.558808
     2391.76340      2391.75709         87.8231          1.5602         15.5810          0.0193         -0.8166          4.3196        3.575577        1.560166
     2391.77034      2391.76403         88.1209          1.5611         15.5773          0.0192          0.5697          4.3196        1.356479        1.561141
     2391.77729      2391.77097         88.3889          1.5606         15.5740          0.0192          1.7223          4.3574       -1.277996        1.560567
     2391.78423      2391.77792         91.9367          1.5632         15.5313          0.0185         -2.7059          4.3574        4.319626        1.563170
     2391.79118      2391.78486         93.9683          1.5652         15.5075          0.0181          0.9454          4.3196        5.155456        1.565247
     2391.79812      2391.79181         96.1553          1.5660         15.4826          0.0177         -0.2298          3.7430        2.434993        1.565980
     2391.80507      2391.79875        100.5930          1.5705         15.4336          0.0170          6.1870          4.3196        6.059587        1.570505
     2391.81201      2391.80570         98.0369          1.5706         15.4615          0.0174          1.6692          3.7430        1.518771        1.570554
