# reference_flux:         -1.3517
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2390.66035      2390.65292         -1.6112          1.3376         18.9314         99.9000          2.5359          0.0122        1.791883        1.337622
     2390.66730      2390.65986         -7.6718          1.3457         18.9248         99.9000          2.2570          0.0122       -0.973892        1.345674
     2390.67424      2390.66681         -1.9320          1.3259         18.9409         99.9000          2.7578          0.0122        1.905712        1.325927
     2390.68119      2390.67375         -8.5199          1.3023         18.9604         99.9000          0.7701          0.0393       -3.088546        1.302298
     2390.68813      2390.68070         -2.9797          1.2991         18.9631         99.9000          1.7648          0.0393        1.860034        1.299104
     2390.69507      2390.68764         -4.1718          1.2963         18.9654         99.9000          0.0860          0.0122       -0.705523        1.296331
     2390.70202      2390.69459         -4.3197          1.3055         18.9577         99.9000         -0.6960          0.0393        0.254190        1.305513
     2390.70896      2390.70153         -2.0824          1.3008         18.9617         99.9000          1.2658          0.0122        0.542315        1.300806
     2390.71591      2390.70847         -1.3974          1.3187         18.9468         99.9000          1.2849          0.0393       -0.615492        1.318734
     2390.72285      2390.71542         -4.4300          1.3062         18.9572         99.9000          0.9686          0.0122        0.012246        1.306150
     2390.72980      2390.72236         -3.5201          1.3184         18.9471         99.9000          0.2186          0.0122        1.335736        1.318388
     2390.73674      2390.72931         -2.6544          1.3180         18.9474         99.9000          0.5031          0.0122        2.379578        1.317953
     2390.74368      2390.73625         -2.9793          1.3320         18.9359         99.9000         -0.9701          0.0122        0.573700        1.332018
     2390.75063      2390.74320         -6.5356          1.3162         18.9489         99.9000          0.5353          0.0122       -0.067978        1.316202
     2390.75757      2390.75014         -3.7253          1.3211         18.9449         99.9000         -1.4659         -0.0680        1.242935        1.321074
     2390.76452      2390.75709          1.2933          1.3224         18.9438         99.9000         -5.5645         -0.2279        1.651073        1.322397
     2390.77146      2390.76403         -1.5202          1.3312         18.9366         99.9000         -1.6655         -0.2279       -0.961715        1.331202
     2390.77841      2390.77097         -2.2815          1.3444         18.9258         99.9000         -3.1112         -0.2279        0.039251        1.344438
     2390.78535      2390.77792         -1.4430          1.3756         18.9009         99.9000         -3.1826         -0.3906       -0.417151        1.375628
     2390.79230      2390.78486         -0.4137          1.3610         18.9126         99.9000         -2.7275         -0.3906        0.996023        1.360976
     2390.79924      2390.79181         -5.1381          1.3505         18.9209         99.9000         -2.5447         -0.4172       -0.819754        1.350533
     2390.80618      2390.79875         -9.4571          1.3547         18.9176         99.9000         -3.9718         -0.3906       -3.636071        1.354730
     2390.81313      2390.80570         -6.3932          1.3775         18.8994         99.9000         -5.2869         -0.4172       -2.767674        1.377539
     2390.82007      2390.81264        -11.2473          1.3923         18.8879         99.9000         -5.7368         -0.4172       -4.002351        1.392319
     2390.82702      2390.81959         -2.5049          1.3907         18.8891         99.9000         -8.2500         -0.6155       -1.220691        1.390748
     2390.83396      2390.82653         -3.3683          1.3986         18.8829         99.9000         -6.0280         -0.6857       -3.847118        1.398635
     2390.84091      2390.83347         -4.6108          1.4080         18.8757         99.9000         -6.7414         -0.6857        1.112108        1.408037
     2390.84785      2390.84042         -5.4507          1.4164         18.8692         99.9000         -6.8725         -0.6857       -1.839663        1.416379
     2390.85480      2390.84736         -9.1798          1.4143         18.8709         99.9000         -4.6828         -0.6155       -4.307794        1.414282
     2390.86174      2390.85431         -3.3577          1.5128         18.7977         99.9000         -7.2527         -0.6857        0.453843        1.512849
     2390.86868      2390.86125         -1.6781          1.5243         18.7896         99.9000         -9.6459         -0.6155       -0.227861        1.524257
     2390.87563      2390.86820         -2.2437          1.5533         18.7690         99.9000        -11.4196         -0.6857        1.340846        1.553343
     2390.88257      2390.87514         -2.9612          1.4347         18.8553         99.9000         -3.9920         -0.8024       -0.390611        1.434653
     2390.88952      2390.88209         -3.5616          1.5206         18.7921         99.9000         -6.9791         -0.8198        0.757357        1.520648
     2390.89646      2390.88903         -4.0417          1.5269         18.7877         99.9000         -6.3676         -0.8198       -1.492724        1.526867
     2390.90341      2390.89597         -2.1549          1.5453         18.7746         99.9000         -5.7944         -0.8198        0.212054        1.545343
     2390.91035      2390.90292         -6.3283          1.4961         18.8098         99.9000         -6.2617         -0.9617       -0.685715        1.496063
