# reference_flux:       -201.4408
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2390.66093      2390.65292         -0.4386          1.4804         18.8213         99.9000         -2.1897          1.6996        1.516885        1.480366
     2390.66788      2390.65986         -2.4832          1.4803         18.8213         99.9000         -2.2453          1.6996        1.699627        1.480306
     2390.67482      2390.66681         -7.6383          1.4825         18.8197         99.9000         -0.6416          1.6996       -0.117407        1.482532
     2390.68177      2390.67375         -1.8394          1.4827         18.8195         99.9000         -0.5442          1.6996        2.563145        1.482729
     2390.68871      2390.68070         -2.0892          1.4826         18.8196         99.9000         -1.7175          1.6996        0.346860        1.482644
     2390.69565      2390.68764          3.1267          1.4848         18.8180         99.9000         -2.3693          1.7742        6.432717        1.484771
     2390.70260      2390.69459         -4.8698          1.4839         18.8187         99.9000         -2.8666          1.6996        0.413871        1.483888
     2390.70954      2390.70153          1.2333          1.4869         18.8165         99.9000         -1.5100          1.6996        2.377233        1.486894
     2390.71649      2390.70847          0.0483          1.4876         18.8160         99.9000         -2.6355          1.6996        1.653438        1.487600
     2390.72343      2390.71542         -1.3224          1.4897         18.8145         99.9000         -3.0218          1.6534        3.018674        1.489665
     2390.73038      2390.72236         -3.8396          1.4918         18.8129         99.9000         -1.7204          1.6996        2.218291        1.491826
     2390.73732      2390.72931         -1.4093          1.4950         18.8106         99.9000         -2.5755          1.6534       -0.217667        1.495028
     2390.74427      2390.73625         -2.0159          1.4990         18.8077         99.9000         -1.0742          1.6534        2.555870        1.499003
     2390.75121      2390.74320          1.7508          1.5023         18.8053         99.9000         -1.2751          1.6534        4.603569        1.502299
     2390.75815      2390.75014         -5.8733          1.5015         18.8059         99.9000         -1.4745          1.6534       -0.568800        1.501483
     2390.76510      2390.75709          2.0438          1.5031         18.8047         99.9000         -3.0160          1.6534        4.090634        1.503116
     2390.77204      2390.76403         -2.1868          1.5097         18.8000         99.9000         -1.3196          1.6996        0.313792        1.509665
     2390.77899      2390.77097         -0.4815          1.5140         18.7969         99.9000         -1.2353          1.6534        2.867138        1.513953
     2390.78593      2390.77792         -0.9410          1.5185         18.7936         99.9000         -0.9128          1.6534        1.774178        1.518547
     2390.79288      2390.78486         -0.6530          1.5217         18.7914         99.9000         -6.4214          1.5169        0.525949        1.521666
     2390.79982      2390.79181         -3.8502          1.5303         18.7852         99.9000          0.5698          1.5169        3.433471        1.530318
     2390.80677      2390.79875         -2.3962          1.5315         18.7844         99.9000         -2.9981          1.5169        0.127113        1.531484
     2390.81371      2390.80570         -0.7457          1.5345         18.7823         99.9000         -0.5542          1.5169        2.745875        1.534520
