# reference_flux:         72.7984
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2390.66046      2390.65292         71.4267          1.3565         15.8053          0.0206          1.1270         -1.4713        0.504587        1.356534
     2390.66741      2390.65986         74.0000          1.3631         15.7669          0.0200          2.8300         -1.4713        2.627209        1.363133
     2390.67435      2390.66681         69.7541          1.3459         15.8311          0.0209          1.9208         -1.4713       -3.060836        1.345864
     2390.68130      2390.67375         69.1399          1.3294         15.8407          0.0209         -1.8379         -1.4713       -1.454951        1.329405
     2390.68824      2390.68070         69.9559          1.3275         15.8279          0.0206         -1.5497         -1.4713       -1.527391        1.327529
     2390.69519      2390.68764         72.3422          1.3267         15.7915          0.0199         -1.2403         -1.5274       -1.590714        1.326693
     2390.70213      2390.69459         68.3974          1.3328         15.8524          0.0212          2.2956         -1.5274       -3.284783        1.332816
     2390.70907      2390.70153         76.8787          1.3315         15.7255          0.0188         -0.7208         -1.4713        2.248070        1.331493
     2390.71602      2390.70847         75.7052          1.3430         15.7422          0.0193         -2.0155         -1.5274        1.209760        1.342994
     2390.72296      2390.71542         69.8205          1.3323         15.8300          0.0207         -1.9183         -1.5274       -1.978803        1.332272
     2390.72991      2390.72236         67.4207          1.3421         15.8680          0.0216         -0.8676         -1.5274       -3.598134        1.342144
     2390.73685      2390.72931         72.7302          1.3429         15.7857          0.0200         -2.3698         -1.5274        0.407475        1.342922
     2390.74380      2390.73625         70.2514          1.3546         15.8234          0.0209         -1.3913         -1.4713       -2.117428        1.354607
     2390.75074      2390.74320         71.3476          1.3443         15.8066          0.0205          2.4610         -1.5274       -0.493040        1.344286
     2390.75769      2390.75014         70.0693          1.3460         15.8262          0.0209         -2.7359         -1.4713        1.219868        1.345960
     2390.76463      2390.75709         71.3126          1.3486         15.8071          0.0205         -2.0992         -1.4713       -1.797908        1.348607
     2390.77157      2390.76403         71.3525          1.3591         15.8065          0.0207         -1.9079         -1.4713        1.676589        1.359138
     2390.77852      2390.77097         70.0225          1.3704         15.8269          0.0212         -0.2088         -1.4713       -2.063040        1.370412
     2390.78546      2390.77792         71.8121          1.3933         15.7995          0.0211         -1.0082         -1.4591       -0.605835        1.393307
     2390.79241      2390.78486         69.7107          1.3818         15.8318          0.0215         -0.8072         -1.4550       -1.471332        1.381802
     2390.79935      2390.79181         71.2270          1.3771         15.8084          0.0210         -3.4286         -1.4550        0.224278        1.377091
     2390.80630      2390.79875         68.8034          1.3822         15.8460          0.0218         -4.2906         -1.0886       -1.459065        1.382185
     2390.81324      2390.80570         68.6902          1.4002         15.8478          0.0221         -2.7457         -0.7868       -3.926036        1.400187
     2390.82018      2390.81264         68.9873          1.4138         15.8431          0.0223         -1.9205         -1.0886       -1.715848        1.413811
     2390.82713      2390.81959         68.9234          1.4128         15.8441          0.0223         -3.2982         -1.0886       -3.419094        1.412755
     2390.83407      2390.82653         66.9397          1.4198         15.8758          0.0230         -3.8761         -1.4550       -4.167586        1.419807
     2390.84102      2390.83347         67.7035          1.4292         15.8635          0.0229         -1.6935         -1.4550       -3.825529        1.429196
     2390.84796      2390.84042         69.4634          1.4396         15.8356          0.0225         -5.4588         -1.4550       -0.630112        1.439561
     2390.85491      2390.84736         70.2334          1.4384         15.8236          0.0222         -5.8922         -1.0886       -2.205352        1.438358
     2390.86185      2390.85431         74.0015          1.5166         15.7669          0.0223         -8.4166         -0.9187       -0.002280        1.516635
