# reference_flux:        145.0498
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2390.65801      2390.65294        143.1123          1.2498         15.0508          0.0095          0.6704         -0.6749        0.934053        1.249782
     2390.66496      2390.65988        143.9061          1.2373         15.0448          0.0093          1.0442         -0.6749       -0.487660        1.237261
     2390.67190      2390.66682        142.1958          1.3071         15.0578          0.0100          0.8582         -0.6749       -1.731763        1.307123
     2390.67885      2390.67377        142.0458          1.2929         15.0589          0.0099         -0.9888         -1.4969       -4.053849        1.292878
     2390.68579      2390.68071        140.6740          1.2450         15.0695          0.0096         -1.5216         -1.4969       -3.013824        1.245038
     2390.69274      2390.68766        143.9754          1.2595         15.0443          0.0095         -2.1908         -1.4969       -0.524917        1.259522
     2390.69968      2390.69460        141.7646          1.2020         15.0611          0.0092         -1.3184         -1.5055        0.152576        1.201984
     2390.70662      2390.70155        141.2164          1.2739         15.0653          0.0098         -0.6295         -1.5055       -2.139044        1.273919
     2390.71357      2390.70849        143.7800          1.2861         15.0458          0.0097         -0.4028         -1.5055       -0.674871        1.286064
     2390.72051      2390.71544        138.1700          1.3042         15.0890          0.0102         -3.1099         -1.5055       -4.219209        1.304197
     2390.72746      2390.72238        140.3600          1.2867         15.0719          0.0100          0.6432         -1.5055       -2.527759        1.286680
     2390.73440      2390.72932        147.4152          1.2704         15.0186          0.0094         -1.3868         -1.5055        2.955030        1.270430
     2390.74135      2390.73627        143.8495          1.2782         15.0452          0.0096          0.1277         -1.6960        3.426371        1.278182
     2390.74829      2390.74321        141.2901          1.2894         15.0647          0.0099          0.1635         -1.6960       -0.053631        1.289442
     2390.75523      2390.75016        140.8162          1.2559         15.0684          0.0097         -0.7474         -1.6960       -3.132817        1.255944
     2390.76218      2390.75710        140.7932          1.2993         15.0685          0.0100         -1.1881         -1.6960       -3.486442        1.299317
     2390.76912      2390.76405        140.1697          1.3702         15.0734          0.0106         -2.7853         -1.6960       -2.601020        1.370235
     2390.77607      2390.77099        150.1981          1.3207         14.9983          0.0095         -1.6734         -1.5055        5.361978        1.320732
     2390.78301      2390.77794        144.2731          1.3028         15.0420          0.0098         -4.0545         -1.5055        0.508512        1.302768
     2390.78996      2390.78488        146.6081          1.3195         15.0246          0.0098         -2.9645         -1.6960        1.116324        1.319494
     2390.79690      2390.79182        141.0818          1.2983         15.0663          0.0100         -4.4932         -1.6960       -3.712165        1.298265
     2390.80384      2390.79877        139.5081          1.3310         15.0785          0.0104         -2.6890         -1.6960        0.415436        1.331012
     2390.81079      2390.80571        144.9797          1.3719         15.0367          0.0103         -4.8558         -1.5055        1.224846        1.371869
     2390.81773      2390.81266        141.1592          1.4649         15.0657          0.0113         -4.8912         -1.6960       -1.755879        1.464852
     2390.82468      2390.81960        143.4764          1.3973         15.0480          0.0106         -5.6680         -1.7172       -2.030142        1.397251
     2390.83162      2390.82655        139.5104          1.3659         15.0785          0.0106         -2.7184         -1.7172       -1.496934        1.365946
     2390.83857      2390.83349        142.3758          1.3130         15.0564          0.0100         -4.7446         -1.7172       -4.479654        1.312961
     2390.84551      2390.84044        141.5127          1.3148         15.0630          0.0101         -5.0887         -1.6960       -1.505493        1.314759
     2390.85245      2390.84738        146.0808          1.2804         15.0285          0.0095         -7.4522         -1.5553        1.660772        1.280394
     2390.85940      2390.85432        141.3499          1.3589         15.0643          0.0104        -10.0503         -1.5553       -3.700052        1.358862
     2390.86634      2390.86127        144.8281          1.3130         15.0379          0.0098         -8.2548         -1.5553       -0.936401        1.312958
     2390.87329      2390.86821        143.9055          1.3335         15.0448          0.0101         -8.2504         -1.5553       -1.696029        1.333547
     2390.88023      2390.87516        140.2185          1.3647         15.0730          0.0106         -6.1483         -1.5055       -3.016264        1.364667
     2390.88718      2390.88210        143.2476          1.4241         15.0498          0.0108         -6.0760         -1.5553       -1.939114        1.424148
     2390.89412      2390.88905        144.8635          1.4748         15.0376          0.0111         -9.4687         -1.5553       -0.062698        1.474825
     2390.90106      2390.89599        144.4305          1.4804         15.0409          0.0111        -12.4983         -1.5055       -2.427580        1.480434
     2390.90801      2390.90294        143.6962          1.5216         15.0464          0.0115         -8.4778         -1.5553        0.759987        1.521603
     2390.91495      2390.90988        147.7339          1.5787         15.0163          0.0116        -15.6353         -1.5553       -3.611439        1.578745
     2390.92190      2390.91682        142.0057          1.5722         15.0592          0.0120        -14.3084         -1.6960       -7.809401        1.572197
     2390.92884      2390.92377        145.8447          1.4953         15.0303          0.0111        -10.4770         -1.5553       -0.272096        1.495258
     2390.93579      2390.93071        147.2464          1.4302         15.0199          0.0105        -11.2382         -1.5055        1.520390        1.430236
     2390.94273      2390.93766        146.5195          1.4470         15.0253          0.0107        -10.8065         -1.5055       -0.283443        1.446998
     2390.94967      2390.94460        147.1214          1.3477         15.0208          0.0099        -10.7999         -1.5055       -2.656899        1.347687
     2390.95662      2390.95155        145.3287          1.3045         15.0341          0.0097        -10.6260         -1.5055       -2.298869        1.304464
     2390.96356      2390.95849        142.1482          1.3675         15.0581          0.0104         -9.9489         -1.5055       -4.184150        1.367546
     2390.97051      2390.96544        147.0850          1.3767         15.0211          0.0102         -8.0148         -1.4969        0.844100        1.376741
     2390.97745      2390.97238        141.4012          1.3686         15.0639          0.0105         -7.7895         -1.5055       -3.436434        1.368585
