# reference_flux:         19.8797
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2390.65800      2390.65294         17.4770          1.1424         17.3338          0.0710         -1.6468          1.1885       -1.564971        1.142411
     2390.66495      2390.65988         15.0969          1.1441         17.4928          0.0823          4.0767          1.1885       -2.589384        1.144083
     2390.67189      2390.66682         17.4117          1.1873         17.3379          0.0740          1.0277          1.1885        0.303215        1.187347
     2390.67883      2390.67377         17.3251          1.1752         17.3433          0.0737         -2.2088          1.1885        0.588798        1.175243
     2390.68578      2390.68071         21.8563          1.1457         17.0911          0.0569         -2.6022          1.1885        1.153699        1.145732
     2390.69272      2390.68766         21.5950          1.1674         17.1041          0.0587         -0.3766          1.1537        1.896934        1.167419
     2390.69967      2390.69460         21.3556          1.1230         17.1162          0.0571          3.6422          1.1885        2.155379        1.123043
     2390.70661      2390.70155         20.3702          1.1607         17.1675          0.0619         -0.0775          1.1885        1.188498        1.160654
     2390.71356      2390.70849         21.2128          1.1709         17.1235          0.0599         -0.7156          1.1885        0.646364        1.170927
     2390.72050      2390.71544         20.1122          1.1867         17.1814          0.0641         -4.4698          1.1537        1.206011        1.186693
     2390.72744      2390.72238         24.4152          1.1826         16.9708          0.0526         -3.5087          1.1537        2.693443        1.182553
     2390.73439      2390.72932         16.5578          1.1769         17.3925          0.0772          4.2543          1.1885       -1.027196        1.176890
     2390.74133      2390.73627         16.0129          1.1725         17.4288          0.0795         -2.7714          1.1885       -0.851984        1.172538
     2390.74828      2390.74321         20.6996          1.1817         17.1501          0.0620         -1.8746          1.2060        0.786852        1.181653
     2390.75522      2390.75016         25.8546          1.1677         16.9087          0.0490         -0.0073          1.2060        4.040376        1.167692
     2390.76217      2390.75710         26.2472          1.2073         16.8923          0.0499         -5.5031          1.2060        4.765692        1.207252
     2390.76911      2390.76405         22.1632          1.2613         17.0759          0.0618         -8.0783          1.8969       -1.041069        1.261264
     2390.77605      2390.77099         25.1440          1.2275         16.9389          0.0530        -10.7160          1.8969        3.144372        1.227459
     2390.78300      2390.77794         19.5382          1.2111         17.2128          0.0673         -6.3201          1.8969       -0.954439        1.211149
     2390.78994      2390.78488         20.3308          1.2289         17.1696          0.0656         -9.7142          1.9318        1.931839        1.228926
     2390.79689      2390.79182         19.0025          1.2190         17.2430          0.0696         -1.9483          2.0295        3.530069        1.219005
     2390.80383      2390.79877         22.8968          1.2430         17.0406          0.0589         -5.3716          2.1133        2.687420        1.243048
     2390.81078      2390.80571         24.8310          1.2767         16.9525          0.0558        -10.0951          2.1554        5.264843        1.276701
     2390.81772      2390.81266         27.0831          1.3455         16.8583          0.0539        -15.7702          2.4804        2.029527        1.345537
     2390.82466      2390.81960         28.7192          1.3007         16.7946          0.0492         -8.7525          2.6874        4.970554        1.300689
     2390.83161      2390.82655         23.2099          1.2912         17.0258          0.0604         -6.7088          2.6874        0.141968        1.291169
     2390.83855      2390.83349         22.1133          1.2561         17.0784          0.0617         -2.7706          2.6934        3.219894        1.256129
     2390.84550      2390.84044         22.2199          1.2636         17.0731          0.0617         -3.5768          3.1433        3.831267        1.263618
     2390.85244      2390.84738         20.5941          1.2417         17.1556          0.0655         -3.1523          3.1444        0.607283        1.241738
     2390.85939      2390.85432         23.0545          1.2994         17.0331          0.0612         -4.6114          3.1444        5.625871        1.299369
     2390.86633      2390.86127         17.7952          1.2686         17.3142          0.0774         -5.2338          3.1444        2.113321        1.268612
     2390.87328      2390.86821         21.4543          1.2916         17.1112          0.0654         -5.3367          3.1444        0.975060        1.291562
     2390.88022      2390.87516         22.3098          1.3172         17.0688          0.0641         -8.8882          3.2199       -2.455078        1.317163
     2390.88716      2390.88210         29.7564          1.3617         16.7560          0.0497        -14.0571          3.2631        5.291446        1.361748
     2390.89411      2390.88905         29.4350          1.3936         16.7678          0.0514        -18.4825          3.3488        3.263095        1.393647
     2390.90105      2390.89599         26.0294          1.3994         16.9013          0.0584         -9.7310          3.5220        3.585329        1.399427
     2390.90800      2390.90294         26.0996          1.4321         16.8984          0.0596        -13.8743          3.5301        5.287152        1.432112
     2390.91494      2390.90988         26.4129          1.4737         16.8855          0.0606        -19.4320          3.5853        3.348794        1.473723
     2390.92189      2390.91682         26.1292          1.4689         16.8972          0.0610        -20.6359          3.5889        3.521953        1.468888
     2390.92883      2390.92377         22.9772          1.4131         17.0368          0.0668        -13.6700          3.5853        3.143277        1.413097
     2390.93577      2390.93071         21.6537          1.3775         17.1012          0.0691         -8.5275          3.5853        2.480414        1.377500
     2390.94272      2390.93766         21.7827          1.3895         17.0947          0.0693        -11.9406          3.5889        3.800064        1.389457
     2390.94966      2390.94460         23.2005          1.3281         17.0263          0.0622         -6.5121          3.6365        4.788162        1.328119
     2390.95661      2390.95155         12.8082          1.2989         17.6713          0.1101          1.4328          3.8001        4.688862        1.298868
     2390.96355      2390.95849         18.7236          1.3327         17.2590          0.0773         -4.6530          3.8313        3.588866        1.332735
     2390.97050      2390.96544         21.4990          1.3486         17.1090          0.0681        -12.8160          4.6889        5.460283        1.348634
     2390.97744      2390.97238         25.2075          1.3504         16.9362          0.0582         -7.6872          4.7882        6.046541        1.350393
     2390.98438      2390.97932         26.2733          1.4093         16.8912          0.0582        -21.0410          4.6889        5.545448        1.409343
     2390.99133      2390.98627         21.9334          1.3747         17.0872          0.0681        -11.5914          4.7882        0.022921        1.374736
     2390.99827      2390.99321         26.9395          1.4178         16.8640          0.0571        -15.6797          4.6889        6.326836        1.417757
     2391.00522      2391.00016         30.1899          1.4768         16.7403          0.0531        -22.7275          4.7882        7.001698        1.476825
     2391.01216      2391.00710         30.1074          1.4795         16.7433          0.0534        -14.5722          4.9386       11.089788        1.479525
     2391.01911      2391.01405         18.1025          1.3506         17.2957          0.0810        -11.7981          4.9386       -1.763018        1.350562
     2391.02605      2391.02099         24.2460          1.4685         16.9784          0.0658        -25.2557          4.9616        2.869390        1.468528
     2391.03299      2391.02794         20.4019          1.4494         17.1658          0.0771        -12.5354          4.9616        1.824368        1.449350
     2391.03994      2391.03488         24.6965          1.4032         16.9584          0.0617         -6.5095          5.0984        9.199620        1.403186
     2391.04688      2391.04182         20.6290          1.3755         17.1538          0.0724         -5.8759          5.2158        4.938627        1.375542
     2391.05383      2391.04877         14.9151          1.3628         17.5059          0.0992         -2.4262          5.2872       10.141076        1.362834
     2391.06077      2391.05571         32.7610          1.5615         16.6516          0.0518        -19.8201          5.2158       12.115796        1.561520
     2391.06772      2391.06266         29.5173          1.5501         16.7648          0.0570        -20.6725          5.2872       10.400913        1.550091
     2391.07466      2391.06960         28.8623          1.5963         16.7892          0.0601        -42.6521          5.4603        8.834842        1.596322
     2391.08161      2391.07655         21.7165          1.3535         17.0980          0.0677         -2.2311          5.4803       10.282643        1.353450
     2391.08855      2391.08349         13.5840          1.4620         17.6074          0.1169         -5.7828          5.4803        0.569018        1.461983
     2391.09549      2391.09044         20.8226          1.6411         17.1437          0.0856        -22.3029          5.5454        3.636520        1.641060
     2391.10244      2391.09738         28.1200          1.5627         16.8175          0.0603        -14.7774          6.0465        7.241640        1.562656
     2391.10938      2391.10432         25.2967          1.6039         16.9323          0.0688        -24.7128          6.0465        5.098350        1.603871
     2391.11633      2391.11127         25.6935          1.6314         16.9154          0.0689        -12.0946          6.0759        4.961624        1.631358
     2391.12327      2391.11821         22.5873          1.6458         17.0553          0.0791        -22.5576          6.2311        6.231144        1.645790
     2391.13022      2391.12516         27.4396          1.6508         16.8441          0.0653         -7.9810          6.2311        5.480255        1.650846
     2391.13716      2391.13210         25.4373          1.6615         16.9263          0.0709        -22.9890          6.2311        7.551216        1.661482
     2391.14410      2391.13905         20.3108          1.4097         17.1707          0.0754         -8.9608          6.2311        4.298363        1.409748
     2391.15105      2391.14599         31.1583          1.7717         16.7061          0.0617        -55.1336          6.2383       13.817741        1.771666
     2391.15799      2391.15294         20.6226          1.7432         17.1541          0.0918        -17.7441          6.2383        2.856875        1.743196
     2391.16494      2391.15988         24.1265          1.7016         16.9838          0.0766         -7.1206          6.2383        6.860648        1.701559
     2391.17188      2391.16682         26.9400          1.7716         16.8640          0.0714        -19.6640          6.2311        5.215752        1.771609
     2391.17883      2391.17377         24.7733          1.8067         16.9550          0.0792        -29.0805          6.2311        2.124789        1.806716
     2391.18577      2391.18071         21.6018          1.8601         17.1038          0.0935        -27.2319          6.2311        7.013835        1.860055
     2391.19271      2391.18766         25.1162          1.8356         16.9401          0.0793        -11.7163          6.2311        7.526468        1.835586
     2391.19966      2391.19460         29.4826          1.8079         16.7661          0.0666        -28.7623          6.2383        7.024398        1.807943
     2391.20660      2391.20155         29.2679          1.7651         16.7740          0.0655        -23.9690          6.3963        8.659451        1.765062
     2391.21355      2391.20849         22.5310          1.7503         17.0580          0.0843        -15.5385          6.2383        6.238348        1.750320
     2391.22049      2391.21544         24.7974          1.6796         16.9540          0.0735        -18.9358          6.2383        1.964274        1.679587
     2391.22744      2391.22238         24.4196          1.6931         16.9707          0.0753        -26.3507          6.2311       11.975005        1.693120
     2391.23438      2391.22932         26.8615          1.6661         16.8672          0.0673        -14.4560          6.0759        8.236952        1.666092
     2391.24132      2391.23627         27.6143          1.7200         16.8372          0.0676        -26.9335          5.4803        6.396341        1.720021
     2391.24827      2391.24321         23.2019          1.7647         17.0262          0.0826        -27.6071          5.2158        3.174802        1.764724
     2391.25521      2391.25016         18.3328          1.8379         17.2819          0.1088        -20.1551          5.1357        6.075854        1.837868
     2391.26216      2391.25710         25.1010          1.8220         16.9408          0.0788        -20.5060          5.2158        7.276859        1.821965
     2391.26910      2391.26405         19.8119          1.4388         17.1977          0.0789        -10.9123          5.2158        3.656477        1.438818
     2391.27605      2391.27099         29.0352          1.7919         16.7827          0.0670        -23.9146          5.1357        6.461590        1.791859
