# reference_flux:         35.5775
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2390.65669      2390.65292         34.4108          1.0704         16.5983          0.0338          2.0658         -0.4280       -1.000574        1.070434
     2390.66364      2390.65987         33.6464          1.0688         16.6227          0.0345          0.3897         -0.4280       -0.890016        1.068838
     2390.67058      2390.66681         33.5325          1.0687         16.6263          0.0346          0.0925         -0.6517       -1.104175        1.068652
     2390.67752      2390.67376         36.4707          1.0705         16.5351          0.0319          1.7526         -0.6517        0.553255        1.070518
     2390.68447      2390.68070         32.7167          1.0687         16.6531          0.0355          2.4298         -0.6517       -0.651723        1.068688
     2390.69141      2390.68765         35.7956          1.0709         16.5554          0.0325          2.2954         -0.4280        2.600224        1.070868
     2390.69836      2390.69459         32.0481          1.0708         16.6755          0.0363          0.4594         -0.4280       -2.951221        1.070785
     2390.70530      2390.70154         34.4611          1.0750         16.5967          0.0339          1.6616         -0.4280       -2.285404        1.074985
     2390.71225      2390.70848         34.5207          1.0769         16.5948          0.0339          1.7438         -0.4280       -0.374616        1.076896
     2390.71919      2390.71542         32.2164          1.0797         16.6698          0.0364          0.0318         -0.4280       -0.251229        1.079708
     2390.72614      2390.72237         33.7141          1.0845         16.6205          0.0349          1.1832         -0.6179       -1.504036        1.084529
     2390.73308      2390.72931         38.0892          1.0907         16.4880          0.0311          0.2897         -0.6179       -0.351633        1.090685
     2390.74002      2390.73626         37.7073          1.0957         16.4989          0.0315          1.3863         -0.6517        4.307781        1.095696
     2390.74697      2390.74320         35.1527          1.1002         16.5751          0.0340         -1.1711         -0.6517       -0.720199        1.100232
     2390.75391      2390.75015         34.0724          1.1067         16.6090          0.0353         -0.8932         -0.6179        0.051928        1.106695
     2390.76086      2390.75709         35.1640          1.1150         16.5748          0.0344         -2.1583         -0.6179       -1.265737        1.114995
     2390.76780      2390.76404         35.0617          1.1238         16.5779          0.0348         -1.3370         -0.6179        1.530598        1.123805
     2390.77475      2390.77098         34.3269          1.1321         16.6009          0.0358          0.1806         -0.6179       -0.374353        1.132145
     2390.78169      2390.77792         36.2572          1.1422         16.5415          0.0342          0.7959         -0.4280       -1.320247        1.142172
