# reference_flux:        -26.6462
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2390.65603      2390.65292          1.4713          1.1938         19.0549         99.9000          3.3345         -0.7533        3.089789        1.193765
     2390.66297      2390.65987         -0.4182          1.2040         19.0456         99.9000          4.9963         -0.7533        2.873329        1.204009
     2390.66992      2390.66681         -2.5091          1.1901         19.0582         99.9000          4.8195         -1.6096       -0.753273        1.190122
     2390.67686      2390.67376          0.0079          1.1968         19.0521         99.9000          4.7867         -1.6096       -2.596410        1.196813
     2390.68381      2390.68070         -3.1520          1.1965         19.0524         99.9000          7.0883         -1.6096        0.843040        1.196548
     2390.69075      2390.68765         -4.0560          1.1897         19.0586         99.9000          4.7429         -1.6096       -0.393093        1.189692
     2390.69770      2390.69459         -0.6844          1.1836         19.0642         99.9000          8.0358         -1.8955        0.055846        1.183551
     2390.70464      2390.70154          0.4733          1.2416         19.0122         99.9000          2.1554         -1.8955        3.295154        1.241598
     2390.71158      2390.70848         -1.0271          1.2147         19.0360         99.9000          0.8137         -1.6096       -2.251722        1.214674
     2390.71853      2390.71542         -2.4013          1.1969         19.0521         99.9000          2.1239         -0.7533       -0.148704        1.196867
     2390.72547      2390.72237         -5.7925          1.2430         19.0110         99.9000          1.9685         -0.7533       -3.251506        1.242992
     2390.73242      2390.72931         -2.4201          1.2528         19.0025         99.9000          2.7447         -0.7533       -2.750641        1.252840
     2390.73936      2390.73626          4.1426          1.2496         18.8968          0.3275         -0.0834         -1.2994        2.044826        1.249592
     2390.74631      2390.74320          3.1066          1.2525         19.0027         99.9000         -2.5517         -1.2994        0.786287        1.252526
     2390.75325      2390.75015         -2.3936          1.2668         18.9904         99.9000         -4.0878         -1.2994       -2.124600        1.266812
     2390.76020      2390.75709         -1.0627          1.2692         18.9884         99.9000         -3.2391         -1.2994       -2.490427        1.269209
     2390.76714      2390.76404         -1.5162          1.2777         18.9811         99.9000         -3.1790         -0.7533       -2.648645        1.277696
     2390.77409      2390.77098         -1.5162          1.2979         18.9641         99.9000        -14.7937         -0.7533       -2.470003        1.297920
     2390.78103      2390.77792          1.3660          1.2662         18.9910         99.9000        -16.3362         -1.2994        0.235078        1.266169
     2390.78797      2390.78487         -2.7968          1.2680         18.9894         99.9000        -15.3585         -1.2994       -1.895505        1.268048
     2390.79492      2390.79181         -0.8408          1.2943         18.9671         99.9000        -21.6606         -1.2994       -2.140975        1.294347
     2390.80186      2390.79876         -2.5149          1.3040         18.9590         99.9000        -24.1431         -0.7533       -1.609618        1.303992
     2390.80881      2390.80570          1.3762          1.3134         18.9512         99.9000        -23.2167         -0.7533        2.027650        1.313441
     2390.81575      2390.81265          2.5664          1.3418         18.9280         99.9000        -17.2444         -0.7533        0.478044        1.341780
     2390.82270      2390.81959         -3.4742          1.3691         18.9061         99.9000        -15.0278         -0.7533       -5.609019        1.369085
     2390.82964      2390.82654         -4.3488          1.3684         18.9066         99.9000        -13.9778         -1.2994       -5.547580        1.368440
     2390.83659      2390.83348         -5.5933          1.3654         18.9091         99.9000        -27.4947         -1.2994       -4.033441        1.365353
     2390.84353      2390.84042         -4.9203          1.3724         18.9035         99.9000        -22.9388         -1.2994       -5.876818        1.372402
     2390.85048      2390.84737         -2.0155          1.4132         18.8717         99.9000        -18.2657         -1.2994       -5.370965        1.413233
     2390.85742      2390.85431         -9.6416          1.3838         18.8945         99.9000        -10.8760         -1.2994       -8.197181        1.383834
     2390.86436      2390.86126         -4.1257          1.4627         18.8343         99.9000        -13.2536         -1.5617       -3.069717        1.462686
     2390.87131      2390.86820          1.6828          1.3438         18.9263         99.9000        -29.0652         -1.6096        0.477505        1.343840
     2390.87825      2390.87515         -0.2590          1.4500         18.8438         99.9000        -34.2756         -1.6096       -0.189461        1.450000
     2390.88520      2390.88209          2.6528          1.4126         18.8722         99.9000        -35.5210         -1.6096        0.507252        1.412556
     2390.89214      2390.88904          0.5630          1.4875         18.8161         99.9000        -38.2586         -1.6096       -1.299397        1.487485
     2390.89909      2390.89598         -3.3821          1.4809         18.8209         99.9000        -38.2398         -1.5617       -3.914955        1.480922
     2390.90603      2390.90292          0.1195          1.4461         18.8467         99.9000        -37.6063         -1.2994       -2.178117        1.446102
     2390.91298      2390.90987         -2.2544          1.4519         18.8424         99.9000        -27.9694         -1.2994       -4.513124        1.451850
     2390.91992      2390.91681         -2.3008          1.4939         18.8114         99.9000        -31.5579         -1.2994        0.519019        1.493859
     2390.92687      2390.92376          4.6198          1.4939         18.7784          0.3511        -43.8643         -0.1895        2.645307        1.493900
     2390.93381      2390.93070          2.5356          1.4641         18.8332         99.9000        -32.1282         -0.1895        1.324161        1.464131
     2390.94075      2390.93765          1.4950          1.4833         18.8191         99.9000        -33.8073         -0.1895       -1.756182        1.483275
     2390.94770      2390.94459          5.8044          1.5171         18.5306          0.2838        -39.6814          0.0799        3.477660        1.517098
     2390.95464      2390.95154          2.6541          1.5585         18.7654         99.9000        -49.4332         -0.1895        2.086351        1.558537
     2390.96159      2390.95848          3.3207          1.5653         18.7607         99.9000        -44.6693         -0.1895        3.449010        1.565309
     2390.96853      2390.96542          2.9087          1.6001         18.7368         99.9000        -54.2466         -0.1895        2.226922        1.600086
     2390.97548      2390.97237          3.9425          1.4623         18.8346         99.9000        -41.4672         -0.1895        2.936885        1.462258
     2390.98242      2390.97931          2.5008          1.6255         18.7197         99.9000        -50.7821         -1.2994        0.956449        1.625549
     2390.98937      2390.98626          1.4578          1.6102         18.7300         99.9000        -52.6104         -1.5459       -2.080047        1.610223
     2390.99631      2390.99320          1.6486          1.5766         18.7529         99.9000        -46.0552         -1.5459        0.329647        1.576591
     2391.00326      2391.00015          0.4134          1.6438         18.7076         99.9000        -59.3509         -1.2994        0.079850        1.643772
     2391.01020      2391.00709         -5.1271          1.6090         18.7308         99.9000        -51.1761         -0.2652       -4.658395        1.608953
     2391.01714      2391.01404          1.7013          1.6277         18.7183         99.9000        -61.5849         -0.2268        0.633336        1.627654
     2391.02409      2391.02098         -1.7736          1.6174         18.7251         99.9000        -61.4106         -0.1895       -1.561737        1.617409
     2391.03103      2391.02792         -0.7066          1.6876         18.6790         99.9000        -65.3344         -0.1895       -1.874187        1.687565
     2391.03798      2391.03487          4.9888          1.6189         18.6950          0.3523        -65.7108         -0.1895        0.726218        1.618904
     2391.04492      2391.04181         -5.1643          1.7086         18.6656         99.9000        -73.2876         -0.2268       -3.722417        1.708631
     2391.05187      2391.04876          0.1140          1.6682         18.6916         99.9000        -74.8846         -0.2268        1.367791        1.668192
     2391.05881      2391.05570          1.9282          1.6899         18.6775         99.9000        -76.3595         -0.2652        3.050266        1.689929
     2391.06576      2391.06265          2.0097          1.6894         18.6779         99.9000        -80.3333         -0.2652        0.418533        1.689388
     2391.07270      2391.06959          3.6829          1.7151         18.6615         99.9000       -106.1683         -0.2652        3.993530        1.715090
     2391.07965      2391.07654          9.2086          1.7506         18.0295          0.2064        -89.3383         -0.2268        6.344219        1.750600
     2391.08659      2391.08348          7.3752          1.7917         18.2706          0.2638       -124.0017         -0.2268        3.671428        1.791695
     2391.09353      2391.09042          0.9751          1.8261         18.5934         99.9000       -112.5348         -0.2545       -2.436320        1.826148
     2391.10048      2391.09737         -3.7429          1.8498         18.5794         99.9000        -96.5081         -0.2652       -3.017054        1.849820
     2391.10742      2391.10431          0.8597          1.8699         18.5677         99.9000       -136.6947         -1.2773        2.255065        1.869870
     2391.11437      2391.11126         -2.4386          1.8465         18.5813         99.9000       -132.0578         -1.2773       -3.051285        1.846491
     2391.12131      2391.11820         -2.5084          1.8403         18.5850         99.9000       -137.1314         -1.2773       -4.061761        1.840306
     2391.12826      2391.12515          0.0649          1.8385         18.5860         99.9000       -134.8681         -1.2773       -2.878786        1.838512
     2391.13520      2391.13209          1.5935          1.8212         18.5963         99.9000       -133.9752         -1.5459       -3.155125        1.821205
     2391.14215      2391.13904         -2.7165          1.7957         18.6116         99.9000       -131.0183         -1.5459       -2.527818        1.795750
     2391.14909      2391.14598          1.2596          1.8144         18.6004         99.9000       -138.9497         -1.5459       -1.545862        1.814421
     2391.15604      2391.15292         -1.9638          1.7999         18.6091         99.9000       -131.0903         -1.5617       -2.970221        1.799936
     2391.16298      2391.15987         -0.2232          1.8022         18.6077         99.9000       -126.9462         -1.5617       -0.265207        1.802248
     2391.16992      2391.16681          1.4154          1.8123         18.6016         99.9000       -136.4497         -1.8321       -0.226765        1.812264
     2391.17687      2391.17376          2.4923          1.8238         18.5948         99.9000       -130.9205         -1.8558        0.341392        1.823779
     2391.18381      2391.18070         -0.6462          1.8221         18.5958         99.9000       -132.5338         -1.8558        1.322882        1.822116
     2391.19076      2391.18765         -5.1425          1.7174         18.6600         99.9000       -120.1781         -1.8742       -5.015499        1.717420
     2391.19770      2391.19459         -3.0043          1.6068         18.7323         99.9000       -109.3843         -1.8742       -1.855819        1.606779
     2391.20465      2391.20154         -2.6932          1.8500         18.5793         99.9000       -137.0242         -1.8558       -4.389141        1.849992
     2391.21159      2391.20848          3.3734          1.8511         18.5786         99.9000       -132.7643         -1.8558        1.998446        1.851065
     2391.21854      2391.21542         -0.3517          1.8310         18.5905         99.9000       -132.0261         -1.8558       -2.235722        1.831014
     2391.22548      2391.22237         -3.2367          1.8533         18.5774         99.9000       -139.5708         -1.9601       -6.682682        1.853254
     2391.23242      2391.22931         -8.5463          1.8337         18.5889         99.9000       -134.7371         -1.9601       -8.353955        1.833669
     2391.23937      2391.23626          0.9372          1.6228         18.7215         99.9000       -109.3810         -1.9601       -0.042125        1.622824
     2391.24631      2391.24320          0.5057          1.6832         18.6818         99.9000       -114.8519         -1.9601       -0.254484        1.683250
     2391.25326      2391.25015         -0.8827          1.7593         18.6339         99.9000       -132.9900         -2.2357       -2.804154        1.759267
     2391.26020      2391.25709         -4.0031          1.8053         18.6058         99.9000       -125.6566         -2.4363       -4.988497        1.805327
     2391.26715      2391.26404         -2.0414          1.7781         18.6223         99.9000       -125.1574         -2.2357       -1.277304        1.778057
     2391.27409      2391.27098         -5.5106          1.7732         18.6253         99.9000       -118.7748         -2.2357       -4.130415        1.773228
     2391.28104      2391.27792          2.4620          1.8160         18.5994         99.9000       -111.0339         -2.2357       -1.115668        1.815970
     2391.28798      2391.28487         -1.7542          1.7239         18.6559         99.9000       -128.8981         -2.1055        0.227138        1.723865
     2391.29493      2391.29181         -0.9516          1.8174         18.5986         99.9000       -127.0197         -1.9601       -3.290616        1.817368
     2391.30187      2391.29876          3.8973          1.7643         18.6308         99.9000       -121.0123         -1.9601        0.886911        1.764281
     2391.30881      2391.30570          1.0483          1.8011         18.6083         99.9000       -124.9481         -1.9601       -0.055253        1.801134
     2391.31576      2391.31265         -1.9932          1.8202         18.5969         99.9000       -129.6623         -1.9601       -3.376682        1.820213
     2391.32270      2391.31959         -1.2675          1.8156         18.5996         99.9000       -137.3161         -2.1055       -1.832108        1.815631
     2391.32965      2391.32654         -4.4121          1.8132         18.6011         99.9000       -129.6686         -2.1055       -4.180588        1.813214
     2391.33659      2391.33348         -1.9556          1.8106         18.6026         99.9000       -129.1385         -2.2357       -1.960061        1.810610
     2391.34354      2391.34042         -4.7317          1.7996         18.6093         99.9000       -127.7759         -2.6418       -6.273960        1.799591
     2391.35048      2391.34737         -5.8657          1.7731         18.6253         99.9000       -137.8961         -2.6418       -3.469471        1.773141
     2391.35743      2391.35431          2.6836          1.7955         18.6117         99.9000       -131.4063         -2.8042        1.688833        1.795539
     2391.36437      2391.36126          2.3874          1.8007         18.6086         99.9000       -132.3833         -2.6723        1.086580        1.800718
     2391.37132      2391.36820         -2.0148          1.7881         18.6162         99.9000       -140.8167         -2.6723       -1.586025        1.788117
     2391.37826      2391.37515         -5.4812          1.8181         18.5981         99.9000       -134.1860         -2.6723       -5.987001        1.818146
     2391.38520      2391.38209         -3.0758          1.8291         18.5916         99.9000       -146.2762         -2.6723       -3.627926        1.829077
     2391.39215      2391.38904          1.6928          1.8378         18.5864         99.9000       -142.0167         -2.6723        0.405808        1.837847
     2391.39909      2391.39598         -1.2737          1.6882         18.6786         99.9000       -131.6315         -2.6418       -1.651118        1.688241
     2391.40604      2391.40292          3.5010          1.6904         18.6772         99.9000       -133.8870         -2.2269        1.927923        1.690397
     2391.41298      2391.40987         -6.2216          1.7015         18.6701         99.9000       -130.7095         -2.6418       -4.523176        1.701496
     2391.41993      2391.41681         -1.3852          1.5924         18.7420         99.9000       -118.3134         -2.6723       -4.332329        1.592432
     2391.42687      2391.42376          2.1951          1.8109         18.6025         99.9000       -143.3398         -2.6723        2.439192        1.810895
     2391.43382      2391.43070         -1.8538          1.8263         18.5933         99.9000       -153.9442         -2.6418       -6.757326        1.826321
     2391.44076      2391.43765          0.1411          1.8553         18.5761         99.9000       -150.9480         -2.6723       -1.125573        1.855345
     2391.44771      2391.44459          1.4738          1.6828         18.6821         99.9000       -132.2725         -2.6723       -2.105539        1.682773
     2391.45465      2391.45154         -1.2144          1.6678         18.6918         99.9000       -130.1171         -2.6723       -1.655355        1.667821
     2391.46159      2391.45848         -4.0113          1.7587         18.6342         99.9000       -137.7161         -2.9700       -4.552755        1.758669
     2391.46854      2391.46542         -2.7000          1.7914         18.6142         99.9000       -146.4407         -2.9700       -4.868505        1.791356
     2391.47548      2391.47237         -0.2466          1.7989         18.6097         99.9000       -151.5766         -2.9700       -2.641841        1.798876
     2391.48243      2391.47931         -5.5273          1.8057         18.6056         99.9000       -148.8008         -2.9700       -5.268041        1.805651
     2391.48937      2391.48626         -0.8627          1.8449         18.5822         99.9000       -151.1179         -2.9700       -2.992257        1.844939
     2391.49632      2391.49320         -2.9266          1.9091         18.5451         99.9000       -169.7840         -2.9923       -4.013949        1.909083
     2391.50326      2391.50015         -3.6292          1.9571         18.5181         99.9000       -159.0523         -2.9923       -4.497431        1.957129
     2391.51021      2391.50709          1.7298          1.9767         18.5073         99.9000       -173.2593         -2.9923        0.852790        1.976703
     2391.51715      2391.51404         -1.0561          2.0001         18.4946         99.9000       -181.6279         -2.9923       -3.934811        2.000128
     2391.52410      2391.52098         -2.0269          1.9965         18.4965         99.9000       -179.2299         -2.9923       -2.672346        1.996478
     2391.53104      2391.52792          2.9528          2.0030         18.4930         99.9000       -180.2382         -3.0459        2.338921        2.002994
     2391.53798      2391.53487         -2.5901          2.0326         18.4771         99.9000       -180.9309         -3.6279       -3.720578        2.032608
     2391.54493      2391.54181          0.1756          1.9036         18.5483         99.9000       -152.0261         -3.7206        0.402849        1.903593
     2391.55187      2391.54876         -1.9927          1.8620         18.5723         99.9000       -158.2633         -3.7206       -2.226866        1.861988
     2391.55882      2391.55570         -0.2973          1.8953         18.5530         99.9000       -160.3440         -3.7527       -1.155040        1.895294
     2391.56576      2391.56265         -1.2324          1.9115         18.5438         99.9000       -162.5539         -3.7527        0.044381        1.911492
     2391.57271      2391.56959         -6.5378          1.9298         18.5334         99.9000       -159.6884         -3.7527       -6.904482        1.929837
     2391.57965      2391.57654         -2.7589          1.9166         18.5409         99.9000       -163.0456         -3.7527       -3.752704        1.916552
     2391.58660      2391.58348         -4.3831          1.8933         18.5541         99.9000       -158.3805         -3.7206       -4.248613        1.893325
     2391.59354      2391.59042          0.6423          1.8837         18.5597         99.9000       -133.7658         -3.7206       -0.079215        1.883728
     2391.60049      2391.59737         -3.2528          1.9035         18.5483         99.9000       -158.9572         -3.7206       -4.144218        1.903476
     2391.60743      2391.60431         -6.0163          1.8885         18.5569         99.9000       -157.9130         -3.7206       -5.936305        1.888475
     2391.61437      2391.61126         -0.2782          1.9414         18.5269         99.9000       -170.1496         -3.7206       -0.820283        1.941448
     2391.62132      2391.61820         -2.3784          1.8868         18.5579         99.9000       -160.7796         -3.7206       -2.969970        1.886771
