# reference_flux:       -238.6207
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2390.65568      2390.65292          0.2527          1.1762         19.0710         99.9000         -0.7774          1.1961        0.248297        1.176239
     2390.66262      2390.65987          1.0834          1.1592         19.0868         99.9000         -1.3548          1.1961        2.202613        1.159247
     2390.66957      2390.66681          1.3615          1.1386         19.1063         99.9000         -1.9374          1.1961        0.416995        1.138600
     2390.67651      2390.67376          4.3339          1.1681         18.8478          0.2926         -0.1775          1.1961        1.863002        1.168138
     2390.68345      2390.68070          4.5794          1.1476         18.7880          0.2721         -1.5684          1.1961        4.327366        1.147583
     2390.69040      2390.68765          1.8389          1.1389         19.1060         99.9000         -1.9990          1.1418        0.958523        1.138906
     2390.69734      2390.69459         -1.8259          1.1684         19.0783         99.9000         -0.6278          1.1418       -1.523178        1.168354
     2390.70429      2390.70154          1.3130          1.2009         19.0485         99.9000         -1.4454          1.1418        1.042602        1.200860
     2390.71123      2390.70848          1.0867          1.2225         19.0291         99.9000         -0.6943          1.1418        2.285711        1.222495
     2390.71818      2390.71542          2.8281          1.1656         19.0809         99.9000         -0.7947          1.1418        4.066261        1.165563
     2390.72512      2390.72237          3.0786          1.1521         19.0935         99.9000         -0.0631          1.1418        1.196122        1.152058
     2390.73206      2390.72931          2.2426          1.1760         19.0712         99.9000         -0.3749          1.1418        4.277444        1.175974
     2390.73901      2390.73626          4.6738          1.1485         18.7658          0.2668         -2.5245          1.1418        1.829715        1.148527
     2390.74595      2390.74320         -2.6805          1.1980         19.0511         99.9000         -2.9462          1.0426       -1.517245        1.197953
     2390.75290      2390.75015         -1.1864          1.1480         19.0974         99.9000         -0.0980          1.0426        1.285786        1.147952
     2390.75984      2390.75709         -0.2860          1.1972         19.0517         99.9000          0.0976          1.0381        3.250191        1.197243
     2390.76679      2390.76404          0.6669          1.1896         19.0587         99.9000          1.0680          0.9585        0.903178        1.189601
     2390.77373      2390.77098         -3.5981          1.2281         19.0241         99.9000          2.2643          0.9585       -0.373780        1.228149
     2390.78068      2390.77792         -0.1567          1.2395         19.0141         99.9000         -0.7822          1.0381        0.435147        1.239528
