# reference_flux:       2816.8779
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2390.65505      2390.65292       2808.5301          1.9046         11.8188          0.0007         -1.5144         -0.1896       -1.229474        1.904559
     2390.66200      2390.65987       2815.4262          1.9143         11.8161          0.0007          0.1880          0.2711       -0.189584        1.914347
     2390.66894      2390.66681       2812.6592          1.8998         11.8172          0.0007          0.3938          0.2711       -1.719585        1.899788
     2390.67588      2390.67376       2817.5642          1.9139         11.8153          0.0007         -0.0107          0.2711        0.408667        1.913890
     2390.68283      2390.68070       2827.1450          1.8918         11.8116          0.0007         -0.5791          0.2711        3.682609        1.891760
     2390.68977      2390.68765       2815.4282          1.8984         11.8161          0.0007         -0.4568          0.2714        2.149993        1.898434
     2390.69672      2390.69459       2818.6928          1.8956         11.8149          0.0007         -1.5381          0.2714        0.869983        1.895616
     2390.70366      2390.70154       2816.6816          1.9100         11.8157          0.0007          0.8225          0.2711        0.562701        1.909982
     2390.71061      2390.70848       2808.3268          1.9086         11.8189          0.0007          3.2452          0.2714       -1.375294        1.908614
     2390.71755      2390.71542       2818.1758          1.9052         11.8151          0.0007          0.2249          0.2714       -1.198449        1.905239
     2390.72449      2390.72237       2811.3913          1.9125         11.8177          0.0007          0.3562          0.2714       -1.065590        1.912474
     2390.73144      2390.72931       2819.0440          1.9103         11.8147          0.0007          0.0329          0.2714        1.126476        1.910320
     2390.73838      2390.73626       2810.0072          1.8995         11.8182          0.0007         -1.3553          0.2714        1.706262        1.899480
     2390.74533      2390.74320       2815.8579          1.9090         11.8160          0.0007         -0.2578          0.2711       -0.421137        1.909046
     2390.75227      2390.75015       2815.3442          1.9183         11.8162          0.0007         -1.3273          0.2714        1.254874        1.918260
     2390.75922      2390.75709       2808.3766          1.9251         11.8189          0.0007         -2.9011          0.4087        0.271131        1.925051
     2390.76616      2390.76404       2819.2750          1.9119         11.8147          0.0007         -0.4547          0.4087       -0.899871        1.911912
     2390.77310      2390.77098       2817.7360          1.9210         11.8152          0.0007         -1.9305          0.2714        1.263495        1.921027
     2390.78005      2390.77792       2809.3374          1.9274         11.8185          0.0007         -1.8237          0.2714        0.492728        1.927385
     2390.78699      2390.78487       2813.0010          1.9320         11.8171          0.0007         -1.0344          0.2714       -1.623023        1.931970
     2390.79394      2390.79181       2812.3858          1.9412         11.8173          0.0007         -2.0727          0.2714       -1.259020        1.941188
     2390.80088      2390.79876       2814.3906          1.9533         11.8165          0.0008         -1.6763          0.2714        2.568147        1.953331
     2390.80782      2390.80570       2808.7192          1.9638         11.8187          0.0008         -3.8038          0.2714       -2.540098        1.963773
     2390.81477      2390.81265       2814.3217          1.9472         11.8166          0.0008         -2.1580          0.4087       -1.306845        1.947204
     2390.82171      2390.81959       2817.1177          1.9561         11.8155          0.0008         -3.1671          0.4927        1.861450        1.956096
     2390.82866      2390.82654       2814.5484          1.9570         11.8165          0.0008         -4.9440          0.4927       -0.163153        1.957034
     2390.83560      2390.83348       2815.1899          1.9669         11.8162          0.0008         -4.1635          0.4927        1.548217        1.966890
     2390.84255      2390.84042       2816.1172          1.9711         11.8159          0.0008         -2.2624          0.5627        0.927197        1.971101
     2390.84949      2390.84737       2820.0721          1.9731         11.8143          0.0008         -5.0245          0.5627        0.271371        1.973058
     2390.85644      2390.85431       2818.7377          1.9711         11.8149          0.0008         -4.7165          0.4927        2.425087        1.971120
     2390.86338      2390.86126       2813.5855          1.9851         11.8168          0.0008         -3.9300          0.4927       -0.089999        1.985130
     2390.87032      2390.86820       2819.4412          1.9917         11.8146          0.0008         -4.8838          0.2714        1.590979        1.991720
     2390.87727      2390.87515       2821.1297          1.9873         11.8139          0.0008          0.1017          0.2711       -1.213608        1.987296
     2390.88421      2390.88209       2818.9938          1.9906         11.8148          0.0008         -2.1517          0.2711        1.946475        1.990576
     2390.89116      2390.88904       2818.0776          1.9780         11.8151          0.0008         -1.8876          0.2711       -0.096086        1.977982
     2390.89810      2390.89598       2819.3154          1.9918         11.8146          0.0008         -2.5536          0.2714        1.552194        1.991769
     2390.90505      2390.90292       2816.3898          1.9916         11.8158          0.0008         -2.8258          0.2714       -0.128904        1.991626
     2390.91199      2390.90987       2818.5690          2.0035         11.8149          0.0008         -0.1609          0.2714        1.015621        2.003483
     2390.91893      2390.91681       2819.4384          1.9947         11.8146          0.0008         -1.6670          0.4927        2.360924        1.994713
     2390.92588      2390.92376       2816.7754          1.9867         11.8156          0.0008          0.4229          0.4927       -0.137209        1.986742
     2390.93282      2390.93070       2817.3593          1.9971         11.8154          0.0008         -0.5641          0.5866       -1.006650        1.997051
     2390.93977      2390.93765       2818.1682          2.0079         11.8151          0.0008         -4.2821          0.6296        1.666864        2.007852
     2390.94671      2390.94459       2816.5200          2.0031         11.8157          0.0008         -2.0679          0.6296        0.629554        2.003059
     2390.95366      2390.95154       2817.3807          1.9949         11.8154          0.0008         -4.2284          0.6296        1.772332        1.994874
     2390.96060      2390.95848       2817.0119          1.9950         11.8155          0.0008         -3.1250          0.6467        0.966172        1.995032
     2390.96754      2390.96542       2819.1030          1.9931         11.8147          0.0008         -3.1897          0.6467       -0.157922        1.993112
     2390.97449      2390.97237       2829.8364          2.0114         11.8106          0.0008         -3.9981          0.6296        2.389662        2.011416
     2390.98143      2390.97931       2823.3822          2.0041         11.8131          0.0008         -5.1125          0.6467        2.723551        2.004101
     2390.98838      2390.98626       2815.1733          2.0044         11.8162          0.0008         -2.4223          0.8829       -1.595795        2.004361
     2390.99532      2390.99320       2815.9172          2.0059         11.8160          0.0008         -2.7278          0.6467       -0.626578        2.005917
     2391.00227      2391.00015       2820.7746          2.0093         11.8141          0.0008         -5.3657          0.6467        2.312746        2.009270
     2391.00921      2391.00709       2817.0356          2.0151         11.8155          0.0008         -2.9686          0.6296       -0.948037        2.015054
     2391.01615      2391.01404       2813.5716          2.0079         11.8169          0.0008         -0.8925          0.5866       -4.029000        2.007913
