# reference_flux:        352.8348
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2419.99254      2419.98624        333.0835          1.9809         14.1336          0.0065         -6.4771         -1.1926       -3.069519        1.980880
     2419.99949      2419.99318        336.9559          1.9461         14.1211          0.0063         -2.8394         -1.1926       -2.851359        1.946086
     2420.00643      2420.00013        336.8136          1.9444         14.1215          0.0063         -3.9205         -1.1926       -1.739890        1.944364
     2420.01338      2420.00707        332.4133          1.9636         14.1358          0.0064         -5.8258         -1.5913       -2.832962        1.963583
     2420.02032      2420.01402        342.5338          1.9715         14.1032          0.0062         -3.7604         -1.5913       -0.722150        1.971536
     2420.02727      2420.02096        338.4997          1.9723         14.1161          0.0063         -7.6886         -1.5913       -1.591298        1.972310
     2420.03421      2420.02791        340.8766          1.9924         14.1085          0.0063         -5.2456         -1.1926       -0.916435        1.992450
     2420.04116      2420.03485        332.0846          1.9775         14.1369          0.0065         -4.5613         -1.1926       -2.795369        1.977501
     2420.04810      2420.04180        341.2215          1.9814         14.1074          0.0063         -3.6044         -1.5913        1.260526        1.981440
     2420.05504      2420.04874        338.6363          1.9989         14.1157          0.0064         -6.9095         -1.5913       -6.947312        1.998944
     2420.06199      2420.05568        345.9954          1.9987         14.0923          0.0063         -3.9352         -1.5913        2.258563        1.998738
     2420.06893      2420.06263        344.6986          1.9998         14.0964          0.0063         -4.7755         -1.1926       -2.153890        1.999770
     2420.07588      2420.06957        345.7989          1.9867         14.0929          0.0062         -6.1693         -1.5913       -0.786611        1.986721
     2420.08282      2420.07652        337.4495          2.0084         14.1195          0.0065         -5.1902         -1.5913       -2.506055        2.008385
     2420.08977      2420.08346        343.9528          2.0115         14.0988          0.0063         -3.1876         -1.5913       -1.899692        2.011517
     2420.09671      2420.09041        345.4633          2.0100         14.0940          0.0063         -2.3813         -1.1926       -0.669585        2.010033
     2420.10366      2420.09735        350.3657          2.0086         14.0787          0.0062         -7.4412         -1.3197       -1.192646        2.008592
     2420.11060      2420.10430        350.7807          1.9824         14.0774          0.0061         -3.4757         -1.3197        1.374379        1.982392
     2420.11755      2420.11124        345.5431          2.0331         14.0937          0.0064         -3.2984         -1.3197       -3.586553        2.033132
     2420.12449      2420.11818        341.8981          2.0316         14.1053          0.0065         -1.7105         -1.1926       -0.682389        2.031618
     2420.13143      2420.12513        345.8569          2.0367         14.0928          0.0064          0.4508         -1.1926        0.212191        2.036692
     2420.13838      2420.13207        346.8259          2.0382         14.0897          0.0064         -4.9493         -1.1926       -1.132970        2.038204
     2420.14532      2420.13902        350.7477          2.0475         14.0775          0.0063         -2.5408         -1.1926        0.288788        2.047490
     2420.15227      2420.14596        348.6123          2.0402         14.0841          0.0064         -3.1706         -1.1330        0.257882        2.040186
     2420.15921      2420.15291        354.4993          2.0390         14.0660          0.0062         -1.4218         -1.0885       -2.166030        2.039020
