# reference_flux:          3.5931
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2419.99035      2419.98626         -0.2228          1.2028         19.0467         99.9000         -4.2373         -0.6561       -2.386755        1.202813
     2419.99730      2419.99320          2.1780          1.2019         19.0475         99.9000         -5.3329         -0.6561       -0.516886        1.201924
     2420.00424      2420.00014          4.6526          1.2090         18.7708          0.2821         -7.3683         -0.6561        0.161038        1.208976
     2420.01119      2420.00709         -0.7182          1.2193         19.0319         99.9000         -6.4029         -0.6561       -1.738614        1.219302
     2420.01813      2420.01403          1.6243          1.2223         19.0293         99.9000         -4.5155         -0.6676       -0.129299        1.222257
     2420.02508      2420.02098          2.4604          1.2236         19.0281         99.9000         -5.5682         -0.6676       -0.085984        1.223618
     2420.03202      2420.02792          1.5984          1.2268         19.0253         99.9000         -4.6981         -0.6676       -2.011405        1.226795
     2420.03897      2420.03487         -2.2890          1.2358         19.0173         99.9000         -0.1912         -0.6561       -2.352182        1.235844
     2420.04591      2420.04181          2.8511          1.2416         19.0122         99.9000         -8.9608         -0.5302       -0.530218        1.241603
     2420.05285      2420.04876          2.5660          1.2539         19.0015         99.9000         -6.5381         -0.5302       -0.399097        1.253889
     2420.05980      2420.05570         -1.5540          1.2552         19.0004         99.9000         -6.4498         -0.5302       -1.928086        1.255178
     2420.06674      2420.06264          7.7533          1.2693         18.2163          0.1777         -4.5011         -0.5302        4.104899        1.269263
     2420.07369      2420.06959          0.9710          1.2889         18.9717         99.9000         -5.2651         -0.6561       -0.322236        1.288851
     2420.08063      2420.07653          7.5820          1.2912         18.2405          0.1849         -8.3707         -0.6561        0.908252        1.291169
     2420.08758      2420.08348         -0.2591          1.2870         18.9732         99.9000         -6.2061         -0.5302       -1.247531        1.287009
     2420.09452      2420.09042          0.9124          1.2945         18.9669         99.9000         -8.3489         -0.6561       -0.667572        1.294547
     2420.10147      2420.09737          1.1749          1.2994         18.9629         99.9000         -7.8312         -0.6676       -1.835553        1.299377
     2420.10841      2420.10431          1.3168          1.3041         18.9589         99.9000         -7.0438         -0.6561       -1.178803        1.304089
     2420.11536      2420.11126          3.3132          1.3113         18.9530         99.9000         -8.2009         -0.5302       -0.970659        1.311259
     2420.12230      2420.11820          0.9831          1.3092         18.9547         99.9000         -9.5778         -0.6561        2.113799        1.309209
     2420.12924      2420.12514          4.1893          1.3158         18.8846          0.3410         -8.8629         -0.6676       -0.656073        1.315780
     2420.13619      2420.13209          0.2591          1.3183         18.9471         99.9000         -8.1578         -0.6676       -1.504720        1.318320
     2420.14313      2420.13903          3.6709          1.3123         18.9522         99.9000         -7.7423         -0.6676        1.341392        1.312256
     2420.15008      2420.14598          2.0309          1.3102         18.9539         99.9000         -6.3840         -0.7680        1.274181        1.310184
     2420.15702      2420.15292         -4.5131          1.3123         18.9521         99.9000        -11.1069         -0.7680       -2.508988        1.312342
     2420.16397      2420.15987          7.9909          1.3110         18.1835          0.1781         -6.7949         -0.6676        2.559596        1.311010
     2420.17091      2420.16681         -0.5452          1.3168         18.9484         99.9000         -4.6609         -0.7680       -2.062901        1.316813
     2420.17786      2420.17376          3.5678          1.3146         18.9502         99.9000         -6.9914         -0.7844       -1.211503        1.314614
     2420.18480      2420.18070          1.2555          1.3204         18.9454         99.9000         -4.1369         -0.7680       -1.052928        1.320391
     2420.19174      2420.18764          3.4528          1.3098         18.9541         99.9000         -5.6273         -0.7680        0.960027        1.309842
     2420.19869      2420.19459          2.1096          1.3111         18.9531         99.9000         -3.6333         -0.7844       -0.455838        1.311103
     2420.20563      2420.20153         -0.7996          1.3087         18.9551         99.9000         -5.9852         -0.7844        0.557286        1.308683
     2420.21258      2420.20848         -1.1364          1.3042         18.9588         99.9000         -8.3975         -0.7844       -3.391085        1.304216
     2420.21952      2420.21542         -2.0192          1.3068         18.9567         99.9000         -3.4130         -0.8918       -0.768028        1.306793
     2420.22647      2420.22237          2.7550          1.3021         18.9605         99.9000         -5.8643         -0.8918        1.562618        1.302146
     2420.23341      2420.22931         -3.5675          1.2962         18.9655         99.9000         -2.9092         -0.7844       -2.750233        1.296238
     2420.24036      2420.23626          8.6307          1.2950         18.0999          0.1629         -6.4252         -0.8918        2.111530        1.294980
     2420.24730      2420.24320          2.5354          1.2901         18.9707         99.9000         -4.2074         -0.9707        1.037126        1.290051
     2420.25425      2420.25014          1.0488          1.2955         18.9661         99.9000         -5.9922         -0.9707       -1.718169        1.295503
     2420.26119      2420.25709         -1.8809          1.2964         18.9654         99.9000         -6.2655         -0.8918       -2.628202        1.296384
     2420.26813      2420.26403          0.8101          1.2871         18.9731         99.9000         -5.7993         -0.8918       -0.194460        1.287136
     2420.27508      2420.27098         -0.6754          1.2936         18.9677         99.9000         -5.4286         -0.7844        0.706749        1.293571
     2420.28202      2420.27792          0.6005          1.2878         18.9726         99.9000         -6.8782         -0.7680       -2.624263        1.287773
     2420.28897      2420.28487          0.8477          1.2773         18.9814         99.9000         -5.8090         -0.6561       -2.245599        1.277336
     2420.29591      2420.29181         -0.1446          1.2915         18.9695         99.9000         -2.1233         -0.7680       -1.697262        1.291501
     2420.30286      2420.29876         -0.5077          1.2920         18.9690         99.9000         -7.2284         -0.7680        0.144582        1.292041
     2420.30980      2420.30570          4.3186          1.2950         18.8516          0.3256         -4.8474         -0.7680       -0.784413        1.295049
     2420.31675      2420.31264          2.9720          1.2971         18.9648         99.9000         -2.6593         -0.7680       -1.950612        1.297092
     2420.32369      2420.31959         -0.2502          1.2964         18.9654         99.9000         -1.5915         -0.7680        0.150651        1.296360
     2420.33063      2420.32653         -3.7332          1.2995         18.9628         99.9000         -4.7465         -0.5788       -3.574371        1.299453
     2420.33758      2420.33348          0.7377          1.2994         18.9629         99.9000         -2.9306         -0.5788       -2.861216        1.299355
     2420.34452      2420.34042          3.5749          1.3075         18.9561         99.9000         -6.7904         -0.4679       -0.052107        1.307459
     2420.35147      2420.34737          5.2775          1.3117         18.6339          0.2699         -8.4512         -0.4679        2.475993        1.311725
