# reference_flux:          8.9972
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2419.99086      2419.98626         12.0726          1.3127         17.7355          0.1181         -9.3125         -3.5673       -1.486184        1.312724
     2419.99780      2419.99320          7.5014          1.3251         18.2521          0.1918         -4.0603         -3.5673       -2.151278        1.325118
     2420.00475      2420.00014          2.2088          1.3152         18.9497         99.9000         -4.6286         -3.5673       -0.944417        1.315218
     2420.01169      2420.00709          5.5998          1.3278         18.5696          0.2574        -10.9943         -3.5673       -3.905923        1.327766
     2420.01864      2420.01403          6.1468          1.3287         18.4684          0.2347         -4.0320         -3.5673       -5.160199        1.328654
     2420.02558      2420.02098          6.5097          1.3246         18.4061          0.2209         -3.4692         -3.5673       -4.475639        1.324562
     2420.03252      2420.02792          7.2172          1.3371         18.2941          0.2011         -3.0046         -3.5673       -2.540715        1.337067
     2420.03947      2420.03487          1.4023          1.3451         18.9253         99.9000         -5.3000         -3.5673       -7.033854        1.345089
     2420.04641      2420.04181          7.4949          1.3608         18.2531          0.1971        -10.1350         -3.5673       -1.755132        1.360780
     2420.05336      2420.04876          2.6798          1.3737         18.9025         99.9000          1.4955         -3.5673       -4.105637        1.373702
     2420.06030      2420.05570          8.5564          1.3802         18.1093          0.1751         -4.7353         -3.5673       -3.949433        1.380229
     2420.06725      2420.06264          1.1676          1.3755         18.9010         99.9000         -5.2704         -3.9059       -4.302126        1.375509
     2420.07419      2420.06959          5.6382          1.3910         18.5622          0.2679          0.5979         -3.9059       -2.659602        1.391007
     2420.08113      2420.07653          6.1273          1.4051         18.4718          0.2490         -7.5478         -3.9059       -3.058714        1.405139
     2420.08808      2420.08348          1.9511          1.4031         18.8795         99.9000         -4.0862         -3.9059       -4.923614        1.403123
     2420.09502      2420.09042         -2.0516          1.4292         18.8594         99.9000          1.3903         -3.9059       -5.930580        1.429220
     2420.10197      2420.09737          5.9725          1.4139         18.4996          0.2570         -3.5772         -3.9494       -0.639738        1.413913
     2420.10891      2420.10431         -1.1109          1.4302         18.8587         99.9000         -3.5378         -3.9494       -5.754691        1.430169
     2420.11586      2420.11126          4.6696          1.4421         18.7668          0.3353         -6.4104         -3.9494       -1.603563        1.442130
     2420.12280      2420.11820          1.8564          1.4556         18.8396         99.9000          0.4455         -3.9494       -3.567275        1.455560
     2420.12974      2420.12514          3.1576          1.4405         18.8509         99.9000         -3.1714         -3.9494       -4.578102        1.440546
     2420.13669      2420.13209          6.3399          1.4242         18.4348          0.2439         -2.9540         -3.9494       -1.345524        1.424154
     2420.14363      2420.13903          5.9069          1.4525         18.5116          0.2670         -4.2300         -4.1056       -3.105949        1.452492
     2420.15058      2420.14598          3.7592          1.4455         18.8471         99.9000         -3.9982         -4.2268       -2.184608        1.445548
     2420.15752      2420.15292          1.7186          1.4641         18.8333         99.9000         -1.2902         -4.2268       -1.752984        1.464056
     2420.16447      2420.15987          0.5726          1.4437         18.8485         99.9000          0.5970         -4.3021       -3.220050        1.443703
     2420.17141      2420.16681          6.2684          1.4322         18.4471          0.2481         -0.5587         -4.3173       -1.473325        1.432150
     2420.17835      2420.17376          4.6974          1.4235         18.7603          0.3290         -3.7512         -4.3173       -5.381449        1.423541
