# reference_flux:         16.3728
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2419.99049      2419.98626         13.4857          1.2994         17.6153          0.1046         -7.8584         -1.1937       -1.826259        1.299414
     2419.99744      2419.99320         11.7581          1.3025         17.7642          0.1203         -9.6815         -1.0226       -5.019551        1.302492
     2420.00438      2420.00014         17.2833          1.3096         17.3459          0.0823         -6.6928         -1.0226        0.902668        1.309620
     2420.01133      2420.00709         17.2830          1.3137         17.3460          0.0825         -3.3923         -1.0226       -0.133689        1.313731
     2420.01827      2420.01403         27.0805          1.3242         16.8584          0.0531         -4.5153         -1.0226        3.107959        1.324199
     2420.02521      2420.02098         22.8973          1.3270         17.0405          0.0629         -2.6720         -0.6439       -1.193743        1.327014
     2420.03216      2420.02792         22.4280          1.3335         17.0630          0.0646         -1.7618         -0.6439        0.789110        1.333547
     2420.03910      2420.03487         19.9482          1.3376         17.1902          0.0728         -5.1718         -0.6439       -0.150033        1.337599
     2420.04605      2420.04181         25.5762          1.3470         16.9204          0.0572         -5.8631         -0.6031        1.248790        1.347001
     2420.05299      2420.04876         22.8450          1.3557         17.0430          0.0644         -5.7338         -0.5641        0.951809        1.355744
     2420.05994      2420.05570         19.3265          1.3610         17.2246          0.0765         -7.4409         -0.5641        0.257803        1.361007
     2420.06688      2420.06264         15.2805          1.3667         17.4797          0.0971         -6.2295         -0.5641       -0.643856        1.366717
     2420.07383      2420.06959         18.1092          1.3722         17.2952          0.0823        -12.2372         -0.6031        0.372606        1.372221
     2420.08077      2420.07653         14.7235          1.3765         17.5200          0.1015         -8.9957         -0.6031       -1.022616        1.376501
     2420.08771      2420.08348          9.5793          1.3817         17.9867          0.1566        -11.2607         -0.6310       -2.916742        1.381651
     2420.09466      2420.09042          9.4262          1.3893         18.0042          0.1600        -13.3445         -0.6439       -5.272911        1.389258
     2420.10160      2420.09737          3.6528          1.3940         18.8865         99.9000        -12.0594         -0.8433       -4.701758        1.394016
     2420.10855      2420.10431          6.9230          1.4002         18.3393          0.2196         -9.0865         -1.0226       -0.603137        1.400228
     2420.11549      2420.11126          3.7567          1.4016         18.8806         99.9000        -14.5911         -1.1937       -3.035142        1.401616
     2420.12244      2420.11820          2.9380          1.4026         18.8799         99.9000        -13.7525         -1.1937       -3.973957        1.402613
     2420.12938      2420.12514         11.7591          1.4057         17.7641          0.1298        -10.9718         -1.5645       -2.968691        1.405667
     2420.13632      2420.13209          6.4921          1.4053         18.4090          0.2350        -11.7759         -1.5645       -6.645372        1.405310
     2420.14327      2420.13903          6.8368          1.4055         18.3529          0.2232         -9.2076         -1.7815       -3.141429        1.405532
     2420.15021      2420.14598         11.5221          1.4060         17.7862          0.1325        -11.1025         -1.5645       -5.386979        1.405992
     2420.15716      2420.15292         14.4256          1.4061         17.5422          0.1058         -7.9719         -1.5645       -0.230524        1.406107
     2420.16410      2420.15987         15.3558          1.4048         17.4743          0.0993         -6.2493         -1.4253       -1.564547        1.404809
     2420.17105      2420.16681         13.2879          1.4035         17.6314          0.1147         -0.8045         -1.4253       -4.023090        1.403474
     2420.17799      2420.17376         18.8412          1.4023         17.2522          0.0808         -1.5085         -1.4253       -0.564114        1.402330
     2420.18494      2420.18070         24.3421          1.4007         16.9741          0.0625         -5.2636         -1.4670       -0.117221        1.400747
     2420.19188      2420.18764         26.8007          1.3979         16.8696          0.0566         -4.3287         -1.4670        1.129747        1.397907
     2420.19882      2420.19459         20.2617          1.3945         17.1733          0.0747        -12.6731         -1.4670       -0.342830        1.394490
     2420.20577      2420.20153         22.1710          1.3938         17.0755          0.0683         -6.8356         -1.4670        0.286512        1.393797
     2420.21271      2420.20848         17.0920          1.3907         17.3580          0.0883         -9.0886         -1.4670        0.399696        1.390706
     2420.21966      2420.21542         18.0312          1.3890         17.2999          0.0836         -8.0298         -1.5645       -0.630966        1.389029
     2420.22660      2420.22237         20.9733          1.3863         17.1358          0.0718         -8.5445         -1.5656       -3.026277        1.386282
     2420.23355      2420.22931         10.3431          1.3810         17.9034          0.1450        -12.1561         -1.7815       -5.553366        1.380994
     2420.24049      2420.23626         10.8163          1.3789         17.8548          0.1384        -12.3494         -1.7815       -1.781542        1.378907
     2420.24744      2420.24320          8.0015          1.3763         18.1821          0.1868        -14.0768         -2.5048       -4.264650        1.376342
     2420.25438      2420.25014          7.4008          1.3753         18.2668          0.2018        -11.9446         -2.6897       -0.843341        1.375332
     2420.26132      2420.25709          7.7871          1.3754         18.2116          0.1918         -6.4667         -2.5048       -2.738024        1.375398
     2420.26827      2420.26403          7.5441          1.3724         18.2460          0.1975         -9.9627         -2.5048       -2.504806        1.372358
     2420.27521      2420.27098          9.4086          1.3727         18.0062          0.1584        -13.2955         -1.7815       -3.254106        1.372688
     2420.28216      2420.27792          8.6698          1.3734         18.0950          0.1720        -10.0926         -1.7815       -8.815089        1.373357
     2420.28910      2420.28487         14.9495          1.3748         17.5034          0.0998        -10.6631         -1.7391       -3.822556        1.374777
     2420.29605      2420.29181         12.6222          1.3744         17.6872          0.1182         -8.8446         -1.5656       -1.425340        1.374401
     2420.30299      2420.29876         10.8123          1.3752         17.8552          0.1381         -7.8611         -1.5645       -4.641897        1.375172
     2420.30993      2420.30570         15.8917          1.3784         17.4371          0.0942         -6.5929         -1.4670       -1.308810        1.378390
     2420.31688      2420.31264         16.3237          1.3806         17.4080          0.0918         -5.8009         -1.4670       -4.121928        1.380573
     2420.32382      2420.31959         24.8852          1.3839         16.9501          0.0604         -9.1762         -1.4577       -0.547813        1.383880
     2420.33077      2420.32653         19.0274          1.3856         17.2416          0.0791         -5.0279         -1.4670       -1.467009        1.385575
     2420.33771      2420.33348         20.9189          1.3883         17.1387          0.0721         -3.4474         -1.4670        2.171262        1.388267
     2420.34466      2420.34042         20.7400          1.3917         17.1480          0.0729         -3.6116         -1.4670       -1.565557        1.391680
     2420.35160      2420.34737         22.6724          1.3959         17.0513          0.0668         -5.3812         -1.4670        0.013396        1.395941
     2420.35855      2420.35431         19.6096          1.3977         17.2088          0.0774         -4.0337         -1.5656        2.311768        1.397745
     2420.36549      2420.36126         15.1926          1.3994         17.4859          0.1000         -9.1349         -1.7391        0.756531        1.399368
     2420.37243      2420.36820         16.3302          1.4008         17.4075          0.0931         -9.2185         -1.7815       -0.793852        1.400825
     2420.37938      2420.37514          9.9210          1.4059         17.9486          0.1539        -11.0063         -1.7815       -4.286927        1.405920
     2420.38632      2420.38209          4.8296          1.4092         18.7302          0.3168        -13.0992         -2.2175       -4.960935        1.409222
     2420.39327      2420.38903          6.0869          1.4162         18.4790          0.2526        -13.2340         -2.5048       -2.689707        1.416216
     2420.40021      2420.39598          6.4311          1.4216         18.4193          0.2400        -14.1192         -2.2175        0.010269        1.421555
     2420.40716      2420.40292          0.1647          1.4248         18.8628         99.9000        -16.2433         -2.0828      -10.132013        1.424804
     2420.41410      2420.40987          9.5420          1.4315         17.9909          0.1629        -14.0617         -2.0828       -4.107008        1.431473
     2420.42105      2420.41681          9.3911          1.4380         18.0082          0.1663        -13.2163         -2.0828       -1.739100        1.437992
     2420.42799      2420.42376          7.9507          1.4475         18.1890          0.1977         -7.1093         -2.2175       -2.593329        1.447477
     2420.43493      2420.43070         14.8272          1.4610         17.5124          0.1070        -14.2266         -2.0828       -0.239342        1.460974
     2420.44188      2420.43764         15.8163          1.4620         17.4422          0.1004        -11.8899         -1.7391       -0.773150        1.461975
     2420.44882      2420.44459         13.2661          1.4583         17.6331          0.1193         -6.3701         -1.7391       -1.457741        1.458260
     2420.45577      2420.45153         20.1312          1.4591         17.1803          0.0787         -2.7615         -1.7391        4.357706        1.459118
     2420.46271      2420.45848         17.5421          1.4583         17.3298          0.0903         -0.6324         -1.7391       -1.399531        1.458272
     2420.46966      2420.46542         13.3590          1.4565         17.6256          0.1184         -2.1273         -1.7391       -0.100834        1.456532
