# reference_flux:        103.0309
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2419.99204      2419.98626        111.5873          2.0938         15.3210          0.0204          2.4114          6.5790        1.869370        2.093782
     2419.99899      2419.99320        106.3917          2.0989         15.3727          0.0214          2.5715          6.5790        0.208513        2.098948
     2420.00593      2420.00014        113.5372          2.1065         15.3022          0.0201          2.6872          6.5790        4.010672        2.106451
     2420.01288      2420.00709        109.1960          2.1153         15.3445          0.0210          9.3969          6.5790       -1.313063        2.115265
     2420.01982      2420.01403        114.5179          2.1293         15.2928          0.0202         -0.9423          6.5790        3.924004        2.129253
     2420.02676      2420.02098        112.7465          2.1383         15.3097          0.0206         -1.9860          6.5790        3.077597        2.138252
     2420.03371      2420.02792        108.6882          2.1490         15.3495          0.0215          2.4568          6.5790        0.436767        2.148981
     2420.04065      2420.03487        124.8082          2.1603         15.1994          0.0188         -6.7883          6.5790        6.536916        2.160266
     2420.04760      2420.04181        114.0254          2.1724         15.2975          0.0207         -0.7609          6.5790        3.877005        2.172404
     2420.05454      2420.04876        113.4307          2.1867         15.3032          0.0209          5.0828          6.5369        5.363138        2.186684
     2420.06149      2420.05570        108.2483          2.1955         15.3539          0.0220         -1.6931          6.5369        6.578964        2.195481
     2420.06843      2420.06264        118.2185          2.2082         15.2583          0.0203         -2.0291          6.5790       14.349380        2.208230
     2420.07538      2420.06959        113.3929          2.2174         15.3035          0.0212          1.4115          6.5369        8.517956        2.217439
     2420.08232      2420.07653        116.2544          2.2265         15.2765          0.0208         -0.7097          6.5369        3.815356        2.226495
     2420.08927      2420.08348        118.5177          2.2251         15.2555          0.0204         -1.7489          6.5369       12.202211        2.225075
     2420.09621      2420.09042        117.2795          2.2343         15.2669          0.0207          1.7063          6.5369       16.483124        2.234282
     2420.10315      2420.09737        120.6785          2.2465         15.2359          0.0202         -3.4495          6.5369       13.623201        2.246543
     2420.11010      2420.10431        121.8034          2.2503         15.2259          0.0201         -3.6946          6.5790       16.149051        2.250305
     2420.11704      2420.11126        120.8889          2.2511         15.2340          0.0202        -12.2691          6.9840       16.978183        2.251096
     2420.12399      2420.11820        118.0631          2.2510         15.2597          0.0207         -8.2920          6.9840       12.741448        2.250977
     2420.13093      2420.12514        114.7420          2.2508         15.2907          0.0213         -9.6528          6.9840       12.058932        2.250837
     2420.13788      2420.13209        110.4271          2.2491         15.3323          0.0221        -10.6702          7.1805       10.361843        2.249147
     2420.14482      2420.13903        122.3387          2.2480         15.2211          0.0200         -8.8585          7.1805       20.810413        2.247984
     2420.15177      2420.14598        119.9126          2.2439         15.2428          0.0203        -12.2352          7.5457       10.461952        2.243902
     2420.15871      2420.15292        130.1580          2.2378         15.1538          0.0187        -16.1983          7.6422       15.337525        2.237789
     2420.16565      2420.15987        118.4567          2.2330         15.2561          0.0205        -13.2293          7.6937       10.602720        2.233021
     2420.17260      2420.16681        115.5547          2.2258         15.2830          0.0209        -14.5447          7.8151       10.000783        2.225757
     2420.17954      2420.17376        113.4264          2.2199         15.3032          0.0212        -13.2983          7.8151        6.984040        2.219854
     2420.18649      2420.18070        121.9574          2.2166         15.2245          0.0197        -11.1013          7.8859        3.963601        2.216583
     2420.19343      2420.18764        123.3277          2.2015         15.2123          0.0194        -11.9160          8.3267       15.184465        2.201528
     2420.20038      2420.19459        110.7450          2.1969         15.3292          0.0215         -8.6474          8.3267        8.326713        2.196926
     2420.20732      2420.20153        131.1068          2.2030         15.1459          0.0182        -24.3962          8.3267       11.276704        2.203010
     2420.21427      2420.20848        127.8044          2.1945         15.1736          0.0186        -21.1624          8.3424        4.277023        2.194520
     2420.22121      2420.21542        122.5088          2.1847         15.2196          0.0194        -20.2794          8.3424        7.180489        2.184697
     2420.22815      2420.22237        127.4708          2.1783         15.1765          0.0186        -18.3409          8.4178        7.885858        2.178300
     2420.23510      2420.22931        124.0516          2.1703         15.2060          0.0190        -21.4224          8.4178        4.090407        2.170335
     2420.24204      2420.23626        129.4084          2.1715         15.1601          0.0182        -13.3817          8.3424        7.693699        2.171527
     2420.24899      2420.24320        117.8810          2.1578         15.2614          0.0199        -12.6285          8.3424       -2.696303        2.157780
     2420.25593      2420.25014        129.4948          2.1541         15.1594          0.0181         -5.3878          8.3424        6.348846        2.154051
     2420.26288      2420.25709        131.0588          2.1469         15.1463          0.0178        -11.5854          8.3267        7.815139        2.146941
     2420.26982      2420.26403        125.5806          2.1472         15.1927          0.0186        -11.1259          8.3104        7.545708        2.147196
     2420.27677      2420.27098        127.9146          2.1431         15.1727          0.0182        -17.2352          7.8859        7.642182        2.143059
     2420.28371      2420.27792        126.8671          2.1418         15.1816          0.0183        -19.2040          7.8151        5.733370        2.141830
     2420.29066      2420.28487        127.6083          2.1393         15.1753          0.0182        -19.2135          7.8151        5.135651        2.139271
     2420.29760      2420.29181        127.7311          2.1354         15.1743          0.0182        -17.0550          7.6937        9.093977        2.135422
     2420.30454      2420.29876        121.6565          2.1381         15.2272          0.0191        -17.3844          7.6937        5.111918        2.138063
     2420.31149      2420.30570        125.2768          2.1400         15.1953          0.0185        -16.0900          7.6422        8.819898        2.140044
     2420.31843      2420.31264        123.4574          2.1437         15.2112          0.0189        -19.4750          7.5457        9.250543        2.143684
     2420.32538      2420.31959        125.1914          2.1428         15.1961          0.0186        -16.8691          7.5457        8.342449        2.142841
     2420.33232      2420.32653        122.3981          2.1439         15.2206          0.0190        -17.5876          7.5457       10.680315        2.143926
     2420.33927      2420.33348        123.6563          2.1465         15.2095          0.0188        -22.9843          7.4412        2.410763        2.146540
     2420.34621      2420.34042        121.1610          2.1504         15.2316          0.0193        -19.8211          7.4341        8.875100        2.150427
     2420.35316      2420.34737        118.1018          2.1545         15.2594          0.0198        -27.8996          7.4341        9.578056        2.154454
     2420.36010      2420.35431        118.6090          2.1563         15.2547          0.0197        -21.5077          7.4341        8.310419        2.156296
     2420.36705      2420.36126        116.4727          2.1593         15.2744          0.0201        -25.4506          7.1805        7.143874        2.159336
     2420.37399      2420.36820        117.9140          2.1655         15.2611          0.0199        -21.5516          7.1439        8.417804        2.165470
     2420.38093      2420.37514        119.4644          2.1747         15.2469          0.0198        -24.0280          6.3488        5.125271        2.174660
     2420.38788      2420.38209        119.9272          2.1808         15.2427          0.0197        -28.9237          6.3488       15.972891        2.180814
     2420.39482      2420.38903        113.8288          2.1901         15.2994          0.0209        -20.7376          6.2222        4.365824        2.190145
     2420.40177      2420.39598        117.5403          2.1959         15.2645          0.0203        -26.3305          6.1167        7.441193        2.195881
     2420.40871      2420.40292        121.8374          2.2052         15.2255          0.0197        -25.9212          6.1167       11.499798        2.205205
     2420.41566      2420.40987        110.4738          2.2113         15.3319          0.0217        -21.5484          5.9495        5.949515        2.211254
     2420.42260      2420.41681        106.2559          2.2220         15.3741          0.0227        -19.9427          5.9495        6.116683        2.221974
     2420.42955      2420.42376        114.1481          2.2389         15.2963          0.0213        -20.7053          5.7985        6.222223        2.238875
     2420.43649      2420.43070        105.0695          2.2570         15.3863          0.0233        -21.8171          5.7334        5.261109        2.257017
     2420.44343      2420.43764        112.1916          2.2561         15.3151          0.0218        -20.9684          5.7334        7.434061        2.256145
     2420.45038      2420.44459        114.2374          2.2492         15.2955          0.0214        -28.1600          5.4978       13.204079        2.249196
     2420.45732      2420.45153        103.6223          2.2419         15.4014          0.0235        -30.2929          5.2611        5.798541        2.241949
     2420.46427      2420.45848        110.0056          2.2374         15.3365          0.0221        -25.2872          5.2611        8.069912        2.237436
     2420.47121      2420.46542        108.9199          2.2378         15.3472          0.0223        -25.4678          5.1253        2.966094        2.237778
     2420.47816      2420.47237        108.2027          2.2369         15.3544          0.0224        -14.3347          5.1253        5.061990        2.236947
     2420.48510      2420.47931        115.6625          2.2532         15.2820          0.0212        -20.3957          5.1253       10.422129        2.253236
     2420.49205      2420.48626        107.4939          2.2516         15.3615          0.0227         65.2216          5.0620        7.698504        2.251595
     2420.49899      2420.49320        104.8777          2.2406         15.3883          0.0232        -18.5632          4.8768        3.704359        2.240559
     2420.50594      2420.50014        108.5360          2.2453         15.3511          0.0225        -29.0473          4.6769        4.676860        2.245272
     2420.51288      2420.50709        106.5650          2.2446         15.3710          0.0229        -30.6560          4.6769       -0.479750        2.244593
     2420.51982      2420.51403        108.5317          2.2471         15.3511          0.0225         -6.2660          4.3658        1.536897        2.247072
     2420.52677      2420.52098        104.2777          2.2466         15.3945          0.0234        -20.7462          4.2481       -4.026667        2.246624
     2420.53371      2420.52792        105.9526          2.2412         15.3772          0.0230        -22.6107          4.2481        1.584576        2.241156
     2420.54066      2420.53487        111.8122          2.2375         15.3188          0.0217        -23.1352          3.7044        2.300301        2.237498
     2420.54760      2420.54181        111.3933          2.2357         15.3229          0.0218         57.5008          3.7044        2.215618        2.235678
     2420.55455      2420.54876        112.1658          2.2348         15.3153          0.0216        -29.8041          3.7044        1.185250        2.234789
     2420.56149      2420.55570        110.8503          2.2299         15.3282          0.0218        -19.4183          3.7044        5.497836        2.229926
     2420.56844      2420.56264        107.1472          2.2265         15.3650          0.0226        -14.8215          3.7044        0.134472        2.226455
     2420.57538      2420.56959        102.0532          2.2188         15.4179          0.0236        -19.0446          3.7044        0.490210        2.218804
     2420.58233      2420.57653        106.7688          2.2168         15.3689          0.0225        -17.6750          3.7044        4.876800        2.216783
     2420.58927      2420.58348        106.6337          2.2159         15.3703          0.0226        -18.1246          3.4571       -0.974905        2.215935
     2420.59621      2420.59042        106.4755          2.2199         15.3719          0.0226        -16.5296          3.4496        0.778979        2.219860
     2420.60316      2420.59737        105.9573          2.2152         15.3772          0.0227        -19.6814          3.4496        5.904831        2.215238
     2420.61010      2420.60431        104.1071          2.2138         15.3963          0.0231        -20.6848          3.3705        2.110716        2.213801
     2420.61705      2420.61126        104.1859          2.2105         15.3955          0.0230        -25.4314          3.3705       -0.204062        2.210466
     2420.62399      2420.61820        107.7580          2.2150         15.3589          0.0223        -27.1254          3.3705        0.370959        2.214987
     2420.63094      2420.62514        112.5020          2.2137         15.3121          0.0214        -24.0850          3.3705        2.617055        2.213745
     2420.63788      2420.63209        106.9211          2.2039         15.3673          0.0224         28.2919          3.3705       -0.854852        2.203903
     2420.64483      2420.63903        111.6104          2.2074         15.3207          0.0215        -18.6409          3.4496        6.028525        2.207417
     2420.65177      2420.64598        106.7024          2.2052         15.3696          0.0224        -18.9084          3.4496        0.957424        2.205222
     2420.65872      2420.65292        103.2047          2.2000         15.4058          0.0231        -18.6949          3.4496       -1.849544        2.199964
     2420.66566      2420.65987        111.6219          2.1974         15.3206          0.0214        -26.2397          3.4496        0.905939        2.197362
     2420.67260      2420.66681        111.9099          2.1917         15.3178          0.0213        -24.2557          3.4496        4.248097        2.191736
     2420.67955      2420.67376        109.3453          2.1849         15.3430          0.0217        -21.9673          3.4496        2.067763        2.184904
     2420.68649      2420.68070        112.3922          2.1847         15.3132          0.0211        -24.1462          3.4496        3.449621        2.184714
     2420.69344      2420.68764        112.9716          2.1844         15.3076          0.0210        -21.2783          3.4571        5.497070        2.184411
     2420.70038      2420.69459        111.0555          2.1831         15.3261          0.0213        -22.8159          3.8344        1.772986        2.183124
     2420.70733      2420.70153        111.3066          2.1807         15.3237          0.0213        -25.9668          3.8344        4.915863        2.180692
     2420.71427      2420.70848        114.2874          2.1819         15.2950          0.0207        -21.4849          3.8344        8.021428        2.181868
     2420.72122      2420.71542        107.4080          2.1825         15.3624          0.0221        -22.9276          4.0260        4.145379        2.182479
     2420.72816      2420.72237        107.0485          2.1822         15.3660          0.0221        -19.6396          4.1095        6.979459        2.182231
     2420.73510      2420.72931        106.9169          2.1871         15.3674          0.0222        -17.9811          4.1095        6.170355        2.187148
     2420.74205      2420.73626        103.1635          2.1833         15.4062          0.0230        -16.6357          4.1454        4.025992        2.183252
     2420.74899      2420.74320        112.6850          2.1830         15.3103          0.0210        -23.2102          4.1454        3.457081        2.183029
     2420.75594      2420.75014        107.7427          2.2037         15.3590          0.0222        -20.0390          4.1095        3.370498        2.203688
     2420.76288      2420.75709        107.0660          2.1883         15.3659          0.0222        -17.1653          4.1095        6.540611        2.188261
     2420.76983      2420.76403        107.2738          2.1893         15.3638          0.0222        -18.8758          4.1454       -0.236071        2.189260
     2420.77677      2420.77098        102.4284          2.1945         15.4139          0.0233        -17.8024          4.1454        6.799991        2.194515
     2420.78372      2420.77792        110.4203          2.1909         15.3324          0.0215        -25.4831          4.2481       10.994451        2.190874
     2420.79066      2420.78487        109.3091          2.1914         15.3434          0.0218        -23.2401          4.2481        5.105721        2.191413
     2420.79761      2420.79181        111.1937          2.1953         15.3248          0.0214        -25.2429          4.2481        8.128972        2.195299
     2420.80455      2420.79876        109.8735          2.1946         15.3378          0.0217        -21.2915          4.2593        4.658252        2.194629
     2420.81149      2420.80570        113.7632          2.1934         15.3000          0.0209        -23.5327          4.3998        5.361092        2.193371
     2420.81844      2420.81264        108.8792          2.1960         15.3476          0.0219        -26.6610          4.2593        4.540614        2.195995
     2420.82538      2420.81959        108.9325          2.1805         15.3471          0.0217        -19.8719          4.2593       12.884887        2.180513
     2420.83233      2420.82653        104.0849          2.1873         15.3965          0.0228        -20.9381          4.2593        6.480164        2.187271
     2420.83927      2420.83348        108.1949          2.1850         15.3545          0.0219        -24.8498          4.2593        3.834350        2.185034
     2420.84622      2420.84042        114.6718          2.1891         15.2914          0.0207        -28.6127          4.2593        3.206771        2.189061
