# reference_flux:        536.2326
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2419.99164      2419.98626        540.3880          1.7914         13.6082          0.0036        -23.9695          4.0065        3.409668        1.791422
     2419.99858      2419.99320        546.7832          1.7995         13.5955          0.0036        -28.0849          4.4444        5.579889        1.799470
     2420.00553      2420.00014        543.5870          1.7926         13.6018          0.0036        -27.8776          4.0065        4.444383        1.792584
     2420.01247      2420.00709        544.9128          1.8055         13.5992          0.0036        -24.4549          4.0065        4.642907        1.805481
     2420.01941      2420.01403        538.5473          1.7874         13.6119          0.0036        -23.7711          4.0065        3.634850        1.787380
     2420.02636      2420.02098        544.2239          1.8066         13.6006          0.0036        -20.5337          4.0065        6.117710        1.806562
     2420.03330      2420.02792        540.8692          1.8257         13.6073          0.0037        -26.7583          3.7485        3.748514        1.825701
     2420.04025      2420.03487        547.9869          1.8046         13.5931          0.0036        -29.4171          3.7485        7.686863        1.804577
     2420.04719      2420.04181        538.6817          1.8352         13.6117          0.0037        -26.8506          3.7485       -0.292308        1.835245
     2420.05414      2420.04876        538.5820          1.8257         13.6119          0.0037        -24.2279          3.6349       -1.766008        1.825703
     2420.06108      2420.05570        541.2924          1.8216         13.6064          0.0037        -21.9563          3.7485        3.536407        1.821638
     2420.06803      2420.06264        551.0130          1.8270         13.5871          0.0036        -22.0468          3.7485        5.259975        1.826967
     2420.07497      2420.06959        539.9147          1.8367         13.6092          0.0037        -19.4385          3.7485        4.696887        1.836690
     2420.08191      2420.07653        538.6187          1.8417         13.6118          0.0037        -26.3607          3.6349        0.103138        1.841673
     2420.08886      2420.08348        535.3271          1.8578         13.6185          0.0038        -21.8970          3.6349        2.446280        1.857801
     2420.09580      2420.09042        540.3338          1.8483         13.6083          0.0037        -32.1420          3.7485        4.006508        1.848306
     2420.10275      2420.09737        548.0111          1.8517         13.5930          0.0037        -33.4880          3.7485        8.049673        1.851748
     2420.10969      2420.10431        542.3054          1.8690         13.6044          0.0037        -28.4167          3.7485        2.839268        1.869011
     2420.11664      2420.11126        549.1258          1.8622         13.5908          0.0037        -33.6584          3.7485        5.625125        1.862164
     2420.12358      2420.11820        549.1031          1.8892         13.5909          0.0037        -36.5181          3.7485        7.562832        1.889186
     2420.13053      2420.12514        544.1753          1.8364         13.6007          0.0037        -29.8132          4.0065        3.580521        1.836415
     2420.13747      2420.13209        546.2844          1.8420         13.5965          0.0037        -34.0015          3.7485        6.879342        1.842045
     2420.14442      2420.13903        546.5438          1.8618         13.5959          0.0037        -37.0255          3.6604        5.959623        1.861757
     2420.15136      2420.14598        539.6861          1.8589         13.6096          0.0037        -30.8753          3.6349        1.336449        1.858883
     2420.15830      2420.15292        546.8385          1.8318         13.5954          0.0036        -31.9183          3.6349        5.412022        1.831754
     2420.16525      2420.15987        545.2002          1.8530         13.5986          0.0037        -34.4857          3.6604        2.338432        1.852981
     2420.17219      2420.16681        542.3263          1.8488         13.6043          0.0037        -32.2959          3.6604        4.588732        1.848770
     2420.17914      2420.17376        541.4966          1.8220         13.6060          0.0037        -30.3801          3.6604        0.486134        1.821957
     2420.18608      2420.18070        538.5490          1.8554         13.6119          0.0037        -28.1259          3.6349       -0.416553        1.855422
     2420.19303      2420.18764        539.9527          1.8424         13.6091          0.0037        -26.0312          3.5805        1.327473        1.842401
     2420.19997      2420.19459        537.3492          1.8403         13.6144          0.0037        -29.1712          3.5364        1.812322        1.840316
     2420.20692      2420.20153        539.3818          1.8441         13.6103          0.0037        -30.5392          3.5364        2.669491        1.844122
     2420.21386      2420.20848        540.7732          1.8347         13.6075          0.0037        -28.4470          3.4697        3.469652        1.834694
     2420.22081      2420.21542        539.9770          1.8267         13.6091          0.0037        -28.7418          3.5364        4.496935        1.826744
     2420.22775      2420.22237        535.0456          1.8279         13.6190          0.0037        -25.4866          3.5805       -0.165371        1.827911
     2420.23469      2420.22931        547.9703          1.8311         13.5931          0.0036        -33.2798          3.5805        6.822271        1.831120
     2420.24164      2420.23626        542.4865          1.8416         13.6040          0.0037        -27.0884          3.4697        1.942121        1.841639
     2420.24858      2420.24320        538.2751          1.8133         13.6125          0.0037        -27.5836          3.4608        2.341197        1.813332
     2420.25553      2420.25014        547.6037          1.8211         13.5938          0.0036        -30.1214          3.4697        5.305017        1.821079
     2420.26247      2420.25709        550.3240          1.8242         13.5885          0.0036        -28.6099          3.4697        7.714077        1.824176
     2420.26942      2420.26403        537.7570          1.8409         13.6135          0.0037        -22.9654          3.4608       -1.953104        1.840907
     2420.27636      2420.27098        543.2372          1.8251         13.6025          0.0036        -23.1017          3.0429        8.962498        1.825076
     2420.28331      2420.27792        550.0544          1.8136         13.5890          0.0036        -31.6153          3.0429        6.134683        1.813633
     2420.29025      2420.28487        550.3927          1.8318         13.5883          0.0036        -30.9969          2.9056        7.071694        1.831752
     2420.29719      2420.29181        542.4574          1.6987         13.6041          0.0034        -24.1467          2.6839        3.660444        1.698688
     2420.30414      2420.29876        541.4724          1.6830         13.6061          0.0034        -25.5727          2.6695        2.683927        1.683037
     2420.31108      2420.30570        540.3226          1.7073         13.6084          0.0034        -21.5142          2.5858        2.585798        1.707280
     2420.31803      2420.31264        544.4129          1.8243         13.6002          0.0036        -33.2824          2.3412        1.915137        1.824295
     2420.32497      2420.31959        542.4794          1.6985         13.6040          0.0034        -24.7559          2.3412        4.922996        1.698528
     2420.33192      2420.32653        545.4820          1.8402         13.5980          0.0037        -33.8096          2.3384        5.807590        1.840207
     2420.33886      2420.33348        545.5478          1.7001         13.5979          0.0034        -23.1968          2.3412        4.880275        1.700082
     2420.34581      2420.34042        540.8150          1.8334         13.6074          0.0037        -26.8900          2.2545        2.905559        1.833399
     2420.35275      2420.34737        545.3035          1.8337         13.5984          0.0037        -33.9422          2.3412        3.460757        1.833725
