# reference_flux:       -971.9635
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2419.99120      2419.98626          6.4501          1.6835         18.4161          0.2834         -0.9052          5.2095        4.011623        1.683507
     2419.99814      2419.99320         10.1789          1.6628         17.9208          0.1774          2.9116          5.2095        8.707914        1.662843
     2420.00509      2420.00014          6.7152          1.6656         18.3724          0.2693         -3.0847          5.2095        7.588731        1.665568
     2420.01203      2420.00709          4.2528          1.7093         18.6651         99.9000          0.0730          5.2095        4.850942        1.709335
     2420.01897      2420.01403         -2.2546          1.7813         18.6203         99.9000          5.2976          5.6008        3.504920        1.781323
     2420.02592      2420.02098          4.2577          1.7783         18.6222         99.9000          1.9687          5.6008        2.236666        1.778250
     2420.03286      2420.02792         -2.6063          1.7691         18.6278         99.9000         13.2727          5.6008        5.209501        1.769064
     2420.03981      2420.03487          3.0989          1.7280         18.6534         99.9000         11.1095          5.6008        5.600810        1.727972
     2420.04675      2420.04181          1.5348          1.7322         18.6507         99.9000         17.3660          5.6008        3.174775        1.732171
     2420.05370      2420.04876          4.0423          1.7600         18.6334         99.9000         12.3271          5.2095        7.259057        1.760018
     2420.06064      2420.05570         -0.4958          1.7993         18.6094         99.9000          6.3695          5.2095        0.191731        1.799331
     2420.06759      2420.06264          3.0041          1.8261         18.5934         99.9000         -3.0206          5.6008        2.204991        1.826054
     2420.07453      2420.06959          8.8200          1.8786         18.0763          0.2313          5.7995          5.2095        9.284317        1.878576
     2420.08148      2420.07653          5.4140          1.8956         18.5528         99.9000        -11.8677          5.2095        4.313911        1.895584
     2420.08842      2420.08348          8.3827          1.8969         18.1315          0.2457          9.2515          5.6008        8.045812        1.896889
     2420.09537      2420.09042         11.1514          1.8713         17.8217          0.1822         19.1761          5.6008        9.499836        1.871254
     2420.10231      2420.09737          5.9244          1.8952         18.5084          0.3473         12.6468          5.6008        5.718325        1.895199
     2420.10925      2420.10431          1.4580          1.8999         18.5504         99.9000         19.5379          5.6008        2.555221        1.899862
     2420.11620      2420.11126         -2.3693          1.9080         18.5458         99.9000         19.1200          5.7183        7.052008        1.907966
     2420.12314      2420.11820         -2.0471          1.9211         18.5383         99.9000         22.8250          5.7624        4.103013        1.921058
     2420.13009      2420.12514          5.1924          1.9498         18.5222         99.9000         12.7454          5.8109        5.148396        1.949839
     2420.13703      2420.13209          8.2884          1.9583         18.1438          0.2565          9.3688          5.9343       12.905566        1.958328
     2420.14398      2420.13903          2.3553          1.9204         18.5387         99.9000         16.0080          5.8437        5.810865        1.920438
     2420.15092      2420.14598          4.6857          1.9073         18.5461         99.9000         24.0058          5.8437        6.499137        1.907321
     2420.15787      2420.15292          6.9358          1.8841         18.3373          0.2949         25.2603          5.9343        8.845130        1.884132
     2420.16481      2420.15987          5.2767          1.8315         18.5902         99.9000         22.7433          6.0464        8.678779        1.831502
     2420.17176      2420.16681          7.5439          1.7918         18.2460          0.2579         27.1715          6.0464        7.177893        1.791765
     2420.17870      2420.17376          9.6179          1.7468         17.9823          0.1972         36.1244          6.0464        9.528434        1.746771
     2420.18565      2420.18070          6.5082          1.8283         18.4063          0.3050         27.5341          6.1529        8.498444        1.828318
     2420.19259      2420.18764          2.0984          1.8490         18.5798         99.9000         24.5217          6.1529        5.934337        1.849017
     2420.19953      2420.19459          3.1973          1.7619         18.6323         99.9000         31.3980          6.1529        4.185165        1.761867
     2420.20648      2420.20153         -0.4939          1.7486         18.6405         99.9000         32.9547          6.1529        0.917227        1.748551
     2420.21342      2420.20848          6.5299          1.7946         18.4027          0.2984         28.0314          6.1529        4.711901        1.794647
     2420.22037      2420.21542          6.0459          1.7935         18.4864          0.3221         27.3947          6.1529        6.046359        1.793545
