# reference_flux:         23.1990
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2419.98972      2419.98625         21.8802          1.2385         17.0899          0.0615          4.8672          1.3488        0.598345        1.238528
     2419.99666      2419.99319         27.3375          1.2117         16.8481          0.0481          1.0531          1.3488        4.416812        1.211680
     2420.00361      2420.00013         17.3283          1.2441         17.3431          0.0780          0.1025          1.3488       -2.641989        1.244092
     2420.01055      2420.00708         23.3473          1.2429         17.0194          0.0578          1.6496          1.3488        1.192042        1.242916
     2420.01750      2420.01402         24.4569          1.2464         16.9690          0.0553          0.2366          1.3488        1.348758        1.246427
     2420.02444      2420.02097         16.3134          1.2569         17.4086          0.0837          2.6323          1.2865       -2.897809        1.256865
     2420.03138      2420.02791         24.2465          1.2759         16.9784          0.0571          2.4736          1.1920        2.347291        1.275898
     2420.03833      2420.03486         22.2667          1.2691         17.0709          0.0619          4.8773          1.1920       -0.435438        1.269111
     2420.04527      2420.04180         25.3606          1.2911         16.9296          0.0553          4.5287          1.1920        1.987819        1.291115
     2420.05222      2420.04875         20.5214          1.2926         17.1595          0.0684          3.0884          1.1920       -0.196554        1.292561
     2420.05916      2420.05569         22.7492          1.2854         17.0476          0.0613          3.1100          1.1920        0.468741        1.285425
     2420.06611      2420.06263         22.4333          1.2870         17.0628          0.0623          2.3144          1.1920        2.340795        1.287041
     2420.07305      2420.06958         21.5919          1.2946         17.1043          0.0651          5.6220          1.1920        0.629024        1.294590
     2420.07999      2420.07652         22.0722          1.3058         17.0804          0.0642          3.9148          1.1920        1.729468        1.305796
     2420.08694      2420.08347         23.6259          1.3074         17.0065          0.0601          2.7400          1.1920       -0.497463        1.307400
     2420.09388      2420.09041         26.3327          1.3018         16.8888          0.0537          2.7676          1.1920        0.123238        1.301770
     2420.10083      2420.09736         22.6476          1.3165         17.0524          0.0631          3.8510          1.1920        1.742985        1.316540
     2420.10777      2420.10430         26.2437          1.3189         16.8924          0.0546          6.1283          1.1920        2.854759        1.318871
     2420.11472      2420.11125         23.8687          1.3238         16.9954          0.0602          4.0092          1.1920        3.489573        1.323783
     2420.12166      2420.11819         25.9123          1.3223         16.9062          0.0554          3.1481          1.2865        1.761202        1.322300
     2420.12860      2420.12513         25.4401          1.3207         16.9262          0.0564          5.9772          1.2865        2.725593        1.320684
     2420.13555      2420.13208         24.8795          1.3151         16.9504          0.0574          3.7089          1.2865        2.667495        1.315053
     2420.14249      2420.13902         26.1363          1.3229         16.8969          0.0550          4.3786          1.3488        4.048719        1.322912
     2420.14944      2420.14597         24.2522          1.3255         16.9781          0.0593          5.5774          1.2865       -1.670309        1.325513
     2420.15638      2420.15291         19.8296          1.3026         17.1967          0.0713          7.4935          1.2865        1.286481        1.302618
     2420.16333      2420.15986         25.5635          1.3167         16.9209          0.0559          4.3037          1.2865        3.845542        1.316689
     2420.17027      2420.16680         25.7730          1.3149         16.9121          0.0554          7.7202          1.2865        1.894848        1.314886
     2420.17722      2420.17375         23.3428          1.3118         17.0196          0.0610          5.6418          1.3488        0.689503        1.311756
     2420.18416      2420.18069         24.4956          1.3229         16.9673          0.0586          6.4915          1.5498        0.480286        1.322878
     2420.19110      2420.18763         21.7505          1.3080         17.0963          0.0653          3.2578          1.6682        0.131826        1.307955
     2420.19805      2420.19458         23.0372          1.3012         17.0339          0.0613          0.6711          1.6682        1.928964        1.301160
     2420.20499      2420.20152         24.3623          1.3147         16.9732          0.0586          4.2688          1.5498        1.105480        1.314744
     2420.21194      2420.20847         21.3580          1.3016         17.1161          0.0662          4.5939          1.6682       -0.549509        1.301591
     2420.21888      2420.21541         22.7081          1.3084         17.0495          0.0626          3.3000          1.5498       -0.573516        1.308425
     2420.22583      2420.22236         27.2904          1.3065         16.8500          0.0520          0.5563          1.6682        3.039620        1.306467
     2420.23277      2420.22930         18.1960          1.2894         17.2901          0.0769          1.9355          1.7247       -1.626311        1.289381
     2420.23971      2420.23625         23.2159          1.2937         17.0255          0.0605          3.2281          1.6682        2.325626        1.293679
     2420.24666      2420.24319         24.9794          1.2755         16.9460          0.0554          1.4979          1.7247        2.034722        1.275494
     2420.25360      2420.25013         23.7789          1.2814         16.9995          0.0585          3.9474          1.7247        1.161404        1.281415
     2420.26055      2420.25708         20.2766          1.2747         17.1725          0.0683          1.6097          1.7430        2.385137        1.274707
     2420.26749      2420.26402         23.7731          1.2715         16.9998          0.0581          2.7587          1.7430       -0.062868        1.271523
     2420.27444      2420.27097         21.3310          1.2767         17.1175          0.0650          2.8312          1.7612        1.549788        1.276668
