# reference_flux:        101.6508
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2419.98974      2419.98625        102.9709          1.6330         15.4082          0.0172         10.4902          1.3106        2.237814        1.633005
     2419.99669      2419.99319         99.8991          1.6436         15.4411          0.0179          5.2592          1.3119        1.777480        1.643568
     2420.00363      2420.00013         97.8093          1.6529         15.4640          0.0183         13.9823          1.3119        0.215051        1.652876
     2420.01058      2420.00708         95.9623          1.6606         15.4847          0.0188         14.0574          1.3119        2.763034        1.660556
     2420.01752      2420.01402        101.5021          1.6737         15.4238          0.0179         12.7642          1.3119        1.092820        1.673743
     2420.02447      2420.02097         98.0618          1.6861         15.4613          0.0187          1.3216          1.3106        0.095702        1.686121
     2420.03141      2420.02791        100.0723          1.7010         15.4392          0.0185          8.7636          1.3106        1.311898        1.701049
     2420.03835      2420.03486         97.1341          1.7194         15.4716          0.0192          6.4077          1.3106        0.933731        1.719363
     2420.04530      2420.04180        100.7288          1.7332         15.4321          0.0187          7.8684          1.2938        2.765976        1.733225
     2420.05224      2420.04875         95.8931          1.7484         15.4855          0.0198          6.8779          1.2164        0.579799        1.748439
     2420.05919      2420.05569         96.5163          1.7637         15.4785          0.0198         15.7916          1.2938        1.434326        1.763717
     2420.06613      2420.06263        100.6258          1.7766         15.4332          0.0192          6.0543          1.3106       -1.588902        1.776581
     2420.07308      2420.06958        103.9021          1.7917         15.3984          0.0187         11.1926          1.2938        5.365387        1.791726
     2420.08002      2420.07652         99.0027          1.8010         15.4509          0.0198          6.9128          1.3106        0.018562        1.801022
     2420.08697      2420.08347         99.4836          1.8161         15.4456          0.0198          9.9185          1.2938       -0.411274        1.816051
     2420.09391      2420.09041         99.1999          1.8255         15.4487          0.0200          9.2046          1.2938        2.440201        1.825462
     2420.10086      2420.09736         95.9533          1.8380         15.4849          0.0208         18.1896          1.2164        1.731381        1.837962
     2420.10780      2420.10430         90.0884          1.8447         15.5533          0.0222         15.7312          1.2938        1.333648        1.844723
     2420.11474      2420.11125         92.8669          1.8488         15.5203          0.0216         14.6454          1.2938       -0.429054        1.848823
     2420.12169      2420.11819         96.8808          1.8678         15.4744          0.0209         13.1596          1.2938        1.379263        1.867757
     2420.12863      2420.12513         95.3452          1.8666         15.4918          0.0213         10.7324          1.3106        1.310550        1.866587
     2420.13558      2420.13208         97.9664          1.8518         15.4623          0.0205          9.8687          1.3106        4.210387        1.851788
     2420.14252      2420.13902         95.3234          1.8646         15.4920          0.0212          7.8919          1.3119        1.293767        1.864601
     2420.14947      2420.14597         97.1196          1.8464         15.4717          0.0206         11.9114          1.3106        0.997237        1.846387
     2420.15641      2420.15291        103.7100          1.8389         15.4004          0.0193          6.8188          1.3106        4.067698        1.838894
     2420.16336      2420.15986         93.5922          1.8478         15.5119          0.0214         12.7337          1.3106        3.652641        1.847805
     2420.17030      2420.16680         95.2660          1.8249         15.4927          0.0208         10.3820          1.2938        0.218288        1.824930
     2420.17724      2420.17375         94.6216          1.8335         15.5000          0.0210         10.7118          1.3106       -0.171511        1.833548
     2420.18419      2420.18069         95.2189          1.8285         15.4932          0.0208         11.0541          1.2938        1.103356        1.828499
     2420.19113      2420.18763         95.1081          1.8230         15.4945          0.0208         11.9199          1.2938        1.216382        1.822964
     2420.19808      2420.19458         98.1973          1.7979         15.4598          0.0199         10.9347          1.2938        2.580991        1.797918
     2420.20502      2420.20152         95.4861          1.8070         15.4901          0.0205          8.3220          1.2938        0.421424        1.807004
     2420.21197      2420.20847         93.2800          1.7862         15.5155          0.0208          6.6981          1.2938        0.223559        1.786182
     2420.21891      2420.21541        104.2120          1.7843         15.3952          0.0186          6.8562          1.2938        3.334818        1.784311
     2420.22586      2420.22236         95.8190          1.7686         15.4864          0.0200          8.5084          1.3106        3.141559        1.768584
     2420.23280      2420.22930        100.0278          1.7634         15.4397          0.0191          5.9821          1.3106       -1.325189        1.763434
     2420.23974      2420.23625         99.9145          1.7547         15.4409          0.0191          8.4906          1.3336        6.767088        1.754653
     2420.24669      2420.24319         97.7491          1.7497         15.4647          0.0194          6.1067          1.3336       -1.395985        1.749655
     2420.25363      2420.25013         96.2802          1.7406         15.4812          0.0196          3.4275          1.3793        0.920238        1.740580
     2420.26058      2420.25708         95.8040          1.7348         15.4865          0.0197         12.7357          1.6718        0.745703        1.734791
     2420.26752      2420.26402         95.4171          1.7307         15.4909          0.0197          7.2963          1.3793        3.136897        1.730737
     2420.27447      2420.27097         96.7047          1.7259         15.4764          0.0194          9.9831          1.3336        2.506465        1.725927
     2420.28141      2420.27791         98.5704          1.7246         15.4556          0.0190          7.6054          1.3793        0.554973        1.724607
     2420.28836      2420.28486        103.4510          1.7240         15.4032          0.0181         12.1613          1.3793        3.581606        1.723983
     2420.29530      2420.29180        100.5312          1.7237         15.4342          0.0186          6.3857          1.6718        1.835665        1.723739
     2420.30225      2420.29875        100.3081          1.7241         15.4367          0.0187         11.1059          1.8357        2.602818        1.724073
     2420.30919      2420.30569         96.1386          1.7251         15.4828          0.0195          8.1871          1.6718       -0.504596        1.725116
     2420.31613      2420.31263         99.5294          1.7270         15.4451          0.0188          4.9450          1.8357        2.543130        1.727005
     2420.32308      2420.31958        101.2905          1.7306         15.4261          0.0186          6.4253          1.8649        2.054227        1.730632
     2420.33002      2420.32652        101.7224          1.7324         15.4215          0.0185          6.4740          1.8357       -0.645871        1.732383
     2420.33697      2420.33347        101.6382          1.7358         15.4224          0.0185          8.2363          1.6718        3.146910        1.735843
     2420.34391      2420.34041         96.1498          1.7378         15.4826          0.0196         11.0376          1.8357        1.253656        1.737784
     2420.35086      2420.34736         96.8953          1.7430         15.4742          0.0195          8.0974          1.8649       -2.104786        1.742952
     2420.35780      2420.35430        102.0219          1.7482         15.4183          0.0186          9.4016          2.0542        0.946212        1.748190
     2420.36475      2420.36125        103.3126          1.7537         15.4046          0.0184          4.4892          2.0542        3.341659        1.753709
     2420.37169      2420.36819         98.5178          1.7591         15.4562          0.0194          5.8644          2.0542       -1.847488        1.759058
     2420.37863      2420.37513        101.1030          1.7664         15.4281          0.0190          9.2884          2.0542        3.064654        1.766397
