# reference_flux:         31.7050
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2419.98824      2419.98625         30.2651          1.2290         16.7376          0.0441          4.4825         -1.6736        2.509120        1.229036
     2419.99518      2419.99319         27.9726          1.2313         16.8232          0.0478          3.0400         -1.6736       -4.829633        1.231275
     2420.00213      2420.00013         31.3099          1.2347         16.7008          0.0428          3.7215         -1.6736       -0.471711        1.234711
     2420.00907      2420.00708         29.2570          1.2383         16.7744          0.0460          4.5590         -1.6736       -1.833081        1.238314
     2420.01602      2420.01402         29.5409          1.2478         16.7639          0.0459          5.6294         -1.6736       -2.793315        1.247804
     2420.02296      2420.02097         31.9080          1.2533         16.6803          0.0426          5.7862         -1.4940        2.149531        1.253335
     2420.02990      2420.02791         34.0221          1.2607         16.6106          0.0402          0.3935         -1.4577        1.684013        1.260749
     2420.03685      2420.03486         33.7480          1.2665         16.6194          0.0407          4.3589         -1.3113        1.506136        1.266492
     2420.04379      2420.04180         27.5983          1.2725         16.8378          0.0501          4.1779         -1.4577       -0.683464        1.272500
     2420.05074      2420.04875         29.9232          1.2788         16.7500          0.0464          5.9136         -1.4940       -1.727131        1.278800
     2420.05768      2420.05569         27.7366          1.2818         16.8324          0.0502          5.1783         -1.6736       -3.549185        1.281756
     2420.06463      2420.06263         30.5644          1.2888         16.7270          0.0458          5.4861         -1.6736       -2.164644        1.288844
     2420.07157      2420.06958         27.3608          1.2950         16.8472          0.0514          3.4771         -1.4940       -2.115704        1.294992
     2420.07851      2420.07652         33.7467          1.3035         16.6194          0.0419          5.6622         -1.4577        0.672742        1.303521
     2420.08546      2420.08347         31.6015          1.3054         16.6907          0.0448          5.5384         -1.4577       -1.046192        1.305368
     2420.09240      2420.09041         28.3487          1.3070         16.8087          0.0501          2.8258         -1.3424       -1.311341        1.307041
     2420.09935      2420.09736         31.6628          1.3180         16.6886          0.0452          8.5302         -1.3424       -0.573013        1.318012
     2420.10629      2420.10430         29.9063          1.3212         16.7506          0.0480          6.9199         -1.3424       -4.230622        1.321150
     2420.11324      2420.11125         27.2838          1.3221         16.8502          0.0526          2.6852         -1.3424       -2.443068        1.322067
     2420.12018      2420.11819         26.6720          1.3246         16.8749          0.0539          5.7917         -1.4577       -2.703416        1.324632
     2420.12712      2420.12513         28.2373          1.3268         16.8129          0.0510          4.7285         -1.4577       -1.494047        1.326823
     2420.13407      2420.13208         30.6581          1.3262         16.7236          0.0470          5.8752         -1.3424       -1.673611        1.326204
     2420.14101      2420.13902         30.8927          1.3295         16.7154          0.0467          6.4567         -1.3424        0.575278        1.329532
     2420.14796      2420.14597         26.2940          1.3253         16.8904          0.0547          6.8560         -1.3113       -4.449804        1.325286
     2420.15490      2420.15291         27.4756          1.3242         16.8426          0.0523          4.7376         -1.3113       -2.344816        1.324193
     2420.16185      2420.15986         31.8700          1.3234         16.6815          0.0451          4.6127         -1.3113       -2.046543        1.323435
     2420.16879      2420.16680         28.9979          1.3221         16.7841          0.0495          5.3986         -1.2876       -1.457710        1.322069
     2420.17574      2420.17375         31.1646          1.3188         16.7058          0.0459          4.1966         -1.3113       -0.893410        1.318753
     2420.18268      2420.18069         30.4194          1.3216         16.7321          0.0472          5.8084         -1.3113       -1.083005        1.321640
     2420.18962      2420.18763         29.4569          1.3198         16.7670          0.0486          4.4325         -1.3113       -1.079231        1.319841
     2420.19657      2420.19458         31.9511          1.3193         16.6788          0.0448          8.4953         -1.3113        0.087679        1.319348
     2420.20351      2420.20152         27.2623          1.3151         16.8511          0.0524          5.8336         -1.3113       -4.137867        1.315076
     2420.21046      2420.20847         30.5923          1.3137         16.7260          0.0466          3.7408         -1.3113       -1.981109        1.313744
     2420.21740      2420.21541         28.6449          1.3109         16.7974          0.0497          4.3715         -1.3113       -2.269207        1.310921
     2420.22435      2420.22236         27.5263          1.3071         16.8406          0.0516          5.3511         -1.2876        0.220262        1.307100
     2420.23129      2420.22930         30.4287          1.3057         16.7318          0.0466          5.4077         -1.2876        0.083689        1.305660
     2420.23823      2420.23625         29.9845          1.3029         16.7478          0.0472          7.0099         -1.2876       -1.342388        1.302895
     2420.24518      2420.24319         32.2563          1.2990         16.6685          0.0437          6.4241         -1.1775       -1.673218        1.298965
     2420.25212      2420.25013         31.0339          1.2977         16.7104          0.0454          4.6043         -1.2876       -1.063286        1.297732
     2420.25907      2420.25708         30.5738          1.2987         16.7266          0.0461          5.4784         -1.3113       -1.177465        1.298709
     2420.26601      2420.26402         30.8252          1.2947         16.7177          0.0456          0.3918         -1.2876       -0.700181        1.294718
     2420.27296      2420.27097         31.7846          1.2987         16.6845          0.0444          3.7883         -1.3424        1.678229        1.298711
     2420.27990      2420.27791         28.6749          1.2976         16.7962          0.0491          4.3803         -1.3424       -2.421712        1.297621
     2420.28684      2420.28486         27.4838          1.2962         16.8423          0.0512          4.3136         -1.3424       -2.020604        1.296229
     2420.29379      2420.29180         31.4357          1.3011         16.6964          0.0449          4.3990         -1.3424       -0.039567        1.301143
     2420.30073      2420.29875         27.5449          1.3001         16.8399          0.0512          4.3786         -1.2876       -0.744152        1.300073
     2420.30768      2420.30569         29.1440          1.2981         16.7786          0.0484          3.8825         -1.2876       -0.933377        1.298142
     2420.31462      2420.31263         32.4704          1.3025         16.6613          0.0436          1.9172         -1.3424        0.218287        1.302488
     2420.32157      2420.31958         29.8600          1.3065         16.7523          0.0475          1.6159         -1.3424       -1.287603        1.306524
     2420.32851      2420.32652         27.7462          1.3064         16.8320          0.0511          5.5976         -1.2876        0.131008        1.306402
     2420.33545      2420.33347         28.3681          1.3078         16.8079          0.0501          1.8745         -1.1775       -3.699009        1.307760
     2420.34240      2420.34041         30.6369          1.3126         16.7244          0.0465          2.3643         -1.1489       -1.541272        1.312591
     2420.34934      2420.34736         31.0602          1.3167         16.7095          0.0460          7.0975         -1.1775       -2.368416        1.316711
     2420.35629      2420.35430         33.2965          1.3206         16.6340          0.0431          3.3200         -1.1775       -0.299353        1.320551
     2420.36323      2420.36125         30.2562          1.3207         16.7380          0.0474          7.6694         -1.2876       -1.040248        1.320706
     2420.37018      2420.36819         32.6744          1.3243         16.6545          0.0440          4.6144         -1.3424       -0.850161        1.324348
     2420.37712      2420.37513         29.0468          1.3273         16.7823          0.0496          5.2831         -1.2876       -0.470591        1.327341
     2420.38407      2420.38208         32.0639          1.3324         16.6750          0.0451          2.6213         -1.2876        0.285476        1.332354
     2420.39101      2420.38902         29.8840          1.3378         16.7514          0.0486          5.3650         -1.2876       -2.586799        1.337805
     2420.39795      2420.39597         28.8376          1.3428         16.7901          0.0506          5.5978         -1.3424       -1.897457        1.342764
     2420.40490      2420.40291         30.6750          1.3487         16.7230          0.0477          1.6849         -1.4207       -0.065726        1.348678
     2420.41184      2420.40986         30.4638          1.3518         16.7305          0.0482          7.5739         -1.4207       -3.037692        1.351845
     2420.41879      2420.41680         25.8944          1.3549         16.9070          0.0568          4.2910         -1.4207       -3.175190        1.354938
     2420.42573      2420.42375         31.9860          1.3648         16.6776          0.0463          6.2045         -1.5077       -1.148903        1.364807
     2420.43268      2420.43069         29.5989          1.3718         16.7618          0.0503          4.3182         -1.5413       -1.822973        1.371842
     2420.43962      2420.43763         29.0278          1.3726         16.7830          0.0513          2.8066         -1.7287       -1.507669        1.372619
     2420.44656      2420.44458         31.0408          1.3683         16.7102          0.0479          6.3126         -1.8230       -2.255787        1.368317
     2420.45351      2420.45152         26.8088          1.3643         16.8693          0.0553          6.7949         -1.8230       -1.977215        1.364254
     2420.46045      2420.45847         31.1336          1.3676         16.7069          0.0477          6.0729         -1.8230       -0.196426        1.367594
     2420.46740      2420.46541         26.8681          1.3676         16.8669          0.0553          3.1306         -1.8230       -2.372766        1.367573
     2420.47434      2420.47236         26.4587          1.3680         16.8836          0.0561          8.2322         -1.8230       -3.825416        1.367955
     2420.48129      2420.47930         27.3516          1.3698         16.8475          0.0544          4.8413         -1.8230       -2.456353        1.369777
     2420.48823      2420.48625         30.6540          1.3731         16.7238          0.0486          6.5085         -1.8230        0.160936        1.373068
     2420.49517      2420.49319         30.9475          1.3762         16.7134          0.0483          1.6898         -1.8230        0.267248        1.376245
     2420.50212      2420.50013         31.2027          1.3754         16.7045          0.0479          5.4083         -1.8230       -1.052634        1.375444
     2420.50906      2420.50708         29.5064          1.3801         16.7652          0.0508          5.8768         -1.8230       -1.937164        1.380147
     2420.51601      2420.51402         33.7406          1.3844         16.6196          0.0445          2.8902         -1.8975        0.679960        1.384382
     2420.52295      2420.52097         27.7122          1.3842         16.8333          0.0542          8.7913         -1.8975       -2.771580        1.384245
     2420.52990      2420.52791         27.1031          1.3840         16.8575          0.0554          8.8416         -1.8975       -3.049089        1.384007
     2420.53684      2420.53486         32.6169          1.3845         16.6564          0.0461          6.0180         -1.9372        0.261570        1.384515
     2420.54378      2420.54180         27.6083          1.3789         16.8374          0.0542          4.2329         -1.9372       -3.029291        1.378911
     2420.55073      2420.54875         26.8347          1.3765         16.8683          0.0557          3.2323         -1.9772       -3.433734        1.376548
     2420.55767      2420.55569         30.6658          1.3768         16.7234          0.0487          6.6176         -2.2558       -1.420701        1.376793
     2420.56462      2420.56263         26.7337          1.3767         16.8724          0.0559          6.8433         -2.2558       -3.064882        1.376716
     2420.57156      2420.56958         28.9589          1.3751         16.7855          0.0516          5.6230         -2.2558        1.589903        1.375116
     2420.57851      2420.57652         29.7140          1.3741         16.7576          0.0502          7.5529         -2.2558       -3.521260        1.374085
     2420.58545      2420.58347         30.5823          1.3728         16.7263          0.0487          1.7482         -1.9969       -1.728696        1.372768
     2420.59240      2420.59041         30.7413          1.3758         16.7207          0.0486          3.2973         -1.9969       -2.291382        1.375822
