# reference_flux:         -8.8577
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2419.98770      2419.98625          2.8768          1.5048         18.8035         99.9000        -29.1981          0.4240       -0.160810        1.504767
     2419.99464      2419.99320          3.2641          1.5141         18.7968         99.9000        -29.3237          0.5227       -0.503915        1.514070
     2420.00158      2420.00014          2.1957          1.5248         18.7892         99.9000        -30.9807          0.5227        0.954271        1.524794
     2420.00853      2420.00708          2.8195          1.5337         18.7829         99.9000        -35.5924          0.5227        0.267976        1.533654
     2420.01547      2420.01403          2.4285          1.5440         18.7756         99.9000        -32.9645          0.4240       -2.218118        1.543987
     2420.02242      2420.02097          4.7942          1.5578         18.7382          0.3528        -31.3884          0.4240       -0.636641        1.557846
     2420.02936      2420.02792          7.4547          1.5725         18.2589          0.2290        -31.6342          0.4240        5.427311        1.572501
     2420.03631      2420.03486          9.6760          1.5853         17.9758          0.1779        -40.6189          0.5227        4.314900        1.585261
     2420.04325      2420.04181          4.7195          1.5959         18.7397         99.9000        -39.3303          0.4240        1.298358        1.595937
     2420.05020      2420.04875          8.1817          1.6109         18.1579          0.2138        -39.8561          0.4240        3.883165        1.610850
     2420.05714      2420.05570          1.8884          1.6213         18.7225         99.9000        -39.9157          0.4240       -1.036160        1.621328
     2420.06408      2420.06264         -1.3056          1.6333         18.7145         99.9000        -38.0013          0.5227       -0.609468        1.633284
     2420.07103      2420.06958          4.6933          1.6466         18.7057         99.9000        -41.2282          0.4240        1.474001        1.646626
     2420.07797      2420.07653          3.8186          1.6589         18.6977         99.9000        -42.0518          0.5227       -1.143129        1.658867
     2420.08492      2420.08347          8.5799          1.6719         18.1063          0.2116        -47.6070          0.5227       -1.558322        1.671851
     2420.09186      2420.09042          6.1514          1.6828         18.4676          0.2970        -50.0443          0.4240        2.396033        1.682783
     2420.09881      2420.09736          6.6124          1.6909         18.3891          0.2776        -46.6159          0.2680        0.997076        1.690948
     2420.10575      2420.10431         -0.2019          1.7012         18.6703         99.9000        -51.4209          0.2680       -3.682889        1.701182
     2420.11270      2420.11125          7.7900          1.7058         18.2112          0.2377        -56.4537          0.2680        0.522651        1.705812
     2420.11964      2420.11820          8.9829          1.7080         18.0565          0.2064        -53.8922          0.2680        1.304818        1.707953
     2420.12658      2420.12514         13.8282          1.7106         17.5881          0.1343        -59.3596          0.2680        6.086455        1.710605
     2420.13353      2420.13208         -0.5549          1.7089         18.6654         99.9000        -51.5732          0.2680       -4.005238        1.708911
     2420.14047      2420.13903          7.5844          1.7130         18.2402          0.2452        -56.3599          0.2680        1.376860        1.713032
     2420.14742      2420.14597          1.0889          1.7098         18.6648         99.9000        -51.1191          0.2680        0.423971        1.709816
     2420.15436      2420.15292          3.1205          1.7084         18.6657         99.9000        -48.9809          0.4240        0.666093        1.708401
     2420.16131      2420.15986         10.1609          1.7066         17.9227          0.1824        -50.8517          0.4240        3.955556        1.706595
     2420.16825      2420.16681          1.5166          1.7012         18.6703         99.9000        -52.6769          0.4240       -1.180649        1.701203
     2420.17520      2420.17375          2.2329          1.6975         18.6727         99.9000        -53.7444          0.2680       -0.007263        1.697490
     2420.18214      2420.18070          7.4330          1.6958         18.2621          0.2477        -50.8161         -0.0001        2.175267        1.695799
     2420.18908      2420.18764          1.5669          1.6892         18.6780         99.9000        -43.7204          0.4240        1.166859        1.689245
     2420.19603      2420.19458          4.2200          1.6856         18.6803         99.9000        -47.4891          0.4628        2.312272        1.685636
     2420.20297      2420.20153          3.6991          1.6795         18.6843         99.9000        -51.5316          0.4628       -3.435178        1.679491
     2420.20992      2420.20847          6.7920          1.6758         18.3600          0.2679        -40.4756          0.4240        5.611762        1.675832
     2420.21686      2420.21542          3.4469          1.6688         18.6912         99.9000        -38.3197         -0.0001       -2.028610        1.668794
     2420.22381      2420.22236          7.2065          1.6637         18.2957          0.2507        -45.3011         -0.0073        0.961508        1.663681
     2420.23075      2420.22931          1.3651          1.6576         18.6985         99.9000        -35.3363         -0.0001       -1.692964        1.657624
     2420.23770      2420.23625          3.7613          1.6509         18.7029         99.9000        -40.9524         -0.0001        1.811792        1.650949
     2420.24464      2420.24320          2.7605          1.6448         18.7069         99.9000        -42.4330         -0.0073       -0.448909        1.644764
     2420.25158      2420.25014          2.6877          1.6394         18.7105         99.9000        -40.5030         -0.0001       -1.286331        1.639444
     2420.25853      2420.25708          1.4202          1.6358         18.7129         99.9000        -38.7764          0.4240       -0.753337        1.635832
     2420.26547      2420.26403          4.0640          1.6329         18.7148         99.9000        -38.4825          0.4240        0.462751        1.632851
     2420.27242      2420.27097          0.8536          1.6305         18.7164         99.9000        -31.6593          0.4240       -0.452354        1.630505
     2420.27936      2420.27792          2.2600          1.6300         18.7167         99.9000        -34.0020          0.4240       -1.531616        1.629987
     2420.28631      2420.28486          5.0923          1.6289         18.6727          0.3473        -38.2557          0.4240       -0.000089        1.628907
     2420.29325      2420.29181          3.0427          1.6284         18.7178         99.9000        -38.2791          0.4240        0.492793        1.628418
     2420.30020      2420.29875          7.3314          1.6296         18.2770          0.2413        -39.0171          0.3244        1.782266        1.629595
     2420.30714      2420.30570          2.3259          1.6293         18.7172         99.9000        -37.0427          0.3244       -0.672034        1.629326
     2420.31408      2420.31264          4.2454          1.6315         18.7157         99.9000        -37.5705          0.3244        1.117821        1.631547
     2420.32103      2420.31958          1.9956          1.6338         18.7142         99.9000        -35.3474          0.3223       -0.075032        1.633773
     2420.32797      2420.32653         -0.6917          1.6362         18.7126         99.9000        -36.0493         -0.0001       -1.462294        1.636181
     2420.33492      2420.33347          0.9563          1.6394         18.7105         99.9000        -33.6037         -0.0073       -0.574301        1.639437
     2420.34186      2420.34042          2.9815          1.6406         18.7097         99.9000        -37.9452         -0.0001       -0.075794        1.640558
     2420.34881      2420.34736          2.8173          1.6437         18.7076         99.9000        -37.6567          0.3223        1.993797        1.643693
     2420.35575      2420.35431          5.8530          1.6469         18.5216          0.3055        -38.3421          0.3223        2.273238        1.646921
     2420.36269      2420.36125          2.4095          1.6510         18.7028         99.9000        -32.4970         -0.0001        2.017923        1.651008
     2420.36964      2420.36820         -1.4957          1.6538         18.7010         99.9000        -40.2084         -0.0001       -1.226102        1.653823
     2420.37658      2420.37514          0.7763          1.6591         18.6975         99.9000        -40.0935         -0.0001       -0.393039        1.659063
     2420.38353      2420.38208          2.3192          1.6652         18.6935         99.9000        -49.0419         -0.0001       -0.294376        1.665212
     2420.39047      2420.38903          4.3949          1.6714         18.6895         99.9000        -43.7231          0.3223        2.713427        1.671422
     2420.39742      2420.39597          1.6112          1.6790         18.6845         99.9000        -32.6013         -0.0001       -0.825052        1.679032
     2420.40436      2420.40292          2.6330          1.6860         18.6801         99.9000        -37.3838         -0.0001       -0.727171        1.685982
     2420.41131      2420.40986          9.4174          1.6935         18.0052          0.1952        -43.7353         -0.0750        2.547821        1.693458
     2420.41825      2420.41681          7.8568          1.6988         18.2019          0.2348        -45.4610         -0.0001        3.106192        1.698839
     2420.42519      2420.42375          4.6660          1.7103         18.6645         99.9000        -44.6154         -0.0001        2.806015        1.710270
     2420.43214      2420.43070          5.4580          1.7290         18.5974          0.3439        -46.2301          0.3223        0.605487        1.728976
     2420.43908      2420.43764          6.7178          1.7256         18.3719          0.2789        -51.0083         -0.0001        0.324380        1.725646
     2420.44603      2420.44458          8.5134          1.7188         18.1147          0.2192        -47.3701         -0.0001        2.621786        1.718832
     2420.45297      2420.45153          8.0885          1.7131         18.1703          0.2300        -46.2127          0.3223        2.586179        1.713106
     2420.45992      2420.45847          1.4651          1.7105         18.6644         99.9000        -40.8770          0.3244        0.322321        1.710534
     2420.46686      2420.46542          4.2952          1.7067         18.6668         99.9000        -50.6357          0.3223       -0.248592        1.706655
     2420.47381      2420.47236          7.1360          1.7094         18.3064          0.2601        -41.2366          0.3223        0.532709        1.709434
     2420.48075      2420.47931          3.6651          1.7079         18.6661         99.9000        -46.0680          0.3244       -1.526544        1.707874
     2420.48769      2420.48625          0.6533          1.7082         18.6658         99.9000        -42.6493          0.3223       -2.520722        1.708237
     2420.49464      2420.49320          4.1130          1.7110         18.6641         99.9000        -41.3408          0.3223       -1.375730        1.710960
     2420.50158      2420.50014          6.1701          1.7138         18.4643          0.3016        -42.7461          0.3223        2.436951        1.713768
     2420.50853      2420.50708          3.7929          1.7153         18.6613         99.9000        -40.3647          0.3244        2.258944        1.715312
     2420.51547      2420.51403          4.6690          1.7131         18.6628         99.9000        -45.8393          0.3244        0.560182        1.713084
     2420.52242      2420.52097          2.8893          1.7110         18.6640         99.9000        -44.0719          0.3244       -2.061623        1.711048
     2420.52936      2420.52792          5.2697          1.7095         18.6355          0.3522        -46.3616          0.3244        1.514100        1.709491
     2420.53631      2420.53486          4.4281          1.7071         18.6665         99.9000        -39.6835          0.3244       -0.809312        1.707111
     2420.54325      2420.54181          7.8876          1.7043         18.1976          0.2346        -43.2763          0.5327        6.322654        1.704285
     2420.55019      2420.54875          0.3560          1.7000         18.6711         99.9000        -43.0124          0.5602        1.302679        1.700019
     2420.55714      2420.55570          3.3393          1.6973         18.6728         99.9000        -44.7641          0.6055       -0.482513        1.697283
     2420.56408      2420.56264          4.6930          1.6929         18.6756         99.9000        -44.8857          0.6055       -1.852500        1.692852
     2420.57103      2420.56958         -2.6506          1.6880         18.6788         99.9000        -36.9601          0.6055       -0.241863        1.688009
     2420.57797      2420.57653          4.0033          1.6863         18.6798         99.9000        -42.6803          0.8748        1.757370        1.686317
     2420.58492      2420.58347          4.5896          1.6854         18.6804         99.9000        -40.7629          0.8748       -2.547681        1.685387
     2420.59186      2420.59042          7.3569          1.6850         18.2733          0.2487        -36.4480          0.8748        2.935999        1.684970
     2420.59881      2420.59736          1.8837          1.6816         18.6829         99.9000        -41.2929          0.8748       -2.690866        1.681582
     2420.60575      2420.60431          6.6706          1.6802         18.3796          0.2735        -42.1920          0.8748       -1.023441        1.680175
     2420.61269      2420.61125          4.3042          1.6796         18.6842         99.9000        -39.7043          0.9550        3.819145        1.679620
     2420.61964      2420.61820          4.0897          1.6777         18.6854         99.9000        -41.0289          0.8748        1.065427        1.677738
     2420.62658      2420.62514          5.2826          1.6751         18.6329          0.3443        -45.2261          0.5602       -0.062600        1.675053
     2420.63353      2420.63208          2.5680          1.6738         18.6879         99.9000        -39.9130          0.8748        1.675602        1.673820
     2420.64047      2420.63903          8.2797          1.6721         18.1450          0.2193        -38.5069          0.8748        3.707316        1.672081
     2420.64742      2420.64597          4.9551          1.6681         18.6916         99.9000        -37.2568          0.9112        0.191760        1.668150
     2420.65436      2420.65292          1.9420          1.6645         18.6940         99.9000        -36.3595          0.9550       -0.278103        1.664509
     2420.66131      2420.65986          0.7270          1.6610         18.6962         99.9000        -36.5173          0.9776       -0.369783        1.661045
     2420.66825      2420.66681          2.7403          1.6574         18.6987         99.9000        -35.3653          1.0654        2.827546        1.657358
     2420.67519      2420.67375          0.9085          1.6548         18.7003         99.9000        -34.9829          1.0654        0.222422        1.654779
     2420.68214      2420.68070          3.5262          1.6521         18.7021         99.9000        -35.7517          0.9776        0.977555        1.652089
     2420.68908      2420.68764          2.2228          1.6500         18.7035         99.9000        -39.5598          0.9776        1.280949        1.649993
     2420.69603      2420.69458          4.9606          1.6510         18.7012          0.3613        -34.1925          1.0035        4.244656        1.650955
     2420.70297      2420.70153          2.0732          1.6504         18.7032         99.9000        -36.2452          0.9776        2.836368        1.650363
     2420.70992      2420.70847          4.3066          1.6515         18.7025         99.9000        -33.9109          1.0035        2.877583        1.651524
     2420.71686      2420.71542          7.7108          1.6528         18.2222          0.2327        -37.1787          0.9776        4.669568        1.652782
     2420.72381      2420.72236          6.3524          1.6533         18.4326          0.2826        -36.9072          0.9776        2.528267        1.653275
     2420.73075      2420.72931         -4.5050          1.6514         18.7025         99.9000        -34.1700          0.9776       -3.345946        1.651427
     2420.73769      2420.73625          5.6065          1.6545         18.5683          0.3204        -36.8607          1.0035        0.874850        1.654467
     2420.74464      2420.74320          8.2948          1.6553         18.1430          0.2167        -37.8433          1.0654        1.668861        1.655334
     2420.75158      2420.75014          1.8690          1.6556         18.6998         99.9000        -32.4813          1.0654        4.261605        1.655609
     2420.75853      2420.75708          4.4485          1.6557         18.6997         99.9000        -30.4128          1.0654        0.955001        1.655702
     2420.76547      2420.76403          4.6840          1.6568         18.6990         99.9000        -33.6490          1.0654        0.080243        1.656844
     2420.77242      2420.77097          6.9318          1.6575         18.3379          0.2596        -36.4131          1.0654        2.050932        1.657521
     2420.77936      2420.77792          1.2836          1.6552         18.7001         99.9000        -33.4170          1.0654       -0.469705        1.655166
     2420.78630      2420.78486          1.7919          1.6549         18.7003         99.9000        -36.1684          1.0654       -0.292110        1.654864
     2420.79325      2420.79181          1.0613          1.6547         18.7004         99.9000        -34.6048          1.0705        0.911178        1.654712
     2420.80019      2420.79875          0.5782          1.6559         18.6996         99.9000        -32.8628          1.0705       -0.340428        1.655858
     2420.80714      2420.80570          4.6958          1.6566         18.6991         99.9000        -36.1545          1.0035        1.163243        1.656646
     2420.81408      2420.81264          7.2553          1.6559         18.2884          0.2478        -37.0915          0.9776        2.830806        1.655858
