# reference_flux:         23.3567
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2447.69662      2447.68761         24.5684          1.4683         16.9641          0.0649         -0.2533          0.8614        0.902848        1.468311
     2447.70357      2447.69456         25.8701          1.4814         16.9080          0.0622          1.2036          0.8614        1.717018        1.481448
     2447.71051      2447.70150         24.2470          1.4822         16.9784          0.0664          2.3115          0.8614        0.904436        1.482172
     2447.71746      2447.70845         26.1218          1.4803         16.8975          0.0615          3.6156          0.9028        1.811044        1.480315
     2447.72440      2447.71539         25.5416          1.4791         16.9219          0.0629          2.8824          0.9028        0.106000        1.479148
     2447.73134      2447.72234         29.9523          1.4842         16.7489          0.0538          1.1623          0.9028        2.774718        1.484188
     2447.73829      2447.72928         24.5837          1.4766         16.9634          0.0652          1.5669          0.9028       -0.816347        1.476622
     2447.74523      2447.73623         25.6241          1.4848         16.9184          0.0629          0.9560          0.9028       -0.892738        1.484759
     2447.75218      2447.74317         23.7118          1.4896         17.0026          0.0682          3.7191          0.9028       -1.012931        1.489601
     2447.75912      2447.75011         28.6231          1.4755         16.7982          0.0560          0.1186          0.8614        1.310431        1.475452
     2447.76607      2447.75706         24.3420          1.4866         16.9741          0.0663         -0.0725          0.6390        1.498626        1.486617
     2447.77301      2447.76400         21.0702          1.4854         17.1308          0.0765          0.7863          0.8614       -0.819803        1.485361
     2447.77996      2447.77095         22.7356          1.4783         17.0482          0.0706          2.8614          0.9028       -0.211464        1.478253
     2447.78690      2447.77789         25.0352          1.4941         16.9436          0.0648          1.3725          0.9028       -1.225045        1.494150
     2447.79385      2447.78484         22.4918          1.4898         17.0599          0.0719          2.5114          0.8614        0.954236        1.489823
     2447.80079      2447.79178         27.7083          1.4823         16.8335          0.0581         -1.0755          0.8614        1.000506        1.482263
     2447.80774      2447.79873         21.5221          1.4788         17.1078          0.0746          1.6747          0.8614       -0.479688        1.478771
     2447.81468      2447.80567         30.5555          1.4889         16.7273          0.0529          2.5387          0.8614        2.382027        1.488906
     2447.82163      2447.81261         23.0553          1.4825         17.0331          0.0698          0.4693          0.9028       -0.300930        1.482545
     2447.82857      2447.81956         24.0913          1.4800         16.9853          0.0667          2.2707          0.8614        0.638999        1.479976
     2447.83552      2447.82650         28.5035          1.4809         16.8028          0.0564          1.4757          0.8614        1.375504        1.480864
     2447.84246      2447.83345         24.5035          1.4780         16.9669          0.0655          2.1882          0.8614        0.861366        1.477995
     2447.84940      2447.84039         24.8084          1.4956         16.9535          0.0655          3.7361          0.8614        1.012859        1.495615
     2447.85635      2447.84734         23.4781          1.4684         17.0133          0.0679         -0.2105          0.6390       -1.256314        1.468424
     2447.86329      2447.85428         23.6325          1.4664         17.0062          0.0674          0.2633          0.6390       -0.335563        1.466391
     2447.87024      2447.86123         25.0500          1.4596         16.9430          0.0633          1.4062          0.6390        1.279031        1.459633
     2447.87718      2447.86817         25.6105          1.4631         16.9190          0.0620         -0.3490          0.6390        1.386704        1.463053
     2447.88413      2447.87511         25.3254          1.4476         16.9311          0.0621          2.1674          0.5854        3.852183        1.447587
     2447.89107      2447.88206         23.6531          1.4581         17.0053          0.0669          1.6556          0.4452        0.105815        1.458051
     2447.89802      2447.88900         28.0048          1.4576         16.8219          0.0565         -0.7517          0.4452        2.611990        1.457564
     2447.90496      2447.89595         24.6204          1.4437         16.9618          0.0637          0.7039          0.3259        0.037065        1.443730
     2447.91191      2447.90289         24.0354          1.4445         16.9879          0.0652         -0.0874          0.4452       -1.053023        1.444462
     2447.91885      2447.90984         24.5409          1.4458         16.9653          0.0640          0.5702          0.4452       -0.264067        1.445821
     2447.92579      2447.91678         21.4760          1.4460         17.1101          0.0731          1.4162          0.5493       -0.285927        1.446022
     2447.93274      2447.92373         27.7952          1.4565         16.8301          0.0569          0.0300          0.4452        3.805272        1.456540
     2447.93968      2447.93067         26.9451          1.4501         16.8638          0.0584         -1.1688          0.4452        1.151761        1.450070
     2447.94663      2447.93761         23.6131          1.4395         17.0071          0.0662          1.1133          0.4452        0.325927        1.439497
     2447.95357      2447.94456         25.2428          1.4419         16.9347          0.0620          0.5539          0.4452        0.098738        1.441862
     2447.96052      2447.95150         28.5997          1.4386         16.7991          0.0546          1.7060          0.4452        2.734026        1.438585
     2447.96746      2447.95845         21.0581          1.4457         17.1315          0.0745          1.9188          0.3458       -0.187713        1.445707
     2447.97441      2447.96539         22.8951          1.4391         17.0406          0.0682          0.0008          0.3259        0.445240        1.439140
     2447.98135      2447.97234         29.1705          1.4338         16.7776          0.0534          1.3885          0.3259        1.379558        1.433838
     2447.98830      2447.97928         25.7851          1.4394         16.9116          0.0606         -0.2535          0.3259        0.163101        1.439358
     2447.99524      2447.98623         22.2655          1.4340         17.0709          0.0699          0.7901          0.3458       -0.520249        1.433966
