# reference_flux:         59.6055
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2447.69687      2447.68761         61.5791          1.7715         15.9664          0.0312         -1.7821         -1.3994        1.669131        1.771533
     2447.70381      2447.69456         64.1155          1.7452         15.9226          0.0296         -3.6836         -1.3994       -0.256369        1.745230
     2447.71076      2447.70150         54.7093          1.7766         16.0948          0.0353         -2.6300         -1.3994       -3.145622        1.776619
     2447.71770      2447.70845         60.6489          1.7593         15.9829          0.0315         -4.2306         -1.3994       -1.689241        1.759336
     2447.72465      2447.71539         58.9632          1.7680         16.0135          0.0326          3.1393         -1.3994       -0.886731        1.767984
     2447.73159      2447.72234         60.5339          1.7999         15.9850          0.0323         -2.6310         -1.3601       -3.598652        1.799854
     2447.73854      2447.72928         59.7778          1.7592         15.9986          0.0320         -0.8285         -1.3601        1.480644        1.759212
     2447.74548      2447.73623         58.9147          1.7756         16.0144          0.0327          0.5067         -1.2969        1.061363        1.775618
     2447.75243      2447.74317         55.3039          1.7869         16.0831          0.0351         -3.1709         -1.2969       -7.320513        1.786868
     2447.75937      2447.75011         57.2465          1.7662         16.0456          0.0335          0.2085         -1.2104       -1.210372        1.766219
     2447.76632      2447.75706         59.0607          1.7545         16.0118          0.0323         -3.1352         -1.2104       -0.900638        1.754472
     2447.77326      2447.76400         58.0331          1.7374         16.0308          0.0325         -1.0731         -1.2104       -2.334574        1.737377
     2447.78020      2447.77095         61.3775          1.7741         15.9700          0.0314         -0.8631         -1.2104       -0.947255        1.774103
     2447.78715      2447.77789         61.5047          1.7367         15.9677          0.0307          0.0216         -1.2104       -1.097513        1.736676
     2447.79409      2447.78484         53.2115          1.7812         16.1250          0.0363         -2.2310         -1.2969       -2.885846        1.781159
     2447.80104      2447.79178         58.8971          1.7929         16.0148          0.0331          0.0324         -1.3601       -4.103396        1.792878
     2447.80798      2447.79873         58.6711          1.7830         16.0189          0.0330          0.9087         -1.3601       -3.270956        1.782965
     2447.81493      2447.80567         56.5206          1.7894         16.0595          0.0344         -2.3521         -1.3994       -2.076056        1.789400
     2447.82187      2447.81261         58.8364          1.7896         16.0159          0.0330         -1.1570         -1.3994        0.011641        1.789600
     2447.82882      2447.81956         61.2609          1.7917         15.9720          0.0318         -2.6272         -1.3601       -1.399383        1.791706
     2447.83576      2447.82650         59.8533          1.7363         15.9973          0.0315          1.0082         -1.3994        0.794769        1.736308
     2447.84270      2447.83345         55.5330          1.7700         16.0786          0.0346          2.6160         -1.3994       -2.922130        1.770023
     2447.84965      2447.84039         60.5420          1.7850         15.9849          0.0320         -3.1595         -1.3994       -3.830716        1.785022
     2447.85659      2447.84734         64.5934          1.7829         15.9145          0.0300         -0.6079         -1.5578       -1.360116        1.782950
     2447.86354      2447.85428         57.7372          1.8190         16.0364          0.0342         -3.1837         -1.5578       -0.624775        1.818986
     2447.87048      2447.86123         58.4956          1.7806         16.0222          0.0330         -2.6781         -1.5578       -2.970479        1.780554
     2447.87743      2447.86817         54.4757          1.7960         16.0995          0.0358         -0.1385         -1.6036       -1.557827        1.795986
     2447.88437      2447.87511         64.5960          1.7929         15.9145          0.0301         -0.9448         -1.5578       -0.634720        1.792930
     2447.89132      2447.88206         58.9023          1.7782         16.0147          0.0328         -1.0919         -1.4663       -1.296886        1.778152
     2447.89826      2447.88900         61.8183          1.7695         15.9622          0.0311         -1.7318         -1.5578        0.379383        1.769472
     2447.90520      2447.89595         57.2603          1.7796         16.0454          0.0337          1.2801         -1.5578        1.130979        1.779596
     2447.91215      2447.90289         55.1095          1.7773         16.0869          0.0350         -3.7047         -1.5578       -4.595899        1.777297
     2447.91909      2447.90984         58.1685          1.7489         16.0283          0.0326         -0.9175         -1.6036       -0.337720        1.748863
     2447.92604      2447.91678         59.0038          1.8034         16.0128          0.0332         -0.1720         -1.6036       -0.091254        1.803400
     2447.93298      2447.92373         56.7106          1.7983         16.0558          0.0344          1.2356         -1.8020       -0.946171        1.798292
     2447.93993      2447.93067         54.6461          1.8217         16.0961          0.0362         -3.9998         -1.9490       -3.751552        1.821750
     2447.94687      2447.93761         57.5010          1.8303         16.0408          0.0346         -3.7337         -1.8020       -2.046528        1.830303
