# reference_flux:         15.3957
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2447.69683      2447.68761         18.5258          1.4809         17.2706          0.0868         -3.5425         -0.0692        2.346180        1.480872
     2447.70377      2447.69456         14.3958          1.5250         17.5444          0.1150         -3.8645          0.5813       -0.191555        1.524953
     2447.71072      2447.70150         13.3116          1.5506         17.6294          0.1265         -5.8907          0.5813        1.047814        1.550566
     2447.71766      2447.70845         15.7712          1.4838         17.4453          0.1021         -2.2075         -0.0692       -0.698558        1.483779
     2447.72460      2447.71539         13.9183          1.4939         17.5810          0.1165         -3.1412         -0.0692       -1.078130        1.493945
     2447.73155      2447.72234         15.8227          1.2991         17.4418          0.0891         -6.2873         -0.0692        0.588955        1.299098
     2447.73849      2447.72928         17.4699          1.5582         17.3343          0.0968         -4.2262          0.5316        2.611338        1.558231
     2447.74544      2447.73623         16.9856          1.5557         17.3648          0.0994         -4.0084          0.5316        3.162612        1.555662
     2447.75238      2447.74317         14.1329          1.5197         17.5644          0.1167          0.5517          0.5316        1.169856        1.519702
     2447.75933      2447.75011         17.4230          1.5205         17.3372          0.0948         -0.5076          0.5316        2.704307        1.520527
     2447.76627      2447.75706         19.4880          1.5293         17.2156          0.0852          1.4344          0.5813        2.088212        1.529254
     2447.77322      2447.76400         16.6469          1.5214         17.3867          0.0992          3.2655          0.5569       -1.325113        1.521393
     2447.78016      2447.77095         17.1606          1.5098         17.3537          0.0955          3.3861          0.5569        1.428150        1.509786
     2447.78711      2447.77789         16.4893          1.4777         17.3970          0.0973          5.3632          0.5569        0.881983        1.477735
     2447.79405      2447.78484         10.4721          1.5178         17.8899          0.1574          7.5044          0.5569       -0.069163        1.517794
     2447.80099      2447.79178         13.3539          1.5324         17.6260          0.1246          3.3782          0.5569       -0.787172        1.532424
     2447.80794      2447.79873         10.7459          1.5563         17.8619          0.1572          5.9576          0.5316       -4.039459        1.556294
     2447.81488      2447.80567         13.7800          1.5352         17.5919          0.1210          8.3667          0.5316       -2.355110        1.535239
     2447.82183      2447.81261         12.3441          1.5423         17.7114          0.1357          7.5266          0.5316       -2.633513        1.542311
     2447.82877      2447.81956         17.6479          1.5564         17.3233          0.0958          9.8749          0.5316        2.172115        1.556416
     2447.83572      2447.82650         13.0770          1.5280         17.6487          0.1269          5.9677          0.5569       -0.556277        1.528037
     2447.84266      2447.83345         16.9837          1.5307         17.3649          0.0979          8.6781          0.5569        0.581323        1.530698
     2447.84961      2447.84039         13.9722          1.5490         17.5768          0.1204          9.6737          0.5316       -0.848502        1.549000
     2447.85655      2447.84734         14.7518          1.5405         17.5179          0.1134          6.0595          0.5569       -1.572004        1.540452
     2447.86350      2447.85428         17.5556          1.5529         17.3290          0.0960         11.2831          0.5569        2.631715        1.552915
     2447.87044      2447.86123         14.5370          1.5484         17.5338          0.1156          8.8181          0.5569       -2.209310        1.548411
     2447.87738      2447.86817         16.2973          1.5543         17.4097          0.1035          4.7737          0.5813       -0.358574        1.554311
     2447.88433      2447.87511         10.6746          1.5527         17.8691          0.1579          6.3158          0.5813       -0.683956        1.552741
     2447.89127      2447.88206         14.4575          1.5560         17.5398          0.1169          4.2541          0.5813        0.531582        1.556007
     2447.89822      2447.88900         17.3061          1.5470         17.3445          0.0971          3.8566          0.5890        2.891281        1.547039
     2447.90516      2447.89595         13.6055          1.5551         17.6057          0.1241          5.4787          0.5813        0.115420        1.555115
     2447.91211      2447.90289         13.1841          1.5333         17.6399          0.1263          3.4438          0.5813       -2.215950        1.533320
     2447.91905      2447.90984         13.4871          1.3233         17.6152          0.1065          2.0611          0.5569       -0.809323        1.323290
     2447.92600      2447.91678         15.4840          1.5696         17.4653          0.1101          9.2576          0.5569        2.052744        1.569611
     2447.93294      2447.92373         15.5238          1.2050         17.4625          0.0843         -2.5121          0.5569        0.556932        1.205004
     2447.93989      2447.93067         17.5325          1.1613         17.3304          0.0719         -0.3849          0.5569        1.751709        1.161261
     2447.94683      2447.93761         16.7042          1.1628         17.3829          0.0756         -0.3666          0.5813       -0.117216        1.162841
     2447.95377      2447.94456         18.1185          1.1474         17.2947          0.0688         -0.5094          0.5569        1.095294        1.147444
     2447.96072      2447.95150         15.7877          1.3235         17.4442          0.0910         -0.5143          0.5446        1.995063        1.323480
     2447.96766      2447.95845         15.5861          1.1584         17.4582          0.0807          0.1624          0.5569        0.315867        1.158389
     2447.97461      2447.96539         14.4712          1.2773         17.5387          0.0958          0.6855          0.5673        0.987867        1.277289
     2447.98155      2447.97234         17.3807          1.2826         17.3398          0.0801          1.6982          0.5813        0.878815        1.282598
     2447.98850      2447.97928         20.4836          1.2723         17.1615          0.0674          1.8922          0.5919        2.260126        1.272319
     2447.99544      2447.98623         16.3841          1.2726         17.4039          0.0843          2.1833          0.8788        1.294315        1.272567
     2448.00239      2447.99317         15.3383          1.2886         17.4756          0.0912          3.4435          0.8788        0.089256        1.288554
     2448.00933      2448.00011         14.9247          1.3269         17.5052          0.0965          5.1856          0.8788       -0.667202        1.326907
     2448.01628      2448.00706         20.8732          1.3369         17.1410          0.0695          1.9117          0.8788        4.303545        1.336906
     2448.02322      2448.01400         15.3138          1.3293         17.4773          0.0942          2.1169          0.8788        3.235599        1.329299
     2448.03016      2448.02095         15.0316          1.2795         17.4975          0.0924          2.7112          0.8788        0.591868        1.279512
     2448.03711      2448.02789         16.7082          1.2792         17.3827          0.0831          2.9019          0.8310        1.193807        1.279194
     2448.04405      2448.03484         15.5587          1.0156         17.4601          0.0709         -0.2535          0.8788        0.957158        1.015634
     2448.05100      2448.04178         15.6832          1.1621         17.4514          0.0805          1.2655          0.8788        0.081874        1.162142
     2448.05794      2448.04873         13.9675          1.3303         17.5772          0.1034          1.5858          0.9273        2.525245        1.330285
     2448.06489      2448.05567         14.0880          1.2859         17.5679          0.0991          0.6741          0.9273       -0.734176        1.285947
     2448.07183      2448.06261         16.6761          1.2948         17.3848          0.0843         -0.6167          0.8788        2.560205        1.294840
     2448.07878      2448.06956         13.1037          1.2038         17.6465          0.0997          1.1168          0.9273       -0.931024        1.203782
     2448.08572      2448.07650         16.1881          1.3656         17.4170          0.0916          2.1034          0.9273        1.276516        1.365565
     2448.09267      2448.08345         16.8088          1.2663         17.3762          0.0818         -3.1545          0.9273        1.591544        1.266305
     2448.09961      2448.09039         21.3587          1.4168         17.1161          0.0720         -5.5625          0.8788        1.156814        1.416823
     2448.10655      2448.09734         21.3325          1.4274         17.1174          0.0727         -1.3279          0.8788        4.687875        1.427439
     2448.11350      2448.10428         15.9052          1.4402         17.4362          0.0983         -2.3740          0.8310       -1.055811        1.440203
     2448.12044      2448.11123         19.2256          1.3979         17.2303          0.0789         -3.0999          0.8310        0.544630        1.397917
     2448.12739      2448.11817         19.7725          1.4310         17.1998          0.0786         -4.4735          0.8310        1.858349        1.431048
     2448.13433      2448.12511         16.2090          1.4395         17.4156          0.0964         -6.5769          0.8012        0.567269        1.439522
     2448.14128      2448.13206         15.4446          1.5803         17.4681          0.1111         -6.9914          0.8012        1.415912        1.580254
     2448.14822      2448.13900         16.2670          1.4094         17.4117          0.0941         -3.4990          0.5919        1.370836        1.409414
     2448.15517      2448.14595         15.4311          1.4124         17.4690          0.0994         -2.6624          0.5673        0.927324        1.412407
     2448.16211      2448.15289         15.2096          1.4340         17.4847          0.1024         -1.6581          0.5673        1.692715        1.434038
     2448.16906      2448.15984         19.4652          1.4705         17.2169          0.0820         -3.0162          0.5673       -1.173133        1.470465
     2448.17600      2448.16678         16.9456          1.4986         17.3674          0.0960         -3.0830          0.5673        0.830965        1.498592
     2448.18294      2448.17373         14.0289          1.4810         17.5724          0.1146          0.0584          0.5919       -0.485656        1.480975
     2448.18989      2448.18067         15.6820          1.2281         17.4515          0.0850         -2.0873          0.5919       -0.470481        1.228147
     2448.19683      2448.18761         14.2269          1.2226         17.5572          0.0933         -1.8278          0.5895       -0.547824        1.222562
     2448.20378      2448.19456         17.5329          1.3892         17.3304          0.0860          2.4177          0.5673        3.397849        1.389163
     2448.21072      2448.20150         15.8152          1.4537         17.4423          0.0998         -0.8834          0.5477       -0.497490        1.453668
     2448.21767      2448.20845         14.6844          1.6368         17.5229          0.1210          0.5547          0.5477        2.358224        1.636789
     2448.22461      2448.21539         14.9141          1.1827         17.5060          0.0861          1.8673          0.5673       -0.659075        1.182750
     2448.23156      2448.22234         17.1415          1.0519         17.3549          0.0666          1.4003          0.5673        0.464763        1.051925
     2448.23850      2448.22928         15.7839          1.3994         17.4445          0.0963          4.3195          0.5673        1.527024        1.399447
     2448.24545      2448.23623         13.4752          1.3778         17.6162          0.1110          0.2634          0.5477       -1.390582        1.377817
     2448.25239      2448.24317         14.5407          1.3548         17.5335          0.1012          0.7177          0.5673       -1.154700        1.354794
     2448.25933      2448.25011         17.5141          1.3269         17.3315          0.0823          3.6179          0.5673       -0.023914        1.326901
     2448.26628      2448.25706         16.5725          1.3875         17.3915          0.0909          3.1657          0.5673        0.547653        1.387485
     2448.27322      2448.26400         16.2771          1.4561         17.4111          0.0971          3.6186          0.5477        0.291583        1.456093
     2448.28017      2448.27095         19.2421          1.4553         17.2294          0.0821          0.3591          0.5446        0.543268        1.455323
     2448.28711      2448.27789         15.1095          1.4102         17.4919          0.1013          3.2049          0.5477        0.891596        1.410246
     2448.29406      2448.28484         16.4917          1.3493         17.3968          0.0888          0.9158          0.5673        0.801206        1.349289
     2448.30100      2448.29178         15.5086          1.3600         17.4636          0.0952          2.4313          0.5673       -0.371064        1.360035
     2448.30795      2448.29873         14.9839          1.3742         17.5009          0.0996          0.0710          0.5477        0.234994        1.374216
     2448.31489      2448.30567         14.9274          1.3131         17.5050          0.0955         -2.6290          0.5477        0.458916        1.313102
     2448.32183      2448.31261         13.0542          1.2527         17.6506          0.1042          1.0753          0.5477        0.895313        1.252743
     2448.32878      2448.31956         17.4146          1.2248         17.3377          0.0764         -0.7836          0.5433        0.635968        1.224753
     2448.33572      2448.32650         14.6767          1.4657         17.5234          0.1084         -0.1922          0.5433       -0.756962        1.465706
     2448.34267      2448.33345         21.4430          1.4751         17.1118          0.0747         -0.9843          0.5477        2.079556        1.475089
     2448.34961      2448.34039         17.6291          1.6198         17.3244          0.0998         -2.9667          0.5433        1.244899        1.619802
     2448.35656      2448.34734         13.6004          1.5741         17.6061          0.1257          0.2653          0.5477        0.589487        1.574114
     2448.36350      2448.35428         12.3304          1.4690         17.7126          0.1293          3.6493          0.5477       -0.520749        1.468994
     2448.37045      2448.36123         14.3925          1.5471         17.5447          0.1167          2.5475          0.5813       -1.277900        1.547138
     2448.37739      2448.36817         16.6585          1.5953         17.3859          0.1040          7.4013          0.5813        2.113422        1.595266
     2448.38433      2448.37511         14.2546          1.4629         17.5551          0.1114          5.0112          0.5813        2.173789        1.462859
     2448.39128      2448.38206         16.5962          1.4752         17.3900          0.0965          7.9774          0.5813        0.750024        1.475231
     2448.39822      2448.38900         19.8427          1.4731         17.1960          0.0806         11.5839          0.5813       -0.662185        1.473066
     2448.40517      2448.39595         17.9235          1.4646         17.3064          0.0887          9.5532          0.5895        0.135198        1.464594
     2448.41211      2448.40289         15.3941          1.4805         17.4716          0.1044         10.5733          0.5895        2.751251        1.480527
     2448.41906      2448.40984         16.1966          1.4808         17.4164          0.0993          9.4861          0.6360        1.262943        1.480773
     2448.42600      2448.41678         22.8487          1.5681         17.0428          0.0745          6.5551          0.7500        3.692687        1.568132
     2448.43295      2448.42373         16.4894          1.5795         17.3970          0.1040          8.6268          0.7500       -0.256669        1.579451
     2448.43989      2448.43067         17.8425          1.6044         17.3114          0.0976         10.0602          0.7500       -1.623302        1.604405
     2448.44684      2448.43761         14.1888          1.5862         17.5601          0.1214          9.1623          0.7658        1.738171        1.586203
     2448.45378      2448.44456         18.2736          1.6005         17.2854          0.0951         12.3457          0.7869        3.831550        1.600495
     2448.46072      2448.45150         21.0308          1.5858         17.1329          0.0819         12.3875          0.7869        1.022073        1.585759
     2448.46767      2448.45845         19.3484          1.6089         17.2234          0.0903          6.5680          0.7869       -0.406425        1.608892
     2448.47461      2448.46539         15.1590          1.5821         17.4883          0.1133          9.0543          0.7998        1.008768        1.582086
     2448.48156      2448.47234         12.2345          1.6093         17.7210          0.1428         11.2932          0.8368        0.581252        1.609289
     2448.48850      2448.47928         23.1836          1.5588         17.0270          0.0730          4.6148          0.8442        0.438788        1.558826
     2448.49545      2448.48623         18.7748          1.5563         17.2561          0.0900          4.7495          0.8442        0.765771        1.556291
     2448.50239      2448.49317         16.0308          1.5695         17.4276          0.1063          6.8671          0.8442        0.836823        1.569485
     2448.50934      2448.50011         14.4703          1.5514         17.5388          0.1164          4.8500          1.0088       -0.647715        1.551395
     2448.51628      2448.50706         16.6821          1.4096         17.3844          0.0917         -0.2121          0.8442        1.927933        1.409569
     2448.52322      2448.51400         16.7647          1.5486         17.3790          0.1003          1.1699          0.8442       -0.505713        1.548637
     2448.53017      2448.52095         16.5919          1.5058         17.3903          0.0985          3.2863          1.0088        1.083782        1.505811
     2448.53711      2448.52789         18.2893          1.5707         17.2845          0.0932          0.0274          1.0088        1.081006        1.570670
     2448.54406      2448.53484         14.5309          1.5796         17.5343          0.1180         -2.7188          1.0221        0.122034        1.579614
     2448.55100      2448.54178         18.0988          1.4969         17.2959          0.0898          0.0279          1.0221        2.821872        1.496943
     2448.55795      2448.54873         16.0391          1.5684         17.4270          0.1062         -1.4876          1.0088       -1.328949        1.568402
     2448.56489      2448.55567         14.7889          1.5758         17.5152          0.1157         -1.8756          1.0088        2.200536        1.575783
     2448.57184      2448.56261         16.8730          1.6038         17.3720          0.1032         -3.7334          1.0088        0.844201        1.603778
     2448.57878      2448.56956         19.5435          1.5078         17.2125          0.0838         -4.2440          1.0221        1.930478        1.507785
     2448.58573      2448.57650         17.8310          1.5978         17.3121          0.0973         -4.5556          1.0088        0.786922        1.597818
     2448.59267      2448.58345         14.1601          1.5063         17.5623          0.1155         -2.2856          1.0088       -0.816685        1.506311
     2448.59961      2448.59039         17.2348          1.4923         17.3490          0.0940         -2.2989          1.0066       -0.945038        1.492256
     2448.60656      2448.59734         19.1152          1.4922         17.2366          0.0848         -6.2571          1.0088        2.235980        1.492203
     2448.61350      2448.60428         14.0559          1.4956         17.5704          0.1155         -5.6833          1.0088        1.672540        1.495585
     2448.62045      2448.61123         20.0244          1.5151         17.1861          0.0821         -7.5033          1.0088        1.445572        1.515062
     2448.62739      2448.61817         18.5666          1.4962         17.2682          0.0875         -6.6902          1.0066        0.799784        1.496153
     2448.63434      2448.62511         17.8451          1.5116         17.3112          0.0920         -3.4869          1.0066        3.141975        1.511601
     2448.64128      2448.63206         15.7175          1.5896         17.4490          0.1098         -5.7097          1.0066        1.481123        1.589586
     2448.64823      2448.63900         15.2184          1.5111         17.4841          0.1078         -6.1902          0.8442        1.031135        1.511147
     2448.65517      2448.64595         16.4390          1.4987         17.4003          0.0990         -7.8781          1.0066        1.860052        1.498730
     2448.66212      2448.65289         12.3496          1.5087         17.7109          0.1326         -2.6367          1.0311       -0.138185        1.508722
     2448.66906      2448.65984         19.9020          1.5035         17.1928          0.0820         -6.0158          1.0311        3.632202        1.503452
     2448.67600      2448.66678         15.2652          1.4967         17.4807          0.1065         -5.3467          1.0810        0.354137        1.496688
     2448.68295      2448.67373         13.7371          1.5088         17.5953          0.1192         -4.7374          1.0838        1.094120        1.508786
     2448.68989      2448.68067         18.2172          1.5102         17.2888          0.0900         -7.7153          1.0810        2.315571        1.510194
     2448.69684      2448.68761         16.3541          1.5056         17.4059          0.1000         -6.0263          1.0810        0.187860        1.505601
     2448.70378      2448.69456         22.4717          1.5095         17.0609          0.0729         -5.5593          1.0311        3.274542        1.509518
     2448.71073      2448.70150         17.5152          1.5059         17.3315          0.0934         -6.4135          1.0066        2.854050        1.505931
     2448.71767      2448.70845         11.1639          1.5100         17.8205          0.1469         -9.0543          1.0066       -0.103242        1.510037
     2448.72462      2448.71539         16.2273          1.5108         17.4144          0.1011         -5.5112          0.9614       -0.773006        1.510837
     2448.73156      2448.72234         17.2810          1.4949         17.3461          0.0939         -4.7000          1.0066        0.303568        1.494876
     2448.73850      2448.72928         17.5232          1.4953         17.3310          0.0926         -5.7361          1.0066        2.015874        1.495321
     2448.74545      2448.73623         19.1770          1.4916         17.2330          0.0845         -5.8424          1.0311        1.006558        1.491616
     2448.75239      2448.74317         18.0844          1.4968         17.2967          0.0899         -2.2508          1.0311        2.725783        1.496770
     2448.75934      2448.75011         15.2124          1.5089         17.4845          0.1077         -3.3505          1.0311        0.688697        1.508855
     2448.76628      2448.75706         19.3284          1.5010         17.2245          0.0843         -5.3846          1.0941        3.224589        1.501045
     2448.77323      2448.76400         16.0684          1.5074         17.4251          0.1019         -4.5780          1.0941        0.695971        1.507364
