# reference_flux:         23.7143
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2447.69675      2447.68761         30.5465          1.6527         16.7276          0.0587          1.0298          0.2119        0.966147        1.652690
     2447.70369      2447.69456         26.0419          1.6238         16.9008          0.0677         -1.0561          0.2119        0.933372        1.623822
     2447.71064      2447.70150         24.5816          1.6014         16.9635          0.0707         -1.1313          0.2119        0.176174        1.601377
     2447.71758      2447.70845         24.4714          1.6106         16.9684          0.0715         -1.2833          0.3054        1.121374        1.610636
     2447.72453      2447.71539         22.0776          1.6233         17.0801          0.0798          1.6779          0.2119        0.420544        1.623261
     2447.73147      2447.72234         24.0130          1.6196         16.9889          0.0732         -1.1704          0.2119        0.305384        1.619571
     2447.73842      2447.72928         28.2342          1.6194         16.8131          0.0623          0.9429          0.2119        4.615519        1.619376
     2447.74536      2447.73623         26.7355          1.5961         16.8723          0.0648          3.1704          0.3054        3.042187        1.596085
     2447.75230      2447.74317         24.5142          1.5804         16.9665          0.0700         -0.1109          0.3054        0.028289        1.580361
     2447.75925      2447.75011         23.6914          1.5748         17.0035          0.0722          0.9784          0.3054       -3.159215        1.574758
     2447.76619      2447.75706         21.5815          1.5797         17.1048          0.0795          0.1155          0.3054       -0.204506        1.579738
     2447.77314      2447.76400         21.6987          1.6155         17.0989          0.0808         -2.4798          0.3054        0.680139        1.615469
     2447.78008      2447.77095         28.7374          1.5631         16.7939          0.0591         -3.1268          0.3054        0.012213        1.563094
     2447.78703      2447.77789         24.6470          1.6099         16.9606          0.0709          1.9933          0.3054       -0.799837        1.609902
     2447.79397      2447.78484         22.6102          1.5787         17.0542          0.0758          1.9410          0.4092        0.516337        1.578651
     2447.80092      2447.79178         27.6700          1.5987         16.8350          0.0627          1.2880          0.4205        0.409239        1.598666
     2447.80786      2447.79873         25.4526          1.6269         16.9257          0.0694         -1.2524          0.4205       -0.971052        1.626930
     2447.81481      2447.80567         24.5773          1.6128         16.9637          0.0712          1.4975          0.4205       -2.395658        1.612829
     2447.82175      2447.81261         20.9957          1.6303         17.1347          0.0843          4.3105          0.4205       -0.277356        1.630309
     2447.82869      2447.81956         22.6843          1.6119         17.0507          0.0771         -2.7470          0.4205       -1.864944        1.611895
     2447.83564      2447.82650         28.4681          1.6093         16.8041          0.0614         -1.7461          0.4205        3.076546        1.609251
     2447.84258      2447.83345         23.0138          1.5973         17.0350          0.0754          0.7797          0.4092        0.211949        1.597331
     2447.84953      2447.84039         23.2520          1.5908         17.0238          0.0743         -0.7499          0.4092       -0.058431        1.590837
     2447.85647      2447.84734         28.6119          1.6019         16.7986          0.0608         -0.1107          0.4092        4.309158        1.601916
     2447.86342      2447.85428         19.0043          1.6152         17.2429          0.0923          2.3788          0.3054        0.856461        1.615200
     2447.87036      2447.86123         24.9419          1.5890         16.9477          0.0692         -0.9648          0.2119       -0.119966        1.589005
     2447.87731      2447.86817         22.7774          1.5549         17.0462          0.0741          0.6445          0.2119        0.802718        1.554935
     2447.88425      2447.87511         24.9591          1.5811         16.9469          0.0688         -0.6274          0.3054        0.024621        1.581088
     2447.89120      2447.88206         28.0709          1.6095         16.8194          0.0623         -0.5940          0.3054       -0.501420        1.609539
     2447.89814      2447.88900         23.9573          1.6129         16.9914          0.0731          0.5011          0.2119       -1.028838        1.612916
     2447.90509      2447.89595         22.3981          1.6217         17.0645          0.0786          1.4605          0.2011        0.578184        1.621720
     2447.91203      2447.90289         25.2154          1.6069         16.9358          0.0692          0.5999          0.2011        1.030697        1.606922
     2447.91897      2447.90984         27.1986          1.5919         16.8536          0.0635         -0.9832          0.2011        0.602651        1.591926
     2447.92592      2447.91678         25.4879          1.5703         16.9242          0.0669         -0.4399          0.2119        1.426521        1.570269
     2447.93286      2447.92373         24.6462          1.5925         16.9606          0.0702          0.0050          0.2573        0.108183        1.592531
