# reference_flux:        509.9994
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2447.69575      2447.68763        507.0364          1.5697         13.6774          0.0034         -0.7334         -0.6168       -1.394066        1.569657
     2447.70270      2447.69458        512.4169          1.5055         13.6659          0.0032         -1.7776         -0.6168        1.602692        1.505461
     2447.70964      2447.70152        510.7997          1.5180         13.6694          0.0032         -0.8411         -0.6168       -2.070490        1.517965
     2447.71659      2447.70847        509.1762          1.5946         13.6728          0.0034         -2.4031         -0.6168       -0.557203        1.594635
     2447.72353      2447.71541        509.0146          1.5340         13.6732          0.0033          0.6281         -0.6168        2.192194        1.533973
     2447.73048      2447.72235        507.0785          1.5370         13.6773          0.0033          0.1729         -0.6168       -0.929537        1.537002
     2447.73742      2447.72930        511.6371          1.4955         13.6676          0.0032         -0.2562         -0.6168        2.251367        1.495483
     2447.74436      2447.73624        508.0853          1.5042         13.6752          0.0032          0.4022         -0.7181       -1.018613        1.504229
     2447.75131      2447.74319        512.8004          1.4926         13.6651          0.0032         -1.4868         -0.7181        0.604605        1.492647
     2447.75825      2447.75013        508.7255          1.5710         13.6738          0.0034         -0.7287         -0.7181        0.223157        1.571019
     2447.76520      2447.75708        507.7499          1.5329         13.6759          0.0033         -0.5490         -0.6168       -1.508258        1.532896
     2447.77214      2447.76402        512.6693          1.5092         13.6654          0.0032         -1.9002         -0.5572        0.958495        1.509217
     2447.77909      2447.77097        506.4075          1.5386         13.6787          0.0033          0.1247         -0.5572       -4.236492        1.538631
     2447.78603      2447.77791        507.0710          1.4985         13.6773          0.0032         -1.2165         -0.5572       -3.524114        1.498541
     2447.79298      2447.78485        504.3411          1.5145         13.6832          0.0033          0.1081         -0.2843       -4.118707        1.514541
     2447.79992      2447.79180        507.9837          1.5076         13.6754          0.0032         -1.5335         -0.5572       -0.616810        1.507590
     2447.80687      2447.79874        514.2140          1.5300         13.6621          0.0032         -0.6058         -0.5572        0.811404        1.529994
     2447.81381      2447.80569        515.2650          1.5183         13.6599          0.0032         -0.4811         -0.5572        1.628392        1.518265
     2447.82076      2447.81263        507.1104          1.5249         13.6772          0.0033          1.3550         -0.5572       -0.787293        1.524945
     2447.82770      2447.81958        510.3444          1.5376         13.6703          0.0033          1.4304         -0.5572       -0.920282        1.537625
     2447.83465      2447.82652        512.2136          1.5444         13.6664          0.0033          0.7008         -0.5572        1.466883        1.544437
     2447.84159      2447.83347        505.4122          1.5172         13.6809          0.0033          0.2194         -0.2921       -3.953793        1.517239
     2447.84854      2447.84041        516.6733          1.5530         13.6570          0.0033         -2.6139         -0.2921        2.722738        1.552977
     2447.85548      2447.84735        513.7726          1.5466         13.6631          0.0033         -0.9435         -0.2921        1.865904        1.546618
     2447.86243      2447.85430        508.9448          1.5094         13.6733          0.0032         -1.2631         -0.2843       -0.813805        1.509413
     2447.86937      2447.86124        508.5023          1.5329         13.6743          0.0033          2.3155         -0.1920        0.521750        1.532903
     2447.87632      2447.86819        511.5412          1.5368         13.6678          0.0033         -1.8086         -0.2843        0.823131        1.536809
     2447.88326      2447.87513        509.6880          1.5289         13.6717          0.0033          2.0445         -0.1920       -0.718114        1.528859
     2447.89021      2447.88208        500.9158          1.5395         13.6906          0.0033         -0.2343         -0.1920       -4.580750        1.539545
     2447.89715      2447.88902        505.0734          1.5075         13.6816          0.0032          0.0552         -0.1920       -3.011839        1.507491
     2447.90410      2447.89597        506.4490          1.5227         13.6787          0.0033          0.0809          0.2232       -0.966244        1.522683
     2447.91104      2447.90291        511.8639          1.5398         13.6671          0.0033         -1.7479         -0.1920        2.272072        1.539821
     2447.91799      2447.90985        513.4209          1.5205         13.6638          0.0032          0.3151         -0.1920       -0.284314        1.520515
     2447.92493      2447.91680        511.9764          1.5438         13.6669          0.0033          0.3879         -0.2843        2.623293        1.543763
     2447.93188      2447.92374        512.4586          1.5365         13.6659          0.0033         -1.8497         -0.2921        0.999720        1.536452
     2447.93882      2447.93069        511.3416          1.5159         13.6682          0.0032         -1.8012         -0.2843        1.437200        1.515880
     2447.94577      2447.93763        506.4244          1.5322         13.6787          0.0033          1.6223         -0.2921       -0.191991        1.532152
     2447.95271      2447.94458        511.6402          1.5241         13.6676          0.0032         -1.8912         -0.2921        3.079697        1.524060
