# reference_flux:         21.4076
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2447.69580      2447.68763         23.5236          1.5070         17.0112          0.0696         -4.8947          0.0645        0.933375        1.506988
     2447.70274      2447.69458         25.2879          1.5545         16.9327          0.0667         -2.7312          0.2923        0.457848        1.554466
     2447.70969      2447.70152         21.1326          1.3224         17.1276          0.0679          0.3096          0.2923       -1.653300        1.322400
     2447.71663      2447.70847         23.5570          1.4490         17.0097          0.0668         -4.2129          0.2923       -2.719855        1.448992
     2447.72358      2447.71541         25.5405          1.4336         16.9219          0.0609         -1.8217          0.2923       -0.264157        1.433600
     2447.73052      2447.72235         22.3334          1.3326         17.0676          0.0648         -3.1906          0.0645       -1.373497        1.332620
     2447.73747      2447.72930         23.5633          1.3155         17.0094          0.0606          1.3219          0.0645        0.431162        1.315481
     2447.74441      2447.73624         26.0915          1.3492         16.8988          0.0561         -1.6514          0.0645        0.731296        1.349231
     2447.75136      2447.74319         20.5940          1.3293         17.1556          0.0701          0.1643          0.0645       -0.790242        1.329285
     2447.75830      2447.75013         18.8853          1.3115         17.2497          0.0754         -2.6220          0.0134       -1.456106        1.311484
     2447.76525      2447.75708         22.3448          1.4740         17.0671          0.0716         -1.0140          0.0077        0.007692        1.473989
     2447.77219      2447.76402         20.7423          1.3523         17.1479          0.0708          0.8036          0.0077        1.041964        1.352272
     2447.77914      2447.77097         21.9473          1.3447         17.0865          0.0665          0.2836         -0.0704        0.983467        1.344701
     2447.78608      2447.77791         23.0010          1.3826         17.0356          0.0653          0.1772         -0.0704        0.064468        1.382556
     2447.79303      2447.78485         24.3898          1.5829         16.9720          0.0705         -2.0304         -0.0704        3.010883        1.582876
     2447.79997      2447.79180         19.9746          1.4099         17.1888          0.0766         -0.4257          0.0077        2.363609        1.409863
     2447.80692      2447.79874         22.1420          1.3892         17.0770          0.0681         -1.9459          0.0134        1.129663        1.389152
     2447.81386      2447.80569         17.8270          1.5510         17.3123          0.0945         -0.2250          0.0077       -1.508632        1.550987
     2447.82081      2447.81263         20.5021          1.3826         17.1605          0.0732         -0.0563          0.0077        1.327757        1.382567
     2447.82775      2447.81958         22.6383          1.3987         17.0529          0.0671         -2.2496          0.0134        0.715656        1.398700
     2447.83470      2447.82652         17.9515          1.4221         17.3047          0.0860         -1.6820          0.0134       -2.747704        1.422057
     2447.84164      2447.83347         19.7755          1.3897         17.1997          0.0763         -2.8415          0.0134       -2.735435        1.389687
     2447.84859      2447.84041         22.8015          1.3727         17.0451          0.0654         -0.0785          0.0134        0.426557        1.372653
     2447.85553      2447.84735         22.6297          1.3507         17.0533          0.0648          1.6053          0.0134       -0.495108        1.350692
     2447.86248      2447.85430         23.2777          1.3405         17.0226          0.0625          0.6986          0.0077        0.292336        1.340523
     2447.86942      2447.86124         22.6662          1.3859         17.0516          0.0664          1.2596          0.0077        1.871121        1.385902
     2447.87637      2447.86819         21.2345          1.4101         17.1224          0.0721          4.0943          0.0077        0.013441        1.410138
     2447.88331      2447.87513         20.1541          1.4128         17.1791          0.0761          1.0448          0.0077       -0.505234        1.412768
     2447.89026      2447.88208         23.1398          1.4077         17.0291          0.0660         -0.2533          0.0077       -0.083714        1.407686
     2447.89720      2447.88902         18.8574          1.3798         17.2513          0.0794          3.0248          0.0077       -0.916184        1.379817
     2447.90414      2447.89597         17.4264          1.3542         17.3370          0.0844         -0.3889          0.0077       -0.076605        1.354186
     2447.91109      2447.90291         22.3207          1.3934         17.0682          0.0678          1.9697          0.0077        2.214593        1.393416
     2447.91803      2447.90985         17.4956          1.3661         17.3327          0.0848          2.3710          0.0077       -0.926224        1.366080
     2447.92498      2447.91680         22.1712          1.4147         17.0755          0.0693          0.3153          0.0134       -0.411779        1.414657
     2447.93192      2447.92374         18.5729          1.5239         17.2678          0.0891         -5.1152          0.0134       -3.328270        1.523881
     2447.93887      2447.93069         19.7878          1.4297         17.1990          0.0784         -0.0389          0.0645       -0.070360        1.429746
     2447.94581      2447.93763         21.3712          1.4233         17.1154          0.0723          0.7334          0.0645        0.679943        1.423275
     2447.95276      2447.94458         21.6948          1.4235         17.0991          0.0712          1.2106          0.0364        1.267945        1.423517
     2447.95970      2447.95152         23.0669          1.5184         17.0325          0.0715         -1.4239          0.0134        3.128473        1.518376
     2447.96665      2447.95847         22.0540          1.3557         17.0813          0.0667          2.7633         -0.0036        0.412686        1.355700
     2447.97359      2447.96541         18.8396          1.5583         17.2523          0.0898          1.0395         -0.0036       -0.011225        1.558271
     2447.98054      2447.97235         23.8443          1.5587         16.9965          0.0710         -0.0960         -0.0036        1.309072        1.558666
     2447.98748      2447.97930         20.0992          1.5188         17.1821          0.0820          0.1965          0.0134        0.924180        1.518808
     2447.99443      2447.98624         23.8115          1.4235         16.9980          0.0649          1.0958         -0.0036       -0.058263        1.423525
     2448.00137      2447.99319         17.1704          1.4059         17.3530          0.0889          0.8689         -0.0112       -2.758754        1.405890
     2448.00832      2448.00013         19.6570          1.4259         17.2062          0.0788          1.5224         -0.0036       -0.131619        1.425883
     2448.01526      2448.00708         19.3992          1.4206         17.2205          0.0795          0.8229         -0.0036        0.431942        1.420600
     2448.02221      2448.01402         27.7302          1.3828         16.8326          0.0541          2.3782         -0.0036       -0.262554        1.382810
     2448.02915      2448.02097         21.6064          1.5492         17.1035          0.0779          0.9661         -0.0036        0.780161        1.549235
     2448.03610      2448.02791         21.6514          1.5473         17.1013          0.0776          2.0411         -0.0112        1.626292        1.547279
     2448.04304      2448.03485         22.2224          1.3926         17.0730          0.0680          1.4565         -0.0152       -0.593138        1.392606
     2448.04999      2448.04180         24.5021          1.5604         16.9670          0.0691          1.2547         -0.0152       -0.015210        1.560370
     2448.05693      2448.04874         20.8474          1.3643         17.1424          0.0711          1.4811         -0.0112       -3.292740        1.364342
     2448.06388      2448.05569         20.5015          1.3676         17.1605          0.0724          0.7724         -0.0112       -0.027697        1.367566
     2448.07082      2448.06263         22.9698          1.3819         17.0371          0.0653         -0.2837         -0.0112        1.955058        1.381934
     2448.07777      2448.06958         21.3413          1.3618         17.1169          0.0693          2.4966         -0.0112        0.674757        1.361842
     2448.08471      2448.07652         21.7782          1.3797         17.0949          0.0688         -2.0956         -0.0112        0.887755        1.379682
     2448.09166      2448.08347         24.1465          1.4277         16.9829          0.0642          2.1561         -0.0036       -1.840314        1.427657
     2448.09860      2448.09041         23.7097          1.3746         17.0027          0.0629         -0.9471          0.0364        1.240226        1.374636
     2448.10555      2448.09735         28.4535          1.4288         16.8047          0.0545          0.4756          0.0364        2.283549        1.428767
     2448.11249      2448.10430         19.6710          1.4516         17.2054          0.0801          1.1432          0.1639        0.036360        1.451629
     2448.11944      2448.11124         22.6676          1.4127         17.0515          0.0677          1.7197          0.1639       -0.003622        1.412708
     2448.12638      2448.11819         17.9171          1.4092         17.3068          0.0854          0.5657          0.1639       -1.537466        1.409177
     2448.13332      2448.12513         22.5381          1.4105         17.0577          0.0680          0.3387          0.0500        0.781705        1.410547
     2448.14027      2448.13208         21.6136          1.3987         17.1032          0.0703          0.5764          0.0500        0.666873        1.398698
     2448.14721      2448.13902         21.5900          1.4024         17.1044          0.0705          0.5032          0.1639        0.372351        1.402437
     2448.15416      2448.14597         21.1782          1.3549         17.1253          0.0695          1.4794          0.1639       -2.670227        1.354913
     2448.16110      2448.15291         23.2789          1.3985         17.0226          0.0652          2.3073          0.0500       -0.191682        1.398538
     2448.16805      2448.15985         24.6304          1.3365         16.9613          0.0589          1.2303          0.0500        2.173983        1.336493
     2448.17499      2448.16680         25.5465          1.3848         16.9217          0.0589          0.4928          0.0500       -0.876408        1.384807
     2448.18194      2448.17374         19.4993          1.3985         17.2150          0.0779         -0.6734          0.1639        0.343770        1.398506
     2448.18888      2448.18069         23.8293          1.3850         16.9972          0.0631          0.8052          0.1639       -0.085452        1.384984
     2448.19583      2448.18763         21.2359          1.3696         17.1223          0.0700         -1.6200          0.1639       -2.087996        1.369623
     2448.20277      2448.19458         21.5553          1.3128         17.1061          0.0661         -0.4576          0.0500       -0.194560        1.312781
