# reference_flux:         23.2610
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2447.69616      2447.68763         28.0986          1.3927         16.8183          0.0538         -1.8114          0.1291        2.549701        1.392681
     2447.70311      2447.69458         25.0342          1.3952         16.9437          0.0605         -0.9143          0.1291        0.129050        1.395152
     2447.71005      2447.70152         23.3349          1.3849         17.0200          0.0644         -0.0174          0.1325       -0.402965        1.384897
     2447.71700      2447.70847         21.9055          1.3712         17.0886          0.0680         -0.5829          0.1325        0.197130        1.371159
     2447.72394      2447.71541         20.4260          1.3820         17.1645          0.0735         -0.0937          0.1325       -1.802810        1.382028
     2447.73089      2447.72235         23.1754          1.3890         17.0274          0.0651          0.7275          0.1291        1.533642        1.389045
     2447.73783      2447.72930         23.1850          1.3726         17.0270          0.0643         -0.2776          0.1325       -3.086742        1.372603
     2447.74478      2447.73624         19.4388          1.3789         17.2183          0.0770         -1.3803          0.1325       -1.374523        1.378938
     2447.75172      2447.74319         28.2977          1.3751         16.8106          0.0528         -1.5911          0.1325        1.265848        1.375055
     2447.75867      2447.75013         17.5335          1.3736         17.3303          0.0851         -1.7686          0.1325       -4.186371        1.373636
     2447.76561      2447.75708         25.8312          1.3779         16.9096          0.0579         -1.2429          0.1325        0.436412        1.377862
     2447.77256      2447.76402         24.7625          1.3714         16.9555          0.0601         -2.3042          0.1325        0.132470        1.371383
     2447.77950      2447.77097         26.5777          1.3788         16.8787          0.0563         -1.0284          0.1325        1.273628        1.378760
     2447.78645      2447.77791         19.5011          1.3930         17.2148          0.0776         -0.3609          0.1325       -2.545839        1.393012
     2447.79339      2447.78485         18.4921          1.3662         17.2725          0.0802         -0.8150          0.1291       -3.220340        1.366186
     2447.80034      2447.79180         25.3035          1.3874         16.9320          0.0595         -1.2061          0.1325        0.900019        1.387382
     2447.80728      2447.79874         21.3558          1.3765         17.1162          0.0700         -0.2648          0.1291        0.552919        1.376543
     2447.81423      2447.80569         22.6986          1.3963         17.0500          0.0668         -0.1340          0.1291       -0.648300        1.396311
     2447.82117      2447.81263         22.5763          1.3728         17.0559          0.0660          0.7638          0.1291       -1.117037        1.372760
     2447.82811      2447.81958         26.9864          1.3902         16.8621          0.0559         -0.4636          0.1291        3.952761        1.390210
     2447.83506      2447.82652         20.0194          1.3924         17.1864          0.0755          1.3637          0.1325       -1.597763        1.392390
     2447.84200      2447.83347         21.3641          1.3778         17.1158          0.0700          0.0024          0.1291        0.897062        1.377778
     2447.84895      2447.84041         25.4920          1.3800         16.9240          0.0588         -1.1584          0.1325       -0.910549        1.379971
     2447.85589      2447.84735         18.6306          1.3908         17.2644          0.0810         -0.0611          0.1971        1.162359        1.390760
     2447.86284      2447.85430         22.7222          1.4065         17.0489          0.0672         -0.1419          0.1325        1.024897        1.406469
     2447.86978      2447.86124         20.5558          1.3716         17.1577          0.0724         -1.8726          0.1291        0.451863        1.371650
     2447.87673      2447.86819         25.3148          1.3995         16.9316          0.0600         -1.0716          0.1325        1.383757        1.399463
     2447.88367      2447.87513         23.5166          1.3783         17.0116          0.0636          0.2588          0.1325       -0.971728        1.378315
     2447.89062      2447.88208         21.1107          1.3996         17.1287          0.0720          1.8309          0.1325       -0.211085        1.399566
     2447.89756      2447.88902         25.2013          1.3833         16.9364          0.0596         -0.8931          0.1623        1.539451        1.383258
     2447.90451      2447.89597         17.1971          1.3822         17.3514          0.0873          0.1823          0.1325       -2.702314        1.382166
     2447.91145      2447.90291         23.4827          1.3978         17.0131          0.0646          0.1827          0.1623        0.559762        1.397785
     2447.91840      2447.90985         21.0304          1.3800         17.1329          0.0712          3.0518          0.2123        1.197321        1.380026
     2447.92534      2447.91680         21.3959          1.3695         17.1142          0.0695          0.7090          0.1623       -1.111894        1.369488
     2447.93229      2447.92374         21.1233          1.3928         17.1281          0.0716         -0.5491          0.1623        0.421760        1.392785
     2447.93923      2447.93069         21.1965          1.3847         17.1243          0.0709          1.2387          0.1325        0.551576        1.384712
     2447.94618      2447.93763         28.3471          1.4001         16.8087          0.0536         -2.6058         -0.0218       -0.884747        1.400101
     2447.95312      2447.94458         21.4257          1.3855         17.1127          0.0702         -0.7219         -0.1966       -2.162471        1.385472
     2447.96007      2447.95152         22.0335          1.4020         17.0823          0.0691         -2.1668         -0.1966        1.813455        1.401983
     2447.96701      2447.95847         20.8096          1.3954         17.1443          0.0728          0.3636         -0.0218       -2.001175        1.395353
     2447.97396      2447.96541         20.7362          1.3980         17.1482          0.0732         -4.3791         -0.1966       -3.330565        1.398009
