# reference_flux:         53.8303
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2447.69481      2447.68762         51.7452          1.4397         16.1553          0.0302         -1.8056          0.3710        2.512157        1.439658
     2447.70176      2447.69456         49.4683          1.4399         16.2042          0.0316         -0.3246          0.3710       -1.662985        1.439929
     2447.70870      2447.70151         55.1502          1.4418         16.0861          0.0284         -2.3166          0.3710        1.159284        1.441805
     2447.71565      2447.70845         55.8354          1.4421         16.0727          0.0280         -0.5550          0.3710        1.315962        1.442109
     2447.72259      2447.71540         48.5400          1.4408         16.2248          0.0322         -0.7201          0.3710       -1.175404        1.440825
     2447.72954      2447.72234         57.1662          1.4424         16.0472          0.0274         -1.6368          0.3710        2.852468        1.442368
     2447.73648      2447.72929         55.9076          1.4444         16.0713          0.0281          0.3419          0.3710        1.320665        1.444403
     2447.74343      2447.73623         54.4883          1.4431         16.0992          0.0288         -0.0350          0.6976        1.444722        1.443073
     2447.75037      2447.74318         54.2726          1.4428         16.1035          0.0289         -0.0368          0.6976        0.161956        1.442823
     2447.75732      2447.75012         54.4541          1.4419         16.0999          0.0287         -1.2129          0.6976        0.697605        1.441855
     2447.76426      2447.75706         55.9708          1.4421         16.0701          0.0280         -0.8830          0.6976        2.160004        1.442056
     2447.77121      2447.76401         56.8539          1.4421         16.0531          0.0275          0.5488          0.6976        0.370997        1.442116
     2447.77815      2447.77095         48.1213          1.4396         16.2342          0.0325          1.1840          0.6976       -1.667572        1.439607
     2447.78510      2447.77790         54.9295          1.4431         16.0905          0.0285         -1.3646          0.6976       -0.473379        1.443064
     2447.79204      2447.78484         59.2904          1.4420         16.0075          0.0264         -1.4435          0.6976        1.579006        1.442013
     2447.79899      2447.79179         52.6481          1.4416         16.1365          0.0297          1.5760          0.6773        0.884762        1.441589
     2447.80593      2447.79873         51.9597          1.4408         16.1508          0.0301          0.3510          0.6976        0.053230        1.440794
     2447.81288      2447.80568         52.3473          1.4400         16.1428          0.0299          0.2910          0.6773       -1.100153        1.440046
     2447.81982      2447.81262         55.1056          1.4409         16.0870          0.0284         -1.0673          0.4597       -0.354943        1.440859
     2447.82677      2447.81956         51.9945          1.4396         16.1501          0.0301         -0.4577          0.3710       -0.709248        1.439609
     2447.83371      2447.82651         51.9965          1.4399         16.1501          0.0301         -1.2384          0.3710        2.602561        1.439899
     2447.84066      2447.83345         51.1860          1.4397         16.1671          0.0305         -0.8482          0.2431        0.052978        1.439740
     2447.84760      2447.84040         58.0385          1.4410         16.0307          0.0270         -1.0361          0.2431        1.024098        1.440978
     2447.85455      2447.84734         51.3148          1.4384         16.1644          0.0304         -2.4679          0.2431       -1.417092        1.438409
     2447.86149      2447.85429         50.9001          1.4393         16.1732          0.0307         -1.7217          0.2431       -0.810900        1.439270
     2447.86843      2447.86123         53.7523          1.4392         16.1140          0.0291         -4.5655          0.1887        1.740571        1.439161
     2447.87538      2447.86818         51.2586          1.4395         16.1656          0.0305          1.3363          0.2431       -1.179030        1.439476
     2447.88232      2447.87512         57.5466          1.4404         16.0400          0.0272         -0.5514          0.1887        0.188060        1.440381
     2447.88927      2447.88206         57.3084          1.4405         16.0445          0.0273         -1.2270          0.1881        0.983945        1.440494
     2447.89622      2447.88901         51.3371          1.4391         16.1639          0.0304          0.3191          0.1881       -2.515739        1.439072
     2447.90316      2447.89595         57.0025          1.4405         16.0503          0.0274         -0.5309          0.1881        2.154197        1.440470
     2447.91011      2447.90290         52.9943          1.4387         16.1294          0.0295          0.0617          0.1881       -1.385854        1.438721
     2447.91705      2447.90984         55.0919          1.4393         16.0873          0.0284         -0.8633          0.1881        3.556727        1.439327
     2447.92400      2447.91679         52.6703          1.4388         16.1361          0.0297         -0.6611          0.1881        0.773053        1.438794
     2447.93094      2447.92373         52.2693          1.4389         16.1444          0.0299          4.7355          0.0532        1.174976        1.438872
     2447.93789      2447.93068         53.6527          1.4394         16.1160          0.0291          0.8742          0.0532       -0.241995        1.439362
     2447.94483      2447.93762         55.4951          1.4397         16.0794          0.0282          0.5166          0.0532        0.015529        1.439720
     2447.95178      2447.94456         55.0178          1.4378         16.0887          0.0284         -2.0853          0.1881        0.677310        1.437751
     2447.95872      2447.95151         53.3654          1.4367         16.1219          0.0292          0.6135          0.1881        0.188733        1.436710
     2447.96567      2447.95845         53.1191          1.4382         16.1269          0.0294          0.7560          0.1881        1.854524        1.438211
     2447.97261      2447.96540         53.5488          1.4393         16.1181          0.0292          3.3770          0.1881       -0.371258        1.439280
     2447.97956      2447.97234         54.8595          1.4389         16.0919          0.0285          0.9357          0.1881        0.459732        1.438929
     2447.98650      2447.97929         53.1395          1.4383         16.1265          0.0294         -0.9181          0.1881       -2.630306        1.438337
     2447.99344      2447.98623         52.3415          1.4383         16.1429          0.0298          2.2311          0.1887        0.243096        1.438334
