# reference_flux:          2.9996
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2447.69499      2447.68762          6.0462          1.8455         18.4863          0.3314         -1.1641          0.2282        0.001483        1.845542
     2447.70194      2447.69456          5.3966          1.8587         18.5742         99.9000         -2.8852          0.3379        0.228199        1.858697
     2447.70888      2447.70151          6.5503          1.8520         18.3994          0.3070         -2.4341          0.3379        1.391191        1.851993
     2447.71583      2447.70845         -3.6513          1.8551         18.5763         99.9000          2.9292          0.3379       -2.331800        1.855050
     2447.72277      2447.71540          0.9703          1.8330         18.5893         99.9000          2.6142          0.3379        0.337919        1.833029
     2447.72972      2447.72234          4.6574          1.8167         18.5990         99.9000          0.3389          0.3379       -1.683455        1.816734
     2447.73666      2447.72929          0.7064          1.8151         18.5999         99.9000          1.2483          0.3379        0.062716        1.815145
     2447.74361      2447.73623          2.4984          1.8214         18.5962         99.9000          1.2461          0.3379        0.418936        1.821362
     2447.75055      2447.74318          2.9693          1.8356         18.5878         99.9000          0.3408          0.3379        2.852873        1.835587
     2447.75750      2447.75012          3.8977          1.8319         18.5900         99.9000         -0.7449          0.2452       -1.412099        1.831850
     2447.76444      2447.75706          3.7443          1.8343         18.5885         99.9000          0.2470          0.2452       -0.800498        1.834284
     2447.77139      2447.76401         12.4984          1.8775         17.6979          0.1631         -0.3115          0.2452        5.444190        1.877510
     2447.77833      2447.77095          1.8493          1.8791         18.5623         99.9000          1.9784          0.3379       -0.565598        1.879115
     2447.78528      2447.77790          1.5008          1.8136         18.6008         99.9000         -0.9171          0.3379       -0.753697        1.813615
     2447.79222      2447.78484          1.9698          1.8315         18.5902         99.9000          1.7355          0.3379        0.432485        1.831527
     2447.79917      2447.79179          4.8637          1.8212         18.5963         99.9000          0.7180          0.3835        1.519528        1.821192
     2447.80611      2447.79873          5.0335          1.8081         18.6042         99.9000          0.4592          0.3379        1.244739        1.808057
     2447.81306      2447.80568         12.0082          1.8247         17.7413          0.1650         -0.5754          0.3379        2.881757        1.824687
     2447.82000      2447.81262          5.9775          1.8122         18.4987          0.3292          0.0225          0.3835       -0.945793        1.812212
     2447.82695      2447.81956          9.0473          1.8055         18.0487          0.2167          0.6342          0.4189        3.005361        1.805514
     2447.83389      2447.82651          5.2392          1.8310         18.5905         99.9000         -1.1119          0.4316        2.155065        1.830995
     2447.84084      2447.83345          4.8963          1.8264         18.5932         99.9000         -0.0290          0.4325        0.383457        1.826358
     2447.84778      2447.84040          6.5126          1.8229         18.4056          0.3039          3.7693          0.4316       -0.098877        1.822945
     2447.85473      2447.84734          4.0979          1.8000         18.6090         99.9000         -0.2074          0.4325       -1.168231        1.800012
     2447.86167      2447.85429          6.7373          1.8322         18.3688          0.2953          1.2740          0.4325        1.405473        1.832226
     2447.86861      2447.86123          9.7488          1.8282         17.9676          0.2036         -2.9109          0.4681        1.633185        1.828214
     2447.87556      2447.86818          3.4692          1.8292         18.5916         99.9000         -0.1777          0.5872        0.468127        1.829152
     2447.88250      2447.87512          5.9286          1.8156         18.5076          0.3325          0.9263          0.5872        1.604614        1.815648
     2447.88945      2447.88206          9.3261          1.8415         18.0157          0.2144         -0.7772          0.9296        4.134772        1.841544
     2447.89640      2447.88901          4.0682          1.8175         18.5985         99.9000          1.4257          1.2447        0.245150        1.817515
     2447.90334      2447.89595          7.6153          1.8256         18.2358          0.2603          3.7484          1.4055       -1.440103        1.825604
     2447.91029      2447.90290          2.0573          1.8174         18.5986         99.9000          4.1634          1.4300        0.431619        1.817401
     2447.91723      2447.90984          5.5341          1.8256         18.5824          0.3582          2.0372          1.4300        0.076605        1.825602
     2447.92418      2447.91679          6.2493          1.8237         18.4504          0.3168          1.6097          1.4055        2.089664        1.823716
     2447.93112      2447.92373          7.8249          1.8213         18.2063          0.2527          1.3324          1.4300       -1.805358        1.821297
     2447.93807      2447.93068          6.5492          1.8374         18.3995          0.3046          1.6052          1.4513        2.838487        1.837442
     2447.94501      2447.93762         15.1597          1.8254         17.4883          0.1307          0.4147          1.4513        5.042768        1.825395
     2447.95196      2447.94456          8.9285          1.8372         18.0631          0.2234          0.3437          1.4513        1.783954        1.837219
     2447.95890      2447.95151          5.7326          1.8750         18.5441          0.3551         -0.4394          1.4964        2.825124        1.874976
     2447.96585      2447.95845         10.3002          1.8598         17.9079          0.1960         -0.3943          1.5195       -0.220722        1.859810
     2447.97279      2447.96540          6.2269          1.8518         18.4543          0.3229          1.2787          1.4964        1.651436        1.851836
     2447.97974      2447.97234          5.0761          1.8494         18.5796         99.9000          3.1349          1.4964        0.587224        1.849402
     2447.98668      2447.97929         10.3262          1.8510         17.9051          0.1946          1.5817          1.4964        1.430032        1.851021
     2447.99362      2447.98623          8.5846          1.8451         18.1057          0.2334         -0.1827          1.6046        1.451268        1.845058
     2448.00057      2447.99318          6.1967          1.8714         18.4596          0.3279          0.5680          1.6046        0.929596        1.871376
     2448.00751      2448.00012          3.3897          1.8548         18.5764         99.9000          0.3302          1.6046       -2.125626        1.854811
     2448.01446      2448.00706          4.1477          1.8578         18.5747         99.9000         -1.0363          1.6332        2.868044        1.857782
     2448.02140      2448.01401          9.0270          1.8670         18.0511          0.2246          0.5564          1.6514       -0.016089        1.867013
     2448.02835      2448.02095          9.1790          1.8654         18.0330          0.2206          2.0868          1.7840        1.496355        1.865407
     2448.03529      2448.02790         12.4956          1.8671         17.6981          0.1622          1.8319          1.7840        3.920020        1.867096
     2448.04224      2448.03484         11.3229          1.8671         17.8051          0.1790         -0.7231          1.7840        2.422563        1.867092
     2448.04918      2448.04179         15.1706          1.8766         17.4875          0.1343          1.4714          1.7840        4.770013        1.876642
     2448.05613      2448.04873         11.4503          1.8711         17.7930          0.1774          2.4212          1.8028        3.219698        1.871058
     2448.06307      2448.05568         13.4928          1.8681         17.6147          0.1503          3.9867          1.7840        1.814637        1.868110
     2448.07002      2448.06262         10.0457          1.8690         17.9350          0.2020         -1.2431          1.8028        2.394431        1.868996
     2448.07696      2448.06956          8.1755          1.8584         18.1587          0.2468          0.1657          1.8146       -1.001087        1.858365
     2448.08391      2448.07651          6.3355          1.8764         18.4355          0.3216          3.8731          1.8146        0.155460        1.876416
     2448.09085      2448.08345          8.2942          1.8442         18.1431          0.2414          3.1602          1.8146        2.669033        1.844198
     2448.09780      2448.09040         16.6118          1.8577         17.3890          0.1214          0.8820          1.8146        4.388491        1.857711
     2448.10474      2448.09734         16.3254          1.8629         17.4078          0.1239         -0.6004          1.9630        2.679508        1.862910
     2448.11169      2448.10429         13.4713          1.8766         17.6165          0.1512          0.1095          1.9630       -1.042430        1.876632
     2448.11863      2448.11123          9.9213          1.8315         17.9486          0.2004          2.2405          1.8146        2.078253        1.831471
     2448.12558      2448.11818         11.8657          1.8347         17.7543          0.1679          4.5775          1.9506        2.794794        1.834665
     2448.13252      2448.12512          3.4894          1.8327         18.5894         99.9000          2.4068          1.9506       -0.561718        1.832747
     2448.13947      2448.13206         13.5167          1.8555         17.6128          0.1490          3.5777          1.9506        1.118102        1.855506
     2448.14641      2448.13901         12.4160          1.8102         17.7050          0.1583          0.9364          1.9630        4.821625        1.810210
     2448.15336      2448.14595         11.9438          1.8154         17.7471          0.1650          2.6432          1.9996        3.524788        1.815375
     2448.16030      2448.15290         11.8990          1.8216         17.7512          0.1662          2.9340          2.0783        3.746485        1.821555
     2448.16725      2448.15984         11.6009          1.8165         17.7788          0.1700         -0.7481          2.0783        3.277125        1.816545
     2448.17419      2448.16679         13.2485          1.8362         17.6346          0.1505          3.3605          2.0783        3.470471        1.836209
     2448.18114      2448.17373         13.9655          1.8365         17.5774          0.1428          2.5537          2.1180        1.963024        1.836500
     2448.18808      2448.18068         17.6042          1.8540         17.3260          0.1143          0.6987          2.1180        1.802803        1.854030
     2448.19503      2448.18762         13.2592          1.8456         17.6337          0.1511         -2.5861          2.1180        1.398906        1.845573
     2448.20197      2448.19456         14.3911          1.8462         17.5448          0.1393          1.2621          2.1180        1.017040        1.846231
     2448.20892      2448.20151         11.6420          1.8443         17.7749          0.1720          2.4319          2.1180        1.400123        1.844299
     2448.21586      2448.20845         13.5714          1.8494         17.6084          0.1480          3.5207          2.0783        3.407036        1.849414
     2448.22281      2448.21540         11.2169          1.8411         17.8153          0.1782          1.5080          2.0783        0.594139        1.841124
     2448.22975      2448.22234         12.4226          1.8525         17.7045          0.1619          1.2691          1.9996        1.999608        1.852485
     2448.23670      2448.22929         15.8987          1.8520         17.4366          0.1265          1.4624          2.0783        3.582661        1.851973
     2448.24364      2448.23623         14.0602          1.8764         17.5700          0.1449         -0.6943          1.9996       -0.629041        1.876422
     2448.25059      2448.24318          6.6564          1.8398         18.3819          0.3001          1.0600          1.9996        1.585930        1.839837
     2448.25753      2448.25012         18.6215          1.8988         17.2650          0.1107          2.3780          1.9996        2.591350        1.898780
     2448.26448      2448.25706         18.0512          1.8803         17.2987          0.1131          0.7733          1.9717        3.058776        1.880349
     2448.27142      2448.26401         22.1872          1.8331         17.0747          0.0897         -1.5206          1.9630        4.232436        1.833133
     2448.27837      2448.27095         17.6810          1.8415         17.3212          0.1131          1.0823          1.9506        1.183106        1.841509
     2448.28531      2448.27790          9.3643          1.8527         18.0113          0.2148          5.1643          1.9506        1.950604        1.852741
     2448.29226      2448.28484         15.8430          1.8108         17.4404          0.1241          1.1299          1.9506        3.305956        1.810785
     2448.29920      2448.29179          8.1975          1.8818         18.1558          0.2492          2.1177          1.9506       -0.968850        1.881783
     2448.30615      2448.29873         17.2891          1.8413         17.3456          0.1156         -0.4956          1.9630        2.977454        1.841317
     2448.31309      2448.30568         16.2930          1.8356         17.4100          0.1223          4.2299          1.9717        2.501922        1.835583
     2448.32004      2448.31262         17.4516          1.8514         17.3354          0.1152         -0.0770          1.9630        2.118021        1.851374
     2448.32698      2448.31956         13.7505          1.8310         17.5942          0.1446          2.9643          1.9630        0.933274        1.831036
     2448.33393      2448.32651         14.6564          1.8837         17.5249          0.1395          2.1311          1.9506       -0.738293        1.883722
