# reference_flux:         18.7400
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2447.69400      2447.68762         24.8764          1.4966         16.9505          0.0653         -3.0345          0.4143        4.944430        1.496629
     2447.70095      2447.69456         19.9179          1.5064         17.1919          0.0821          0.2270          0.4143       -0.061424        1.506420
     2447.70789      2447.70151         18.9768          1.5093         17.2444          0.0864         -2.3264          0.4143        0.431993        1.509256
     2447.71484      2447.70845         21.6809          1.5314         17.0998          0.0767         -4.9200          0.4143        1.157903        1.531365
     2447.72178      2447.71540         16.2924          1.5464         17.4100          0.1031         -3.5848          0.4143       -2.158788        1.546413
     2447.72873      2447.72234         14.7833          1.5290         17.5156          0.1123         -2.4070          0.4320       -2.155114        1.528953
     2447.73567      2447.72929         14.4785          1.5294         17.5382          0.1147          0.4741          0.4320        0.169472        1.529423
     2447.74262      2447.73623         10.2057          1.5292         17.9179          0.1627          1.3020          0.4320       -3.220363        1.529220
     2447.74956      2447.74318         20.7536          1.5253         17.1473          0.0798          0.8480          0.4143        3.052963        1.525345
     2447.75651      2447.75012         19.5030          1.5227         17.2147          0.0848         -2.1830          0.4143       -1.645630        1.522736
     2447.76345      2447.75706         17.4954          1.5211         17.3327          0.0944         -5.2459          0.4143        0.414300        1.521078
     2447.77040      2447.76401         14.6792          1.5296         17.5232          0.1131          1.3104          0.4143       -0.357028        1.529630
     2447.77734      2447.77095         16.5965          1.5268         17.3900          0.0999          1.2296          0.4320       -1.358102        1.526846
     2447.78429      2447.77790         20.7313          1.5303         17.1484          0.0801         -2.0675          0.4320        1.710378        1.530338
     2447.79123      2447.78484         22.7686          1.5103         17.0467          0.0720         -1.6636          0.4320        0.626999        1.510278
     2447.79818      2447.79179         16.7040          1.5080         17.3829          0.0980         -4.2694          0.5181        0.577938        1.507991
     2447.80512      2447.79873         21.0658          1.5000         17.1311          0.0773          0.5010          0.5181        1.017008        1.499987
     2447.81207      2447.80568         10.3721          1.4844         17.9003          0.1554         -4.7408          0.5671       -3.159429        1.484404
     2447.81901      2447.81262         19.3382          1.4942         17.2240          0.0839         -1.6171          0.5671        0.688650        1.494186
     2447.82596      2447.81956         12.8111          1.4906         17.6710          0.1263          0.4227          0.5779       -0.405262        1.490591
     2447.83290      2447.82651         23.1808          1.4952         17.0272          0.0700          3.3026          0.5779        2.257016        1.495178
     2447.83985      2447.83345         18.4260          1.4878         17.2764          0.0877         -2.5286          0.5671       -2.007524        1.487752
     2447.84679      2447.84040         23.9308          1.4804         16.9926          0.0672         -0.6055          0.5671        3.897466        1.480351
     2447.85374      2447.84734         13.9250          1.4946         17.5805          0.1165         -4.0249          0.5671        0.634013        1.494586
     2447.86068      2447.85429         21.2121          1.4662         17.1235          0.0750         -3.5011          0.5671        1.491708        1.466174
     2447.86763      2447.86123         20.8071          1.4889         17.1445          0.0777          0.4520          0.5671        4.941945        1.488876
     2447.87457      2447.86818         10.1119          1.4949         17.9279          0.1605          2.0177          0.5779       -4.671301        1.494914
     2447.88152      2447.87512         15.2222          1.5127         17.4838          0.1079          0.4094          0.5779        0.518139        1.512712
     2447.88846      2447.88206         24.6912          1.4897         16.9586          0.0655          0.5110          0.5779        2.275854        1.489666
     2447.89541      2447.88901         18.0002          1.5104         17.3018          0.0911         -4.8501          0.6270        3.470298        1.510409
     2447.90235      2447.89595         23.0303          1.5055         17.0343          0.0710          0.0103          0.6340       -0.043103        1.505493
     2447.90930      2447.90290         14.9741          1.4715         17.5016          0.1067         -0.7759          0.6340       -2.190678        1.471507
     2447.91624      2447.90984         21.6642          1.4916         17.1006          0.0748         -0.4875          0.6887        2.289479        1.491565
     2447.92319      2447.91679         21.3100          1.5094         17.1185          0.0769          0.5026          0.6887        2.817559        1.509387
     2447.93013      2447.92373         29.0370          1.4927         16.7826          0.0558         -0.9570          0.7926        4.411920        1.492711
     2447.93708      2447.93068         19.2158          1.5046         17.2309          0.0850         -6.2743          0.7926        0.795353        1.504569
     2447.94402      2447.93762         12.2551          1.4889         17.7192          0.1319         -1.0406          0.7926       -1.383886        1.488950
     2447.95097      2447.94456         24.3396          1.5168         16.9742          0.0677          5.2753          0.7926        0.567085        1.516785
     2447.95791      2447.95151         25.2143          1.4898         16.9359          0.0642         -1.0642          0.7926        1.635330        1.489844
     2447.96486      2447.95845         19.6511          1.5025         17.2065          0.0830          3.4642          0.7926        0.792629        1.502454
     2447.97180      2447.96540         25.7045          1.4993         16.9150          0.0633         -5.5917          0.7954        1.810217        1.499307
     2447.97875      2447.97234         13.9536          1.5280         17.5783          0.1189          2.0769          0.7926       -0.778143        1.527994
     2447.98569      2447.97929         20.9288          1.5116         17.1381          0.0784         -0.0146          0.7926        1.597301        1.511627
     2447.99264      2447.98623         19.4823          1.4963         17.2159          0.0834         -1.6070          0.7926        0.301601        1.496333
     2447.99958      2447.99318         23.7715          1.5087         16.9999          0.0689         -0.3689          0.7926        0.355948        1.508650
     2448.00653      2448.00012         19.6406          1.5054         17.2071          0.0832         -0.5049          0.7926       -1.224659        1.505426
     2448.01347      2448.00706         16.3742          1.4942         17.4046          0.0991          2.8669          0.7926       -2.021148        1.494187
     2448.02042      2448.01401         25.9165          1.5084         16.9061          0.0632          0.2391          0.7926        1.597897        1.508364
     2448.02736      2448.02095         21.4237          1.5179         17.1128          0.0769         -2.7440          0.7954        1.367199        1.517917
     2448.03431      2448.02790         18.0294          1.5116         17.3000          0.0910         -3.9893          0.7926        0.981818        1.511578
     2448.04125      2448.03484         19.6910          1.4927         17.2043          0.0823          0.3444          0.5671       -0.790187        1.492721
     2448.04820      2448.04179         23.8933          1.4859         16.9943          0.0675          1.1551          0.5671        1.561468        1.485947
     2448.05514      2448.04873         23.6380          1.4940         17.0060          0.0686          3.1074          0.5671        5.055644        1.494031
     2448.06209      2448.05568         21.2031          1.4736         17.1240          0.0755         -4.6287          0.5671        2.824661        1.473615
     2448.06903      2448.06262         21.7600          1.4864         17.0959          0.0742         -2.8804          0.5217        0.521693        1.486413
     2448.07598      2448.06956         21.8174          1.4673         17.0930          0.0730         -2.4923          0.5671        1.878661        1.467258
     2448.08292      2448.07651         22.2652          1.4627         17.0709          0.0713          0.0223          0.5671        1.537811        1.462657
     2448.08987      2448.08345         26.1014          1.4728         16.8983          0.0613         -4.7686          0.5217        2.222684        1.472849
     2448.09681      2448.09040         21.2964          1.4650         17.1192          0.0747         -0.3089          0.4334        0.298693        1.465024
     2448.10376      2448.09734         19.6645          1.4765         17.2058          0.0815          2.3346          0.3559       -1.114555        1.476538
     2448.11070      2448.10429         14.7359          1.4771         17.5191          0.1088          1.9266          0.3016       -1.844147        1.477060
     2448.11765      2448.11123         22.3856          1.4657         17.0651          0.0711         -4.8059          0.3559        1.454794        1.465719
     2448.12459      2448.11818         18.9085          1.4656         17.2484          0.0842         -1.1497          0.3016       -0.123900        1.465609
     2448.13154      2448.12512         20.3559          1.4646         17.1683          0.0781          1.0666          0.2987        1.255944        1.464611
     2448.13848      2448.13206         17.0785          1.4496         17.3589          0.0922          3.8933         -0.0895       -1.443599        1.449589
     2448.14543      2448.13901         20.1172          1.4501         17.1811          0.0783         -1.7463         -0.0895       -0.100453        1.450089
     2448.15237      2448.14595         20.0390          1.4583         17.1853          0.0790         -2.7501         -0.0895       -1.089932        1.458267
     2448.15932      2448.15290         20.2251          1.4728         17.1753          0.0791          1.1822         -0.0895        0.433383        1.472769
     2448.16626      2448.15984         23.0097          1.4811         17.0352          0.0699         -4.1378         -0.1005        2.849495        1.481087
     2448.17321      2448.16679         12.3791          1.4697         17.7083          0.1289         -3.0860         -0.1005       -3.179636        1.469712
     2448.18015      2448.17373         19.8673          1.4725         17.1947          0.0805         -0.8771         -0.0895        1.787674        1.472530
     2448.18710      2448.18068         25.5198          1.4620         16.9228          0.0622          1.8576         -0.0895        2.509761        1.461982
     2448.19404      2448.18762         21.6285          1.4962         17.1024          0.0751         -3.2626         -0.0895       -0.541773        1.496157
     2448.20099      2448.19456         14.0323          1.4537         17.5722          0.1125         -0.2999         -0.1005       -2.633428        1.453719
     2448.20793      2448.20151         17.6064          1.4859         17.3258          0.0916          1.5336         -0.1005       -0.183090        1.485923
     2448.21488      2448.20845         16.5058          1.4878         17.3959          0.0979         -2.0534         -0.0895       -0.153538        1.487833
     2448.22182      2448.21540         18.2101          1.4858         17.2892          0.0886          1.7786         -0.1005        1.030187        1.485829
     2448.22877      2448.22234         17.9030          1.4811         17.3077          0.0898         -3.4174         -0.1005       -1.149972        1.481103
     2448.23571      2448.22929         21.0258          1.4697         17.1331          0.0759          0.4800         -0.1097        1.203688        1.469674
     2448.24266      2448.23623         14.3182          1.4774         17.5503          0.1120         -0.3506         -0.1097       -1.457200        1.477422
     2448.24961      2448.24318         16.3574          1.4809         17.4057          0.0983         -1.0424         -0.1097       -0.994180        1.480904
     2448.25655      2448.25012         14.5777          1.4883         17.5308          0.1108         -1.6865         -0.1097       -1.955225        1.488253
     2448.26350      2448.25706         20.4710          1.5117         17.1622          0.0802          2.7712         -0.1239       -0.089491        1.511703
     2448.27044      2448.26401         18.4066          1.5029         17.2776          0.0887         -1.4832         -0.1239       -0.538036        1.502927
     2448.27739      2448.27095         22.4049          1.5024         17.0641          0.0728          1.2196         -0.1239        1.316473        1.502382
     2448.28433      2448.27790         20.9812          1.5152         17.1354          0.0784         -2.2844         -0.1239       -1.632555        1.515153
     2448.29127      2448.28484         12.7279          1.4993         17.6781          0.1279         -0.5350         -0.1239       -5.868184        1.499313
     2448.29822      2448.29179         15.8488          1.4948         17.4400          0.1024         -1.8359         -0.1535       -3.390749        1.494793
     2448.30516      2448.29873         15.5863          1.4893         17.4581          0.1037          0.5183         -0.1535        0.552782        1.489331
     2448.31211      2448.30568         20.0474          1.5031         17.1849          0.0814          2.8127         -0.1535       -1.591384        1.503125
     2448.31906      2448.31262         17.9806          1.4889         17.3030          0.0899          2.3674         -0.1535        0.003525        1.488862
     2448.32600      2448.31956         11.4556          1.4910         17.7925          0.1413          0.0499         -0.1097       -3.535611        1.490966
     2448.33295      2448.32651         18.9323          1.5104         17.2470          0.0866         -0.9629         -0.1535        0.669716        1.510444
     2448.33989      2448.33345         23.9436          1.4975         16.9920          0.0679         -1.6253         -0.1831        4.636571        1.497528
     2448.34684      2448.34040         18.1789          1.4827         17.2911          0.0886          2.6350         -0.1535       -0.109669        1.482701
     2448.35378      2448.34734         15.8414          1.4837         17.4405          0.1017          0.3091         -0.1535        1.206999        1.483747
     2448.36073      2448.35429         21.6382          1.5070         17.1019          0.0756         -0.1684         -0.1535       -0.522261        1.507016
     2448.36767      2448.36123         20.5116          1.5113         17.1600          0.0800          0.8516         -0.1535        1.673342        1.511341
     2448.37462      2448.36818         21.3183          1.4889         17.1181          0.0758         -6.2323         -0.1310        0.003602        1.488859
     2448.38156      2448.37512         15.2787          1.4741         17.4798          0.1048         -6.6816         -0.1310       -2.669475        1.474123
     2448.38851      2448.38206         22.4425          1.4776         17.0623          0.0715          1.1899         -0.1097        3.461651        1.477602
     2448.39545      2448.38901         17.9920          1.4955         17.3023          0.0902         -2.1386         -0.1310       -1.375874        1.495524
     2448.40240      2448.39595         23.1289          1.4712         17.0296          0.0691          0.7093         -0.1097        3.049649        1.471196
     2448.40934      2448.40290         19.7298          1.4882         17.2022          0.0819         -2.4585         -0.1097        0.397195        1.488201
