# reference_flux:          2.1537
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2447.69310      2447.68762          5.2993          1.5645         18.6295          0.3205          0.2715         -0.1619        0.814418        1.564517
     2447.70004      2447.69456         -2.3323          1.5626         18.7626         99.9000          2.1525         -0.1619       -0.788055        1.562588
     2447.70699      2447.70151         -0.4350          1.5621         18.7629         99.9000         -0.3154         -0.1619       -2.234320        1.562147
     2447.71393      2447.70845          0.5837          1.5648         18.7611         99.9000          1.8462         -0.1619        0.533173        1.564754
     2447.72088      2447.71540         -1.8710          1.5625         18.7627         99.9000         -0.3521         -0.1619       -0.749025        1.562465
     2447.72782      2447.72234          7.3616          1.5652         18.2726          0.2309          0.5910         -0.2134        3.198372        1.565248
     2447.73477      2447.72929          0.0604          1.5655         18.7606         99.9000          2.7053         -0.1619       -0.104892        1.565496
     2447.74171      2447.73623          3.4139          1.5643         18.7614         99.9000          0.5478         -0.2134       -0.433067        1.564306
     2447.74866      2447.74318          4.2998          1.5651         18.7608         99.9000         -0.1936         -0.1619        0.205781        1.565123
     2447.75560      2447.75012         -1.0032          1.5622         18.7629         99.9000          0.2565         -0.2134       -1.798812        1.562173
     2447.76255      2447.75706          0.9876          1.5625         18.7626         99.9000         -1.2621         -0.1619       -0.213369        1.562511
     2447.76949      2447.76401          1.8792          1.5631         18.7623         99.9000         -0.8942         -0.1619        0.414199        1.563057
     2447.77644      2447.77095          1.5236          1.5625         18.7627         99.9000          0.5142         -0.1354       -1.421614        1.562469
     2447.78338      2447.77790          3.9898          1.5663         18.7600         99.9000          5.0221         -0.1354        2.860640        1.566294
     2447.79033      2447.78484         -0.0480          1.5623         18.7628         99.9000          1.6635         -0.1354       -0.670353        1.562273
     2447.79727      2447.79179         -0.2738          1.5625         18.7626         99.9000          1.0007         -0.1049       -0.095281        1.562534
     2447.80422      2447.79873         -2.4687          1.5616         18.7633         99.9000          2.3452         -0.1354       -0.875367        1.561608
     2447.81117      2447.80568          6.5423          1.5631         18.4007          0.2594          0.4027         -0.1354        2.540851        1.563071
     2447.81811      2447.81262         -0.7821          1.5617         18.7632         99.9000          0.9087         -0.1619       -1.113949        1.561659
     2447.82506      2447.81956          4.8011          1.5629         18.7366          0.3534          3.1540         -0.1619        1.727940        1.562923
     2447.83200      2447.82651          1.8251          1.5611         18.7636         99.9000          0.2595         -0.1354       -0.161941        1.561137
     2447.83895      2447.83345          4.2288          1.5617         18.7632         99.9000         -0.4024         -0.1619        0.677714        1.561687
     2447.84589      2447.84040         -1.9176          1.5594         18.7648         99.9000         -0.1366         -0.1354       -2.600624        1.559355
     2447.85284      2447.84734          6.9801          1.5614         18.3303          0.2429          0.2299         -0.1049        2.606004        1.561416
     2447.85978      2447.85429          0.5544          1.5610         18.7637         99.9000          3.9049         -0.1049        1.591107        1.560957
     2447.86673      2447.86123         -2.8058          1.5586         18.7654         99.9000         -0.4985         -0.1049       -0.428643        1.558560
     2447.87367      2447.86818          6.0883          1.5607         18.4788          0.2783          1.6873         -0.0953        4.643632        1.560748
     2447.88062      2447.87512          1.5468          1.5587         18.7653         99.9000         -0.0750         -0.0953       -5.189330        1.558665
