# reference_flux:         76.4264
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2447.69271      2447.68763         76.1114          1.6375         15.7364          0.0234          2.7363          0.3337        0.058820        1.637538
     2447.69966      2447.69457         78.8797          1.6394         15.6976          0.0226          1.0481          0.3337        1.192189        1.639368
     2447.70660      2447.70152         78.1041          1.6376         15.7083          0.0228         -1.7675          0.3337        1.585288        1.637577
     2447.71355      2447.70846         75.8402          1.6347         15.7403          0.0234          0.6724          0.3337        1.700399        1.634674
     2447.72049      2447.71540         74.5581          1.6366         15.7588          0.0238          0.0091          0.4137        0.666191        1.636550
     2447.72744      2447.72235         75.5564          1.6384         15.7443          0.0235          1.8688          0.4137        2.227313        1.638433
     2447.73438      2447.72929         77.5385          1.6381         15.7162          0.0229          1.0290          0.3337       -0.780990        1.638109
     2447.74133      2447.73624         73.0921          1.6360         15.7803          0.0243          2.6567          0.4137       -1.996319        1.635982
     2447.74827      2447.74318         79.4615          1.6341         15.6896          0.0223         -1.8648          0.4137        0.455277        1.634062
     2447.75522      2447.75013         77.2179          1.6377         15.7207          0.0230         -0.7721          0.4553       -0.050808        1.637745
     2447.76216      2447.75707         74.6216          1.6356         15.7578          0.0238          1.2116          0.4137       -0.497464        1.635611
     2447.76911      2447.76402         73.5709          1.6353         15.7732          0.0241          0.3264          0.3337        2.503048        1.635259
     2447.77605      2447.77096         76.2224          1.6343         15.7348          0.0233         -0.7297          0.3337        1.843891        1.634273
     2447.78300      2447.77790         76.5589          1.6373         15.7300          0.0232          0.5530          0.1251        0.696818        1.637320
     2447.78994      2447.78485         75.9369          1.6349         15.7389          0.0234          0.9227          0.3337        1.508660        1.634944
     2447.79689      2447.79179         71.0767          1.6326         15.8107          0.0249          1.1807          0.3337       -0.409191        1.632612
     2447.80383      2447.79874         76.3778          1.6412         15.7326          0.0233          2.1038          0.3337        0.333696        1.641245
     2447.81078      2447.80568         70.5125          1.6332         15.8193          0.0251          2.1971          0.4137       -0.990035        1.633165
     2447.81772      2447.81263         75.3332          1.6349         15.7475          0.0236          0.1923          0.4137        1.144911        1.634880
     2447.82467      2447.81957         76.3133          1.6361         15.7335          0.0233          0.4656          0.4137        0.125084        1.636096
     2447.83161      2447.82652         78.0437          1.6387         15.7092          0.0228          2.2432          0.4137       -0.502713        1.638657
     2447.83856      2447.83346         70.8122          1.6312         15.8147          0.0250          0.7938          0.4137       -0.367185        1.631233
     2447.84550      2447.84040         72.3617          1.6320         15.7912          0.0245          2.9451          0.4137       -1.549061        1.632000
     2447.85245      2447.84735         74.1460          1.6324         15.7648          0.0239          1.2967          0.3337        0.413677        1.632385
     2447.85939      2447.85429         78.0343          1.6328         15.7093          0.0227          1.9354          0.3440        0.538603        1.632765
     2447.86634      2447.86124         71.3519          1.6304         15.8065          0.0248          1.3884          0.3440       -1.191273        1.630380
     2447.87328      2447.86818         77.6825          1.6374         15.7142          0.0229          0.2761          0.3440        0.054931        1.637427
     2447.88023      2447.87513         76.1742          1.6320         15.7355          0.0233          1.7372          0.3440        0.606669        1.631985
     2447.88717      2447.88207         73.6983          1.6287         15.7714          0.0240         -1.7727          0.3337       -1.589299        1.628658
     2447.89412      2447.88902         74.9489          1.6276         15.7531          0.0236         -0.1610          0.1251       -1.001614        1.627648
     2447.90106      2447.89596         77.3658          1.6256         15.7186          0.0228          1.6159          0.1251        0.846651        1.625650
     2447.90801      2447.90290         75.6726          1.6286         15.7427          0.0234          0.8416          0.1251       -1.068430        1.628595
     2447.91495      2447.90985         76.7021          1.6322         15.7280          0.0231         -0.2791          0.3337        0.947807        1.632240
     2447.92190      2447.91679         75.0110          1.6275         15.7522          0.0236         -0.2032          0.1251       -1.181914        1.627522
     2447.92884      2447.92374         69.7335          1.6269         15.8314          0.0253          2.7823          0.1251       -2.117771        1.626865
     2447.93579      2447.93068         80.0755          1.6321         15.6813          0.0221          0.6939          0.1251        1.990797        1.632118
     2447.94273      2447.93763         76.8190          1.6273         15.7263          0.0230         -2.2314          0.1251       -0.086021        1.627310
     2447.94968      2447.94457         79.7313          1.6279         15.6859          0.0222          0.1966          0.1251        2.565232        1.627884
     2447.95662      2447.95152         75.2767          1.6276         15.7483          0.0235         -1.5778          0.1251       -0.924380        1.627593
     2447.96357      2447.95846         75.9339          1.6314         15.7389          0.0233          1.8236          0.0549        2.598580        1.631420
     2447.97052      2447.96540         79.0953          1.6303         15.6946          0.0224          0.5736          0.1251        4.280977        1.630320
     2447.97746      2447.97235         74.3291          1.6279         15.7621          0.0238         -0.9352          0.1251       -1.138366        1.627859
