# reference_flux:         86.2455
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2474.17540      2474.16677         86.4039          1.7135         15.5987          0.0215          1.5412          1.3953        5.072127        1.713550
     2474.18235      2474.17371         89.1673          1.7218         15.5645          0.0210          0.3295          1.3953        5.487449        1.721814
     2474.18929      2474.18066         77.0489          1.7385         15.7231          0.0245         -0.2859          1.3953        2.929499        1.738533
     2474.19624      2474.18760         78.2546          1.7316         15.7062          0.0240          2.2100          1.3953       -1.405408        1.731558
     2474.20318      2474.19455         81.3820          1.7072         15.6637          0.0228          1.9346          1.3953       -0.953532        1.707163
     2474.21013      2474.20149         78.0005          1.6543         15.7098          0.0230          6.6753          1.3953       -1.806085        1.654315
     2474.21707      2474.20844         88.2718          1.6217         15.5754          0.0199          3.3336          1.0992        2.617894        1.621651
     2474.22401      2474.21538         85.7185          1.5928         15.6073          0.0202          1.3353          1.0992        2.844943        1.592773
     2474.23096      2474.22233         85.5827          1.6694         15.6090          0.0212          2.0556          1.0992        2.912569        1.669356
     2474.23790      2474.22927         85.3942          1.3199         15.6114          0.0168         -0.5452          1.0992        1.395300        1.319876
     2474.24485      2474.23621         87.8981          1.3234         15.5801          0.0163          0.1990          1.0992        0.263384        1.323438
     2474.25179      2474.24316         88.1777          1.5725         15.5766          0.0194         -4.0208          1.0992        2.711632        1.572544
     2474.25874      2474.25010         88.6642          1.5797         15.5706          0.0193         -1.5780          0.9758        4.943986        1.579671
     2474.26568      2474.25705         84.8059          1.5814         15.6189          0.0202          0.4522          0.8750        0.875049        1.581397
     2474.27263      2474.26399         87.9173          1.5758         15.5798          0.0195          0.4077          0.8750        2.416844        1.575765
     2474.27957      2474.27094         84.8736          1.5724         15.6181          0.0201         -2.9312          0.7483        0.389872        1.572421
     2474.28652      2474.27788         87.0007          1.5784         15.5912          0.0197          1.9869          0.7483        3.739177        1.578374
     2474.29346      2474.28483         83.1277          1.2747         15.6406          0.0166         -1.0615          0.7483       -1.218865        1.274697
     2474.30041      2474.29177         85.2312          1.5763         15.6135          0.0201          0.7122          0.5802        2.088843        1.576300
     2474.30735      2474.29871         85.5887          1.5692         15.6090          0.0199          1.5220          0.7483        0.748261        1.569195
     2474.31430      2474.30566         82.9691          1.5652         15.6427          0.0205          1.2811          0.7483        1.522624        1.565219
     2474.32124      2474.31260         79.7316          1.5480         15.6859          0.0211          2.1949          0.7483       -0.952313        1.547983
     2474.32819      2474.31955         84.3523          1.5576         15.6248          0.0200         -1.1919          0.7483        0.580168        1.557602
     2474.33513      2474.32649         82.4550          1.3760         15.6495          0.0181          0.9562          0.7483        0.016722        1.376001
     2474.34208      2474.33344         85.2502          1.3721         15.6133          0.0175         -1.1703          0.7483        1.099221        1.372107
     2474.34902      2474.34038         80.4422          1.4018         15.6763          0.0189          1.3767          0.7483       -0.470205        1.401787
     2474.35596      2474.34733         81.7909          1.3822         15.6582          0.0183         -0.1706          0.7483        0.413030        1.382229
     2474.36291      2474.35427         83.6370          1.2941         15.6340          0.0168         -0.1402          0.5802       -0.596026        1.294135
     2474.36985      2474.36121         81.5005          1.3762         15.6621          0.0183          1.5302          0.7483        0.975844        1.376158
     2474.37680      2474.36816         81.3137          1.2885         15.6646          0.0172         -0.5356          0.8750       -2.263666        1.288475
     2474.38374      2474.37510         82.3202          1.3785         15.6512          0.0182          0.6354          0.8750       -1.092491        1.378488
     2474.39069      2474.38205         90.0329          1.3555         15.5540          0.0163         -1.0648          0.7483        4.120008        1.355499
     2474.39763      2474.38899         85.3021          1.3338         15.6126          0.0170         -0.9200          0.7483       -1.749776        1.333797
     2474.40458      2474.39594         86.1580          1.5081         15.6018          0.0190          0.4436          0.5802        2.520327        1.508072
     2474.41152      2474.40288         84.7216          1.3755         15.6200          0.0176          0.8055          0.5802        0.264002        1.375524
     2474.41847      2474.40983         82.0498          1.3703         15.6548          0.0181          2.6519          0.7483        0.510945        1.370300
     2474.42541      2474.41677         81.2358          1.3681         15.6656          0.0183          3.3486          0.5802        0.577016        1.368115
     2474.43236      2474.42371         82.0921          1.5264         15.6542          0.0202         -1.1199          0.5802       -0.626336        1.526431
     2474.43930      2474.43066         83.0649          1.3587         15.6415          0.0178         -1.8006          0.5802        0.428149        1.358712
     2474.44625      2474.43760         85.0502          1.5670         15.6158          0.0200          0.2368          0.5770        0.997429        1.566986
     2474.45319      2474.44455         89.7651          1.2666         15.5572          0.0153          1.4676          0.5770        2.137721        1.266562
     2474.46014      2474.45149         82.3273          1.3365         15.6511          0.0176         -0.3645          0.5770       -0.123294        1.336543
     2474.46708      2474.45844         83.8944          1.5234         15.6307          0.0197          0.0614          0.5802        2.206875        1.523414
     2474.47403      2474.46538         79.1895          1.3640         15.6933          0.0187         -0.3729          0.5770       -0.328582        1.364031
     2474.48097      2474.47233         83.4052          1.3893         15.6370          0.0181          0.3636          0.5109       -0.738665        1.389324
     2474.48791      2474.47927         88.2824          1.3259         15.5753          0.0163         -1.2101          0.5109        2.854691        1.325852
     2474.49486      2474.48621         84.5415          1.3868         15.6223          0.0178          0.6406          0.5109        1.513697        1.386770
     2474.50180      2474.49316         87.6638          1.3994         15.5829          0.0173          0.5846          0.5109        1.790969        1.399443
     2474.50875      2474.50010         84.5665          1.3163         15.6220          0.0169          0.7505          0.5770        1.536702        1.316349
     2474.51569      2474.50705         82.5873          1.3912         15.6477          0.0183          0.1483          0.5770        1.632448        1.391173
     2474.52264      2474.51399         82.9084          1.5388         15.6435          0.0202          1.3300          0.5770        0.458813        1.538807
     2474.52958      2474.52094         89.5158          1.5419         15.5603          0.0187         -2.9446          0.5770        1.036752        1.541932
     2474.53653      2474.52788         85.8820          1.3929         15.6052          0.0176         -2.1761          0.7489        1.092326        1.392856
     2474.54347      2474.53483         81.4246          1.5343         15.6631          0.0205          1.4452          0.5770        0.471276        1.534271
     2474.55042      2474.54177         84.2193          1.5256         15.6265          0.0197         -1.6063          0.5770        0.471386        1.525569
     2474.55736      2474.54871         84.2910          1.5736         15.6255          0.0203         -0.0751          0.7489        1.374691        1.573626
     2474.56431      2474.55566         82.0339          1.2936         15.6550          0.0171         -1.5826          0.7489       -0.045470        1.293581
     2474.57125      2474.56260         81.2138          1.5246         15.6659          0.0204         -0.0048          0.7489        0.748858        1.524646
     2474.57820      2474.56955         81.8347          1.5304         15.6577          0.0203          1.5307          0.7489        0.935660        1.530421
     2474.58514      2474.57649         85.6483          1.3854         15.6082          0.0176         -2.7606          0.7489        0.273132        1.385389
     2474.59209      2474.58344         89.3150          1.5321         15.5627          0.0186         -2.6118          0.9049        2.222232        1.532142
     2474.59903      2474.59038         86.7462          1.2981         15.5944          0.0162         -1.8954          0.9049        1.010886        1.298100
     2474.60598      2474.59733         86.0228          1.5327         15.6035          0.0193         -0.4773          0.9049       -0.986211        1.532671
     2474.61292      2474.60427         83.4940          1.5297         15.6359          0.0199         -3.6257          0.9049       -0.607206        1.529701
     2474.61987      2474.61121         90.9954          1.5506         15.5425          0.0185          3.8124          0.8026        2.563203        1.550571
     2474.62681      2474.61816         87.8702          1.3628         15.5804          0.0168         -0.4690          0.7489        2.942142        1.362822
     2474.63375      2474.62510         85.5318          1.4981         15.6097          0.0190         -2.4285          0.7489        0.139575        1.498052
     2474.64070      2474.63205         84.5494          1.2984         15.6222          0.0167         -0.7875          0.6584       -0.104719        1.298443
     2474.64764      2474.63899         82.8918          1.3077         15.6437          0.0171         -1.5233          0.6584        1.622333        1.307698
     2474.65459      2474.64594         85.0883          1.5094         15.6153          0.0193          1.9837          0.6584        0.400993        1.509367
     2474.66153      2474.65288         87.3502          1.3808         15.5868          0.0172         -0.0393          0.6584        3.726086        1.380779
     2474.66848      2474.65983         86.4524          1.5228         15.5981          0.0191          2.1505          0.6584        1.463296        1.522768
     2474.67542      2474.66677         83.1696          1.4029         15.6401          0.0183         -0.7769          0.6584        1.531034        1.402868
     2474.68237      2474.67371         83.6353          1.2915         15.6340          0.0168          1.4587          0.6584       -1.537191        1.291522
     2474.68931      2474.68066         87.4029          1.4979         15.5862          0.0186         -1.3526          0.6584        0.302108        1.497941
     2474.69626      2474.68760         86.3435          1.3011         15.5994          0.0164         -0.3171          0.6584        3.164577        1.301081
     2474.70320      2474.69455         87.9338          1.5905         15.5796          0.0196         -1.9386          0.6584        0.334380        1.590514
     2474.71015      2474.70149         82.3934          1.3513         15.6503          0.0178          1.5281          0.6253       -1.334913        1.351306
     2474.71709      2474.70844         88.6118          1.3253         15.5713          0.0162         -0.5190          0.6253        1.723054        1.325286
     2474.72404      2474.71538         85.6626          1.2775         15.6080          0.0162         -0.7026          0.6253        0.904874        1.277461
     2474.73098      2474.72233         83.8818          1.3509         15.6308          0.0175         -1.2093          0.5636       -0.954495        1.350949
     2474.73793      2474.72927         85.9805          1.3102         15.6040          0.0165          0.9990          0.6253        1.327659        1.310225
     2474.74487      2474.73621         80.6105          1.3015         15.6740          0.0175         -0.0215          0.5636       -2.950166        1.301540
     2474.75182      2474.74316         87.5156          1.3265         15.5848          0.0165          0.5510          0.5636        1.690501        1.326469
     2474.75876      2474.75010         82.8475          1.3033         15.6443          0.0171         -0.0992          0.5636        0.802590        1.303282
     2474.76570      2474.75705         81.8191          1.3120         15.6579          0.0174         -0.1383          0.5061       -1.637235        1.312048
     2474.77265      2474.76399         82.3811          1.4971         15.6504          0.0197          0.9826          0.5061        0.224162        1.497132
     2474.77959      2474.77094         84.9538          1.5547         15.6170          0.0199         -0.7554          0.5061        0.658390        1.554660
     2474.78654      2474.77788         82.8734          1.3626         15.6440          0.0179         -0.4529          0.5061        0.349249        1.362585
     2474.79348      2474.78483         81.1400          1.3017         15.6669          0.0174          0.9218          0.4010        0.563575        1.301726
     2474.80043      2474.79177         85.5115          1.3157         15.6099          0.0167         -1.6925          0.4010        0.506141        1.315732
     2474.80737      2474.79871         80.8679          1.2883         15.6706          0.0173         -0.8448          0.5061       -1.219924        1.288297
     2474.81432      2474.80566         83.3060          1.2816         15.6383          0.0167          1.2449          0.5636       -0.625132        1.281620
     2474.82126      2474.81260         84.6116          1.2914         15.6214          0.0166          2.5374          0.5636        2.597198        1.291377
     2474.82821      2474.81955         84.8722          1.3405         15.6181          0.0171         -1.1248          0.5966        2.265442        1.340519
     2474.83515      2474.82649         87.1977          1.4827         15.5887          0.0185          0.3852          0.5966        2.220223        1.482695
     2474.84210      2474.83344         88.7518          1.3362         15.5696          0.0163         -1.3820          0.5966        1.518680        1.336235
