# reference_flux:          3.8837
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2474.17542      2474.16677          0.9302          1.6262         18.7192         99.9000         -5.6374         -0.6425       -2.499221        1.626221
     2474.18236      2474.17371          3.0274          1.6614         18.6960         99.9000         -3.5370         -0.6425        1.185091        1.661355
     2474.18930      2474.18066          0.8164          1.6714         18.6895         99.9000         -4.2994         -0.6425       -3.436059        1.671418
     2474.19625      2474.18760          2.1767          1.6648         18.6938         99.9000         -2.5226         -0.6425       -0.084521        1.664779
     2474.20319      2474.19455          2.5386          1.5977         18.7384         99.9000         -2.1695         -0.6419       -0.943120        1.597719
     2474.21014      2474.20149          5.7249          1.5310         18.5456          0.2904         -0.2786         -0.6425       -0.641857        1.531038
     2474.21708      2474.20844          2.1094          1.5111         18.7989         99.9000          2.1272         -0.6425       -1.201654        1.511137
     2474.22403      2474.21538          3.4682          1.4896         18.8145         99.9000          2.9713         -0.6425       -0.642522        1.489621
     2474.23097      2474.22233          1.6884          1.4684         18.8301         99.9000          3.5423         -0.6425       -1.582537        1.468354
     2474.23792      2474.22927          4.8807          1.4940         18.7188          0.3324          4.5266         -0.6425       -0.339223        1.494031
     2474.24486      2474.23621          6.8655          1.4885         18.3483          0.2354          3.2230         -0.6419        2.011006        1.488544
     2474.25181      2474.24316          4.8442          1.4880         18.7269          0.3335          2.3550         -0.6419        1.103985        1.488017
     2474.25875      2474.25010         -1.8846          1.4840         18.8186         99.9000          4.2515         -0.5756       -1.887207        1.483958
     2474.26570      2474.25705          2.7001          1.4784         18.8227         99.9000          4.1657         -0.5756       -1.002270        1.478412
     2474.27264      2474.26399          3.3798          1.4939         18.8114         99.9000          2.3750         -0.6419       -1.389372        1.493909
     2474.27959      2474.27094          1.7426          1.4675         18.8308         99.9000          3.0214         -0.6419       -2.112910        1.467492
     2474.28653      2474.27788          8.6335          1.4969         18.0995          0.1882          2.7386         -0.5756       -0.575616        1.496898
     2474.29348      2474.28483          4.1350          1.4911         18.8135         99.9000          3.1049         -0.5455       -1.116407        1.491055
     2474.30042      2474.29177          5.1407          1.4787         18.6624          0.3123          4.4457         -0.3392        0.700355        1.478696
     2474.30737      2474.29871          1.3898          1.4822         18.8199         99.9000          4.4618         -0.3392       -0.118584        1.482182
     2474.31431      2474.30566         -0.3882          1.4911         18.8134         99.9000          3.6084         -0.3392       -1.371559        1.491148
     2474.32126      2474.31260          4.2866          1.4656         18.8321         99.9000          2.6740         -0.5216       -0.005753        1.465633
     2474.32820      2474.31955          2.9688          1.4647         18.8328         99.9000          4.1741         -0.5216        0.854053        1.464692
     2474.33514      2474.32649          5.8888          1.4750         18.5149          0.2720          4.6864         -0.5216        0.374324        1.475027
     2474.34209      2474.33344          6.3766          1.4823         18.4285          0.2524          5.2239         -0.5216        0.380959        1.482280
     2474.34903      2474.34038          6.0328          1.4667         18.4887          0.2640          2.8725         -0.3392        0.390265        1.466730
     2474.35598      2474.34733          6.4147          1.4760         18.4221          0.2498          5.1409         -0.3392        0.362154        1.476000
     2474.36292      2474.35427          3.6118          1.4843         18.8184         99.9000          3.6073         -0.2644       -0.002371        1.484329
     2474.36987      2474.36121          1.2793          1.4724         18.8272         99.9000          6.4404         -0.2644       -1.505512        1.472360
     2474.37681      2474.36816          8.4315          1.4945         18.1252          0.1925          2.0782         -0.2644       -0.685076        1.494511
     2474.38376      2474.37510         -0.6959          1.4805         18.8212         99.9000          2.2303         -0.1186       -3.496952        1.480516
     2474.39070      2474.38205          8.8871          1.4798         18.0681          0.1808          1.5782         -0.1186        0.838536        1.479825
     2474.39765      2474.38899          8.0165          1.4923         18.1800          0.2021          2.9443         -0.1186        0.736230        1.492327
     2474.40459      2474.39594          3.5955          1.4740         18.8259         99.9000          2.6794         -0.0058       -0.545532        1.474037
     2474.41154      2474.40288         10.0881          1.4840         17.9305          0.1597          2.6565         -0.0058        4.714821        1.483961
