# reference_flux:        140.8520
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2474.17525      2474.16677        146.9883          1.6105         15.0218          0.0119         -3.9469          0.5230        3.745505        1.610484
     2474.18220      2474.17371        138.7083          1.5805         15.0847          0.0124         -2.2155          0.6057       -0.418417        1.580459
     2474.18914      2474.18066        140.5941          1.5856         15.0701          0.0122         -4.4950          0.6057        2.180976        1.585607
     2474.19609      2474.18760        143.6523          1.5730         15.0467          0.0119         -2.2884          0.6057        1.309677        1.572976
     2474.20303      2474.19455        139.1257          1.5527         15.0815          0.0121         -0.5565          0.7869       -0.104763        1.552684
     2474.20998      2474.20149        142.6201          1.4964         15.0545          0.0114         -1.5456          0.7869        0.786923        1.496395
     2474.21692      2474.20844        141.3245          1.4572         15.0645          0.0112          1.3700          0.7869        1.457393        1.457174
     2474.22386      2474.21538        143.9276          1.4802         15.0446          0.0112         -5.1524          0.6057        0.523023        1.480229
     2474.23081      2474.22233        138.0764          1.4593         15.0897          0.0115          0.7647          0.7869        0.163599        1.459343
     2474.23775      2474.22927        140.8329          1.4466         15.0682          0.0112          2.3323          0.7869        1.677432        1.446597
     2474.24470      2474.23621        143.6310          1.4554         15.0469          0.0110         -0.7626          0.6057        1.792307        1.455390
     2474.25164      2474.24316        140.1863          1.4661         15.0732          0.0114          0.0109          0.5230        0.168093        1.466075
     2474.25859      2474.25010        138.6072          1.4553         15.0855          0.0114         -0.9622          0.5230       -1.426762        1.455303
     2474.26553      2474.25705        144.0079          1.4631         15.0440          0.0110         -1.3302          0.5230        3.163868        1.463130
     2474.27248      2474.26399        143.1704          1.4569         15.0504          0.0110          0.9248          0.5230        2.295294        1.456942
     2474.27942      2474.27094        139.3246          1.4603         15.0799          0.0114          1.1927          0.5230        0.605728        1.460300
     2474.28637      2474.27788        139.9846          1.4729         15.0748          0.0114          2.3652          0.5230       -1.063081        1.472852
     2474.29331      2474.28483        143.8028          1.4664         15.0456          0.0111          0.8021          0.6057        0.866349        1.466414
     2474.30026      2474.29177        144.7009          1.4632         15.0388          0.0110         -1.4503          0.5230        1.522476        1.463155
     2474.30720      2474.29871        137.9277          1.4614         15.0909          0.0115         -0.2570          0.4269       -1.612611        1.461392
     2474.31415      2474.30566        135.2031          1.4655         15.1125          0.0118         -1.5605          0.5230       -0.704678        1.465546
     2474.32109      2474.31260        139.0683          1.4597         15.0819          0.0114          1.1890          0.4269        0.249268        1.459691
     2474.32804      2474.31955        139.7827          1.4682         15.0764          0.0114         -0.6589          0.2493       -0.533362        1.468196
     2474.33498      2474.32649        140.4269          1.4637         15.0714          0.0113         -2.1035          0.4269       -0.323463        1.463748
     2474.34193      2474.33344        145.5095          1.4726         15.0328          0.0110         -0.9763          0.4269        2.330194        1.472610
     2474.34887      2474.34038        146.7153          1.4719         15.0238          0.0109         -0.6004          0.4269        3.006131        1.471939
     2474.35582      2474.34733        140.1742          1.4652         15.0733          0.0113         -0.4262          0.4269       -0.298852        1.465217
     2474.36276      2474.35427        147.6756          1.4760         15.0167          0.0109         -0.8249          0.4269        1.900152        1.475967
     2474.36971      2474.36121        143.7992          1.4678         15.0456          0.0111          2.1015          0.4269        2.255337        1.467826
     2474.37665      2474.36816        136.8416          1.4699         15.0995          0.0117          1.2946          0.4269       -0.071056        1.469878
     2474.38360      2474.37510        135.3272          1.4719         15.1115          0.0118          0.0943          0.2493       -3.968826        1.471892
     2474.39054      2474.38205        141.1707          1.4665         15.0656          0.0113         -1.1529          0.2493        1.054321        1.466462
     2474.39748      2474.38899        138.7495          1.4680         15.0844          0.0115         -0.0393          0.2493       -0.440520        1.468018
     2474.40443      2474.39594        137.6793          1.4617         15.0928          0.0115          1.3414          0.4269       -0.101711        1.461669
     2474.41137      2474.40288        142.1605          1.4669         15.0581          0.0112         -4.3962          0.4269       -0.796162        1.466886
     2474.41832      2474.40983        139.4788          1.4709         15.0787          0.0114         -1.0907          0.4269        0.426879        1.470883
     2474.42526      2474.41677        138.1717          1.4610         15.0890          0.0115         -1.0696          0.5184       -0.854757        1.461008
     2474.43221      2474.42371        141.2691          1.4584         15.0649          0.0112         -1.3711          0.5184        2.368075        1.458417
     2474.43915      2474.43066        138.9448          1.4521         15.0829          0.0113         -2.9356          0.4269       -0.072099        1.452085
     2474.44610      2474.43760        143.2109          1.4563         15.0501          0.0110         -0.5094          0.4269        1.684224        1.456293
     2474.45304      2474.44455        146.1668          1.4525         15.0279          0.0108         -0.3953          0.2493        1.468899        1.452464
     2474.45999      2474.45149        137.7472          1.4562         15.0923          0.0115          1.4559          0.2493       -0.370154        1.456222
     2474.46693      2474.45844        138.2853          1.4535         15.0881          0.0114         -0.0248          0.2493       -0.865062        1.453540
     2474.47388      2474.46538        141.8341          1.4591         15.0605          0.0112          0.1532          0.2493        1.394183        1.459054
     2474.48082      2474.47233        140.1688          1.4514         15.0734          0.0112         -1.9659          0.4269       -1.508052        1.451355
     2474.48777      2474.47927        139.1690          1.4490         15.0811          0.0113         -2.1645          0.4326       -0.537277        1.449047
     2474.49471      2474.48621        140.3865          1.4491         15.0717          0.0112          1.4069          0.5184        0.518389        1.449087
     2474.50166      2474.49316        142.7243          1.4525         15.0538          0.0110         -0.9081          0.5184        2.501445        1.452549
     2474.50860      2474.50010        142.3845          1.4538         15.0563          0.0111         -1.3086          0.5269        2.361583        1.453835
     2474.51555      2474.50705        143.7895          1.4579         15.0457          0.0110          0.0661          0.5184       -1.420018        1.457883
     2474.52249      2474.51399        143.1720          1.4528         15.0504          0.0110         -0.3585          0.4326        1.644822        1.452765
     2474.52944      2474.52094        142.9478          1.4578         15.0521          0.0111         -1.4884          0.4326        2.279358        1.457835
     2474.53638      2474.52788        140.8295          1.4517         15.0683          0.0112         -2.2462          0.4269       -0.542985        1.451679
     2474.54333      2474.53483        141.7560          1.4565         15.0611          0.0112         -3.0378          0.4269       -0.479156        1.456542
     2474.55027      2474.54177        141.3970          1.4364         15.0639          0.0110         -1.8507          0.4326        1.452883        1.436444
     2474.55722      2474.54871        141.5845          1.4445         15.0625          0.0111         -0.3509          0.5184        1.314846        1.444509
     2474.56416      2474.55566        141.9914          1.4569         15.0593          0.0111         -0.1893          0.4326        1.150912        1.456935
     2474.57110      2474.56260        139.8579          1.4514         15.0758          0.0113          0.3711          0.5184        1.859250        1.451366
     2474.57805      2474.56955        141.2743          1.4484         15.0648          0.0111         -0.0605          0.5269        1.004098        1.448434
     2474.58499      2474.57649        137.2282          1.4527         15.0964          0.0115          0.1688          0.5269        0.650381        1.452728
     2474.59194      2474.58344        141.3833          1.4597         15.0640          0.0112         -0.8382          0.5269        0.067309        1.459677
     2474.59888      2474.59038        135.4016          1.4435         15.1109          0.0116         -0.0923          0.5269       -0.014842        1.443522
     2474.60583      2474.59733        140.1947          1.4649         15.0732          0.0113         -0.1869          0.5184        2.234021        1.464925
     2474.61277      2474.60427        137.1202          1.4652         15.0972          0.0116         -0.3922          0.5184       -1.954746        1.465228
     2474.61972      2474.61121        141.7823          1.4539         15.0609          0.0111         -2.9262          0.5184       -1.132764        1.453902
     2474.62666      2474.61816        141.3277          1.4393         15.0644          0.0111         -0.4432          0.4642        1.031921        1.439255
     2474.63361      2474.62510        143.5167          1.4313         15.0477          0.0108         -1.2100          0.4642        0.526923        1.431263
     2474.64055      2474.63205        139.4265          1.4247         15.0791          0.0111         -1.3044          0.4642        1.240774        1.424694
     2474.64750      2474.63899        139.8408          1.4443         15.0759          0.0112         -0.7289          0.4326        0.432579        1.444342
     2474.65444      2474.64594        138.0133          1.4441         15.0902          0.0114         -0.8861          0.4326        0.693264        1.444056
     2474.66139      2474.65288        138.8705          1.4423         15.0835          0.0113         -0.6847          0.4642       -1.529430        1.442289
     2474.66833      2474.65983        144.3449          1.4405         15.0415          0.0108         -1.4067          0.4326        1.105459        1.440467
     2474.67528      2474.66677        137.1767          1.4331         15.0968          0.0113         -0.2793          0.4326       -2.014316        1.433100
     2474.68222      2474.67371        138.8654          1.4293         15.0835          0.0112          0.4900          0.4326       -1.189671        1.429287
     2474.68917      2474.68066        143.0387          1.4322         15.0514          0.0109          0.4703          0.4642        0.397431        1.432174
     2474.69611      2474.68760        138.3247          1.4376         15.0878          0.0113          1.7833          0.4642       -0.212768        1.437649
     2474.70306      2474.69455        143.5224          1.4246         15.0477          0.0108         -0.4461          0.4642        1.537696        1.424592
     2474.71000      2474.70149        141.6080          1.4389         15.0623          0.0110         -3.2147          0.4642        0.837864        1.438868
     2474.71695      2474.70844        141.1767          1.4356         15.0656          0.0110         -4.9883          0.4642        0.801400        1.435607
     2474.72389      2474.71538        141.9786          1.4319         15.0594          0.0110          0.3840          0.4326        0.215602        1.431911
     2474.73084      2474.72233        141.4119          1.4382         15.0638          0.0110         -1.4948          0.3974        0.840548        1.438199
     2474.73778      2474.72927        142.8296          1.4429         15.0530          0.0110          0.7280          0.3693        2.524229        1.442854
     2474.74472      2474.73621        140.6748          1.4426         15.0695          0.0111          1.0043          0.2743        0.215977        1.442563
     2474.75167      2474.74316        139.1476          1.4352         15.0813          0.0112         -0.5102          0.2743        0.464209        1.435160
     2474.75861      2474.75010        139.8572          1.4304         15.0758          0.0111         -1.4043          0.2712       -0.372515        1.430444
     2474.76556      2474.75705        135.3834          1.4326         15.1111          0.0115         -1.6225          0.2712       -1.033153        1.432611
     2474.77250      2474.76399        137.3636          1.4486         15.0953          0.0115         -0.4821          0.2743        0.271189        1.448635
     2474.77945      2474.77094        143.4752          1.4442         15.0481          0.0109          0.3854          0.2743        1.474327        1.444183
     2474.78639      2474.77788        138.5753          1.4357         15.0858          0.0112          0.3265          0.3693       -0.831929        1.435716
     2474.79334      2474.78483        141.5974          1.4461         15.0624          0.0111         -2.4355          0.3887        0.151778        1.446072
     2474.80028      2474.79177        138.3975          1.4420         15.0872          0.0113          0.1752          0.3693       -0.548235        1.442030
     2474.80723      2474.79871        141.0521          1.4415         15.0666          0.0111          0.6466          0.3693       -0.137306        1.441546
     2474.81417      2474.80566        141.2791          1.4462         15.0648          0.0111         -2.8961          0.3693       -1.167162        1.446212
     2474.82112      2474.81260        145.3677          1.4520         15.0338          0.0108         -1.6194          0.3693        1.001245        1.451957
     2474.82806      2474.81955        140.8617          1.4386         15.0680          0.0111         -0.1113          0.3693        0.369344        1.438600
     2474.83501      2474.82649        141.5218          1.4529         15.0629          0.0111         -1.5473          0.3887        1.824436        1.452920
     2474.84195      2474.83344        136.0875          1.4397         15.1055          0.0115         -2.9099          0.3693        0.755390        1.439706
     2474.84890      2474.84038        144.6639          1.4459         15.0391          0.0109         -1.8172          0.3887        2.033382        1.445894
     2474.85584      2474.84733        146.1661          1.4536         15.0279          0.0108         -2.2472          0.3974        0.572559        1.453599
     2474.86279      2474.85427        143.6669          1.4551         15.0466          0.0110          0.0857          0.3887        1.530863        1.455061
     2474.86973      2474.86121        140.7541          1.4629         15.0688          0.0113         -3.5126          0.4587       -0.331638        1.462864
     2474.87668      2474.86816        143.7808          1.4531         15.0457          0.0110         -1.3896          0.3887       -0.009011        1.453058
     2474.88362      2474.87510        139.7528          1.4612         15.0766          0.0114         -2.1576          0.3693        0.274277        1.461172
     2474.89057      2474.88205        144.1623          1.4562         15.0429          0.0110          0.4505          0.3693       -1.338016        1.456227
     2474.89751      2474.88899        141.8501          1.4529         15.0604          0.0111         -1.5785          0.3693       -0.230237        1.452935
     2474.90446      2474.89594        140.8167          1.4487         15.0684          0.0112         -4.2398          0.3693       -0.678738        1.448694
     2474.91140      2474.90288        143.6307          1.4599         15.0469          0.0110         -1.1064          0.3125        2.564225        1.459890
     2474.91835      2474.90983        138.8300          1.4525         15.0838          0.0114         -2.6663          0.3125        0.257598        1.452547
     2474.92529      2474.91677        140.2597          1.4567         15.0727          0.0113         -0.4547          0.2743       -0.847684        1.456750
     2474.93223      2474.92371        146.2919          1.4609         15.0269          0.0108          0.3876          0.2743        2.762447        1.460903
     2474.93918      2474.93066        141.2703          1.4499         15.0649          0.0111         -0.5237          0.2743        0.789629        1.449878
     2474.94612      2474.93760        139.1625          1.4644         15.0812          0.0114         -1.4741          0.3125        0.388722        1.464419
     2474.95307      2474.94455        142.3362          1.4627         15.0567          0.0112         -1.1937          0.3125        2.481255        1.462724
     2474.96001      2474.95149        141.5288          1.4655         15.0629          0.0112         -0.0955          0.3693        0.248644        1.465523
     2474.96696      2474.95844        139.3805          1.4585         15.0795          0.0114         -0.5914          0.3693        1.029881        1.458498
     2474.97390      2474.96538        140.3274          1.4688         15.0721          0.0114         -1.0444          0.3693        1.890213        1.468792
     2474.98085      2474.97233        140.1950          1.4569         15.0732          0.0113         -1.0502          0.3693        0.592246        1.456856
     2474.98779      2474.97927        139.7959          1.4606         15.0763          0.0113         -0.1867          0.3693        0.580698        1.460554
     2474.99474      2474.98621        141.2119          1.4603         15.0653          0.0112         -0.1688          0.3125        0.458670        1.460278
     2475.00168      2474.99316        139.7247          1.4606         15.0768          0.0113          1.0037          0.2743       -0.825310        1.460584
     2475.00863      2475.00010        143.5908          1.4562         15.0472          0.0110         -1.3303          0.2743        1.361144        1.456248
     2475.01557      2475.00705        143.7577          1.4609         15.0459          0.0110         -2.1487          0.2576        2.404820        1.460945
     2475.02252      2475.01399        140.8031          1.4518         15.0685          0.0112         -1.8230          0.2576       -0.798393        1.451841
     2475.02946      2475.02094        141.9971          1.4588         15.0593          0.0112          0.6126          0.2576        2.126325        1.458827
     2475.03641      2475.02788        140.2336          1.4549         15.0729          0.0113         -3.5969          0.2486        0.312519        1.454911
     2475.04335      2475.03482        136.7901          1.4656         15.0999          0.0116          0.5948          0.2576       -0.370372        1.465630
     2475.05030      2475.04177        139.9618          1.4451         15.0750          0.0112         -2.3650          0.2743        1.097599        1.445138
     2475.05724      2475.04871        141.9777          1.4558         15.0594          0.0111         -0.2873          0.3125        0.169049        1.455808
     2475.06419      2475.05566        145.2301          1.4597         15.0349          0.0109         -2.0995          0.3887        0.437570        1.459706
     2475.07113      2475.06260        137.9501          1.4706         15.0907          0.0116         -0.5853          0.3887       -2.249175        1.470552
     2475.07808      2475.06955        140.0040          1.4686         15.0746          0.0114         -1.5091          0.3887       -1.233287        1.468592
     2475.08502      2475.07649        141.8094          1.4689         15.0607          0.0112         -1.4376          0.3125        0.073949        1.468882
     2475.09197      2475.08344        140.2890          1.4593         15.0724          0.0113         -1.7629          0.3125       -0.095070        1.459272
     2475.09891      2475.09038        139.3485          1.4621         15.0797          0.0114         -0.1490          0.3125       -3.388787        1.462118
     2475.10585      2475.09732        141.0743          1.4635         15.0664          0.0113          0.0523          0.2486        1.396217        1.463485
     2475.11280      2475.10427        146.9710          1.4665         15.0219          0.0108         -2.9486          0.1690        3.222611        1.466508
     2475.11974      2475.11121        143.1558          1.4608         15.0505          0.0111         -1.8231          0.1690        0.947120        1.460776
     2475.12669      2475.11816        142.6463          1.4705         15.0543          0.0112         -1.2759          0.1690       -0.877912        1.470465
     2475.13363      2475.12510        143.3954          1.4768         15.0487          0.0112         -1.9261          0.1170       -0.929220        1.476839
     2475.14058      2475.13205        140.8458          1.4723         15.0681          0.0113          1.3563          0.0739       -0.532164        1.472252
     2475.14752      2475.13899        138.0421          1.4633         15.0900          0.0115          1.9820          0.0610       -0.693851        1.463272
