# reference_flux:         21.3316
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2474.17540      2474.16677         21.5045          1.4754         17.1087          0.0745          0.3021         -0.5421        0.864387        1.475357
     2474.18234      2474.17371         19.8095          1.4913         17.1978          0.0817          3.0325         -0.5421       -0.684828        1.491321
     2474.18929      2474.18066         21.5317          1.4848         17.1073          0.0749          5.0295         -0.5421        0.891342        1.484838
     2474.19623      2474.18760         18.1936          1.4719         17.2902          0.0878          3.9374         -0.5421       -2.298327        1.471882
     2474.20318      2474.19455         20.7740          1.4219         17.1462          0.0743         -0.2693         -0.5421        0.116751        1.421869
     2474.21012      2474.20149         18.1675          1.3756         17.2918          0.0822          0.6440         -0.5421       -1.703414        1.375567
     2474.21707      2474.20844         17.2417          1.4188         17.3485          0.0893          0.4686         -0.5421       -0.593846        1.418832
     2474.22401      2474.21538         17.6930          1.4019         17.3205          0.0860         -1.3153         -0.5421       -0.906524        1.401936
     2474.23096      2474.22233         20.0790          1.4110         17.1831          0.0763         -0.1598         -0.5421       -1.285930        1.411018
     2474.23790      2474.22927         21.2848          1.4059         17.1198          0.0717         -2.1827         -0.5421        0.464027        1.405862
     2474.24485      2474.23621         23.7243          1.3644         17.0020          0.0624          0.7166         -0.5026        2.022370        1.364377
     2474.25179      2474.24316         21.7107          1.3712         17.0983          0.0686         -1.1397         -0.4821       -0.135541        1.371158
     2474.25874      2474.25010         20.6374          1.3570         17.1534          0.0714          0.1327         -0.4821       -0.352310        1.356964
     2474.26568      2474.25705         18.0397          1.3628         17.2994          0.0820          0.1285         -0.5026       -1.324074        1.362786
     2474.27263      2474.26399         17.4804          1.3660         17.3336          0.0848         -1.6860         -0.5026       -0.542093        1.365968
     2474.27957      2474.27094         21.0824          1.4112         17.1302          0.0727          0.6003         -0.5026       -0.730266        1.411158
     2474.28651      2474.27788         18.1803          1.4214         17.2910          0.0849         -0.9382         -0.4821        0.151074        1.421396
     2474.29346      2474.28483         22.1315          1.3734         17.0775          0.0674         -0.8942         -0.4252       -2.108787        1.373391
     2474.30040      2474.29177         20.8915          1.3740         17.1401          0.0714          1.1134         -0.3523       -1.472732        1.374014
     2474.30735      2474.29871         23.1606          1.3766         17.0281          0.0645          0.3668         -0.3523        0.480740        1.376627
     2474.31429      2474.30566         18.1329          1.3654         17.2938          0.0818         -2.2385         -0.4252       -2.492678        1.365412
     2474.32124      2474.31260         19.9082          1.3722         17.1924          0.0748         -0.7540         -0.3523       -0.502572        1.372175
