# reference_flux:        -18.5998
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2474.17434      2474.16679         -1.5846          1.7130         18.6628         99.9000         -6.2428         -0.9269       -0.929996        1.713024
     2474.18129      2474.17373         -5.4883          1.6819         18.6827         99.9000         -9.1264         -0.9269       -0.458713        1.681873
     2474.18823      2474.18068         -4.3781          1.6620         18.6956         99.9000         -5.9495         -0.9269       -2.406823        1.661984
     2474.19518      2474.18762         -5.4125          1.6274         18.7185         99.9000         -5.3492         -0.9269       -1.042478        1.627356
     2474.20212      2474.19456         -0.9629          1.5972         18.7388         99.9000         -2.5637         -0.9269        1.041375        1.597182
     2474.20907      2474.20151         -2.4804          1.5827         18.7487         99.9000         -0.4212         -0.8393        0.744033        1.582740
     2474.21601      2474.20845         -2.8399          1.5342         18.7825         99.9000         -1.8216         -0.8393       -1.553807        1.534190
     2474.22296      2474.21540         -3.0828          1.5096         18.8000         99.9000          2.2312         -0.8393        0.072022        1.509598
     2474.22990      2474.22234         -0.2442          1.5150         18.7961         99.9000          4.0647         -0.8393        0.934413        1.515039
     2474.23685      2474.22929         -1.5478          1.4941         18.8113         99.9000         -1.3776         -0.8393       -1.237642        1.494081
     2474.24379      2474.23623         -0.5438          1.4848         18.8181         99.9000         -0.0139         -0.8393        0.132584        1.484766
     2474.25074      2474.24318         -2.8974          1.4956         18.8102         99.9000          0.5174         -0.8393        0.000350        1.495602
     2474.25768      2474.25012         -0.7356          1.4858         18.8173         99.9000          0.1250         -0.8393       -0.708428        1.485790
     2474.26463      2474.25706         -5.8342          1.4957         18.8101         99.9000          2.8596         -0.9269       -0.926888        1.495744
     2474.27157      2474.26401         -1.6232          1.5144         18.7966         99.9000          3.4270         -0.9269       -0.839278        1.514368
     2474.27852      2474.27095         -8.8320          1.4785         18.8227         99.9000          3.4990         -0.8393        0.125379        1.478460
     2474.28546      2474.27790         -4.2787          1.5215         18.7915         99.9000          2.1417         -0.9269       -2.933222        1.521531
     2474.29241      2474.28484         -8.4027          1.5116         18.7986         99.9000          2.3475         -0.9300       -2.251390        1.511612
     2474.29935      2474.29179         -2.9597          1.5034         18.8045         99.9000          3.0229         -0.9300       -1.267713        1.503445
     2474.30630      2474.29873         -4.1944          1.5116         18.7986         99.9000          2.4030         -0.9300       -2.188412        1.511612
     2474.31324      2474.30568         -5.9281          1.4828         18.8195         99.9000          4.4189         -0.9300       -2.800140        1.482778
     2474.32019      2474.31262         -4.1324          1.4760         18.8245         99.9000          2.1410         -0.9300        0.147398        1.476007
     2474.32713      2474.31956         -2.0981          1.4750         18.8252         99.9000          0.5575         -0.9300       -3.595897        1.474974
     2474.33408      2474.32651         -4.2909          1.4744         18.8257         99.9000          1.5013         -0.9300       -0.353390        1.474359
     2474.34102      2474.33345         -5.7561          1.5054         18.8031         99.9000          4.6674         -0.9300       -0.352666        1.505394
     2474.34797      2474.34040         -2.7575          1.5010         18.8063         99.9000          1.2120         -0.9269       -1.952173        1.500975
     2474.35491      2474.34734         -0.9514          1.4991         18.8076         99.9000          2.1562         -0.9269        1.316971        1.499065
     2474.36186      2474.35429         -4.5516          1.4951         18.8105         99.9000          2.2463         -0.9269       -2.547965        1.495133
     2474.36880      2474.36123         -0.2155          1.4644         18.8331         99.9000          0.5259         -0.9269       -0.295164        1.464372
     2474.37575      2474.36818         -3.3147          1.4802         18.8214         99.9000         -0.0826         -0.9723       -2.458302        1.480221
     2474.38269      2474.37512         -2.9509          1.4800         18.8216         99.9000          1.7407         -0.9723       -1.349196        1.479977
     2474.38964      2474.38206         -6.2697          1.4658         18.8320         99.9000          1.8468         -0.9723        0.465278        1.465834
     2474.39658      2474.38901         -8.6611          1.4760         18.8245         99.9000          1.1812         -1.1281       -1.429168        1.475983
     2474.40353      2474.39595         -0.8091          1.4833         18.8191         99.9000          2.3035         -1.1281       -0.035826        1.483323
     2474.41047      2474.40290         -4.5299          1.4805         18.8212         99.9000          1.8586         -0.9723       -3.571417        1.480461
     2474.41742      2474.40984         -1.4940          1.4910         18.8135         99.9000         -2.0032         -1.1281       -0.704725        1.490969
     2474.42436      2474.41679         -7.0693          1.4914         18.8132         99.9000          3.1923         -1.1281       -1.935945        1.491446
     2474.43131      2474.42373          0.3193          1.4664         18.8315         99.9000         -0.2457         -1.1281       -0.702811        1.466438
     2474.43825      2474.43068          0.7278          1.4758         18.8246         99.9000          2.5766         -1.1281        1.600136        1.475836
