# reference_flux:        -47.0921
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2474.17500      2474.16679         -0.1267          1.7961         18.6114         99.9000         14.7247         -0.0252       -4.123249        1.796078
     2474.18194      2474.17373         -0.5464          1.7704         18.6270         99.9000         17.7923          0.0199       -0.548590        1.770411
     2474.18889      2474.18068          3.8884          1.7271         18.6539         99.9000         15.6381         -0.0252        4.095388        1.727127
     2474.19583      2474.18762         -0.6790          1.6633         18.6948         99.9000         11.4969         -0.0252       -0.648404        1.663290
     2474.20278      2474.19456         -0.5264          1.6001         18.7368         99.9000          7.4992         -0.0252        0.790067        1.600131
     2474.20972      2474.20151         -0.4929          1.5787         18.7515         99.9000          9.7226         -0.0451       -0.271024        1.578684
     2474.21667      2474.20845          1.4559          1.4915         18.8131         99.9000         -1.2913         -0.0252        0.148053        1.491539
     2474.22361      2474.21540          2.4915          1.4778         18.8232         99.9000          0.7486         -0.0252       -0.045106        1.477757
     2474.23056      2474.22234          3.6343          1.4709         18.8283         99.9000          2.4672         -0.0252        1.712783        1.470869
     2474.23750      2474.22929          4.1100          1.4729         18.8268         99.9000         -1.1606         -0.0252       -0.715386        1.472894
     2474.24445      2474.23623          1.6869          1.4726         18.8269         99.9000          2.0368         -0.0451        0.712569        1.472649
     2474.25139      2474.24318         -4.0208          1.4753         18.8250         99.9000          2.2999         -0.0451       -2.749787        1.475289
     2474.25834      2474.25012          1.3207          1.4830         18.8193         99.9000          2.0360         -0.0451       -1.817473        1.483020
     2474.26528      2474.25706         -0.1446          1.4745         18.8256         99.9000          1.0589         -0.0451        0.019906        1.474538
     2474.27223      2474.26401          1.5865          1.4735         18.8263         99.9000         -0.5590         -0.0509        1.254302        1.473493
     2474.27917      2474.27095         -1.4088          1.4702         18.8287         99.9000          1.0357         -0.0509       -0.025214        1.470238
     2474.28611      2474.27790          2.9714          1.4668         18.8313         99.9000         -0.8770         -0.1667        0.639274        1.466797
     2474.29306      2474.28484          2.0276          1.4680         18.8304         99.9000          1.0306         -0.1667        0.401738        1.468020
     2474.30000      2474.29179          1.0591          1.4730         18.8267         99.9000          1.8562         -0.1667       -0.443944        1.472982
     2474.30695      2474.29873          1.2885          1.4686         18.8299         99.9000          2.8807         -0.0509        0.156268        1.468648
     2474.31389      2474.30568         -2.1038          1.4737         18.8262         99.9000          1.1155         -0.1667       -0.693496        1.473689
     2474.32084      2474.31262          1.6690          1.4630         18.8341         99.9000          1.5301         -0.0509        0.637718        1.463041
     2474.32778      2474.31956          1.9157          1.4760         18.8245         99.9000          2.2222         -0.1667        0.727807        1.475956
     2474.33473      2474.32651         -1.6566          1.4743         18.8257         99.9000         -0.0830         -0.0509       -3.122271        1.474298
     2474.34167      2474.33345         -1.5703          1.4793         18.8220         99.9000          3.1603         -0.0451        0.766616        1.479347
     2474.34862      2474.34040         -5.9829          1.4726         18.8270         99.9000          1.8351         -0.0252       -2.681974        1.472587
     2474.35556      2474.34734         -3.1822          1.4635         18.8337         99.9000          1.0036         -0.0252       -2.519065        1.463540
     2474.36251      2474.35429          0.3699          1.4628         18.8342         99.9000          1.0742         -0.0451       -1.257321        1.462796
     2474.36945      2474.36123          1.4515          1.4722         18.8273         99.9000          1.8113         -0.0451       -0.489750        1.472186
     2474.37640      2474.36818          5.9348          1.4786         18.5065          0.2705          1.1985         -0.0451        4.119712        1.478640
     2474.38334      2474.37512          2.9232          1.4715         18.8278         99.9000          0.2937         -0.0451        2.672269        1.471472
     2474.39029      2474.38206          4.4266          1.4827         18.8195         99.9000         -0.9771         -0.0509        3.058078        1.482734
     2474.39723      2474.38901          0.7239          1.4781         18.8230         99.9000          0.6514         -0.0509        1.045625        1.478063
     2474.40418      2474.39595         -0.2127          1.4721         18.8274         99.9000         -2.1806         -0.0509       -2.202389        1.472075
     2474.41112      2474.40290          1.6476          1.4696         18.8292         99.9000          0.2740         -0.0252       -0.050918        1.469559
     2474.41807      2474.40984          0.9335          1.4750         18.8252         99.9000          0.3783         -0.0252       -2.148212        1.475022
     2474.42501      2474.41679          0.3714          1.4815         18.8205         99.9000         -0.3359         -0.0252       -0.166692        1.481457
     2474.43196      2474.42373         -3.1937          1.4772         18.8236         99.9000         -1.1836         -0.0252       -0.465044        1.477174
     2474.43890      2474.43068         -1.6536          1.4709         18.8282         99.9000          2.6101         -0.0509       -0.315218        1.470909
     2474.44585      2474.43762          0.5047          1.4844         18.8183         99.9000          1.1153         -0.1235       -0.739710        1.484441
     2474.45279      2474.44456          0.9505          1.4813         18.8206         99.9000          0.9150         -0.1667        1.705152        1.481255
     2474.45974      2474.45151         -1.3414          1.4615         18.8352         99.9000         -0.0919         -0.1667        0.426599        1.461471
     2474.46668      2474.45845         -0.5528          1.4575         18.8382         99.9000          1.7967         -0.1667        0.287746        1.457499
     2474.47363      2474.46540          0.5752          1.4500         18.8438         99.9000         -2.9067         -0.1235       -2.724319        1.450034
     2474.48057      2474.47234         -0.9222          1.4711         18.8281         99.9000         -1.2382         -0.1667        0.060343        1.471118
     2474.48752      2474.47929         -2.7692          1.4609         18.8356         99.9000          0.3806         -0.1235       -2.023763        1.460915
     2474.49446      2474.48623          1.2683          1.4541         18.8407         99.9000          2.2576         -0.1667        2.294934        1.454072
     2474.50140      2474.49318          3.4055          1.4612         18.8354         99.9000          0.0060         -0.3152        0.472386        1.461239
     2474.50835      2474.50012          4.0113          1.4743         18.8257         99.9000         -0.3832         -0.1903        0.291503        1.474320
     2474.51529      2474.50706         -4.3018          1.4646         18.8329         99.9000          1.7498         -0.1903       -1.673914        1.464560
     2474.52224      2474.51401          0.4821          1.4724         18.8272         99.9000          1.3704         -0.1667       -1.237923        1.472371
     2474.52918      2474.52095          0.2466          1.4700         18.8289         99.9000         -0.6931         -0.1235       -1.400373        1.470041
     2474.53613      2474.52790         -0.9913          1.4709         18.8282         99.9000          0.3844         -0.1235        1.795487        1.470894
     2474.54307      2474.53484          1.0299          1.4727         18.8269         99.9000         -1.1241         -0.0509       -1.168275        1.472732
     2474.55002      2474.54179          0.4042          1.4657         18.8321         99.9000         -1.1983         -0.0509       -0.761156        1.465702
     2474.55696      2474.54873         -1.3613          1.4588         18.8372         99.9000          0.0160         -0.1235        1.453590        1.458760
     2474.56391      2474.55568          6.3363          1.4649         18.4354          0.2510         -0.6985         -0.1235        3.213428        1.464877
