# reference_flux:         11.0137
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2474.17479      2474.16679         14.1657          1.6828         17.5619          0.1290         10.5268          0.4631        2.247416        1.682769
     2474.18173      2474.17373         14.2238          1.5929         17.5575          0.1216         11.5251          0.4631        0.060027        1.592854
     2474.18868      2474.18068         12.3276          1.6039         17.7128          0.1413          2.9588          0.4631       -0.197122        1.603859
     2474.19562      2474.18762         15.3024          1.5619         17.4781          0.1108          0.4474          0.4631       -0.531212        1.561905
     2474.20257      2474.19456          9.9747          1.5023         17.9427          0.1635          0.7650          0.0600        0.866910        1.502286
     2474.20951      2474.20151          9.8214          1.4348         17.9596          0.1586         -1.4413          0.0600        0.463085        1.434774
     2474.21646      2474.20845         12.0557          1.4323         17.7370          0.1290          0.2767          0.4631        2.254369        1.432270
     2474.22340      2474.21540         10.6337          1.3394         17.8733          0.1368         -0.9738          0.4631        0.678121        1.339383
     2474.23035      2474.22234          8.9849          1.4211         18.0562          0.1717          2.1695          0.4631       -0.368338        1.421074
     2474.23729      2474.22929          8.8904          1.4119         18.0677          0.1724         -0.2245          0.4631       -1.462360        1.411902
     2474.24424      2474.23623         14.1228          1.3365         17.5652          0.1027         -0.9597          0.4631        1.791308        1.336472
     2474.25118      2474.24318         12.0299          1.3337         17.7393          0.1204         -0.2098          0.4631       -0.803833        1.333685
     2474.25813      2474.25012         11.0715          1.4237         17.8295          0.1396         -0.8257          0.4631        1.341960        1.423665
     2474.26507      2474.25706         11.0013          1.3285         17.8364          0.1311          0.6076          0.4631        0.910076        1.328522
     2474.27202      2474.26401         13.7416          1.3341         17.5949          0.1054          0.6926          0.4631        2.265229        1.334128
     2474.27896      2474.27095         10.4246          1.4366         17.8948          0.1496         -3.7913          0.4631        3.028360        1.436612
     2474.28591      2474.27790         10.4451          1.4160         17.8927          0.1472         -0.7556          0.4993        0.035401        1.416007
     2474.29285      2474.28484          8.0412          1.4195         18.1767          0.1917          0.8211          0.4993        1.088811        1.419530
     2474.29980      2474.29179          9.7770          1.4238         17.9645          0.1581         -1.8888          0.4631        0.049247        1.423831
     2474.30674      2474.29873          8.7541          1.3718         18.0845          0.1701          0.1014          0.4631       -2.078159        1.371839
     2474.31369      2474.30568         13.6162          1.4265         17.6049          0.1137         -0.4132          0.4631        1.996033        1.426523
     2474.32063      2474.31262          5.5821          1.3693         18.5730          0.2663         -0.1828          0.4631       -0.818330        1.369289
     2474.32758      2474.31956         13.4473          1.4280         17.6184          0.1153          0.2857          0.4993        2.774188        1.428012
     2474.33452      2474.32651          7.6523          1.4241         18.2305          0.2021         -0.1753          0.4993       -0.997795        1.424125
     2474.34147      2474.33345         10.9674          1.4252         17.8397          0.1411          0.5658          0.4993       -1.676227        1.425237
     2474.34841      2474.34040          8.9503          1.4363         18.0604          0.1742         -0.7505          0.4631       -0.389819        1.436349
     2474.35536      2474.34734          8.9813          1.4354         18.0566          0.1735         -1.3392          0.4631       -1.573514        1.435364
     2474.36230      2474.35429         12.0480          1.4291         17.7377          0.1288         -2.1545          0.4993       -1.471379        1.429061
     2474.36925      2474.36123         10.6653          1.4323         17.8701          0.1458         -2.9299          0.5085       -1.812189        1.432257
     2474.37619      2474.36818         12.2193          1.4344         17.7224          0.1275          0.4577          0.4993        0.873159        1.434396
     2474.38314      2474.37512         13.0000          1.4287         17.6551          0.1193          0.1440          0.4993        1.234321        1.428650
     2474.39008      2474.38206         16.9427          1.4332         17.3675          0.0918         -1.9737          0.4993        2.403270        1.433208
     2474.39703      2474.38901         13.1007          1.4339         17.6468          0.1188         -0.0507          0.2638       -1.833263        1.433893
     2474.40397      2474.39595         14.2014          1.4285         17.5592          0.1092         -1.6077          0.4993        3.774406        1.428518
     2474.41092      2474.40290         14.2937          1.4335         17.5521          0.1089          0.7179          0.5085        2.045921        1.433451
