# reference_flux:         68.0760
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2474.17461      2474.16679         67.1568          1.6431         15.8723          0.0266         -0.8426          0.5187       -0.089220        1.643058
     2474.18155      2474.17373         68.8227          1.6336         15.8457          0.0258         -2.7232          0.5992       -0.107557        1.633595
     2474.18850      2474.18068         66.5069          1.6079         15.8828          0.0262         -2.0960          0.5992        1.118332        1.607885
     2474.19544      2474.18762         68.5206          1.5730         15.8504          0.0249          1.4972          0.5992        0.293895        1.572983
     2474.20239      2474.19456         67.9194          1.5275         15.8600          0.0244         -2.5146          0.5992       -1.582704        1.527487
     2474.20933      2474.20151         70.1799          1.4978         15.8245          0.0232         -1.4543          0.5992        2.216899        1.497794
     2474.21628      2474.20845         66.6454          1.4707         15.8806          0.0240         -0.1839          0.5992       -1.226743        1.470704
     2474.22322      2474.21540         71.6576          1.4585         15.8018          0.0221          0.2097          0.5992        1.336269        1.458483
     2474.23017      2474.22234         69.0974          1.4788         15.8413          0.0232          0.2425          0.6323        1.167304        1.478779
     2474.23711      2474.22929         70.5919          1.4867         15.8181          0.0229          0.1185          0.6323        1.427206        1.486692
     2474.24406      2474.23623         71.6986          1.4725         15.8012          0.0223          0.5066          0.6323        1.513496        1.472528
     2474.25100      2474.24318         70.0327          1.4783         15.8267          0.0229         -3.4935          0.5992        0.518709        1.478284
     2474.25795      2474.25012         72.1951          1.4764         15.7937          0.0222         -2.7313          0.5718        2.088135        1.476447
     2474.26489      2474.25706         69.0703          1.4635         15.8418          0.0230          0.2234          0.5718        1.765731        1.463511
     2474.27184      2474.26401         71.8455          1.4556         15.7990          0.0220         -2.9005          0.5187        1.389313        1.455637
     2474.27878      2474.27095         64.8226          1.4514         15.9107          0.0243          0.3293          0.5187        0.185649        1.451360
     2474.28573      2474.27790         65.0309          1.4697         15.9072          0.0245          1.7023          0.5187       -2.199647        1.469676
     2474.29267      2474.28484         64.8092          1.4698         15.9109          0.0246          0.5784          0.5187       -0.578732        1.469797
     2474.29962      2474.29179         66.2790          1.4898         15.8866          0.0244          0.7542          0.5187        0.599217        1.489793
     2474.30656      2474.29873         71.5021          1.4905         15.8042          0.0226         -0.9966          0.5187        3.420937        1.490478
     2474.31350      2474.30568         73.8706          1.4851         15.7688          0.0218         -0.9495          0.5187        0.632348        1.485051
     2474.32045      2474.31262         68.4326          1.4887         15.8518          0.0236          0.9584          0.5187       -0.046408        1.488690
     2474.32739      2474.31956         66.4724          1.4653         15.8834          0.0239          0.3880          0.5187       -0.981891        1.465349
     2474.33434      2474.32651         72.3672          1.4623         15.7911          0.0219         -1.8876          0.5187        0.213688        1.462269
     2474.34128      2474.33345         72.5775          1.4653         15.7880          0.0219         -1.3306          0.5187        2.765210        1.465321
     2474.34823      2474.34040         65.1159          1.4616         15.9058          0.0244          2.1054          0.5718        0.822357        1.461567
     2474.35517      2474.34734         61.8808          1.4637         15.9611          0.0257         -0.7124          0.5857       -1.557769        1.463659
     2474.36212      2474.35429         66.0701          1.4701         15.8900          0.0242          1.4675          0.5718        0.166123        1.470083
