# reference_flux:          8.4630
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2474.17490      2474.16679          7.0894          1.4982         18.3135          0.2294         -0.4348         -0.4836        0.483011        1.498153
     2474.18184      2474.17373          3.8480          1.4775         18.8234         99.9000         -3.9029         -0.4836       -0.065566        1.477469
     2474.18879      2474.18068          3.1905          1.4409         18.8506         99.9000         -1.0191         -0.3825       -0.483643        1.440945
     2474.19573      2474.18762          5.2420          1.4144         18.6413          0.2929         -0.9558         -0.4011        1.610376        1.414360
     2474.20268      2474.19456          5.5100          1.4056         18.5871          0.2770         -2.1989         -0.3825       -0.310410        1.405643
     2474.20962      2474.20151          9.0622          1.3502         18.0469          0.1618         -0.4085         -0.3825        0.411628        1.350235
     2474.21657      2474.20845          9.6402          1.2828         17.9798          0.1445         -2.8289         -0.4011        0.171534        1.282755
     2474.22351      2474.21540          8.1654          1.3055         18.1601          0.1736          0.6476         -0.4011        0.989288        1.305471
     2474.23046      2474.22234          4.4475          1.2735         18.8197          0.3109          0.3345         -0.3825       -1.685219        1.273473
     2474.23740      2474.22929          6.6591          1.2648         18.3815          0.2062         -1.7584         -0.3104       -1.260830        1.264758
     2474.24435      2474.23623         11.6650          1.2977         17.7728          0.1208          1.2771         -0.3825       -0.679858        1.297733
     2474.25129      2474.24318          3.7278          1.2590         18.9971         99.9000         -1.3698         -0.3825       -1.620084        1.258986
     2474.25824      2474.25012          7.7263          1.2866         18.2201          0.1808         -0.3515         -0.3825       -1.304577        1.286620
     2474.26518      2474.25706          4.7274          1.2678         18.7534          0.2912          0.3069         -0.3104        0.020472        1.267826
     2474.27213      2474.26401         10.2654          1.2658         17.9116          0.1339          0.5843         -0.3104        1.887850        1.265830
     2474.27907      2474.27095          9.1605          1.2836         18.0352          0.1521          0.2824         -0.1328       -0.684477        1.283643
     2474.28602      2474.27790          8.6379          1.2608         18.0990          0.1585         -2.3148         -0.0656       -0.724084        1.260777
     2474.29296      2474.28484          8.6594          1.2747         18.0963          0.1598         -0.0050         -0.1328        1.247623        1.274744
     2474.29991      2474.29179          7.4152          1.2660         18.2647          0.1854         -0.0963         -0.1328       -0.382528        1.266036
     2474.30685      2474.29873          6.5565          1.2686         18.3983          0.2101         -2.0669         -0.3104       -0.487950        1.268632
     2474.31380      2474.30568          6.1524          1.2679         18.4674          0.2237          0.6357         -0.3104       -0.672437        1.267899
     2474.32074      2474.31262          8.2930          1.2660         18.1432          0.1658         -0.3499         -0.3104        1.332424        1.266015
     2474.32769      2474.31956          3.0534          1.2841         18.9757         99.9000         -0.1080         -0.3104       -1.368510        1.284124
     2474.33463      2474.32651          5.2046          1.2764         18.6490          0.2663         -0.5399         -0.3104       -0.600655        1.276361
     2474.34158      2474.33345          7.2825          1.2773         18.2843          0.1904         -1.5368         -0.3104       -0.551372        1.277257
     2474.34852      2474.34040          8.6753          1.2719         18.0943          0.1592          2.0929         -0.3104        0.374845        1.271915
     2474.35547      2474.34734          5.6898          1.2677         18.5523          0.2419         -0.7586         -0.3104       -0.401085        1.267697
     2474.36241      2474.35429          7.9008          1.2718         18.1958          0.1748          0.3691         -0.1328        0.378292        1.271818
     2474.36936      2474.36123          4.9832          1.2882         18.6962          0.2807          1.1057         -0.1328       -1.880304        1.288180
     2474.37630      2474.36818          0.9207          1.2761         18.9825         99.9000          1.0487          0.0205       -0.410739        1.276068
     2474.38324      2474.37512          8.3233          1.2664         18.1393          0.1652         -1.0975         -0.1328        1.010909        1.266371
     2474.39019      2474.38206          7.2356          1.2659         18.2913          0.1900         -0.4345         -0.1328        1.747709        1.265883
     2474.39713      2474.38901          5.3002          1.2699         18.6293          0.2601         -0.7115         -0.1728        0.052653        1.269928
     2474.40408      2474.39595          3.7002          1.2555         19.0001         99.9000          0.1277         -0.1328       -3.367158        1.255520
     2474.41102      2474.40290          8.8942          1.2686         18.0672          0.1549         -1.1010          0.0205        1.278082        1.268636
     2474.41797      2474.40984          5.5753          1.2622         18.5743          0.2458         -1.1813          0.0527       -2.962426        1.262154
     2474.42491      2474.41679          8.8791          1.2740         18.0691          0.1558          2.9109          0.0527        1.390197        1.274005
     2474.43186      2474.42373          7.1992          1.2650         18.2968          0.1908         -0.0637          0.0622       -0.132824        1.265037
     2474.43880      2474.43068          9.6439          1.2545         17.9794          0.1412         -1.0962          0.0622        0.568289        1.254459
     2474.44575      2474.43762          6.1869          1.2588         18.4613          0.2209         -1.1333          0.0527        0.699122        1.258847
     2474.45269      2474.44456          6.3956          1.2563         18.4253          0.2133          1.2224          0.0527       -0.327627        1.256315
     2474.45964      2474.45151          6.9258          1.2709         18.3388          0.1992          0.7125          0.0622        0.406250        1.270923
     2474.46658      2474.45845          5.7152          1.3115         18.5474          0.2491         -0.6038          0.0527       -1.816731        1.311473
     2474.47353      2474.46540          2.7499          1.2748         18.9836         99.9000          1.1176          0.0622       -2.575586        1.274829
     2474.48047      2474.47234          8.8894          1.2960         18.0678          0.1583          0.2404          0.1356        2.210218        1.296021
     2474.48742      2474.47929          5.2208          1.2712         18.6457          0.2644          0.8370          0.1718       -3.686998        1.271207
     2474.49436      2474.48623          9.0772          1.2512         18.0451          0.1497         -0.6004          0.1356        1.028100        1.251205
     2474.50131      2474.49318          7.8396          1.2578         18.2043          0.1742          0.5603          0.1356        0.621899        1.257824
     2474.50825      2474.50012          6.9714          1.2574         18.3317          0.1958         -1.2629          0.1356        0.062248        1.257418
     2474.51520      2474.50706         11.3069          1.2550         17.8066          0.1205         -2.4972          0.1718        2.016219        1.254956
     2474.52214      2474.51401          5.9821          1.2554         18.4979          0.2278          0.8747          0.1718        0.322315        1.255384
     2474.52909      2474.52095         10.9038          1.2539         17.8461          0.1249         -0.6927          0.1718        1.557651        1.253949
     2474.53603      2474.52790          8.1628          1.2511         18.1604          0.1664          0.8855          0.1718        1.441955        1.251110
     2474.54298      2474.53484          5.1185          1.2485         18.6672          0.2648         -0.0671          0.2977       -0.172765        1.248459
     2474.54992      2474.54179          7.5037          1.2533         18.2518          0.1813          0.3954          0.2977        0.135581        1.253309
     2474.55687      2474.54873          2.4234          1.2487         19.0060         99.9000         -1.2356          0.2977       -0.296980        1.248736
     2474.56381      2474.55568         10.5100          1.2585         17.8860          0.1300         -1.4227          0.1718        1.371738        1.258547
     2474.57076      2474.56262          7.8892          1.2548         18.1974          0.1727         -2.1252          0.2977        0.297699        1.254761
     2474.57770      2474.56956          7.9374          1.2566         18.1908          0.1719          0.1301          0.2977        0.171770        1.256640
     2474.58465      2474.57651          6.8984          1.2494         18.3431          0.1966         -0.2429          0.1718       -0.359914        1.249376
     2474.59159      2474.58345          4.5757          1.2552         18.7888          0.2978         -0.6720          0.2977        0.332099        1.255247
     2474.59854      2474.59040          7.5559          1.2546         18.2443          0.1803         -0.8318          0.2977       -0.134060        1.254552
     2474.60548      2474.59734          4.3936          1.2554         18.8329          0.3102         -0.9424          0.2977       -1.254150        1.255410
     2474.61243      2474.60429          6.2103          1.2601         18.4572          0.2203          1.2345          0.1718       -0.981654        1.260052
     2474.61937      2474.61123         15.2353          1.2568         17.4829          0.0896         -0.8356          0.1718        0.660754        1.256769
     2474.62631      2474.61818          8.9842          1.2597         18.0563          0.1522         -1.5105          0.1718       -1.301156        1.259656
     2474.63326      2474.62512          6.5670          1.2416         18.3966          0.2053         -0.0843          0.1356        0.588745        1.241649
     2474.64020      2474.63206          8.6280          1.2570         18.1002          0.1582          0.7722          0.1718        0.810888        1.257004
     2474.64715      2474.63901          8.2450          1.2530         18.1495          0.1650         -1.7877          0.1718        2.287352        1.253047
     2474.65409      2474.64595          5.8030          1.2624         18.5309          0.2362         -0.9992          0.1356       -1.553622        1.262382
     2474.66104      2474.65290          6.3765          1.2478         18.4285          0.2125         -1.7133          0.1718       -1.314894        1.247769
     2474.66798      2474.65984          5.5700          1.2674         18.5754          0.2470         -1.0547          0.1718        0.025296        1.267388
     2474.67493      2474.66679          6.1166          1.2524         18.4737          0.2223         -1.0675          0.1356        0.491582        1.252432
     2474.68187      2474.67373         10.2741          1.2583         17.9106          0.1330         -0.6635          0.1718        1.050248        1.258262
     2474.68882      2474.68068          6.3308          1.2540         18.4364          0.2151         -1.3639          0.1718       -0.127324        1.254022
     2474.69576      2474.68762          6.3113          1.2572         18.4397          0.2163          0.5195          0.1718        2.542755        1.257203
     2474.70271      2474.69456          7.7832          1.2473         18.2121          0.1740          0.2551          0.1356        0.570745        1.247303
     2474.70965      2474.70151          6.5777          1.2546         18.3948          0.2071         -1.8986          0.1356       -1.384599        1.254593
     2474.71660      2474.70845          8.2862          1.2502         18.1441          0.1638         -1.3729          0.1718        0.317499        1.250247
     2474.72354      2474.71540          6.2679          1.2468         18.4472          0.2160         -1.7859          0.1718       -0.469787        1.246826
     2474.73049      2474.72234         11.7067          1.2701         17.7689          0.1178         -1.1632          0.2423        1.771553        1.270146
     2474.73743      2474.72929          4.9620          1.2422         18.7009          0.2718         -1.2225          0.1718       -1.282921        1.242248
     2474.74438      2474.73623          7.8908          1.2531         18.1972          0.1724         -0.9483          0.1718       -1.762142        1.253060
     2474.75132      2474.74318          8.6834          1.2563         18.0933          0.1571         -0.8736          0.2423        1.852214        1.256312
     2474.75827      2474.75012          8.7752          1.2464         18.0819          0.1542         -0.8840          0.3175        0.338685        1.246354
     2474.76521      2474.75706          6.6828          1.2492         18.3776          0.2030         -0.4287          0.3175       -0.990736        1.249204
     2474.77216      2474.76401          3.3333          1.2593         18.9969         99.9000         -0.4430          0.3175       -0.303417        1.259325
     2474.77910      2474.77095         10.6926          1.2512         17.8673          0.1270         -0.9233          0.3175        0.716756        1.251161
     2474.78605      2474.77790          4.2052          1.2433         18.8805          0.3210         -0.3563          0.3175       -0.663591        1.243301
     2474.79299      2474.78484          7.9731          1.2538         18.1859          0.1707         -0.4891          0.2423       -0.212635        1.253770
     2474.79994      2474.79179          9.6735          1.2426         17.9760          0.1395         -0.2669          0.3175        1.865300        1.242631
     2474.80688      2474.79873          6.8877          1.2428         18.3448          0.1959         -0.1838          0.3175       -2.126089        1.242777
     2474.81383      2474.80568          6.7742          1.2421         18.3629          0.1991          0.1351          0.3175        0.038932        1.242091
     2474.82077      2474.81262          6.7130          1.2412         18.3727          0.2007         -0.3686          0.3175        0.242278        1.241183
     2474.82772      2474.81956          7.6357          1.2471         18.2329          0.1773         -1.0341          0.3387        1.378742        1.247055
     2474.83466      2474.82651          6.9908          1.2420         18.3287          0.1929          1.1284          0.3387       -0.432324        1.242045
     2474.84161      2474.83345          9.0404          1.2471         18.0495          0.1498          0.9458          0.3387        2.442547        1.247145
     2474.84855      2474.84040          4.6820          1.2494         18.7639          0.2897          1.6601          0.3387        1.881548        1.249431
     2474.85550      2474.84734         11.3421          1.2515         17.8033          0.1198          1.5701          0.3175        3.727951        1.251498
     2474.86244      2474.85429          7.6615          1.2445         18.2292          0.1764         -0.8235          0.3387       -0.874038        1.244523
     2474.86939      2474.86123          9.5973          1.2458         17.9846          0.1409         -1.5881          0.3387        0.869623        1.245829
     2474.87633      2474.86818          7.4819          1.2446         18.2550          0.1806         -0.9343          0.3175        1.979962        1.244569
     2474.88328      2474.87512          9.8390          1.2463         17.9576          0.1375         -0.4695          0.3175       -0.232614        1.246347
     2474.89022      2474.88206          6.7619          1.2471         18.3648          0.2002         -0.7370          0.2839        0.404940        1.247138
     2474.89717      2474.88901          7.0460          1.2526         18.3201          0.1930         -0.5959          0.3387       -0.328456        1.252646
