# reference_flux:         55.0087
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2500.19634      2500.18759         55.5265          2.2884         16.0787          0.0447        -50.0463         -1.0981       -1.690758        2.288404
     2500.20328      2500.19454         51.8527          2.2799         16.1531          0.0477        -53.3111         -1.0981       -0.778666        2.279904
     2500.21023      2500.20148         49.5128          2.2649         16.2032          0.0497        -43.7356         -1.0981       -3.687563        2.264912
     2500.21717      2500.20842         49.5060          2.2325         16.2034          0.0490        -62.1291         -1.3715       -3.243332        2.232483
     2500.22412      2500.21537         46.9351          2.2222         16.2613          0.0514        -45.1044         -1.0981       -4.374771        2.222196
     2500.23106      2500.22231         44.3590          2.2262         16.3225          0.0545        -67.5340         -1.0981        0.249923        2.226187
     2500.23801      2500.22926         46.1698          2.2053         16.2791          0.0519        -57.8226         -1.3233        1.643703        2.205310
     2500.24495      2500.23620         48.5573          2.1901         16.2244          0.0490        -60.1128         -1.3715       -4.964956        2.190128
     2500.25190      2500.24315         43.8931          2.1797         16.3340          0.0539        -55.9924         -1.3715       -1.554278        2.179654
     2500.25884      2500.25009         53.8047          2.1628         16.1129          0.0436        -40.1391         -1.3715       -1.909097        2.162803
     2500.26578      2500.25704         40.7790          2.1419         16.4139          0.0570        -54.3041         -1.3715       -0.223116        2.141893
     2500.27273      2500.26398         47.7158          2.1343         16.2433          0.0486        -53.2130         -1.3715        3.090839        2.134305
     2500.27967      2500.27092         55.4501          2.1119         16.0802          0.0414        -52.6312         -1.3715       -1.098123        2.111949
     2500.28662      2500.27787         53.2378          2.0918         16.1245          0.0427        -48.4982         -1.4715        0.578276        2.091837
     2500.29356      2500.28481         53.1260          2.0810         16.1267          0.0425        -49.2277         -1.4715       -4.001875        2.081035
     2500.30051      2500.29176         43.7970          2.0775         16.3364          0.0515        -44.9549         -1.3715       -2.169125        2.077458
     2500.30745      2500.29870         56.8637          2.0609         16.0529          0.0393        -42.1725         -1.3646        0.841624        2.060874
     2500.31440      2500.30565         51.3833          2.0250         16.1629          0.0428        -40.8326         -1.3233        1.476360        2.024979
     2500.32134      2500.31259         45.5921          2.0021         16.2928          0.0477        -39.0170         -1.3233        1.138787        2.002052
     2500.32829      2500.31954         50.0197          1.9875         16.1921          0.0431        -40.0268         -1.3233       -1.556158        1.987521
     2500.33523      2500.32648         53.0865          1.9650         16.1275          0.0402        -38.4980         -1.0981       -1.371510        1.965028
     2500.34218      2500.33342         48.8856          1.9765         16.2170          0.0439        -25.5730         -1.0754        2.313925        1.976546
     2500.34912      2500.34037         50.7974          1.9545         16.1754          0.0418        -30.7025         -1.0754        1.327306        1.954506
     2500.35607      2500.34731         44.7733          1.9258         16.3125          0.0467        -26.1259         -1.0981       -0.179442        1.925773
     2500.36301      2500.35426         49.7384          1.9158         16.1983          0.0418        -28.1610         -1.0754       -3.113493        1.915763
     2500.36996      2500.36120         51.2524          1.9016         16.1657          0.0403        -27.0694         -1.0754        1.436008        1.901616
     2500.37690      2500.36815         44.5326          1.8919         16.3183          0.0461        -25.1588         -1.0754       -3.461066        1.891881
     2500.38384      2500.37509         55.8930          1.8849         16.0716          0.0366        -26.3770         -1.0210        1.829319        1.884870
     2500.39079      2500.38204         49.6298          1.8784         16.2006          0.0411        -25.5804         -1.0210       -1.323256        1.878432
     2500.39773      2500.38898         50.3120          1.8591         16.1858          0.0401        -25.7179         -0.9221       -1.471539        1.859126
     2500.40468      2500.39592         49.4443          1.8525         16.2047          0.0407        -24.4254         -1.0210       -1.536377        1.852459
     2500.41162      2500.40287         51.6357          1.8807         16.1576          0.0395        -25.9706         -1.0210       -1.075447        1.880677
     2500.41857      2500.40981         44.1664          1.9853         16.3273          0.0488        -34.0596         -0.9221       -4.325553        1.985276
     2500.42551      2500.41676         46.9804          1.9742         16.2602          0.0456        -31.9181         -0.7628       -3.375076        1.974232
     2500.43246      2500.42370         47.5582          1.9673         16.2469          0.0449        -23.2745         -0.7628        1.747217        1.967253
     2500.43940      2500.43065         52.4781          1.9641         16.1401          0.0406        -20.6712         -0.7628       -1.364557        1.964068
     2500.44635      2500.43759         51.9398          1.9534         16.1512          0.0408        -22.9462         -0.9221       -2.426213        1.953381
     2500.45329      2500.44454         52.2068          1.9429         16.1457          0.0404        -18.2907         -0.7745        1.669153        1.942864
     2500.46024      2500.45148         55.7201          1.9274         16.0750          0.0376        -19.2718         -0.9221        3.101125        1.927400
     2500.46718      2500.45842         56.7304          1.9087         16.0555          0.0365        -19.0439         -0.7745        0.941401        1.908728
     2500.47413      2500.46537         51.8296          1.9058         16.1536          0.0399        -18.9137         -0.7745       -1.021011        1.905772
     2500.48107      2500.47231         59.4612          1.8850         16.0044          0.0344        -17.5266         -0.7745        3.111022        1.884951
     2500.48802      2500.47926         55.9602          1.8702         16.0703          0.0363        -14.8092         -0.7745        0.351413        1.870166
     2500.49496      2500.48620         53.8364          1.8556         16.1123          0.0374        -14.5750         -0.9221        1.994601        1.855641
     2500.50191      2500.49315         56.5777          1.8343         16.0584          0.0352        -14.8914         -0.9221        1.170499        1.834262
     2500.50885      2500.50009         53.2309          1.8326         16.1246          0.0374        -13.2719         -0.9221       -1.511658        1.832570
     2500.51579      2500.50704         51.9258          1.8201         16.1515          0.0381        -14.6077         -0.9221       -2.368474        1.820116
     2500.52274      2500.51398         56.5953          1.8150         16.0580          0.0348        -13.9666         -0.9221       -0.922064        1.814975
     2500.52968      2500.52092         57.1650          1.7979         16.0472          0.0341        -12.4608         -1.0210       -3.822952        1.797897
     2500.53663      2500.52787         55.8292          1.7891         16.0728          0.0348         -9.2647         -1.0210       -0.229377        1.789115
     2500.54357      2500.53481         56.4388          1.7966         16.0611          0.0346          0.6884         -1.0210       -0.635513        1.796608
     2500.55052      2500.54176         50.5806          1.7789         16.1800          0.0382         -3.2131         -0.9221       -1.295570        1.778891
     2500.55746      2500.54870         53.7248          1.7699         16.1146          0.0358          1.3026         -0.9221        1.639249        1.769883
     2500.56441      2500.55565         51.3784          1.7276         16.1630          0.0365         -1.2894         -0.8893       -1.791627        1.727601
     2500.57135      2500.56259         59.1453          1.7452         16.0102          0.0320          0.7541         -0.8893        2.737079        1.745215
     2500.57830      2500.56954         49.6424          1.7305         16.2004          0.0378          5.6319         -0.8893       -0.762846        1.730461
     2500.58524      2500.57648         51.1815          1.7160         16.1672          0.0364          4.2317         -0.7745        0.775172        1.716038
     2500.59219      2500.58342         53.4631          1.6930         16.1199          0.0344          2.8493         -0.7745       -2.129839        1.692955
     2500.59913      2500.59037         49.0938          1.6686         16.2124          0.0369          3.6979         -0.7745        2.359196        1.668628
     2500.60608      2500.59731         45.9968          1.6568         16.2832          0.0391          2.1495         -0.8893       -3.424145        1.656841
     2500.61302      2500.60426         52.0627          1.6512         16.1487          0.0344          1.4129         -0.8893       -0.774471        1.651158
     2500.61997      2500.61120         56.0741          1.6314         16.0681          0.0316          2.5671         -0.8893       -1.080168        1.631417
     2500.62691      2500.61815         55.8269          1.6309         16.0729          0.0317          2.4088         -0.9221        0.807394        1.630918
     2500.63386      2500.62509         48.0653          1.6252         16.2354          0.0367          0.3810         -0.9221       -2.235870        1.625174
     2500.64080      2500.63204         52.4516          1.6334         16.1406          0.0338          1.5372         -1.0210        0.507652        1.633430
     2500.64775      2500.63898         50.2851          1.6188         16.1864          0.0350          0.3424         -1.0320       -0.654517        1.618793
     2500.65469      2500.64592         52.7972          1.6166         16.1335          0.0332         -0.4380         -1.0802       -1.776630        1.616594
     2500.66163      2500.65287         50.0698          1.6170         16.1911          0.0351          3.8834         -1.0802       -2.600713        1.617046
     2500.66858      2500.65981         50.3770          1.6178         16.1844          0.0349          0.7911         -1.2319       -3.319608        1.617805
     2500.67552      2500.66676         55.3903          1.6248         16.0814          0.0318          1.5302         -1.2319       -0.422978        1.624791
     2500.68247      2500.67370         49.9096          1.6069         16.1945          0.0350          2.8331         -1.0802        0.184725        1.606882
     2500.68941      2500.68065         51.9835          1.6166         16.1503          0.0338          0.5193         -1.0802       -3.256771        1.616630
     2500.69636      2500.68759         48.3820          1.6167         16.2283          0.0363          1.9069         -1.0802       -2.384401        1.616724
     2500.70330      2500.69454         48.4307          1.6212         16.2272          0.0363          2.5445         -1.0802        0.198959        1.621176
     2500.71025      2500.70148         52.6516          1.6164         16.1365          0.0333          2.2917         -1.2319        0.786972        1.616373
     2500.71719      2500.70842         53.8601          1.6165         16.1118          0.0326          0.9173         -1.2956        0.646171        1.616541
     2500.72414      2500.71537         47.4921          1.6196         16.2484          0.0370          2.1765         -1.2319       -0.889255        1.619596
     2500.73108      2500.72231         53.2606          1.6189         16.1240          0.0330          0.5437         -1.3955       -1.231945        1.618940
     2500.73803      2500.72926         46.3778          1.6118         16.2742          0.0377          0.1492         -1.2319       -3.625423        1.611834
     2500.74497      2500.73620         56.3812          1.6250         16.0622          0.0313         -1.0397         -1.2319        1.954108        1.625035
     2500.75192      2500.74315         47.0792          1.6178         16.2579          0.0373          2.0546         -1.2319       -4.484757        1.617789
     2500.75886      2500.75009         49.5222          1.6191         16.2030          0.0355          1.5017         -1.3955       -1.654825        1.619128
     2500.76580      2500.75704         48.8866          1.6141         16.2170          0.0358          2.0986         -1.2319       -2.654436        1.614097
     2500.77275      2500.76398         48.9915          1.6205         16.2147          0.0359          1.0616         -1.3955       -3.571802        1.620510
     2500.77969      2500.77092         47.8014          1.6215         16.2414          0.0368          0.9749         -1.2319       -1.395512        1.621522
     2500.78664      2500.77787         46.7852          1.6234         16.2647          0.0377          2.5400         -1.3955       -5.157515        1.623354
     2500.79358      2500.78481         49.5516          1.6201         16.2024          0.0355          3.0978         -1.3955       -0.530877        1.620111
     2500.80053      2500.79176         52.0478          1.6231         16.1490          0.0339          3.4180         -1.5988       -1.031987        1.623135
     2500.80747      2500.79870         52.5232          1.6257         16.1391          0.0336          0.6218         -1.5988       -1.866012        1.625694
     2500.81442      2500.80565         49.9340          1.6183         16.1940          0.0352         -0.8230         -1.5988       -2.329307        1.618345
     2500.82136      2500.81259         54.3400          1.6206         16.1022          0.0324          1.3385         -1.6548       -0.772786        1.620596
     2500.82831      2500.81954         48.5510          1.6236         16.2245          0.0363          2.7907         -1.5988       -3.562676        1.623633
     2500.83525      2500.82648         52.9322          1.6212         16.1307          0.0333          3.4178         -1.3955       -0.897080        1.621230
     2500.84220      2500.83342         51.2931          1.6239         16.1649          0.0344          2.4755         -1.3308       -0.254423        1.623890
     2500.84914      2500.84037         50.2354          1.6179         16.1875          0.0350          0.1145         -1.3955       -2.819840        1.617857
     2500.85609      2500.84731         51.2566          1.6158         16.1656          0.0342          0.2329         -1.3955       -0.490114        1.615823
     2500.86303      2500.85426         48.9964          1.6162         16.2146          0.0358          0.6437         -1.3308       -2.974920        1.616231
     2500.86998      2500.86120         51.9941          1.6194         16.1501          0.0338          0.9826         -1.2732       -1.598806        1.619386
     2500.87692      2500.86815         49.5670          1.6110         16.2020          0.0353          3.5949         -1.3308       -4.400870        1.610996
     2500.88387      2500.87509         51.3958          1.6198         16.1627          0.0342          2.7414         -1.3955       -0.112568        1.619767
     2500.89081      2500.88204         47.3545          1.6177         16.2516          0.0371          2.3166         -1.5988       -7.263868        1.617656
     2500.89776      2500.88898         52.2267          1.6186         16.1453          0.0336         -1.2276         -1.6548        0.239313        1.618632
     2500.90470      2500.89592         56.6124          1.6203         16.0577          0.0311          0.6498         -1.6548       -0.499339        1.620340
     2500.91164      2500.90287         53.2728          1.6162         16.1237          0.0329         -1.9279         -1.6548        1.202186        1.616242
     2500.91859      2500.90981         55.8571          1.6278         16.0723          0.0316         -0.2195         -1.6548       -1.913732        1.627753
     2500.92553      2500.91676         50.4515          1.6128         16.1828          0.0347         -0.8204         -1.6548       -0.490973        1.612793
     2500.93248      2500.92370         49.4574          1.6230         16.2044          0.0356          0.1060         -1.5988       -1.703697        1.623020
     2500.93942      2500.93065         52.6134          1.6204         16.1373          0.0334          1.0926         -1.5073        0.599142        1.620362
     2500.94637      2500.93759         49.0103          1.6241         16.2143          0.0360          0.4494         -1.5073       -2.331865        1.624106
     2500.95331      2500.94454         51.1753          1.6196         16.1673          0.0344          2.2967         -1.5073       -0.190823        1.619601
     2500.96026      2500.95148         50.2946          1.6187         16.1862          0.0349          1.0613         -1.5073       -2.731773        1.618699
     2500.96720      2500.95842         49.0265          1.6177         16.2139          0.0358          3.1826         -1.5073       -4.250529        1.617687
     2500.97415      2500.96537         48.3904          1.6132         16.2281          0.0362          2.3105         -1.5073       -1.330763        1.613157
     2500.98109      2500.97231         53.6439          1.6159         16.1162          0.0327          0.9138         -1.5073       -3.485799        1.615938
     2500.98804      2500.97926         53.6612          1.6225         16.1158          0.0328          0.0695         -1.4147        0.788273        1.622493
     2500.99498      2500.98620         52.1330          1.6217         16.1472          0.0338          2.1272         -1.4147        0.659617        1.621720
     2501.00193      2500.99315         57.9935          1.6184         16.0316          0.0303         -0.1289         -1.3308        2.047600        1.618380
     2501.00887      2501.00009         49.9082          1.6141         16.1946          0.0351          0.7043         -1.4147       -2.035048        1.614096
     2501.01581      2501.00704         51.3974          1.6201         16.1626          0.0342          0.6113         -1.4147        0.174850        1.620087
     2501.02276      2501.01398         49.1774          1.6188         16.2106          0.0357          2.0425         -1.4147       -0.124934        1.618789
     2501.02970      2501.02092         53.4189          1.6135         16.1208          0.0328          1.9164         -1.5073       -1.273154        1.613524
     2501.03665      2501.02787         49.9972          1.6203         16.1926          0.0352          2.5204         -1.4147       -3.079738        1.620293
     2501.04359      2501.03481         52.3836          1.6212         16.1420          0.0336          0.3892         -1.4147       -2.608737        1.621209
     2501.05054      2501.04176         48.3721          1.6213         16.2285          0.0364          4.5171         -1.3308       -3.295763        1.621280
     2501.05748      2501.04870         45.2504          1.6253         16.3009          0.0390          3.6080         -1.3308       -4.046412        1.625279
     2501.06443      2501.05565         50.8384          1.6185         16.1745          0.0346          0.3789         -1.2732        2.038012        1.618522
     2501.07137      2501.06259         52.2575          1.6178         16.1446          0.0336          2.3055         -1.2732       -2.282832        1.617778
     2501.07832      2501.06954         54.1492          1.6264         16.1060          0.0326          4.1635         -1.2732        0.384548        1.626449
     2501.08526      2501.07648         48.9566          1.6216         16.2155          0.0360         -0.2086         -1.3308       -3.809880        1.621642
     2501.09221      2501.08342         59.6958          1.6168         16.0001          0.0294         -0.2334         -1.2732       -1.507335        1.616824
     2501.09915      2501.09037         52.6516          1.6116         16.1365          0.0332         -0.2602         -1.2732       -1.414720        1.611563
     2501.10610      2501.09731         49.3554          1.6198         16.2067          0.0356          2.5725         -1.0159       -3.101254        1.619847
     2501.11304      2501.10426         51.8033          1.6174         16.1541          0.0339          2.2210         -1.0159        1.565213        1.617398
     2501.11999      2501.11120         51.6680          1.6143         16.1569          0.0339          1.1601         -1.0159       -2.554666        1.614257
     2501.12693      2501.11815         50.6513          1.6124         16.1785          0.0346          0.8008         -1.2732        0.739348        1.612368
     2501.13388      2501.12509         54.6841          1.6180         16.0953          0.0321          4.5465         -1.2732        0.473117        1.617995
     2501.14082      2501.13204         54.5295          1.6207         16.0984          0.0323         -0.5955         -1.2732       -2.550538        1.620675
