# reference_flux:         84.4723
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2500.19234      2500.18760         81.9226          2.8895         15.6565          0.0383        -22.7182         -0.5522       -1.246947        2.889514
     2500.19928      2500.19454         81.4514          2.8493         15.6628          0.0380        -20.3782         -0.5522       -1.033504        2.849336
     2500.20623      2500.20149         86.0370          2.7648         15.6033          0.0349        -19.5860         -0.5522        1.564959        2.764757
     2500.21317      2500.20843         81.5273          2.7270         15.6617          0.0363        -16.4443         -0.5522        0.856550        2.726953
     2500.22012      2500.21538         79.5295          2.7080         15.6887          0.0370        -21.6312         -0.5522       -5.072815        2.708022
     2500.22706      2500.22232         78.3823          2.6932         15.7045          0.0373        -15.8616         -0.5522        0.945898        2.693231
     2500.23401      2500.22926         86.3058          2.6530         15.5999          0.0334        -16.2658         -0.5522       -0.552172        2.653019
     2500.24095      2500.23621         83.0967          2.6703         15.6410          0.0349        -12.6960         -0.5522       -2.256290        2.670254
     2500.24790      2500.24315         83.9392          2.6165         15.6301          0.0338        -12.7630         -0.5522       -3.223507        2.616545
     2500.25484      2500.25010         85.3449          2.5718         15.6121          0.0327        -11.4858         -0.2760        0.411989        2.571811
     2500.26179      2500.25704         77.6174          2.5743         15.7151          0.0360         -4.6345         -0.1966        2.673989        2.574346
     2500.26873      2500.26399         72.7847          2.5085         15.7849          0.0374         -6.5239         -0.1966       -6.934703        2.508488
     2500.27568      2500.27093         75.6254          2.5265         15.7433          0.0363         -3.4683         -0.1966       -2.170193        2.526489
     2500.28262      2500.27788         78.8015          2.4743         15.6987          0.0341         -6.0863         -0.1734       -4.220714        2.474332
     2500.28957      2500.28482         86.2038          2.4854         15.6012          0.0313         -7.2864         -0.1734       -1.799751        2.485415
     2500.29651      2500.29176         84.3252          2.4344         15.6251          0.0313         -8.6327         -0.1734       -1.264497        2.434354
     2500.30346      2500.29871         79.1906          2.4426         15.6933          0.0335         -6.3160          0.0371       -0.275996        2.442566
     2500.31040      2500.30565         79.1790          2.3974         15.6935          0.0329         -7.3428          0.1631       -3.872430        2.397409
     2500.31735      2500.31260         86.3206          2.1467         15.5997          0.0270         -8.6457          0.1631        0.370531        2.146716
     2500.32429      2500.31954         86.0372          2.2256         15.6033          0.0281        -10.3866          0.0371        3.852780        2.225633
