# reference_flux:       -108.9562
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2500.19136      2500.18760         12.1493          2.2776         17.7286          0.2035       -172.1289          3.3442       12.392555        2.277633
     2500.19830      2500.19454          8.3580          2.2287         18.1347          0.2895       -162.2101          3.3442        6.824532        2.228650
     2500.20525      2500.20149          2.5242          2.1232         18.4297         99.9000       -155.2102          3.3442        3.280736        2.123198
     2500.21219      2500.20843          6.8246          2.1389         18.3548          0.3403       -151.7114          3.3442        3.868451        2.138879
     2500.21914      2500.21538          7.4015          2.1582         18.2667          0.3166       -129.8762          3.3442        6.366663        2.158197
     2500.22608      2500.22232          2.9250          2.1483         18.4170         99.9000       -136.8565          3.3442        3.639658        2.148272
     2500.23303      2500.22926          4.2408          2.1614         18.4104         99.9000       -137.8491          3.2807        3.828752        2.161370
     2500.23997      2500.23621          8.2289          2.0916         18.1517          0.2760       -106.9699          3.2807        8.425593        2.091562
     2500.24692      2500.24315          4.4670          2.1225         18.4301         99.9000       -118.9739          3.2807        1.324554        2.122510
     2500.25386      2500.25010          5.5332          2.0875         18.4481         99.9000       -118.1358          3.2807        6.270759        2.087545
     2500.26081      2500.25704          6.5171          2.0788         18.4049          0.3463       -117.1251          3.2807        6.184632        2.078842
     2500.26775      2500.26399         -2.9245          2.0365         18.4750         99.9000       -106.0668          3.2807        0.973333        2.036501
     2500.27470      2500.27093          2.5579          2.2248         18.3790         99.9000       -107.0076          2.8752        3.779061        2.224831
     2500.28164      2500.27788          6.4710          2.1862         18.3980         99.9000       -114.5657          2.8752        2.803965        2.186233
     2500.28859      2500.28482          3.2673          2.1464         18.4179         99.9000       -104.5225          2.8040        3.609418        2.146447
     2500.29553      2500.29176          3.0815          2.1247         18.4289         99.9000       -100.5441          2.8040        1.132824        2.124720
     2500.30248      2500.29871         -3.1852          2.1084         18.4373         99.9000        -89.4132          2.8040       -3.065418        2.108375
     2500.30942      2500.30565         -2.8824          2.0610         18.4620         99.9000        -91.8152          2.3572        1.245441        2.061031
     2500.31637      2500.31260          2.6941          2.0433         18.4714         99.9000        -78.6786          2.1343        5.500906        2.043297
     2500.32331      2500.31954          2.4081          2.0335         18.4766         99.9000        -74.0083          2.0415        3.344184        2.033484
     2500.33026      2500.32649          0.3094          2.0388         18.4737         99.9000        -74.3991          1.7884        1.788403        2.038829
     2500.33720      2500.33343         -4.9228          2.0389         18.4737         99.9000        -64.8002          1.6762        2.357172        2.038910
     2500.34415      2500.34038         -0.3550          2.0371         18.4747         99.9000        -67.9859          1.6247        2.041548        2.037056
     2500.35109      2500.34732          1.1094          1.8826         18.5603         99.9000        -52.3409          1.5501        2.134314        1.882638
     2500.35804      2500.35426         -7.5217          1.8163         18.5992         99.9000        -43.0808          1.5172       -4.761574        1.816268
     2500.36498      2500.36121         -4.1602          2.0640         18.4604         99.9000        -57.6198          1.5158       -0.702218        2.063999
     2500.37193      2500.36815         -4.9160          1.9936         18.4981         99.9000        -50.7326          1.3246        1.676222        1.993592
     2500.37887      2500.37510        -11.8924          1.9928         18.4985         99.9000        -50.0178          1.2454       -0.631918        1.992842
     2500.38582      2500.38204         -4.1508          1.7543         18.6370         99.9000        -36.6737          1.2454        0.129469        1.754271
     2500.39276      2500.38899         -3.1365          1.7478         18.6410         99.9000        -30.4416          1.2454        1.550123        1.747764
     2500.39971      2500.39593         -0.0147          1.7445         18.6430         99.9000        -29.3728          1.1328        0.162226        1.744470
     2500.40665      2500.40288         -1.8934          1.9389         18.5283         99.9000        -40.6562          1.0261        1.624664        1.938851
     2500.41360      2500.40982         -1.7977          1.9286         18.5341         99.9000        -36.8655          0.9733        2.875230        1.928642
     2500.42055      2500.41676          0.6795          1.8926         18.5546         99.9000        -39.9239          0.9733        0.588154        1.892588
     2500.42749      2500.42371          0.8260          1.9249         18.5362         99.9000        -36.6775          0.7731        1.517185        1.924928
     2500.43443      2500.43065          0.4470          1.8920         18.5549         99.9000        -27.0077          0.7731       -0.523892        1.891980
     2500.44138      2500.43760         -0.0778          1.8502         18.5792         99.9000        -21.1250          0.5882       -0.645468        1.850154
     2500.44833      2500.44454         -2.1650          1.8509         18.5787         99.9000        -18.3075          0.5882        0.508534        1.850922
     2500.45527      2500.45149         -3.0352          1.8519         18.5781         99.9000        -17.3379          0.5882        3.484302        1.851945
     2500.46222      2500.45843         -5.6429          1.8449         18.5823         99.9000        -15.7706          0.5289        1.515824        1.844884
     2500.46916      2500.46538         -1.5707          1.8500         18.5793         99.9000        -14.6935          0.5289       -1.389982        1.849954
