# reference_flux:        132.2835
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2500.19037      2500.18760         76.6170          4.9445         15.7292          0.0701      -1480.8772        -22.7373      -71.190117        4.944549
     2500.19731      2500.19455         80.7647          4.6293         15.6719          0.0622      -1334.7609        -22.7373      -66.485782        4.629336
     2500.20426      2500.20149         87.3861          4.4757         15.5864          0.0556      -1233.8889        -22.7373      -78.289290        4.475714
     2500.21120      2500.20844        100.9678          4.3204         15.4295          0.0465       -620.0901        -22.7373      -49.006811        4.320359
     2500.21815      2500.21538         99.4911          4.2024         15.4455          0.0459      -1058.7707        -22.7373      -56.539758        4.202370
     2500.22509      2500.22233        118.3115          4.0746         15.2574          0.0374       -527.4327        -22.7373      -32.245253        4.074593
     2500.23204      2500.22927        108.4478          3.9589         15.3519          0.0396       -481.5131        -22.7373      -37.019487        3.958897
     2500.23898      2500.23621        119.4603          3.8084         15.2469          0.0346       -440.5927        -22.7373      -32.114771        3.808429
     2500.24593      2500.24316        120.9560          3.6358         15.2334          0.0326       -387.1249        -22.7373      -27.540737        3.635794
     2500.25287      2500.25010        119.4437          3.6105         15.2471          0.0328       -372.9664        -22.7373      -23.128827        3.610539
     2500.25982      2500.25705        122.3188          3.4206         15.2213          0.0304       -307.8830        -22.7373      -22.737282        3.420640
     2500.26676      2500.26399        112.7980          3.3363         15.3092          0.0321       -282.4315        -22.7373      -24.142432        3.336300
     2500.27371      2500.27094        131.7421          3.2406         15.1407          0.0267       -246.4666        -22.7373      -15.805519        3.240604
     2500.28065      2500.27788        125.1265          3.1262         15.1966          0.0271       -243.5160        -22.3218      -22.321764        3.126241
     2500.28760      2500.28483        131.5702          3.0402         15.1421          0.0251       -221.7782        -15.8055      -13.269808        3.040207
     2500.29454      2500.29177        136.3362          2.8942         15.1035          0.0230       -182.0427        -13.2698       -9.761207        2.894248
     2500.30149      2500.29871        131.2702          2.7990         15.1446          0.0232       -159.8881        -10.5771       -9.574482        2.799035
     2500.30843      2500.30566        138.2663          2.7575         15.0882          0.0217       -132.0965         -9.7612       -7.754680        2.757492
     2500.31538      2500.31260        132.3642          2.6838         15.1356          0.0220       -118.7813         -9.5745       -8.217922        2.683812
     2500.32232      2500.31955        135.2889          2.5991         15.1118          0.0209        -90.8787         -8.2179       -3.471427        2.599098
     2500.32927      2500.32649        137.7521          2.5232         15.0923          0.0199        -92.0833         -7.7547       -5.237721        2.523175
     2500.33621      2500.33344        127.9680          2.5128         15.1722          0.0213        -81.5669         -7.4999      -10.577102        2.512774
     2500.34316      2500.34038        126.4807          2.4586         15.1849          0.0211        -66.0010         -7.2478       -7.247825        2.458632
     2500.35010      2500.34733        127.2968          2.3934         15.1780          0.0204        -51.6663         -7.2173       -7.499904        2.393350
     2500.35705      2500.35427        130.3762          2.3528         15.1520          0.0196        -51.1859         -5.8553       -7.217315        2.352814
     2500.36400      2500.36121        139.1466          2.3039         15.0813          0.0180        -44.1470         -5.4107       -3.525725        2.303912
     2500.37094      2500.36816        133.8414          2.2588         15.1235          0.0183        -42.6372         -5.2666       -5.410681        2.258775
     2500.37789      2500.37510        114.0323          2.2288         15.2974          0.0212        -29.9169         -5.2377       -4.305288        2.228793
     2500.38483      2500.38205        112.6252          2.1861         15.3109          0.0211        -27.3388         -5.1080       -5.855294        2.186091
     2500.39178      2500.38899        117.9775          2.1486         15.2605          0.0198        -23.6989         -5.0169       -5.266582        2.148644
     2500.39872      2500.39594        118.2722          2.1120         15.2578          0.0194        -27.0125         -4.6143       -3.501421        2.112048
     2500.40567      2500.40288        119.0661          2.0810         15.2505          0.0190        -21.4835         -4.4495       -2.932294        2.081001
     2500.41261      2500.40983        114.7898          2.0472         15.2902          0.0194        -15.5840         -4.3053       -4.449474        2.047162
     2500.41956      2500.41677        117.2238          2.0172         15.2675          0.0187        -13.3567         -3.8733       -5.108009        2.017155
     2500.42650      2500.42371        117.0819          1.9912         15.2688          0.0185         -9.9874         -3.6673       -4.614270        1.991185
     2500.43345      2500.43066        119.8013          1.9679         15.2438          0.0178        -10.4298         -3.5257       -2.695184        1.967860
     2500.44039      2500.43760        123.0879          1.9429         15.2145          0.0171        -11.0599         -3.5014       -3.873264        1.942864
     2500.44734      2500.44455        119.4864          1.9275         15.2467          0.0175         -7.8892         -3.4714       -2.280514        1.927497
     2500.45428      2500.45149        120.0171          1.9275         15.2419          0.0174         -6.4456         -3.3217       -3.129854        1.927537
     2500.46123      2500.45844        116.7633          1.9051         15.2717          0.0177         -2.6818         -3.2751       -3.275122        1.905057
     2500.46817      2500.46538        120.4071          1.8669         15.2384          0.0168         -3.6376         -3.1299       -5.016925        1.866900
     2500.47512      2500.47233        122.8256          1.8754         15.2168          0.0166         -3.4505         -2.9960       -0.684540        1.875406
     2500.48206      2500.47927        121.2961          1.8585         15.2304          0.0166         -0.4885         -2.9323        0.167417        1.858547
     2500.48901      2500.48621        118.7492          1.8432         15.2534          0.0169         -0.7479         -2.6952       -1.047124        1.843191
     2500.49595      2500.49316        120.0682          1.8335         15.2414          0.0166         -0.4020         -2.5299       -1.747874        1.833467
     2500.50290      2500.50010        119.3839          1.8225         15.2476          0.0166         -2.7713         -2.2805       -3.321723        1.822496
     2500.50984      2500.50705        141.7825          1.8736         15.0609          0.0143         -5.1445         -2.0064       -1.943289        1.873620
     2500.51679      2500.51399        114.0877          1.8088         15.2969          0.0172          2.0927         -1.9433       -3.667268        1.808812
     2500.52373      2500.52094        134.5133          1.8550         15.1181          0.0150          0.2603         -1.7977        0.345371        1.854994
     2500.53068      2500.52788        133.2129          1.9389         15.1286          0.0158         -5.1830         -1.7479       -0.693133        1.938904
     2500.53762      2500.53483        120.2473          1.7693         15.2398          0.0160          1.3984         -1.6118       -2.996036        1.769266
     2500.54457      2500.54177        137.1999          1.8363         15.0966          0.0145         -4.0115         -1.5981        0.326792        1.836327
     2500.55151      2500.54871        132.2722          1.9232         15.1363          0.0158         -4.5856         -1.3531       -2.529910        1.923184
     2500.55846      2500.55566        135.4487          1.9139         15.1106          0.0153         -2.6938         -1.3531        2.825559        1.913895
     2500.56540      2500.56260        136.9587          1.9146         15.0985          0.0152         -3.9396         -1.3516       -1.797704        1.914552
     2500.57235      2500.56955        140.2712          1.8242         15.0726          0.0141         -2.5255         -1.2022        0.834470        1.824180
     2500.57929      2500.57649        135.8773          1.8162         15.1071          0.0145         -1.9644         -1.0471        1.069297        1.816163
     2500.58624      2500.58344        138.8049          1.8087         15.0840          0.0141         -0.6432         -0.9964       -1.611830        1.808653
     2500.59318      2500.59038        134.5261          1.8058         15.1180          0.0146         -2.5446         -0.9964       -1.353090        1.805843
     2500.60013      2500.59733        131.4145          1.7994         15.1434          0.0149         -1.6820         -0.8454       -1.598053        1.799378
     2500.60707      2500.60427        136.3593          1.7997         15.1033          0.0143         -2.7045         -0.6931        0.883639        1.799654
     2500.61402      2500.61121        135.6567          1.7947         15.1089          0.0144         -1.7657         -0.6845        1.437403        1.794720
     2500.62096      2500.61816        135.6846          1.7981         15.1087          0.0144         -2.6547         -0.6845       -0.845410        1.798108
     2500.62791      2500.62510        138.0410          1.7967         15.0900          0.0141         -2.8771         -0.6511        1.620544        1.796740
     2500.63486      2500.63205        135.6534          1.8014         15.1089          0.0144         -2.1703         -0.5757        1.561831        1.801357
     2500.64180      2500.63899        125.2442          1.8706         15.1956          0.0162         -0.1077         -0.5287       -2.006368        1.870564
     2500.64875      2500.64594        134.0102          1.7937         15.1222          0.0145         -1.7192         -0.4549       -0.575737        1.793737
     2500.65569      2500.65288        142.4708          1.7932         15.0557          0.0137         -2.0072         -0.4549        2.880113        1.793219
     2500.66264      2500.65983        135.8056          1.7936         15.1077          0.0143         -0.1092         -0.4549        1.274556        1.793640
     2500.66958      2500.66677        136.2144          1.7930         15.1044          0.0143          0.0349         -0.4076       -1.351596        1.792978
     2500.67653      2500.67371        134.5319          1.7930         15.1179          0.0145          1.7944         -0.1386        2.490217        1.792959
     2500.68347      2500.68066        130.2654          1.7910         15.1529          0.0149          0.6327          0.2660       -0.454926        1.790963
     2500.69042      2500.68760        135.9547          1.7887         15.1065          0.0143         -2.7014          0.2660        0.523611        1.788729
     2500.69736      2500.69455        133.4654          1.7918         15.1266          0.0146          1.0655         -0.1386        0.288170        1.791844
     2500.70431      2500.70149        135.2834          1.7870         15.1119          0.0143         -1.4545          0.2660       -0.996416        1.787006
     2500.71125      2500.70844        133.2506          1.7887         15.1283          0.0146         -0.1948          0.2660       -1.202184        1.788685
     2500.71820      2500.71538        136.1467          1.7882         15.1050          0.0143          2.0308         -0.1386       -1.975766        1.788231
     2500.72514      2500.72233        132.8030          1.7885         15.1320          0.0146         -1.3843         -0.1386       -0.651062        1.788460
     2500.73209      2500.72927        137.2118          1.7938         15.0965          0.0142         -2.2258         -0.2756        0.806059        1.793795
     2500.73903      2500.73621        138.6525          1.7896         15.0852          0.0140         -0.1691         -0.2756        2.345757        1.789641
     2500.74598      2500.74316        133.3704          1.7864         15.1274          0.0145         -0.2100         -0.2756        0.829860        1.786426
     2500.75292      2500.75010        135.2155          1.7849         15.1124          0.0143         -2.3338         -0.2756       -2.556822        1.784896
     2500.75987      2500.75705        139.6524          1.7859         15.0774          0.0139         -1.4408         -0.2756        1.333773        1.785933
     2500.76681      2500.76399        133.5451          1.7846         15.1259          0.0145          1.0468         -0.2756       -0.528670        1.784619
     2500.77376      2500.77094        135.3520          1.7815         15.1113          0.0143         -3.9486         -0.2756        0.266009        1.781513
     2500.78070      2500.77788        137.0707          1.7864         15.0976          0.0142         -1.1746         -0.2756       -1.300667        1.786415
     2500.78765      2500.78483        132.5413          1.7828         15.1341          0.0146          0.3005         -0.2756        1.002315        1.782768
     2500.79459      2500.79177        133.9255          1.7830         15.1228          0.0145         -4.3336         -0.2707       -0.138649        1.782969
     2500.80154      2500.79871        135.7004          1.7811         15.1085          0.0143         -3.0370         -0.2756        0.505236        1.781124
     2500.80848      2500.80566        137.0840          1.7884         15.0975          0.0142          0.3140         -0.2756        1.363902        1.788449
     2500.81543      2500.81260        136.6633          1.7864         15.1009          0.0142         -1.7603         -0.2707        1.493793        1.786427
     2500.82237      2500.81955        136.1391          1.7842         15.1050          0.0142         -0.8659         -0.1386       -0.699494        1.784161
     2500.82932      2500.82649        136.5586          1.7830         15.1017          0.0142          0.0914         -0.2707       -0.407563        1.783046
     2500.83626      2500.83344        135.7222          1.7838         15.1084          0.0143          1.1855         -0.2756        1.475915        1.783850
     2500.84321      2500.84038        138.7847          1.7829         15.0841          0.0139          1.3354         -0.2707        0.349078        1.782944
     2500.85016      2500.84733        130.3099          1.7820         15.1526          0.0148         -0.9503         -0.2707       -1.619096        1.782044
     2500.85710      2500.85427        138.7951          1.7909         15.0841          0.0140         -3.7510         -0.2707       -2.408650        1.790886
     2500.86405      2500.86121        131.6666          1.7925         15.1413          0.0148         -0.7566         -0.2707        1.494636        1.792506
     2500.87099      2500.86816        141.4649          1.7951         15.0634          0.0138         -2.5208         -0.2707       -1.186961        1.795088
     2500.87793      2500.87510        134.7144          1.7958         15.1165          0.0145         -0.6056         -0.2707       -0.275607        1.795837
     2500.88488      2500.88205        129.9010          1.7926         15.1560          0.0150         -1.3061         -0.1386       -3.109293        1.792556
     2500.89183      2500.88899        132.5410          1.7942         15.1341          0.0147          0.0767         -0.0939       -1.570990        1.794161
     2500.89877      2500.89594        119.5397          1.7402         15.2462          0.0158         -0.1935          0.2660       -3.379354        1.740235
     2500.90572      2500.90288        134.9800          1.7947         15.1143          0.0144         -1.6879         -0.0939       -0.270729        1.794705
     2500.91266      2500.90983        135.1749          1.7948         15.1128          0.0144         -0.9829         -0.0939        1.009110        1.794823
     2500.91961      2500.91677        132.1055          1.7957         15.1377          0.0148         -0.3359         -0.0939       -3.375019        1.795695
     2500.92655      2500.92371        132.2153          1.7894         15.1368          0.0147         -1.3398         -0.0939       -3.390203        1.789370
     2500.93350      2500.93066        135.2216          1.7952         15.1124          0.0144         -1.0849         -0.0939       -0.570112        1.795189
     2500.94044      2500.93760        134.9087          1.7933         15.1149          0.0144         -2.1496          0.1384        1.594156        1.793268
     2500.94739      2500.94455        134.8385          1.7961         15.1155          0.0145         -0.0514         -0.0939        0.908277        1.796129
     2500.95433      2500.95149        134.1215          1.7922         15.1213          0.0145         -2.2470         -0.0939       -0.093882        1.792244
     2500.96128      2500.95844        136.2260          1.7966         15.1044          0.0143         -1.1730         -0.0939       -1.008043        1.796625
     2500.96822      2500.96538        141.6182          1.7947         15.0622          0.0138         -2.8342         -0.0939        5.345027        1.794733
     2500.97517      2500.97233        131.3208          1.7909         15.1442          0.0148          0.1447         -0.0939        0.696678        1.790882
     2500.98211      2500.97927        139.3179          1.7917         15.0800          0.0140         -0.9415         -0.0939        2.034499        1.791705
     2500.98906      2500.98621        135.6771          1.7902         15.1087          0.0143         -2.0679         -0.0939       -1.288455        1.790209
     2500.99600      2500.99316        131.2332          1.7922         15.1449          0.0148         -2.2172         -0.0939       -2.246062        1.792212
     2501.00295      2501.00010        138.1583          1.7930         15.0891          0.0141         -1.4700          0.1384        0.744737        1.792998
     2501.00989      2501.00705        134.5773          1.7919         15.1176          0.0145         -0.9957         -0.0939        0.725534        1.791866
     2501.01684      2501.01399        134.8477          1.7866         15.1154          0.0144          0.7565         -0.0939       -2.173912        1.786563
     2501.02378      2501.02094        136.3977          1.7847         15.1030          0.0142         -2.2577          0.1384        1.152797        1.784652
     2501.03073      2501.02788        134.1516          1.7846         15.1210          0.0144          1.0881          0.1384        0.630211        1.784610
     2501.03767      2501.03483        128.2546          1.8683         15.1698          0.0158          0.1603         -0.0939       -2.883705        1.868277
     2501.04462      2501.04177        138.3382          1.7807         15.0876          0.0140         -3.4672         -0.0939        1.911496        1.780750
     2501.05156      2501.04871        136.0222          1.7816         15.1060          0.0142         -1.0479         -0.0939        0.346919        1.781630
     2501.05851      2501.05566        134.3846          1.8532         15.1191          0.0150         -2.1757          0.1384        1.558914        1.853201
     2501.06545      2501.06260        136.9661          1.7794         15.0985          0.0141         -0.9423          0.1384       -2.093983        1.779439
     2501.07240      2501.06955        126.7855          1.8483         15.1823          0.0158         -2.4417          0.1384        0.138366        1.848326
     2501.07934      2501.07649        137.1684          1.7770         15.0969          0.0141          0.1738          0.2534        3.542004        1.777030
     2501.08629      2501.08344        135.5885          1.7767         15.1094          0.0142         -2.5755          0.2534       -1.145774        1.776735
     2501.09323      2501.09038        138.6699          1.7809         15.0850          0.0139         -1.9230          0.2534        0.609398        1.780948
     2501.10018      2501.09733        135.2716          1.7799         15.1120          0.0143         -3.3145          0.2534        0.253432        1.779934
     2501.10713      2501.10427        130.5290          1.8626         15.1507          0.0155         -0.5306          0.2534       -1.607739        1.862646
     2501.11407      2501.11121        131.9624          1.8657         15.1389          0.0154         -2.4925          0.2534       -0.718646        1.865695
     2501.12102      2501.11816        134.0117          1.7825         15.1221          0.0144         -1.9559          0.2534        2.575145        1.782495
     2501.12796      2501.12510        135.3130          1.7742         15.1117          0.0142         -1.8199          0.2534       -1.218682        1.774231
     2501.13491      2501.13205        137.2817          1.7856         15.0960          0.0141         -3.1830          0.3469        1.074945        1.785564
     2501.14185      2501.13899        132.9601          1.7767         15.1307          0.0145          1.8045          0.2534        0.895128        1.776654
     2501.14880      2501.14594        133.1948          1.7753         15.1288          0.0145          0.6905          0.1384        0.903318        1.775346
     2501.15574      2501.15288        132.4841          1.7765         15.1346          0.0146         -1.2649          0.1384       -1.853553        1.776482
     2501.16269      2501.15983        141.8680          1.7837         15.0603          0.0137          1.6319          0.2534        0.758370        1.783671
     2501.16963      2501.16677        135.5997          1.7790         15.1094          0.0142         -0.1152          0.2534       -1.626985        1.778959
     2501.17658      2501.17371        137.8387          1.7810         15.0916          0.0140         -0.9553          0.2534        2.291651        1.781010
     2501.18352      2501.18066        138.8616          1.7774         15.0835          0.0139          0.9787          0.1384        2.585167        1.777402
     2501.19047      2501.18760        142.0241          1.7781         15.0591          0.0136          0.1992          0.2534       -0.256319        1.778086
     2501.19741      2501.19455        138.0548          1.7818         15.0899          0.0140          1.5802          0.2534       -0.314774        1.781841
     2501.20436      2501.20149        137.9582          1.7801         15.0906          0.0140         -0.8001          0.2534       -0.769922        1.780101
     2501.21130      2501.20844        129.2716          1.7784         15.1612          0.0149          1.0348          0.3469       -2.617761        1.778351
     2501.21825      2501.21538        137.4201          1.7796         15.0949          0.0141         -1.1149          0.3382        2.180253        1.779617
     2501.22519      2501.22233        128.4956          1.7766         15.1678          0.0150          3.7869          0.2534       -1.813568        1.776605
     2501.23214      2501.22927        133.9600          1.7827         15.1226          0.0144         -1.7095          0.2534       -3.016690        1.782713
     2501.23908      2501.23621        132.7520          1.7791         15.1324          0.0146         -1.0822          0.3382        1.229412        1.779132
     2501.24603      2501.24316        138.3782          1.7791         15.0873          0.0140         -1.8253          0.3382        2.116452        1.779052
     2501.25297      2501.25010        137.6874          1.7801         15.0928          0.0140          2.5246          0.2534       -1.235205        1.780093
     2501.25992      2501.25705        134.9409          1.7740         15.1146          0.0143         -0.9875          0.2534       -0.063969        1.773989
     2501.26686      2501.26399        138.1444          1.7737         15.0892          0.0139         -1.3716          0.2534       -1.256008        1.773742
     2501.27381      2501.27094        133.6467          1.7756         15.1251          0.0144         -0.3321          0.1681        0.426365        1.775613
     2501.28075      2501.27788        137.5402          1.7760         15.0939          0.0140         -0.4237          0.1681        0.702049        1.776022
     2501.28770      2501.28483        133.1462          1.8634         15.1292          0.0152         -0.8041          0.1681       -0.756739        1.863379
     2501.29464      2501.29177        137.5807          1.7764         15.0936          0.0140         -0.3808          0.1681        0.350353        1.776436
     2501.30159      2501.29871        136.4624          1.8629         15.1025          0.0148          0.1659          0.1681       -0.608863        1.862856
     2501.30853      2501.30566        132.1932          1.8627         15.1370          0.0153         -1.3605          0.0144       -1.307749        1.862664
     2501.31548      2501.31260        137.2487          1.8602         15.0962          0.0147         -5.7348         -0.0640        1.102745        1.860193
     2501.32242      2501.31955        135.1830          1.8628         15.1127          0.0150          1.0384         -0.1761        0.914116        1.862771
     2501.32937      2501.32649        132.1606          1.8608         15.1372          0.0153         -5.2167         -0.0640       -3.046676        1.860794
     2501.33632      2501.33344        139.8172          1.8650         15.0761          0.0145         -3.8174         -0.0640        0.846379        1.865035
     2501.34326      2501.34038        133.2179          1.8632         15.1286          0.0152         -0.5533         -0.0640       -1.077951        1.863238
     2501.35020      2501.34732        136.1122          1.8614         15.1053          0.0148         -3.4810         -0.0640        1.143056        1.861447
     2501.35715      2501.35427        136.2865          1.8641         15.1039          0.0149         -1.7532         -0.1761        1.438894        1.864051
     2501.36410      2501.36121        132.3129          1.8618         15.1360          0.0153         -1.0612         -0.0640        2.814903        1.861831
     2501.37104      2501.36816        136.2728          1.8599         15.1040          0.0148         -2.2982         -0.0105        1.032980        1.859881
     2501.37799      2501.37510        135.2196          1.8578         15.1124          0.0149         -3.8602          0.0144        0.338158        1.857804
     2501.38493      2501.38205        134.1799          1.8577         15.1208          0.0150         -1.4750          0.0144        0.168055        1.857667
     2501.39188      2501.38899        136.2460          1.8584         15.1042          0.0148         -1.9057          0.0144        1.286780        1.858377
     2501.39882      2501.39594        133.9507          1.8599         15.1226          0.0151          1.1369          0.1681        0.602631        1.859912
     2501.40577      2501.40288        133.4323          1.8611         15.1268          0.0151         -3.2937          0.1681       -0.176149        1.861086
     2501.41271      2501.40982        133.1269          1.8559         15.1293          0.0151          1.1514          0.1681       -2.019850        1.855893
     2501.41966      2501.41677        129.4973          1.8585         15.1593          0.0156         -2.2718          0.0144       -4.603926        1.858543
     2501.42660      2501.42371        135.9598          1.8580         15.1065          0.0148         -2.4649          0.0144        4.197999        1.858025
     2501.43355      2501.43066        131.8362          1.8604         15.1399          0.0153         -1.1493          0.0144       -1.260444        1.860440
     2501.44049      2501.43760        124.8913          1.8496         15.1987          0.0161          0.1336          0.1681       -3.463015        1.849619
     2501.44744      2501.44455        132.2284          1.8560         15.1367          0.0152         -0.7075          0.1681       -1.107943        1.856025
     2501.45438      2501.45149        132.0713          1.8541         15.1380          0.0152          0.4025          0.1681        0.791922        1.854057
     2501.46133      2501.45844        135.0381          1.8507         15.1139          0.0149         -2.2983          0.1681        0.014428        1.850659
     2501.46827      2501.46538        137.7878          1.8537         15.0920          0.0146         -0.4487          0.1601       -1.374494        1.853749
     2501.47522      2501.47232        131.9015          1.8550         15.1394          0.0153         -1.3832          0.1681       -1.123783        1.855018
     2501.48216      2501.47927        134.3105          1.8547         15.1197          0.0150         -1.6469          0.2651       -0.450279        1.854693
     2501.48911      2501.48621        131.0049          1.8523         15.1468          0.0154         -0.5605          0.1681        0.670358        1.852327
     2501.49605      2501.49316        135.1277          1.8534         15.1131          0.0149          2.5115          0.1601        1.974064        1.853355
     2501.50300      2501.50010        131.9730          1.8516         15.1388          0.0152         -0.7847          0.1681       -1.920288        1.851551
     2501.50994      2501.50705        137.2166          1.8542         15.0965          0.0147         -3.4862          0.1601       -0.010510        1.854199
     2501.51689      2501.51399        133.5342          1.8480         15.1260          0.0150         -1.9481          0.1681       -2.882505        1.847953
     2501.52383      2501.52094        130.7727          1.8509         15.1487          0.0154         -1.3833          0.1681        0.327559        1.850895
     2501.53078      2501.52788        131.5609          1.8517         15.1422          0.0153          0.2040          0.1601        0.579335        1.851714
     2501.53772      2501.53482        136.9107          1.8482         15.0989          0.0147         -0.5158          0.1601        3.184835        1.848180
     2501.54467      2501.54177        132.7015          1.8535         15.1328          0.0152         -1.7196          0.1305       -0.062330        1.853514
     2501.55161      2501.54871        132.4426          1.8521         15.1349          0.0152         -0.7038          0.0422        0.363584        1.852061
     2501.55856      2501.55566        133.3360          1.8500         15.1276          0.0151         -0.3649          0.0422        3.054517        1.849951
     2501.56550      2501.56260        132.3269          1.8540         15.1359          0.0152          2.2146          0.0144       -2.154519        1.854029
     2501.57245      2501.56955        136.7072          1.8522         15.1005          0.0147          0.1796         -0.0105        1.156223        1.852194
     2501.57940      2501.57649        134.0585          1.7738         15.1218          0.0144         -0.0220         -0.0105       -2.285722        1.773810
     2501.58634      2501.58344        136.4046          1.8492         15.1029          0.0147         -3.0705          0.0144       -0.376420        1.849182
     2501.59329      2501.59038        137.0825          1.7753         15.0975          0.0141          0.0949          0.0144       -0.861659        1.775278
     2501.60023      2501.59732        135.0776          1.8481         15.1135          0.0149          0.7880         -0.0105        0.265142        1.848135
     2501.60718      2501.60427        132.3039          1.7730         15.1361          0.0145          0.7871          0.0144        1.839266        1.773007
     2501.61412      2501.61121        135.8541          1.8502         15.1073          0.0148         -1.3995          0.0422        1.349629        1.850185
     2501.62107      2501.61816        128.7917          1.8454         15.1653          0.0156         -1.7341          0.1305       -0.985977        1.845382
     2501.62801      2501.62510        137.6339          1.7756         15.0932          0.0140         -0.8144          0.0422        0.160112        1.775645
     2501.63496      2501.63205        138.3977          1.7795         15.0872          0.0140         -0.8077          0.1305        0.353399        1.779452
     2501.64190      2501.63899        137.1782          1.7761         15.0968          0.0141         -1.1400          0.1305        1.437287        1.776069
     2501.64885      2501.64594        136.8934          1.7767         15.0990          0.0141          0.0285          0.1510        0.042203        1.776724
     2501.65579      2501.65288        135.5802          1.8517         15.1095          0.0148          0.3958          0.1601       -0.083154        1.851728
     2501.66274      2501.65982        132.6476          1.7803         15.1333          0.0146         -1.2531          0.1510        0.399309        1.780332
     2501.66968      2501.66677        136.1469          1.8522         15.1050          0.0148         -1.9779          0.1305        0.130536        1.852244
     2501.67663      2501.67371        139.6245          1.7835         15.0776          0.0139         -1.8807          0.1305        1.820637        1.783511
     2501.68357      2501.68066        134.2928          1.7829         15.1199          0.0144          0.3083          0.1510        0.283507        1.782876
     2501.69052      2501.68760        136.5133          1.8485         15.1021          0.0147         -1.6265          0.1510       -1.192210        1.848540
     2501.69746      2501.69455        134.5332          1.7845         15.1179          0.0144          2.0119          0.1510        0.176094        1.784477
     2501.70441      2501.70149        135.2123          1.6973         15.1125          0.0136         -1.5922          0.1305       -0.296266        1.697272
     2501.71135      2501.70844        129.8750          1.7011         15.1562          0.0142         -1.0160          0.0422       -2.303921        1.701064
     2501.71830      2501.71538        135.8147          1.7828         15.1076          0.0143          1.4970          0.1305        3.175003        1.782848
     2501.72524      2501.72232        132.0095          1.7811         15.1385          0.0146         -2.0520          0.0422       -1.754306        1.781061
     2501.73219      2501.72927        132.5744          1.7800         15.1339          0.0146         -1.0670          0.0422       -0.496320        1.779999
     2501.73913      2501.73621        138.6802          1.7818         15.0850          0.0140         -2.6238          0.0422       -1.230023        1.781850
     2501.74608      2501.74316        138.4940          1.7750         15.0864          0.0139          1.3310          0.0343        5.308182        1.775002
     2501.75302      2501.75010        135.3644          1.7727         15.1112          0.0142         -1.0666          0.0422       -0.097215        1.772670
     2501.75997      2501.75705        130.8260          1.7001         15.1483          0.0141         -0.2944          0.1305       -1.518092        1.700125
     2501.76691      2501.76399        132.4142          1.8290         15.1352          0.0150         -2.3141          0.1510        1.053921        1.828959
     2501.77386      2501.77094        138.4678          1.7716         15.0866          0.0139          0.1883          0.1510        0.345467        1.771554
     2501.78080      2501.77788        133.7697          1.7739         15.1241          0.0144         -1.3007          0.1510        0.764052        1.773906
     2501.78775      2501.78482        134.0835          1.7723         15.1216          0.0144         -0.0977          0.1305       -0.420687        1.772287
     2501.79469      2501.79177        131.1151          1.7768         15.1459          0.0147         -1.5775          0.1510        0.261821        1.776776
     2501.80164      2501.79871        126.0116          1.6936         15.1890          0.0146         -0.9819          0.1305       -3.685070        1.693625
     2501.80859      2501.80566        135.8366          1.7745         15.1075          0.0142         -0.3330          0.1305        0.150958        1.774458
     2501.81553      2501.81260        133.1340          1.7734         15.1293          0.0145         -0.4045          0.1305        0.748740        1.773423
     2501.82247      2501.81955        135.4056          1.7743         15.1109          0.0142         -0.9902          0.1305       -1.268555        1.774265
     2501.82942      2501.82649        135.5242          1.7717         15.1100          0.0142          0.6851          0.1305       -0.874547        1.771666
     2501.83637      2501.83344        132.3591          1.7713         15.1356          0.0145         -0.5426          0.1075       -2.436081        1.771252
     2501.84331      2501.84038        137.7919          1.7753         15.0919          0.0140         -0.9094          0.1010        0.910334        1.775342
     2501.85026      2501.84732        137.9677          1.7754         15.0906          0.0140         -1.8383          0.1010        0.034301        1.775444
     2501.85720      2501.85427        138.1589          1.7803         15.0891          0.0140         -2.7614          0.1010        2.465882        1.780257
     2501.86415      2501.86121        136.3285          1.7782         15.1035          0.0142         -1.7534          0.1010       -1.103930        1.778214
     2501.87109      2501.86816        134.0853          1.7725         15.1215          0.0144         -0.6892          0.1010       -0.987909        1.772477
     2501.87804      2501.87510        135.4866          1.7754         15.1103          0.0142         -2.0099          0.1010        3.347511        1.775403
     2501.88498      2501.88205        135.8993          1.7749         15.1070          0.0142          1.2029          0.1075       -0.341418        1.774881
     2501.89193      2501.88899        138.1364          1.7743         15.0892          0.0139          0.0236          0.1075        1.670740        1.774303
     2501.89887      2501.89594        137.0068          1.7820         15.0981          0.0141         -0.8176          0.1075       -0.442216        1.781958
