# reference_flux:         37.3192
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2500.18862      2500.18760         44.2537          4.5344         16.3251          0.1112        159.4165          6.2527       21.836359        4.534410
     2500.19557      2500.19455         37.0537          4.4210         16.5179          0.1295         69.5403          6.2527       13.750181        4.421032
     2500.20251      2500.20149         22.2795          4.3181         17.0702          0.2104         67.5031          6.2527        8.655720        4.318095
     2500.20946      2500.20844         -3.4982          4.2120         17.6860         99.9000         40.0414          6.2527        3.821444        4.211965
     2500.21641      2500.21538         17.3557          4.1139         17.3414          0.2574         43.6330          6.2527        7.818667        4.113878
     2500.22335      2500.22233          7.8766          4.0145         17.7381         99.9000         33.3341          6.2527       10.165051        4.014474
     2500.23029      2500.22927         12.6307          3.9222         17.6864          0.3372         32.5975          6.2527        3.380456        3.922186
     2500.23724      2500.23621         -0.7288          3.8392         17.7866         99.9000         56.4643          6.2527       11.799714        3.839207
     2500.24418      2500.24316         12.6902          3.7669         17.6813          0.3223         47.3779          6.2527        6.345965        3.766878
     2500.25113      2500.25010          0.4367          3.6962         17.8278         99.9000         85.7491          6.2527        1.079715        3.696150
     2500.25807      2500.25705         23.4130          3.6339         17.0164          0.1685         61.5982          4.7440        8.283967        3.633907
     2500.26502      2500.26399         14.5939          3.5722         17.5296          0.2658         64.1437          3.9970        6.954789        3.572162
     2500.27197      2500.27094         19.4032          3.5105         17.2203          0.1964         60.5968          3.8214       10.306046        3.510546
     2500.27891      2500.27788         24.6933          3.4490         16.9586          0.1516         68.0485          3.8214       11.609814        3.449009
     2500.28586      2500.28483         14.4023          3.3861         17.5439          0.2553         57.1154          3.6924        6.252745        3.386126
     2500.29280      2500.29177         12.9106          3.3238         17.6626          0.2795         65.5238          3.6924        3.996958        3.323841
     2500.29975      2500.29871         -7.4717          3.2610         17.9638         99.9000         51.0892          3.3805        2.947732        3.261023
     2500.30669      2500.30566         20.3412          3.2025         17.1691          0.1709         29.5517          3.3805        9.427788        3.202536
     2500.31364      2500.31260         15.4481          3.1473         17.4678          0.2212         23.9615          3.1230        4.743963        3.147309
     2500.32058      2500.31955          5.4469          3.0974         18.0197         99.9000         12.9864          3.0489       -2.536449        3.097408
     2500.32753      2500.32649          2.6629          3.0463         18.0378         99.9000         26.3480          2.9477        1.474165        3.046293
     2500.33447      2500.33344         -0.6134          3.0056         18.0524         99.9000         12.0700          2.5933        3.692384        3.005646
     2500.34142      2500.34038          7.3953          2.9775         18.0626         99.9000         15.8607          2.5004        2.494489        2.977530
     2500.34836      2500.34733          0.8154          2.9421         18.0756         99.9000         25.7038          2.4945        2.593312        2.942061
     2500.35531      2500.35427          2.2930          2.9076         18.0884         99.9000         21.0062          1.8692       -2.099134        2.907608
     2500.36225      2500.36121         -2.5760          2.8771         18.0998         99.9000          7.6018          1.8684       -2.312380        2.877098
     2500.36920      2500.36816          1.6767          2.8462         18.1115         99.9000         10.6307          1.6181       -1.453557        2.846161
