# reference_flux:          3.3479
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2500.18925      2500.18760         -9.0337          3.1618         17.9973         99.9000          2.9187         -2.9140       -7.349539        3.161845
     2500.19620      2500.19455         -5.9837          3.0969         18.0199         99.9000          0.4171         -2.9140       -4.201835        3.096927
     2500.20314      2500.20149         -5.1305          2.9948         18.0563         99.9000          1.5331         -2.9140       -6.133615        2.994811
     2500.21009      2500.20844          2.4487          2.8995         18.0914         99.9000          2.1376         -2.9140        0.049693        2.899490
     2500.21703      2500.21538         -7.8221          2.8297         18.1178         99.9000         -1.2116         -2.4670       -8.186770        2.829700
     2500.22398      2500.22233         -6.0275          2.7373         18.1539         99.9000          1.3996         -2.4670       -6.576446        2.737282
     2500.23092      2500.22927         -4.9288          2.6666         18.1823         99.9000         -1.5884         -2.4670       -0.715567        2.666606
     2500.23787      2500.23621         -4.4501          2.6080         18.2064         99.9000         -3.3822         -2.4670       -2.466978        2.608018
     2500.24481      2500.24316          3.4332          2.6323         18.1964         99.9000         -2.3156         -2.4670       -2.097896        2.632316
     2500.25176      2500.25010         -2.9567          2.5344         18.2375         99.9000         -1.3794         -2.3614       -3.723711        2.534435
     2500.25870      2500.25705         -3.8418          2.4621         18.2689         99.9000         -1.1163         -2.3614       -2.914023        2.462116
     2500.26565      2500.26399          2.7506          2.4616         18.2691         99.9000         -1.1876         -2.3614        0.773045        2.461613
     2500.27259      2500.27094          5.2744          2.9424         18.0754         99.9000         -4.3423         -2.4670       -1.698541        2.942384
     2500.27954      2500.27788          3.5144          2.3503         18.3194         99.9000         -0.3912         -2.4670        0.032600        2.350283
     2500.28648      2500.28483         -5.0704          2.8837         18.0973         99.9000         -0.7469         -2.3614       -5.966556        2.883687
     2500.29343      2500.29177         -1.5581          2.8389         18.1143         99.9000         -1.3322         -2.3387       -4.741771        2.838941
     2500.30037      2500.29871         -4.2544          2.7550         18.1469         99.9000         -5.2048         -2.3614       -4.067644        2.755009
     2500.30732      2500.30566          2.0440          2.7135         18.1634         99.9000         -2.1324         -2.3387       -1.168386        2.713501
     2500.31426      2500.31260         -7.7601          2.6734         18.1795         99.9000         -2.5511         -2.3387       -3.281190        2.673424
     2500.32121      2500.31955         -4.4494          2.5077         18.2490         99.9000          0.3258         -2.2594        2.874954        2.507664
     2500.32816      2500.32649         -2.2635          2.5091         18.2484         99.9000         -5.6969         -2.1014       -3.459915        2.509094
     2500.33510      2500.33344         -1.9500          2.5265         18.2409         99.9000         -4.4183         -2.1014       -1.222817        2.526499
     2500.34204      2500.34038         10.6198          2.5348         17.8747          0.2592         -5.1349         -2.1014       -2.101363        2.534818
     2500.34899      2500.34733          0.6252          2.5002         18.2522         99.9000          0.9908         -2.1014       -0.333908        2.500245
     2500.35593      2500.35427         -0.0335          2.4299         18.2832         99.9000         -0.7938         -2.0979       -2.057935        2.429906
     2500.36288      2500.36121         -3.2498          2.3647         18.3128         99.9000         -2.0320         -2.0979       -0.629313        2.364660
     2500.36983      2500.36816         -4.5553          2.3988         18.2972         99.9000         -1.2590         -2.0579        0.233455        2.398781
     2500.37677      2500.37510          2.5978          2.3938         18.2995         99.9000         -4.8990         -1.9923        0.997184        2.393811
     2500.38372      2500.38205         -4.2386          2.3671         18.3117         99.9000         -7.6694         -2.0579       -1.434025        2.367105
     2500.39066      2500.38899          0.8635          2.3819         18.3049         99.9000         -4.4755         -2.0579       -2.361378        2.381931
     2500.39761      2500.39594         -0.3342          2.3349         18.3265         99.9000         -5.5595         -1.9923       -0.365870        2.334862
     2500.40455      2500.40288         -3.2771          2.3137         18.3364         99.9000         -6.1009         -1.9923       -4.512744        2.313737
     2500.41150      2500.40983         -1.0183          2.2222         18.3803         99.9000         -4.3877         -1.9035       -1.244607        2.222160
     2500.41844      2500.41677          0.9200          2.1975         18.3924         99.9000         -1.5863         -1.8312       -3.667222        2.197509
     2500.42539      2500.42371         -1.4285          2.1908         18.3957         99.9000         -4.1831         -1.6985        0.927412        2.190753
     2500.43233      2500.43066         -3.7230          2.1943         18.3940         99.9000         -5.5954         -1.6193       -2.729368        2.194270
     2500.43928      2500.43760         -0.6081          2.1984         18.3919         99.9000         -8.1509         -1.6193       -2.338724        2.198408
     2500.44622      2500.44455         -2.8861          2.2059         18.3882         99.9000         -3.4663         -1.6193       -1.992264        2.205897
     2500.45317      2500.45149          2.2573          2.1738         18.4042         99.9000         -5.1068         -1.6193       -2.259364        2.173758
     2500.46011      2500.45844          1.4122          2.1355         18.4235         99.9000         -5.0320         -1.4340       -4.784021        2.135473
     2500.46706      2500.46538          3.6124          2.1023         18.4405         99.9000         -1.7381         -1.4340       -0.835988        2.102305
     2500.47400      2500.47233         -0.0258          2.1133         18.4348         99.9000         -3.4929         -1.2446       -1.005001        2.113328
     2500.48095      2500.47927          1.4884          2.1015         18.4409         99.9000         -2.5557         -1.4340       -0.895157        2.101496
     2500.48789      2500.48621          2.3957          2.0911         18.4463         99.9000         -3.0727         -1.2446        1.559991        2.091116
     2500.49484      2500.49316         -0.4431          2.0670         18.4588         99.9000         -2.4612         -1.2446       -1.831214        2.067009
     2500.50178      2500.50010          0.2815          2.0594         18.4628         99.9000         -5.5458         -1.2446       -3.158895        2.059408
     2500.50873      2500.50705         -0.2481          2.0348         18.4759         99.9000         -3.1348         -1.2446       -4.346953        2.034763
     2500.51567      2500.51399          1.9496          2.0485         18.4686         99.9000         -3.3720         -1.0050       -1.619326        2.048505
     2500.52262      2500.52094          4.2507          2.0456         18.4702         99.9000         -4.1195         -1.2446       -2.666515        2.045551
     2500.52956      2500.52788          5.0321          2.0342         18.4762         99.9000         -2.7391         -1.2446        1.113769        2.034196
     2500.53651      2500.53483          5.1218          2.0194         18.4841         99.9000         -3.4923         -1.4237        0.803087        2.019422
