# reference_flux:         -2.3286
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2525.74153      2525.73621         25.5397          5.8826         16.9220          0.2501       -543.1622         12.8208       21.995445        5.882623
     2525.74848      2525.74315         31.5393          5.6478         16.6929          0.1944       -114.7206         12.8208       18.286062        5.647793
     2525.75542      2525.75010         25.1464          5.3568         16.9388          0.2313       -120.7291         11.6737       11.076982        5.356765
     2525.76237      2525.75704         27.4187          5.1250         16.8449          0.2029        -68.8982         11.6737        7.352947        5.124953
     2525.76931      2525.76399          8.7423          4.9243         17.5163         99.9000        -64.0853         11.6737       12.820846        4.924260
     2525.77626      2525.77093         28.3625          4.9441         16.8081          0.1893        -65.9422         11.0770       20.023621        4.944114
     2525.78320      2525.77788         22.2491          4.8111         17.0717          0.2348        -53.5129         11.0770       21.277870        4.811113
     2525.79015      2525.78482          3.1867          4.7512         17.5552         99.9000       -138.5873         11.0770        6.385303        4.751231
     2525.79709      2525.79176         23.1415          4.7207         17.0290          0.2215       -118.5434         11.0770        7.099188        4.720677
     2525.80404      2525.79871         14.5233          4.5579         17.5348          0.3407       -108.3673         11.0770       15.429414        4.557943
     2525.81098      2525.80565         33.0564          4.5553         16.6419          0.1496       -125.2856         11.0457       22.258119        4.555287
     2525.81793      2525.81260          7.8463          4.4325         17.6306         99.9000       -103.9188         11.0457       11.045664        4.432523
     2525.82487      2525.81954         27.3749          4.3028         16.8466          0.1707       -102.3010         11.0457       23.120841        4.302846
     2525.83182      2525.82649          1.0063          4.2645         17.6725         99.9000        -85.0249          9.8872        3.135386        4.264465
     2525.83876      2525.83343         24.0034          4.1192         16.9893          0.1863        -79.4731          9.8059       15.605779        4.119153
     2525.84571      2525.84038          6.0133          4.0701         17.7232         99.9000        -70.3927          9.4097        0.689585        4.070111
     2525.85265      2525.84732          8.9367          4.0755         17.7217         99.9000        -64.8851          9.4097        4.912067        4.075549
     2525.85960      2525.85426         10.8851          3.9186         17.7644         99.9000        -56.5699          9.4097        4.746291        3.918595
     2525.86654      2525.86121         20.3226          3.9886         17.1701          0.2131        -51.0604          8.8110       14.595374        3.988553
     2525.87349      2525.86815         20.3232          3.8331         17.1700          0.2048        -40.0212          8.8110       16.713733        3.833124
     2525.88043      2525.87510         10.4974          3.7892         17.8008         99.9000        -33.3343          8.5841        9.409660        3.789209
     2525.88738      2525.88204         15.0243          3.7152         17.4980          0.2685        -40.0209          8.5841        8.584117        3.715195
     2525.89433      2525.88899         13.1609          3.6860         17.6418          0.3041        -30.1787          8.4094       13.217813        3.685985
     2525.90127      2525.89593         12.0398          3.6964         17.7385          0.3333        -27.6417          7.3529       13.338844        3.696371
     2525.90822      2525.90288         17.8730          3.6055         17.3095          0.2190        -25.0754          7.0992       11.673654        3.605455
     2525.91516      2525.90982         15.6528          3.5378         17.4535          0.2454        -18.2156          6.8312        9.805851        3.537764
