# reference_flux:         75.5684
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2526.41071      2526.40981         83.1639          3.1674         15.6402          0.0414         -3.2970          0.9453       -1.523491        3.167446
     2526.41766      2526.41676         84.9168          3.1810         15.6175          0.0407         -3.8993          1.1140        4.624601        3.181014
     2526.42460      2526.42370         78.4222          3.1194         15.7039          0.0432         -4.8015          1.1140        2.794781        3.119418
     2526.43155      2526.43065         83.7220          3.1159         15.6329          0.0404          1.1627          1.1140        4.526525        3.115948
     2526.43849      2526.43759         81.7300          3.0887         15.6590          0.0410         -0.6827          1.1140       -0.735593        3.088674
     2526.44544      2526.44454         79.7275          3.0778         15.6860          0.0419         -2.9710          1.1140       -1.584390        3.077834
     2526.45238      2526.45148         80.3885          3.0287         15.6770          0.0409          0.7829          1.2370        1.557305        3.028663
     2526.45933      2526.45842         88.4550          2.9934         15.5732          0.0367         -4.1620          1.1140        3.620359        2.993412
     2526.46627      2526.46537         75.5865          2.9668         15.7439          0.0426          2.2916          1.1140        2.574142        2.966848
     2526.47322      2526.47231         80.7975          2.9533         15.6715          0.0397         -4.7369          1.2370       -0.410227        2.953348
     2526.48016      2526.47926         84.8052          2.9557         15.6189          0.0378         -1.1151          1.5573        3.459510        2.955717
     2526.48711      2526.48620         81.9770          2.9079         15.6558          0.0385          2.2011          1.5573        1.765697        2.907871
     2526.49405      2526.49315         85.6274          2.8962         15.6085          0.0367         -3.7817          1.5573        1.605387        2.896165
     2526.50100      2526.50009         81.5075          2.9211         15.6620          0.0389         -0.0972          1.5573        0.945347        2.921118
     2526.50794      2526.50704         77.9067          2.8409         15.7111          0.0396          1.7343          1.5573        0.440543        2.840890
     2526.51489      2526.51398         84.2360          2.8760         15.6263          0.0371         -1.5034          1.5573        1.113993        2.875997
     2526.52183      2526.52092         72.9020          2.8519         15.7832          0.0425          4.4531          1.5573        2.253806        2.851852
     2526.52878      2526.52787         84.8297          2.8342         15.6186          0.0363          1.0256          1.5573        2.208327        2.834176
     2526.53572      2526.53481         81.8615          2.8364         15.6573          0.0376         -2.0384          1.5573       -0.217775        2.836430
     2526.54267      2526.54176         76.3269          2.8234         15.7333          0.0402          1.3442          1.5573       -0.146789        2.823435
     2526.54961      2526.54870         72.4619          2.8012         15.7897          0.0420          2.3139          1.6054        0.296696        2.801179
     2526.55656      2526.55565         81.7130          2.7980         15.6593          0.0372         -0.0312          1.5573        0.282769        2.797966
     2526.56350      2526.56259         74.7532          2.7722         15.7559          0.0403         -0.0668          1.2370       -1.853614        2.772175
     2526.57045      2526.56954         69.9761          2.7498         15.8276          0.0427          4.1425          1.2370       -0.586288        2.749834
     2526.57739      2526.57648         79.6144          2.7557         15.6875          0.0376          2.6406          1.2370        1.236970        2.755704
     2526.58434      2526.58342         79.7023          2.7441         15.6863          0.0374          3.1921          1.2370        2.577992        2.744096
     2526.59128      2526.59037         72.7276          2.7360         15.7858          0.0408          2.8273          1.1140       -3.006362        2.735968
     2526.59823      2526.59731         76.4644          2.7207         15.7314          0.0386         -0.7498          1.1140       -0.304205        2.720666
     2526.60517      2526.60426         73.8073          2.7031         15.7698          0.0398          0.2258          1.1140       -4.272258        2.703118
     2526.61212      2526.61120         81.5009          2.6897         15.6621          0.0358          4.7500          1.1140        2.465118        2.689679
     2526.61906      2526.61815         74.8076          2.6757         15.7551          0.0388          4.3315          1.1140       -0.682950        2.675656
     2526.62601      2526.62509         78.7974          2.6482         15.6987          0.0365          0.9738          0.9453        2.642853        2.648221
     2526.63295      2526.63204         80.4660          2.6803         15.6760          0.0362          0.1669          0.4405        3.361897        2.680261
     2526.63990      2526.63898         74.8444          2.6589         15.7546          0.0386         -0.3622          0.2967        2.083184        2.658863
     2526.64684      2526.64592         79.0205          2.6404         15.6957          0.0363          2.2118          0.2967        3.167577        2.640424
     2526.65379      2526.65287         81.3460          2.6235         15.6642          0.0350          2.8346          0.2967        5.024830        2.623471
     2526.66073      2526.65981         84.3321          2.5500         15.6250          0.0328          2.7215          0.2967        4.183867        2.549993
     2526.66768      2526.66676         87.5134          2.5168         15.5848          0.0312          0.7080          0.2828        3.970025        2.516783
     2526.67462      2526.67370         75.6075          2.5281         15.7436          0.0363          2.9441          0.0157       -0.632303        2.528099
     2526.68157      2526.68065         87.4216          2.4950         15.5860          0.0310          0.0979          0.0157        2.766898        2.494993
     2526.68851      2526.68759         78.2861          2.5046         15.7058          0.0347          1.6016          0.0157        3.102743        2.504626
     2526.69546      2526.69454         78.3301          2.5324         15.7052          0.0351          0.8111         -0.1468       -1.101090        2.532407
     2526.70240      2526.70148         76.4806          2.5204         15.7311          0.0358          4.7568         -0.1468       -3.329138        2.520371
     2526.70935      2526.70842         89.3239          2.4935         15.5626          0.0303         -1.3655          0.0157        4.751051        2.493525
     2526.71629      2526.71537         77.4444          2.4938         15.7175          0.0350          2.3373          0.2828       -3.278695        2.493794
     2526.72324      2526.72231         79.4900          2.5496         15.6892          0.0348          3.8525          0.0157       -1.800199        2.549623
     2526.73018      2526.72926         78.1156          2.4942         15.7082          0.0347          2.8854         -0.2355        2.253198        2.494232
     2526.73713      2526.73620         77.6294          2.4488         15.7149          0.0342          0.8343          0.0157       -0.384696        2.448809
     2526.74407      2526.74315         78.0231          2.4436         15.7094          0.0340          1.1632          0.3548       -1.877657        2.443624
     2526.75102      2526.75009         70.9837          2.4371         15.8121          0.0373          0.6025          0.3548        0.015662        2.437098
     2526.75796      2526.75704         72.6048          2.4288         15.7876          0.0363          2.8208          0.0157        3.288161        2.428764
     2526.76491      2526.76398         77.8372          2.4313         15.7120          0.0339          2.3239          0.0157        1.645784        2.431304
     2526.77185      2526.77092         77.9529          2.4430         15.7104          0.0340          0.7750          0.0157       -3.154318        2.443044
     2526.77880      2526.77787         72.3284          2.4386         15.7917          0.0366          0.7274          0.3548       -0.993131        2.438577
     2526.78574      2526.78481         77.1845          2.4032         15.7212          0.0338          0.3728          0.3548       -1.674390        2.403166
     2526.79269      2526.79176         78.5904          2.4250         15.7016          0.0335          1.9954          0.4494       -0.694150        2.424970
     2526.79963      2526.79870         73.5449          2.3923         15.7736          0.0353          1.9747          0.3548       -0.905180        2.392344
     2526.80658      2526.80565         77.4833          2.3703         15.7170          0.0332         -0.1380          0.3548       -0.399972        2.370325
     2526.81353      2526.81259         80.5368          2.3791         15.6750          0.0321         -2.0503          0.3548        0.354787        2.379054
     2526.82047      2526.81954         79.6136          2.3903         15.6875          0.0326         -1.6578          0.3465        0.910243        2.390291
     2526.82742      2526.82648         70.4907          2.3817         15.8197          0.0367          2.2585          0.0157       -2.327709        2.381717
     2526.83436      2526.83342         77.3596          2.3619         15.7187          0.0331         -1.5737          0.0157       -0.326338        2.361918
     2526.84131      2526.84037         76.0608          2.3482         15.7371          0.0335         -1.0705          0.0157        0.449444        2.348182
     2526.84825      2526.84731         77.4573          2.3564         15.7173          0.0330          0.7810          0.0576        1.825401        2.356365
     2526.85520      2526.85426         82.1921          2.4005         15.6529          0.0317         -3.1340          0.0157       -0.235536        2.400475
     2526.86214      2526.86120         81.8058          2.3791         15.6580          0.0316         -1.2384         -0.2355        0.540545        2.379145
     2526.86909      2526.86815         79.7519          2.3833         15.6856          0.0324          0.1654          0.0157        3.179255        2.383339
     2526.87603      2526.87509         73.3466          2.4786         15.7766          0.0367          1.5235          0.0576        0.730169        2.478580
     2526.88298      2526.88204         70.5999          2.3863         15.8180          0.0367          1.6064          0.0576       -1.367373        2.386261
     2526.88992      2526.88898         75.1121          2.4594         15.7507          0.0356         -0.8482          0.0576       -0.287537        2.459395
     2526.89687      2526.89592         79.2479          2.3339         15.6925          0.0320         -0.5557          0.1814        2.536049        2.333945
     2526.90381      2526.90287         74.5065          2.4317         15.7595          0.0354          0.5441          0.0576        1.267202        2.431654
     2526.91076      2526.90981         79.8452          2.3715         15.6844          0.0322         -0.1645          0.0576        2.170375        2.371453
     2526.91770      2526.91676         72.5501          2.3038         15.7884          0.0345         -2.1798          0.0576       -3.189567        2.303843
     2526.92465      2526.92370         76.5734          2.4015         15.7298          0.0341          1.5937          0.1814       -0.348360        2.401547
     2526.93159      2526.93065         75.2912          2.3348         15.7481          0.0337          0.2995          0.1814       -1.037455        2.334792
     2526.93854      2526.93759         79.1164          2.3778         15.6943          0.0326          1.7031          0.1814        3.369126        2.377845
     2526.94548      2526.94454         75.3621          2.3321         15.7471          0.0336         -1.3655          0.3465        0.891009        2.332143
     2526.95243      2526.95148         80.8955          2.3532         15.6702          0.0316          1.2278          0.3465        1.907590        2.353158
     2526.95937      2526.95842         78.4823          2.3498         15.7031          0.0325         -3.8362          0.3548        0.346470        2.349770
     2526.96632      2526.96537         77.2163          2.3560         15.7207          0.0331         -0.3842          0.3548        2.628463        2.355977
     2526.97326      2526.97231         81.7357          2.2953         15.6590          0.0305         -2.3244          0.4494        2.014366        2.295315
     2526.98021      2526.97926         79.9380          2.3365         15.6831          0.0317          0.2883          0.4494       -0.679445        2.336459
     2526.98715      2526.98620         71.7036          2.2454         15.8011          0.0340         -0.3829          0.4765       -3.617139        2.245352
     2526.99410      2526.99315         76.8476          2.3593         15.7259          0.0333         -5.1898          0.4494        0.181446        2.359266
     2527.00104      2527.00009         77.9361          2.2823         15.7107          0.0318         -1.0734          0.4494        1.559081        2.282337
     2527.00799      2527.00704         76.0172          2.3046         15.7377          0.0329         -0.4287          0.4494        0.057554        2.304595
     2527.01493      2527.01398         77.5239          2.3382         15.7164          0.0327         -3.7346          0.4765       -2.385762        2.338222
     2527.02188      2527.02092         74.5731          2.3404         15.7585          0.0341         -0.1556          0.3465       -0.706927        2.340406
     2527.02882      2527.02787         81.8512          2.3352         15.6574          0.0310         -0.7875          0.4765        1.226690        2.335197
     2527.03577      2527.03481         78.4142          2.1885         15.7040          0.0303         -0.2368          0.4765        2.360991        2.188517
     2527.04271      2527.04176         79.9446          2.2927         15.6830          0.0311          0.1635          0.3465        5.566501        2.292746
     2527.04966      2527.04870         76.2990          2.2605         15.7337          0.0322         -1.8081          0.1814       -1.454396        2.260491
     2527.05660      2527.05565         78.8150          2.2669         15.6985          0.0312         -2.6757          0.1814        3.511192        2.266907
     2527.06355      2527.06259         70.4619          2.2549         15.8201          0.0347          0.5828          0.1814       -1.562005        2.254873
     2527.07049      2527.06954         73.0074          2.2887         15.7816          0.0340         -1.0836          0.1670       -2.795668        2.288652
     2527.07744      2527.07648         74.2357          2.2663         15.7635          0.0331         -1.1815          0.0576       -2.999354        2.266308
     2527.08438      2527.08342         75.3984          2.2719         15.7466          0.0327          0.5734         -0.3484        2.676382        2.271873
     2527.09133      2527.09037         78.1113          2.2609         15.7082          0.0314          0.0652         -0.3484        1.179374        2.260937
     2527.09827      2527.09731         76.8995          2.2593         15.7252          0.0319         -2.5870          0.0576        2.384144        2.259268
     2527.10522      2527.10426         76.8492          2.3287         15.7259          0.0329         -1.2416          0.0576        4.351836        2.328698
     2527.11216      2527.11120         72.6784          2.3538         15.7865          0.0352         -1.0395         -0.6416       -0.795152        2.353786
     2527.11911      2527.11815         78.5627          2.3477         15.7020          0.0324          2.8642         -0.6416        3.616917        2.347667
     2527.12605      2527.12509         76.9956          2.2255         15.7238          0.0314         -0.8810         -0.6416        0.166967        2.225495
     2527.13300      2527.13204         76.4805          2.2222         15.7311          0.0315         -1.0294         -0.6794        1.083098        2.222205
     2527.13994      2527.13898         71.6324          2.2194         15.8022          0.0336         -0.1508         -0.7069       -3.170346        2.219364
     2527.14689      2527.14592         75.0856          2.2687         15.7511          0.0328          0.6961         -0.7069        0.476528        2.268666
     2527.15383      2527.15287         80.3232          2.2321         15.6779          0.0302          0.2157         -0.7952       -1.374606        2.232099
     2527.16078      2527.15981         71.9231          2.2973         15.7978          0.0347          0.3551         -0.7952       -3.548179        2.297261
     2527.16772      2527.16676         74.1594          2.1923         15.7646          0.0321         -0.1962         -0.9700       -1.386018        2.192311
     2527.17467      2527.17370         77.4712          2.3028         15.7171          0.0323         -1.1790         -1.0643        1.490144        2.302827
     2527.18161      2527.18065         75.9431          2.2602         15.7388          0.0323         -1.8711         -1.0643       -1.454902        2.260170
     2527.18856      2527.18759         84.9438          2.2750         15.6172          0.0291         -3.6771         -0.9700        4.216833        2.275037
     2527.19550      2527.19454         74.1126          2.2724         15.7653          0.0333          0.3029         -0.9700        0.784400        2.272367
     2527.20245      2527.20148         71.7984          2.2587         15.7997          0.0342         -0.3266         -0.9700       -0.969986        2.258705
     2527.20939      2527.20842         76.6998          2.2569         15.7280          0.0319          0.5377         -0.9700       -3.269748        2.256904
     2527.21634      2527.21537         79.9443          2.2330         15.6830          0.0303         -3.8016         -0.9700       -1.429521        2.232962
     2527.22328      2527.22231         76.0649          2.1950         15.7370          0.0313         -2.5299         -0.8485       -1.064301        2.195024
     2527.23023      2527.22926         70.1960          2.1890         15.8242          0.0339          1.6019         -0.8485       -1.486773        2.189045
     2527.23717      2527.23620         71.3033          2.2179         15.8072          0.0338          0.6578         -0.7952       -2.745197        2.217910
     2527.24412      2527.24315         74.3958          2.2226         15.7611          0.0324         -3.5970         -0.6822       -2.031150        2.222615
     2527.25107      2527.25009         66.5116          2.3154         15.8828          0.0378          0.8712         -0.6822       -7.631519        2.315350
     2527.25801      2527.25704         81.2747          2.1971         15.6651          0.0294         -1.4380         -0.6822        1.023018        2.197083
     2527.26496      2527.26398         72.3219          2.2618         15.7918          0.0340         -1.1117         -0.6822       -1.844078        2.261800
     2527.27190      2527.27092         74.9648          2.1732         15.7529          0.0315          2.4931         -0.7952       -0.641587        2.173220
