# reference_flux:         -3.3898
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2552.50015      2552.49312         -8.8847          2.1521         18.4150         99.9000         -5.7442         -1.1354       -0.536159        2.152143
     2552.50709      2552.50007          1.7417          2.1583         18.4119         99.9000         -8.0322         -1.1354        0.555084        2.158272
     2552.51404      2552.50701         -0.9333          2.1388         18.4218         99.9000        -10.1497         -1.1354       -3.351455        2.138770
     2552.52099      2552.51396         -4.5267          2.1229         18.4299         99.9000         -8.3869         -0.5362        0.799925        2.122919
     2552.52793      2552.52090          0.3434          2.1289         18.4268         99.9000         -9.4616         -0.5362        2.187776        2.128871
     2552.53488      2552.52785          2.9258          2.0990         18.4422         99.9000         -9.1237         -0.5362        0.156699        2.099030
     2552.54182      2552.53479         -5.4052          2.0802         18.4519         99.9000         -8.3061         -0.5362       -1.135408        2.080177
     2552.54876      2552.54173         -2.9413          2.0668         18.4590         99.9000         -9.3355         -1.1354        0.217226        2.066800
     2552.55571      2552.54868         -4.5828          2.0914         18.4461         99.9000        -13.4509         -0.5688       -3.370183        2.091449
     2552.56265      2552.55562         -1.3209          2.0494         18.4681         99.9000        -11.7822         -1.1354        1.361633        2.049390
     2552.56960      2552.56257          3.3913          2.0415         18.4723         99.9000        -10.3823         -1.1354        2.339897        2.041517
     2552.57654      2552.56951         -1.5284          2.0428         18.4716         99.9000        -10.9285         -1.1354       -3.485633        2.042799
     2552.58349      2552.57646          1.7179          2.0743         18.4550         99.9000        -10.2830         -1.1354       -0.347342        2.074286
     2552.59043      2552.58340         -1.4335          2.0956         18.4439         99.9000         -7.5194         -1.1354       -3.952879        2.095573
     2552.59738      2552.59035          0.7269          2.0629         18.4610         99.9000         -8.1226         -1.1354       -1.553446        2.062917
     2552.60432      2552.59729          0.0512          2.0629         18.4610         99.9000         -5.4627         -1.1354        0.855750        2.062888
     2552.61127      2552.60423         -7.7551          2.0734         18.4555         99.9000         -6.1913         -1.1354       -5.836787        2.073352
     2552.61822      2552.61118          0.0673          2.0612         18.4619         99.9000         -4.2442         -1.1354        1.062441        2.061164
     2552.62516      2552.61812         -1.4150          2.0532         18.4661         99.9000         -6.4999         -1.1354       -2.424290        2.053180
     2552.63211      2552.62507         -2.7860          2.0599         18.4626         99.9000         -6.4603         -1.1354       -2.037620        2.059914
     2552.63905      2552.63201         -0.7982          2.0441         18.4710         99.9000         -5.5982         -1.1354       -0.438083        2.044065
     2552.64600      2552.63896         -4.3110          2.0025         18.4933         99.9000         -4.8567         -1.2417       -3.726122        2.002484
     2552.65294      2552.64590         -5.3648          2.0239         18.4817         99.9000         -5.8985         -1.1354       -1.241706        2.023901
     2552.65989      2552.65285         -8.5551          2.0340         18.4763         99.9000         -8.2102         -1.1354       -4.068712        2.033988
     2552.66683      2552.65979         -3.3198          2.0309         18.4780         99.9000         -8.6108         -1.2417       -1.920272        2.030863
     2552.67377      2552.66673         -2.7470          1.9984         18.4955         99.9000         -7.6343         -1.5534       -2.618323        1.998406
     2552.68072      2552.67368          1.6224          1.9777         18.5068         99.9000        -12.5476         -1.7179        0.045012        1.977661
     2552.68766      2552.68062          1.1591          1.9593         18.5169         99.9000        -11.5618         -1.7179        2.080660        1.959350
     2552.69461      2552.68757         -3.7527          1.9738         18.5089         99.9000        -14.8762         -1.7179       -2.607006        1.973812
