# reference_flux: -150583232671587872.0000
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2552.50053      2552.49312         -7.9561          2.5393         18.2354         99.9000         21.3340          0.2017        1.760806        2.539330
     2552.50747      2552.50007         -9.5726          2.5411         18.2346         99.9000         11.1744          0.2017        0.520029        2.541109
     2552.51442      2552.50701          0.5727          2.5217         18.2429         99.9000         17.2513          0.2017        1.213882        2.521747
     2552.52136      2552.51396         -3.0155          2.4269         18.2846         99.9000         19.7888          0.2017        0.277991        2.426912
     2552.52831      2552.52090         -2.9143          2.3925         18.3000         99.9000         19.0900          0.2017       -1.782691        2.392549
     2552.53525      2552.52785         -6.0572          2.4513         18.2737         99.9000          9.4982          0.2017       -4.470549        2.451307
     2552.54220      2552.53479         -2.7095          2.4039         18.2949         99.9000         10.8915          0.2017        3.033534        2.403850
     2552.54914      2552.54173        -10.9510          2.4108         18.2918         99.9000          6.4146          0.2017       -0.241096        2.410772
     2552.55609      2552.54868          1.5368          2.3941         18.2993         99.9000          8.4651          0.2017       -0.872094        2.394129
     2552.56303      2552.55562         -3.7405          2.3396         18.3243         99.9000          6.4391          0.1509       -1.135408        2.339603
     2552.56998      2552.56257         -0.8016          2.2257         18.3785         99.9000         10.2808          0.1509        3.064362        2.225702
     2552.57692      2552.56951          2.8093          2.2884         18.3484         99.9000          3.7588          0.1509       -0.373434        2.288423
     2552.58387      2552.57646         -6.4769          2.2494         18.3670         99.9000          5.8700          0.1157        0.150877        2.249444
     2552.59081      2552.58340         -2.2630          2.2056         18.3884         99.9000         13.8996          0.1157        0.688194        2.205616
     2552.59776      2552.59035         -4.6672          2.1400         18.4212         99.9000         14.1041         -0.0435        2.812726        2.140023
     2552.60470      2552.59729          4.7541          2.1741         18.4040         99.9000          0.3151         -0.0435        3.747581        2.174094
     2552.61164      2552.60423         -5.6826          2.1502         18.4160         99.9000          3.6553          0.1157       -3.806943        2.150197
     2552.61859      2552.61118         -6.3674          2.1518         18.4152         99.9000          9.0122          0.1157       -1.620544        2.151846
     2552.62553      2552.61812         -3.4963          2.1299         18.4263         99.9000          1.9798          0.1157       -0.043525        2.129897
     2552.63248      2552.62507         -6.1821          2.1569         18.4126         99.9000          8.4400          0.1157        0.201698        2.156899
     2552.63942      2552.63201         -4.8492          2.0372         18.4746         99.9000          3.8133          0.1509        0.690990        2.037229
     2552.64637      2552.63896         -4.1480          2.1192         18.4318         99.9000          7.2838          0.1157        0.621859        2.119207
     2552.65331      2552.64590        -11.2608          2.1079         18.4376         99.9000          9.8269          0.1157       -0.047480        2.107913
