# reference_flux:     -19800.4314
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2552.50044      2552.49312          1.2089          2.5391         18.2355         99.9000        -18.6296          2.9575        0.622242        2.539096
     2552.50739      2552.50007         -2.9895          2.5495         18.2311         99.9000        -17.1375          2.9575        2.954983        2.549461
     2552.51433      2552.50701          3.0311          2.4814         18.2605         99.9000        -15.7906          2.9575        3.116570        2.481361
     2552.52128      2552.51396          0.3097          2.4900         18.2567         99.9000        -16.0646          2.9575        5.648010        2.489957
     2552.52822      2552.52090          2.3570          2.4047         18.2945         99.9000        -12.4642          2.9575        2.793817        2.404748
     2552.53517      2552.52785          7.7539          2.3756         18.2162          0.3326        -16.6960          2.9550        5.087220        2.375574
     2552.54211      2552.53479         -2.8731          2.4002         18.2966         99.9000        -13.6659          2.9550        2.900796        2.400175
     2552.54906      2552.54173         -2.1721          2.4370         18.2801         99.9000        -15.8218          2.9550        2.979314        2.436977
     2552.55600      2552.54868         -2.2809          2.4448         18.2766         99.9000        -15.1409          2.9008        5.566366        2.444841
     2552.56295      2552.55562          5.3155          2.4752         18.2632         99.9000        -17.6529          2.9008        5.723447        2.475183
     2552.56989      2552.56257          1.6517          2.4082         18.2930         99.9000        -16.6054          2.9008        1.413893        2.408185
     2552.57684      2552.56951          1.1510          2.0711         18.4567         99.9000         -9.4578          2.9008        5.204634        2.071104
     2552.58378      2552.57646          2.8093          2.3544         18.3175         99.9000        -11.4902          2.9008        2.078203        2.354422
     2552.59073      2552.58340          4.2155          2.3220         18.3325         99.9000        -12.7345          2.7938        3.664136        2.322032
     2552.59767      2552.59035          0.4924          2.7211         18.1603         99.9000          2.3243          2.9008        3.790285        2.721097
     2552.60462      2552.59729         -1.4626          2.7565         18.1463         99.9000          2.7598          2.9008        1.947109        2.756502
     2552.61156      2552.60423          4.2700          2.4559         18.2717         99.9000        -14.1129          2.9008        5.482288        2.455878
     2552.61851      2552.61118          1.2394          2.7894         18.1334         99.9000          3.4389          2.7938        2.957511        2.789430
     2552.62545      2552.61812          1.4679          2.0851         18.4494         99.9000         -7.9501          2.7938        1.734289        2.085095
     2552.63240      2552.62507          0.2212          2.0386         18.4739         99.9000         -9.1879          2.7324        3.595755        2.038624
     2552.63934      2552.63201         -0.7382          2.0788         18.4527         99.9000         -8.2735          2.3420        0.282388        2.078760
     2552.64629      2552.63896          0.0063          2.1019         18.4407         99.9000         -6.4655          2.0782        3.599193        2.101864
     2552.65323      2552.64590         -1.9922          2.1743         18.4039         99.9000         -0.3176          2.0782        1.325932        2.174292
     2552.66018      2552.65285         -3.5769          2.0950         18.4443         99.9000         -9.2721          1.9471       -0.494175        2.094956
     2552.66712      2552.65979         -4.9847          2.1216         18.4305         99.9000         -2.9066          1.9471        1.683477        2.121589
     2552.67407      2552.66673          1.8780          2.0794         18.4524         99.9000         -9.4178          2.0782        1.684663        2.079395
     2552.68101      2552.67368         -3.4089          1.9902         18.5000         99.9000         -0.6544          1.9471        0.815471        1.990173
     2552.68796      2552.68062         -0.2337          2.0780         18.4531         99.9000         -8.6689          1.7650        1.039489        2.077999
     2552.69490      2552.68757         -4.0981          1.9781         18.5066         99.9000         -2.9361          1.7546       -0.386866        1.978098
     2552.70185      2552.69451         -5.9381          2.0046         18.4921         99.9000         -7.9687          1.7546       -1.063963        2.004602
     2552.70879      2552.70146         -1.6664          2.0620         18.4615         99.9000         -7.8495          1.7546       -0.962638        2.061973
     2552.71574      2552.70840         -2.1267          2.0185         18.4846         99.9000         -1.7353          1.7546        1.185096        2.018525
     2552.72268      2552.71535         -0.6480          2.0154         18.4863         99.9000         -9.3813          1.7343        1.721145        2.015416
     2552.72963      2552.72229          2.4674          2.0337         18.4765         99.9000         -8.5052          1.7343        5.009738        2.033676
     2552.73657      2552.72923          2.8404          1.9978         18.4958         99.9000         -8.0308          1.7343        1.321997        1.997847
     2552.74352      2552.73618          3.3395          2.0311         18.4778         99.9000        -10.7313          1.7546        2.732366        2.031137
     2552.75046      2552.74312          3.2849          1.9403         18.5275         99.9000         -9.8409          1.7343        2.342012        1.940338
     2552.75741      2552.75007          2.1822          1.9481         18.5232         99.9000         -3.9891          1.7211        3.380230        1.948059
     2552.76435      2552.75701         -3.8052          1.9646         18.5140         99.9000         -6.0933          1.7210        3.142344        1.964646
     2552.77130      2552.76396          2.6149          1.9630         18.5149         99.9000         -7.8485          1.7210        4.423150        1.963003
     2552.77824      2552.77090          1.0081          1.9951         18.4973         99.9000        -10.4226          1.7210        1.764992        1.995130
     2552.78518      2552.77785         -0.2284          1.9501         18.5220         99.9000        -13.2504          1.7210        0.576568        1.950138
     2552.79213      2552.78479         -0.6183          1.9033         18.5485         99.9000        -13.8478          1.7210        1.414683        1.903263
     2552.79907      2552.79173         -2.7130          1.8687         18.5683         99.9000        -13.5981          1.7210        0.537515        1.868704
     2552.80602      2552.79868         -1.9950          1.8343         18.5885         99.9000        -13.8828          1.7210        0.061096        1.834344
     2552.81296      2552.80562         -0.3130          1.8359         18.5876         99.9000        -12.7697          1.7210        3.049239        1.835887
     2552.81991      2552.81257         -2.9217          1.8621         18.5722         99.9000        -13.3842          1.6847        1.641322        1.862125
     2552.82685      2552.81951         -3.7936          1.8764         18.5639         99.9000         -9.9617          1.6847       -0.810552        1.876368
     2552.83380      2552.82646         -2.9324          1.8858         18.5584         99.9000        -10.9238          1.7210        2.432372        1.885831
     2552.84074      2552.83340         -3.3304          1.7903         18.6149         99.9000         -9.0587          1.7210       -0.013264        1.790327
     2552.84769      2552.84035         -0.6217          1.7819         18.6200         99.9000         -9.1487          1.7210        1.754594        1.781936
     2552.85463      2552.84729          0.3206          1.7505         18.6393         99.9000        -10.7066          1.7211        1.721000        1.750469
     2552.86158      2552.85423         -1.3817          1.7707         18.6268         99.9000        -10.1936          1.7211        2.797281        1.770749
     2552.86852      2552.86118          0.3023          1.8070         18.6048         99.9000         -9.7538          1.7211        3.743181        1.806971
     2552.87547      2552.86812          5.6673          1.8555         18.5566          0.3555        -12.2505          1.7314        4.694131        1.855451
     2552.88241      2552.87507         -2.1916          1.8443         18.5826         99.9000         -9.7408          1.7546        1.377551        1.844293
     2552.88936      2552.88201          0.2658          1.8253         18.5938         99.9000        -11.4207          1.7546        2.621689        1.825334
     2552.89630      2552.88896          1.6514          1.8019         18.6079         99.9000        -10.7161          1.7546        3.235427        1.801929
     2552.90325      2552.89590          4.3306          1.8122         18.6017         99.9000         -4.2343          1.7314        3.613492        1.812170
     2552.91019      2552.90285          0.4958          1.8302         18.5910         99.9000         -2.1552          1.7314       -1.484438        1.830189
     2552.91714      2552.90979          0.8359          1.8356         18.5877         99.9000         -4.0899          1.7210        1.552192        1.835608
     2552.92408      2552.91673         -0.9266          1.8090         18.6036         99.9000         -4.4299          1.6413        1.524670        1.808990
     2552.93103      2552.92368         -2.3317          1.8245         18.5943         99.9000         -6.1701          1.5556        5.656902        1.824511
     2552.93797      2552.93062          7.3724          1.8102         18.2710          0.2666         -3.4626          1.5522        3.633185        1.810198
     2552.94492      2552.93757          0.1984          1.8113         18.6022         99.9000         -5.6980          1.5522        5.030178        1.811264
     2552.95186      2552.94451         -0.5848          1.8076         18.6045         99.9000         -4.5216          1.5247        3.090085        1.807573
     2552.95881      2552.95146         -1.2382          1.7799         18.6212         99.9000         -4.5629          1.5247        2.474476        1.779857
     2552.96575      2552.95840          0.5850          1.7766         18.6232         99.9000         -3.7442          1.5247        1.910204        1.776564
     2552.97270      2552.96535          0.1017          1.7862         18.6174         99.9000         -4.5772          1.5247       -0.008515        1.786222
     2552.97964      2552.97229         -0.9698          1.8051         18.6059         99.9000         -2.7460          1.5247       -0.627233        1.805090
     2552.98659      2552.97923         -4.8386          1.7931         18.6132         99.9000         -3.3132          1.5247       -0.403489        1.793148
     2552.99353      2552.98618          5.0422          1.7847         18.6183         99.9000         -2.8145          1.5247        2.968872        1.784739
     2553.00048      2552.99312         -7.5663          1.7713         18.6265         99.9000         -3.3262          1.5522       -3.228297        1.771258
     2553.00742      2553.00007         -4.2306          1.7239         18.6559         99.9000         -4.6126          1.5522        0.853051        1.723873
     2553.01437      2553.00701         -0.9517          1.7059         18.6673         99.9000         -6.5947          1.5522        2.887089        1.705914
     2553.02131      2553.01396         -0.5568          1.7413         18.6450         99.9000         -5.4933          1.5522       -0.409210        1.741265
     2553.02826      2553.02090          4.0181          1.7270         18.6539         99.9000         -5.1158          1.5247        0.712032        1.727048
     2553.03520      2553.02785         -2.7277          1.7267         18.6542         99.9000         -2.6707          1.5247        1.731358        1.726700
     2553.04215      2553.03479         -2.5483          1.7404         18.6456         99.9000         -2.8103          1.5247        3.385831        1.740386
     2553.04909      2553.04173         -3.9880          1.6976         18.6726         99.9000         -4.6143          1.4566       -0.851104        1.697619
     2553.05604      2553.04868         -1.4409          1.7029         18.6692         99.9000         -5.6565          1.5247       -0.000848        1.702888
     2553.06298      2553.05562         -0.7685          1.6851         18.6806         99.9000         -7.9681          1.4566       -0.986180        1.685145
     2553.06993      2553.06257         -5.3385          1.6769         18.6860         99.9000         -4.2356          1.4399        1.456630        1.676857
     2553.07687      2553.06951          1.0123          1.6667         18.6925         99.9000         -7.0994          1.3338        1.555565        1.666722
     2553.08382      2553.07646          0.5588          1.6770         18.6859         99.9000         -8.2071          1.3338        0.239044        1.676962
     2553.09076      2553.08340          0.4801          1.7123         18.6633         99.9000         -6.7070          1.3204        1.333793        1.712280
     2553.09771      2553.09035         -1.0661          1.7093         18.6652         99.9000         -7.0893          1.1970       -1.025044        1.709278
     2553.10465      2553.09729         -4.7150          1.6936         18.6751         99.9000         -5.0563          0.9546        1.938293        1.693631
     2553.11160      2553.10423         -0.2230          1.7235         18.6562         99.9000         -8.7515          0.8531        1.439856        1.723519
     2553.11854      2553.11118         -3.9570          1.6868         18.6796         99.9000         -9.1209          0.7257        1.196965        1.686770
     2553.12549      2553.11812         -4.4927          1.6816         18.6829         99.9000         -6.7366          0.7120       -1.248672        1.681629
     2553.13243      2553.12507         -2.9435          1.6749         18.6872         99.9000         -8.7085          0.6557       -1.557121        1.674864
     2553.13938      2553.13201         -4.6022          1.6518         18.7023         99.9000         -6.8475          0.3470       -2.537707        1.651781
     2553.14632      2553.13896         -1.3835          1.6849         18.6807         99.9000         -8.2143          0.6557        2.306852        1.684931
     2553.15327      2553.14590          0.2329          1.6832         18.6819         99.9000         -8.2327          0.6557        1.859342        1.683203
     2553.16021      2553.15285         -0.6543          1.7043         18.6683         99.9000         -8.0354          0.6557        1.634748        1.704338
     2553.16716      2553.15979          1.7392          1.6989         18.6718         99.9000         -8.0025          0.3470        1.661389        1.698929
     2553.17410      2553.16673          0.3820          1.6844         18.6811         99.9000         -5.0023          0.3470        0.954559        1.684379
     2553.18105      2553.17368          0.9716          1.6315         18.7157         99.9000         -5.7161          0.2390        1.586450        1.631535
     2553.18799      2553.18062         -1.8837          1.6263         18.7192         99.9000         -5.4685          0.2390       -1.637691        1.626250
     2553.19494      2553.18757         -1.1135          1.6287         18.7176         99.9000         -6.5930          0.2390        1.776182        1.628747
     2553.20188      2553.19451          0.3322          1.6241         18.7206         99.9000         -6.5206         -0.0008        1.898831        1.624148
     2553.20883      2553.20146         -5.8231          1.6659         18.6931         99.9000         -7.9178         -0.0359       -2.048750        1.665922
     2553.21577      2553.20840         -0.2353          1.6825         18.6823         99.9000         -7.5993         -0.1776        1.909688        1.682524
     2553.22272      2553.21535         -3.2048          1.6770         18.6858         99.9000         -7.9176         -0.1776       -2.301830        1.677034
     2553.22966      2553.22229         -1.7611          1.6016         18.7358         99.9000         -6.8196         -0.5354       -0.035867        1.601623
     2553.23661      2553.22923         -1.8844          1.5929         18.7417         99.9000         -5.6579         -0.5354       -0.177625        1.592886
     2553.24355      2553.23618          1.1435          1.5907         18.7433         99.9000         -5.8259         -0.6058        0.725725        1.590657
     2553.25050      2553.24312          0.0584          1.6191         18.7240         99.9000         -8.4495         -0.6058        1.320371        1.619068
     2553.25744      2553.25007          3.3615          1.6513         18.7026         99.9000         -5.6264         -0.8403       -0.535426        1.651338
     2553.26439      2553.25701         -2.1008          1.6660         18.6930         99.9000         -5.2488         -0.8768       -2.390595        1.665977
     2553.27133      2553.26396         -2.6246          1.6365         18.7124         99.9000         -4.5081         -0.8768        0.655712        1.636500
     2553.27828      2553.27090         -0.5830          1.6002         18.7368         99.9000         -4.3970         -1.1395       -0.605817        1.600175
     2553.28522      2553.27785         -0.4337          1.5661         18.7602         99.9000         -4.5703         -1.1395        0.347045        1.566059
     2553.29217      2553.28479         -4.6242          1.5502         18.7712         99.9000         -1.8300         -1.1665       -0.876760        1.550239
     2553.29911      2553.29173         -0.2012          1.5968         18.7391         99.9000         -4.4228         -1.1395       -0.840285        1.596806
     2553.30606      2553.29868          0.5143          1.6398         18.7102         99.9000         -2.7813         -0.8768        0.939708        1.639840
     2553.31300      2553.30562         -0.5786          1.6468         18.7056         99.9000         -3.7927         -0.8403       -2.098619        1.646842
     2553.31995      2553.31257         -5.1397          1.6366         18.7124         99.9000         -4.7534         -0.8403       -2.287605        1.636578
     2553.32689      2553.31951         -9.3786          1.5810         18.7499         99.9000         -3.5573         -0.8403       -4.297021        1.580986
     2553.33384      2553.32646         -4.8785          1.5775         18.7523         99.9000         -1.5974         -0.8768       -3.457174        1.577468
     2553.34078      2553.33340         -1.8187          1.5749         18.7540         99.9000         -4.3346         -1.1395       -1.139504        1.574947
     2553.34773      2553.34035          2.8515          1.5875         18.7454         99.9000         -5.7260         -1.1665        2.277740        1.587514
     2553.35467      2553.34729         -6.2034          1.5884         18.7448         99.9000         -5.2712         -1.2153       -2.456102        1.588355
     2553.36162      2553.35423         -4.2891          1.6162         18.7259         99.9000         -6.2905         -1.2153       -4.328045        1.616230
     2553.36856      2553.36118         -3.0050          1.6017         18.7358         99.9000         -4.1809         -1.2153       -1.609835        1.601657
