# reference_flux:         45.7642
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2552.85620      2552.85424         42.4609          2.7234         16.3700          0.0696          8.1076          0.6217        2.788232        2.723440
     2552.86315      2552.86119         40.6849          2.0662         16.4164          0.0551          5.1384          0.6217       -1.158039        2.066171
     2552.87009      2552.86813         44.6698          2.0309         16.3150          0.0494          0.2501          0.6217        0.621727        2.030908
     2552.87704      2552.87507         45.9595          2.6653         16.2841          0.0630          5.1444          0.6217        3.230649        2.665320
     2552.88398      2552.88202         45.4918          2.5906         16.2952          0.0618          3.9899          0.6217        2.631439        2.590605
     2552.89093      2552.88896         39.5174          1.9234         16.4480          0.0528          1.9855          0.6217       -2.473703        1.923404
     2552.89787      2552.89591         46.9801          1.8929         16.2602          0.0437          2.1011          0.6217       -0.528771        1.892932
     2552.90482      2552.90285         40.2794          1.8814         16.4273          0.0507          3.1749          0.5397        0.363842        1.881359
     2552.91176      2552.90980         42.8373          1.8420         16.3604          0.0467          1.3105          0.5397        1.027934        1.842023
     2552.91871      2552.91674         32.2644          2.6139         16.6682          0.0880          9.2666          0.5397       -3.085630        2.613936
     2552.92566      2552.92369         40.6525          2.0356         16.4173          0.0544          2.1514          0.6217        0.539656        2.035617
     2552.93260      2552.93063         40.7470          2.0627         16.4148          0.0550         -1.1092          0.6217       -1.355414        2.062673
     2552.93954      2552.93757         43.2233          2.5740         16.3507          0.0647          4.1068          0.6217        0.171904        2.574019
     2552.94649      2552.94452         38.0031          2.5780         16.4905          0.0737          9.5261          0.6217        3.962202        2.577963
     2552.95344      2552.95146         40.3036          2.0219         16.4266          0.0545          4.7846          0.7759        0.010998        2.021907
     2552.96038      2552.95841         49.1293          2.5318         16.2116          0.0560          3.1873          0.7759        4.100228        2.531767
     2552.96733      2552.96535         42.4537          2.2127         16.3702          0.0566          0.5784          0.7759        0.421041        2.212655
     2552.97427      2552.97230         47.8170          2.3514         16.2410          0.0534         -1.4504          0.8273        2.527067        2.351380
     2552.98122      2552.97924         41.4595          2.4801         16.3959          0.0649          3.1012          0.9320        1.208595        2.480101
     2552.98816      2552.98619         35.5260          2.4545         16.5636          0.0750          5.0989          1.0135        1.731651        2.454465
     2552.99511      2552.99313         38.2970          2.4619         16.4821          0.0698          1.5492          0.9320        3.833487        2.461918
     2553.00205      2553.00007         42.1419          2.4781         16.3782          0.0638          2.0154          0.9320        2.170764        2.478116
     2553.00900      2553.00702         40.4560          2.4557         16.4225          0.0659          2.8515          0.9320        0.931950        2.455653
     2553.01594      2553.01396         47.6505          2.4178         16.2448          0.0551          4.7980          0.9320       -0.328940        2.417798
     2553.02289      2553.02091         36.5622          2.4678         16.5324          0.0733          3.5522          0.8273       -2.417298        2.467822
     2553.02983      2553.02785         35.2542          2.4400         16.5720          0.0751          4.9712          0.8273       -2.189132        2.440006
     2553.03678      2553.03480         36.0350          2.4024         16.5482          0.0724          4.9947          0.9320        0.827293        2.402364
     2553.04372      2553.04174         41.3525          2.4193         16.3987          0.0635          0.6548          0.9320        1.115577        2.419343
     2553.05067      2553.04868         38.2975          2.4277         16.4821          0.0688          7.1672          0.9320        3.259621        2.427719
     2553.05761      2553.05563         46.0159          2.4248         16.2827          0.0572          6.3867          0.9320        2.766471        2.424819
     2553.06456      2553.06257         41.0097          2.4256         16.4078          0.0642          9.8365          0.9745        0.317361        2.425617
     2553.07150      2553.06952         39.1041          2.4194         16.4594          0.0672          6.9041          0.9745       -0.448845        2.419403
     2553.07845      2553.07646         42.4823          2.4501         16.3695          0.0626          3.4072          0.9745        5.692627        2.450057
     2553.08539      2553.08341         38.1318          2.4047         16.4868          0.0685          4.1688          0.9745        3.278051        2.404700
     2553.09234      2553.09035         39.4187          2.2174         16.4507          0.0611          3.3251          0.9745        0.775898        2.217395
     2553.09928      2553.09730         41.5892          2.2562         16.3925          0.0589          1.0923          0.9745        3.907609        2.256197
     2553.10623      2553.10424         34.4979          2.3077         16.5955          0.0726          2.5009          1.0135       -6.429061        2.307728
     2553.11317      2553.11118         48.1456          2.4350         16.2336          0.0549          0.3890          1.0678        4.578939        2.435037
     2553.12012      2553.11813         34.4636          2.4097         16.5966          0.0759         -0.0600          1.0640       -3.507079        2.409725
     2553.12706      2553.12507         36.9729          2.4354         16.5203          0.0715          4.2705          1.0678        1.097303        2.435384
     2553.13401      2553.13202         39.1085          2.4074         16.4593          0.0668          3.7130          1.0640        1.013470        2.407397
     2553.14095      2553.13896         40.0730          2.4215         16.4329          0.0656          4.3034          1.0678        2.415382        2.421508
     2553.14790      2553.14591         38.6075          2.4418         16.4733          0.0687          3.1992          1.0678        1.067802        2.441847
     2553.15484      2553.15285         35.7803          2.4075         16.5559          0.0731          3.6345          1.0678       -0.022866        2.407527
     2553.16179      2553.15980         44.4145          2.4490         16.3212          0.0599          2.9756          1.0678        2.896418        2.449048
     2553.16873      2553.16674         39.8343          2.4203         16.4394          0.0660          2.6811          1.0640       -0.475880        2.420315
     2553.17568      2553.17368         34.9297          2.3647         16.5820          0.0735          6.4501          1.0135        0.074244        2.364668
     2553.18262      2553.18063         39.5751          2.4102         16.4464          0.0661         -0.2720          1.0135       -0.796157        2.410181
     2553.18957      2553.18757         46.3388          2.4385         16.2751          0.0571          1.8895          1.0640        0.974511        2.438542
     2553.19651      2553.19452         44.1310          2.4052         16.3281          0.0592          0.6114          1.0640        1.085168        2.405173
     2553.20346      2553.20146         32.0182          2.3510         16.6765          0.0797          4.3033          1.0640       -1.194970        2.351010
     2553.21040      2553.20841         41.8663          2.3640         16.3853          0.0613         -1.2626          1.0640        3.900995        2.364031
     2553.21735      2553.21535         38.9018          2.3482         16.4651          0.0655          1.5428          1.0640        3.672135        2.348167
     2553.22430      2553.22230         45.3262          2.3739         16.2991          0.0569          2.1617          1.0135        1.523428        2.373937
     2553.23124      2553.22924         39.2767          2.3651         16.4547          0.0654          2.3453          0.9745        0.570112        2.365060
     2553.23818      2553.23618         36.0448          2.3568         16.5479          0.0710          2.3197          1.0135       -1.485243        2.356792
     2553.24513      2553.24313         43.9717          2.3541         16.3321          0.0581         -0.4212          1.0135        3.194260        2.354126
     2553.25207      2553.25007         43.4559          2.3674         16.3449          0.0591         -0.4391          0.9745       -0.700675        2.367355
     2553.25902      2553.25702         40.4917          2.4781         16.4216          0.0664          1.4087          0.9577       -0.043977        2.478072
     2553.26597      2553.26396         41.9291          2.4051         16.3837          0.0623          1.7560          0.9577        1.746748        2.405080
     2553.27291      2553.27091         39.1678          2.2987         16.4577          0.0637          3.0300          0.5701        1.384751        2.298704
     2553.27986      2553.27785         41.8110          2.2826         16.3868          0.0593         -2.5896          0.5701        1.064018        2.282585
     2553.28680      2553.28480         40.5290          2.2974         16.4206          0.0615         -1.7035          0.3536        1.511952        2.297418
     2553.29375      2553.29174         47.3156          2.3476         16.2525          0.0539          0.8390          0.3536        0.353586        2.347613
     2553.30069      2553.29868         38.7870          2.3594         16.4683          0.0660          4.4847          0.3108        3.398733        2.359363
     2553.30764      2553.30563         36.1682          2.3565         16.5442          0.0707          5.8280          0.1165        1.260152        2.356482
     2553.31458      2553.31257         39.3288          2.3514         16.4532          0.0649          5.8334          0.0742        2.105817        2.351418
     2553.32153      2553.31952         36.4021          2.3683         16.5372          0.0706          8.7238         -0.0229        1.298156        2.368263
     2553.32847      2553.32646         37.7984          2.3479         16.4963          0.0674          4.0011         -0.0440       -2.664082        2.347858
     2553.33542      2553.33341         39.9664          2.3631         16.4358          0.0642          3.5489         -0.1481        0.957735        2.363105
     2553.34236      2553.34035         38.7995          2.3617         16.4679          0.0661          2.8415         -0.1481       -0.456585        2.361715
     2553.34931      2553.34730         45.1265          2.2604         16.3039          0.0544          2.0371         -0.1481        2.890282        2.260411
     2553.35625      2553.35424         39.7921          2.3386         16.4405          0.0638          7.6151         -0.1481       -0.732229        2.338590
     2553.36320      2553.36118         44.8134          2.3392         16.3115          0.0567          6.7060         -0.1481        0.310785        2.339163
     2553.37014      2553.36813         42.1656          2.3532         16.3776          0.0606          8.1429         -0.3307       -1.258889        2.353170
     2553.37709      2553.37507         33.5218          2.3081         16.6267          0.0748          7.2898         -0.3307        1.979050        2.308051
     2553.38403      2553.38202         37.8681          2.3503         16.4943          0.0674          3.7311         -0.4566       -3.240406        2.350313
     2553.39098      2553.38896         38.0289          2.3490         16.4897          0.0671          8.1726         -0.5304       -0.792459        2.348998
     2553.39792      2553.39591         35.5749          2.3335         16.5621          0.0712          5.6520         -0.5304        1.351819        2.333537
     2553.40487      2553.40285         43.4397          2.3828         16.3453          0.0596          8.3072         -0.5304       -1.999621        2.382793
     2553.41181      2553.40980         36.9521          2.3274         16.5209          0.0684          6.4141         -0.5304       -2.561161        2.327403
     2553.41876      2553.41674         35.2648          2.3333         16.5716          0.0718          7.7276         -0.5304       -1.253184        2.333291
     2553.42570      2553.42368         39.8148          2.3158         16.4399          0.0632          8.0222         -0.5304        0.116483        2.315818
     2553.43265      2553.43063         38.6403          2.2196         16.4724          0.0624         10.7708         -0.6344       -1.952110        2.219602
     2553.43959      2553.43757         40.1603          2.3179         16.4305          0.0627          7.9329         -0.6344       -0.530407        2.317941
     2553.44654      2553.44452         39.2094          2.3023         16.4565          0.0638          3.2650         -0.6890       -1.365524        2.302317
     2553.45348      2553.45146         36.3262          2.3335         16.5394          0.0697          9.5705         -0.6890       -0.330737        2.333538
     2553.46043      2553.45841         36.9003          2.3151         16.5224          0.0681          6.1530         -0.7322       -0.634359        2.315128
     2553.46737      2553.46535         33.3780          2.3397         16.6313          0.0761          6.5371         -0.7925       -0.930264        2.339680
     2553.47432      2553.47230         40.4772          2.2907         16.4220          0.0614          6.1525         -0.9303       -1.879984        2.290745
     2553.48126      2553.47924         43.0869          2.3406         16.3541          0.0590          7.1608         -0.9682       -1.280467        2.340636
     2553.48821      2553.48618         36.8316          2.3064         16.5244          0.0680          5.3084         -0.9682       -3.069530        2.306395
     2553.49515      2553.49313         32.4029          2.2383         16.6635          0.0750          8.5953         -0.9682       -0.148139        2.238288
     2553.50210      2553.50007         37.9682          2.3196         16.4914          0.0663          8.5233         -0.9682       -0.689028        2.319608
     2553.50904      2553.50702         38.0195          2.2539         16.4900          0.0644          5.5306         -1.0902       -0.029388        2.253886
     2553.51599      2553.51396         31.9332          2.2909         16.6794          0.0779          6.2238         -1.2532       -2.660028        2.290888
     2553.52293      2553.52091         39.0164          2.2397         16.4619          0.0623          4.0090         -1.2532        0.661448        2.239675
     2553.52988      2553.52785         40.7667          2.2324         16.4142          0.0595          3.2555         -1.2532       -3.109628        2.232352
     2553.53682      2553.53480         41.8181          2.2835         16.3866          0.0593          6.5219         -1.2532       -2.228204        2.283519
