# reference_flux:         80.5223
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2552.85705      2552.85424         68.5274          2.7777         15.8503          0.0440         34.7867         -2.3865       -3.967623        2.777702
     2552.86399      2552.86119         79.2769          2.8402         15.6921          0.0389         35.8855         -2.3865        0.255583        2.840150
     2552.87094      2552.86813         78.2284          2.8165         15.7066          0.0391         25.2300         -2.3865       -1.889687        2.816504
     2552.87788      2552.87507         72.1044          2.1926         15.7951          0.0330         15.7703         -2.3865       -3.995192        2.192622
     2552.88483      2552.88202         73.6796          2.8090         15.7716          0.0414         34.0208         -2.3865       -4.289625        2.809013
     2552.89177      2552.88896         71.6115          2.8058         15.8025          0.0425         31.3367         -2.3865       -3.731053        2.805769
     2552.89872      2552.89591         72.3583          2.1385         15.7913          0.0321         13.1624         -2.3865       -5.303543        2.138480
     2552.90566      2552.90285         73.8634          2.7956         15.7689          0.0411         40.5202         -2.3865       -4.274755        2.795557
     2552.91261      2552.90980         73.9746          2.1011         15.7673          0.0308         15.2705         -2.3865       -2.386472        2.101143
     2552.91955      2552.91674         72.8115          2.0902         15.7845          0.0312         17.2033         -2.3865       -3.670941        2.090199
     2552.92650      2552.92369         73.1775          2.0642         15.7791          0.0306         17.5396         -2.3865       -2.425240        2.064205
     2552.93344      2552.93063         77.3068          2.0407         15.7195          0.0287         17.9824         -2.3865       -2.091986        2.040747
     2552.94039      2552.93757         75.9639          2.0572         15.7385          0.0294         18.4581         -2.3865       -1.252863        2.057226
     2552.94733      2552.94452         73.0800          2.1803         15.7805          0.0324         19.2723         -2.4252       -1.476643        2.180296
     2552.95428      2552.95146         72.5656          2.5992         15.7882          0.0389         37.3545         -2.4252       -1.334620        2.599152
     2552.96123      2552.95841         70.4573          2.5530         15.8202          0.0393         37.5968         -2.3865       -3.180956        2.552988
     2552.96817      2552.96535         71.2127          2.1206         15.8086          0.0323         20.5967         -2.4252       -0.613857        2.120627
     2552.97512      2552.97230         69.4358          2.1134         15.8360          0.0330         21.2944         -2.3865       -3.616392        2.113381
     2552.98206      2552.97924         78.9573          2.5184         15.6965          0.0346         28.2811         -2.3865       -0.107075        2.518433
     2552.98901      2552.98619         79.1454          2.5207         15.6939          0.0346         39.2868         -2.3865        0.073165        2.520712
     2552.99595      2552.99313         75.9389          2.4550         15.7388          0.0351         40.3393         -2.3865       -2.196850        2.455044
     2553.00290      2553.00007         77.3056          2.4468         15.7195          0.0344         35.3560         -2.3692       -0.863677        2.446824
     2553.00984      2553.00702         79.4087          2.4902         15.6903          0.0340         29.0430         -2.3692       -1.710790        2.490172
     2553.01679      2553.01396         69.8656          2.4647         15.8293          0.0383         29.6229         -2.3692       -4.154762        2.464694
     2553.02373      2553.02091         71.5725          2.4515         15.8031          0.0372         30.0547         -2.1968       -3.207923        2.451461
     2553.03068      2553.02785         71.9956          2.4592         15.7967          0.0371         30.7889         -2.1968       -1.532786        2.459205
     2553.03762      2553.03480         75.6410          2.4421         15.7431          0.0351         29.3974         -2.3512       -2.369155        2.442061
     2553.04457      2553.04174         78.7500          2.3494         15.6994          0.0324         37.0132         -2.3512        0.964625        2.349379
     2553.05151      2553.04868         77.2603          2.3473         15.7201          0.0330         38.6690         -2.1968       -2.141562        2.347253
     2553.05846      2553.05563         69.2065          2.3608         15.8396          0.0370         34.4815         -2.1416       -6.329902        2.360780
     2553.06540      2553.06257         81.4449          2.3486         15.6628          0.0313         35.7402         -2.0920       -1.810841        2.348644
     2553.07235      2553.06952         76.8017          2.3602         15.7266          0.0334         38.9768         -2.0269       -2.860933        2.360199
     2553.07929      2553.07646         74.6953          2.3329         15.7568          0.0339         30.1206         -2.0269       -3.180741        2.332903
     2553.08624      2553.08341         74.1356          2.3772         15.7649          0.0348         37.6033         -1.9612       -1.068911        2.377227
     2553.09318      2553.09035         77.5356          2.3286         15.7162          0.0326         33.4452         -1.8108       -1.961230        2.328642
     2553.10013      2553.09730         78.7746          2.3376         15.6990          0.0322         36.9581         -1.7108        1.161818        2.337629
     2553.10707      2553.10424         82.8611          2.3305         15.6441          0.0305         39.1650         -1.7108       -2.810892        2.330527
     2553.11402      2553.11118         74.5731          2.3238         15.7585          0.0338         32.5465         -1.7108       -2.985122        2.323844
