# reference_flux:         28.2056
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2551.56263      2551.56258         15.2004          4.9705         17.4854          0.3550        -58.9577         -0.5619       -4.270215        4.970505
     2551.56957      2551.56952         33.9673          5.0135         16.6123          0.1603        -91.0425         -0.5619        5.353902        5.013471
     2551.57652      2551.57647         17.4437          5.1003         17.3359          0.3175        -68.6804          0.0410       -9.090436        5.100274
     2551.58346      2551.58341         26.0219          5.1851         16.9017          0.2163        -92.0595          0.0410        6.749648        5.185149
     2551.59041      2551.59036         28.7770          5.2812         16.7924          0.1993        -84.8085          0.0410        5.290229        5.281245
     2551.59735      2551.59730         17.0042          5.3368         17.3636          0.3408        -74.9793          0.0410        1.150239        5.336786
     2551.60429      2551.60425          5.5223          5.4167         17.4129         99.9000        -74.4257          0.0410      -17.625920        5.416734
     2551.61124      2551.61119         11.6446          5.4630         17.4036         99.9000        -74.9423          1.1502      -10.321813        5.463037
     2551.61818      2551.61814         39.7601          5.4948         16.4414          0.1500        -85.8994          0.0410       14.407508        5.494847
     2551.62513      2551.62508         12.3268          5.5384         17.3887         99.9000        -79.0022          0.0410       -6.537940        5.538423
     2551.63207      2551.63202         26.0174          5.5868         16.9018          0.2331        -71.7825          1.1502        0.040996        5.586844
     2551.63902      2551.63897         10.0667          5.6034         17.3761         99.9000        -66.5791          1.1502      -17.014333        5.603431
     2551.64596      2551.64591         31.2949          5.6425         16.7013          0.1958        -73.8122          1.1502       -0.561868        5.642453
     2551.65291      2551.65286         24.7419          5.7234         16.9564          0.2512       -123.5972          3.2983        5.855350        5.723402
     2551.65985      2551.65980         20.6116          5.7430         17.1547          0.3025       -119.0618          3.6044      -10.515881        5.743040
     2551.66680      2551.66675         39.6965          5.7824         16.4431          0.1582       -152.5115          3.9608       13.999751        5.782430
     2551.67374      2551.67369         19.3666          5.8190         17.2224          0.3262       -147.5196          3.9608        7.348094        5.818977
     2551.68069      2551.68064          0.0898          5.8790         17.3239         99.9000        -58.1922          4.9210      -22.551833        5.878950
     2551.68763      2551.68758         17.4262          5.8940         17.3212         99.9000       -171.7426          5.0242        5.024206        5.894022
     2551.69458      2551.69452         18.3691          5.9472         17.2798          0.3515       -203.3529          5.2902       -0.785663        5.947250
