# reference_flux:        119.7421
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2551.56303      2551.56258        125.1084          2.9565         15.1968          0.0257       -103.6755         -1.3054        0.111091        2.956484
     2551.56997      2551.56952        127.9995          2.9542         15.1720          0.0251       -105.0456         -1.3054        1.945484        2.954150
     2551.57692      2551.57647        122.2739          2.7899         15.2217          0.0248       -100.4308         -0.0143        1.418552        2.789897
     2551.58386      2551.58341        119.0576          2.8119         15.2506          0.0256       -101.1749         -1.3054        2.380720        2.811859
     2551.59081      2551.59036        118.4369          2.9503         15.2563          0.0270       -109.6199         -0.7563       -3.741991        2.950259
     2551.59775      2551.59730        121.7663          2.9789         15.2262          0.0266       -113.1239         -1.3054       -2.714803        2.978875
     2551.60470      2551.60425        125.1756          2.9676         15.1962          0.0257       -111.7420         -1.3054       -2.898346        2.967580
     2551.61164      2551.61119        127.3431          2.9850         15.1776          0.0255       -112.5753         -1.3054        1.042205        2.984965
     2551.61859      2551.61814        128.5220          3.0475         15.1676          0.0257       -123.0146         -1.3054       -1.305376        3.047515
     2551.62553      2551.62508        122.5230          3.0689         15.2195          0.0272       -122.7949         -1.2075       -3.738338        3.068880
     2551.63248      2551.63202        128.1531          3.0308         15.1707          0.0257       -120.7699         -1.1232        0.376984        3.030810
     2551.63942      2551.63897        123.8774          3.0792         15.2075          0.0270       -125.1659         -1.1232       -1.569403        3.079189
     2551.64637      2551.64591        135.5195          3.5905         15.1100          0.0288       -156.9063         -1.2075        7.523263        3.590494
     2551.65331      2551.65286        140.4903          3.6545         15.0709          0.0282       -164.6364         -1.1232        7.158407        3.654535
     2551.66026      2551.65980        129.5833          3.6382         15.1586          0.0305       -162.1130         -1.1232       -1.423754        3.638227
     2551.66720      2551.66675        114.3082          3.5828         15.2948          0.0340       -128.0697         -1.1232       -6.003862        3.582782
     2551.67415      2551.67369        124.1832          3.6290         15.2048          0.0317       -137.0150         -0.7563        0.188896        3.629030
     2551.68109      2551.68064        129.4830          3.6089         15.1595          0.0303       -133.6803         -1.1232       -4.373134        3.608908
     2551.68804      2551.68758        119.7048          3.6253         15.2447          0.0329       -136.8491         -0.7563       -2.132325        3.625336
     2551.69498      2551.69452        117.9364          3.6055         15.2609          0.0332       -133.2786         -0.2178       -0.014305        3.605545
     2551.70193      2551.70147        119.5155          3.6315         15.2464          0.0330       -130.6531         -0.0143       -3.728544        3.631480
     2551.70887      2551.70841        133.8539          3.6190         15.1234          0.0294       -133.0509         -0.0143        0.315382        3.619017
     2551.71582      2551.71536        120.5150          3.6291         15.2374          0.0327       -134.3582         -0.0143       -1.387233        3.629094
     2551.72276      2551.72230        130.5938          3.0862         15.1502          0.0257        -89.7498         -0.0143        6.526229        3.086194
     2551.72971      2551.72925        125.6014          3.1075         15.1925          0.0269        -89.5647         -0.0143        0.147998        3.107536
     2551.73665      2551.73619        130.9696          3.6469         15.1471          0.0302       -138.4358         -0.0143        3.728182        3.646883
     2551.74360      2551.74314        124.2669          3.6414         15.2041          0.0318       -137.1453         -0.0143       -2.450337        3.641363
     2551.75054      2551.75008        128.6851          3.6106         15.1662          0.0305       -144.7410         -0.0143       -0.756261        3.610553
     2551.75749      2551.75702        128.6482          3.6533         15.1665          0.0308       -146.0158         -0.2178       -3.658015        3.653328
     2551.76443      2551.76397        117.5722          3.6371         15.2642          0.0336       -144.6784         -0.0143       -2.340922        3.637088
     2551.77138      2551.77091        121.6122          3.6421         15.2276          0.0325       -139.9426          0.0198       -5.591828        3.642086
     2551.77832      2551.77786        118.3592          3.6178         15.2570          0.0332       -134.2014          0.1308       -1.207452        3.617833
     2551.78527      2551.78480        123.8884          3.6568         15.2074          0.0320       -147.0141          0.0198       -1.123223        3.656824
     2551.79221      2551.79175        122.1204          3.6458         15.2230          0.0324       -140.7517          0.1308        2.550444        3.645828
     2551.79916      2551.79869        124.6130          3.6371         15.2011          0.0317       -106.3276          0.1308       -0.217848        3.637060
     2551.80610      2551.80564        128.8639          3.6281         15.1647          0.0306       -136.6661          0.1308       -2.737649        3.628131
     2551.81305      2551.81258        134.3934          3.6301         15.1191          0.0293       -136.3074          0.1480        5.225708        3.630065
     2551.81999      2551.81952        124.5905          3.5911         15.2013          0.0313       -118.0860          0.1480        0.192119        3.591100
     2551.82694      2551.82647        127.8846          3.6159         15.1730          0.0307       -139.2123          0.1480       -2.341814        3.615870
     2551.83388      2551.83341        127.4781          3.6265         15.1764          0.0309       -141.2881          0.1889        1.112819        3.626491
     2551.84083      2551.84036        127.9067          3.6198         15.1728          0.0307       -131.0248          0.1921       -1.289608        3.619781
     2551.84777      2551.84730        133.3436          3.5978         15.1276          0.0293       -132.7443          0.3019        4.439169        3.597824
     2551.85472      2551.85425        123.3073          3.5889         15.2125          0.0316       -129.3862          0.3019        2.864815        3.588927
     2551.86166      2551.86119        134.2263          3.6202         15.1204          0.0293       -150.3961          0.3154        2.414742        3.620169
     2551.86861      2551.86814        128.3484          3.6192         15.1690          0.0306       -132.6148          0.8763        2.122701        3.619212
     2551.87555      2551.87508        134.3553          3.6324         15.1194          0.0294       -132.0668          1.1128        9.060491        3.632446
     2551.88250      2551.88202        122.8618          3.5789         15.2165          0.0316       -121.0439          1.1128        0.019813        3.578871
     2551.88944      2551.88897        120.9105          3.6169         15.2338          0.0325       -131.3107          1.1128        2.795662        3.616868
     2551.89639      2551.89591        116.2000          3.5765         15.2770          0.0334       -126.4686          1.1128        0.130835        3.576508
     2551.90333      2551.90286        138.0557          3.5901         15.0899          0.0282       -126.2115          1.1128        5.565190        3.590097
     2551.91028      2551.90980        118.3878          3.5688         15.2567          0.0327       -121.2374          1.1128        0.876332        3.568798
     2551.91722      2551.91675        121.7436          3.5794         15.2264          0.0319       -121.8503          1.5341       -4.818923        3.579432
     2551.92417      2551.92369        129.8194          3.5744         15.1567          0.0299       -120.4119          2.0200        3.316402        3.574415
     2551.93111      2551.93064        126.6570          3.5823         15.1834          0.0307        -91.5603          2.0200        0.301944        3.582314
     2551.93806      2551.93758        128.0557          3.5473         15.1715          0.0301       -118.2601          2.1227        5.760469        3.547297
     2551.94500      2551.94452        118.0827          3.5816         15.2595          0.0329       -119.6031          2.1227       -7.393030        3.581560
     2551.95195      2551.95147        121.6617          3.5875         15.2271          0.0320        -86.8155          2.1317        1.534081        3.587464
     2551.95889      2551.95841        119.5026          3.6174         15.2466          0.0329        -92.9308          2.1317       -2.281974        3.617358
     2551.96584      2551.96536        132.4710          3.6214         15.1347          0.0297        -97.5513          2.1317        2.640089        3.621445
     2551.97278      2551.97230        124.4995          3.6153         15.2021          0.0315        -92.3914          2.1317        4.793843        3.615342
     2551.97973      2551.97925        126.1443          3.6046         15.1878          0.0310       -118.9653          2.4147        5.627396        3.604637
     2551.98667      2551.98619        123.6442          3.6173         15.2096          0.0318        -73.2825          2.1317        5.778365        3.617253
     2551.99362      2551.99314        124.7366          3.6542         15.2000          0.0318        -90.8995          2.4147        4.730793        3.654197
